sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Carlingford,12502,3854,7504,35,31,58,3716,3943,7662,17,24,36,1125,1218,2348,5,17,24,1152,1251,2402,8,12,21,790,905,1697,8,8,16,811,932,1738,4,0,5,370,409,782,3,4,7,375,411,791,107,158,266,20299,20613,40915,558,565,1124,20965,21342,42306,0,0,0,0,0,0,0,0,0,0,0,0,58,68,124,9707,10511,20220,432,502,930,10188,11083,21275,164,229,390,30007,31129,61132,987,1070,2052,31157,32422,63583,6,3,7,325,373,700,60,61,120,395,436,831
Merrylands - Guildford,12503,10197,20897,97,65,159,10933,10423,21359,41,44,85,3273,3122,6392,41,37,74,3357,3197,6554,40,42,84,4173,4297,8466,23,40,68,4240,4371,8611,6,3,8,1946,2325,4268,20,20,40,1966,2350,4321,427,484,907,47986,47347,95336,2193,2223,4409,50605,50045,100651,0,0,0,26,21,44,0,0,0,26,21,44,162,161,319,20456,20316,40765,1531,1512,3049,22152,21986,44136,586,637,1225,68464,67679,136141,3725,3735,7463,72777,72050,144829,7,0,12,829,674,1502,75,69,141,910,744,1658
Parramatta,12504,7494,14592,43,57,99,7252,7640,14888,49,50,99,1914,2146,4057,12,22,35,1971,2215,4193,22,25,44,1620,2085,3698,23,22,45,1668,2128,3788,3,0,8,634,812,1449,7,6,20,654,818,1474,274,262,536,28337,28113,56450,957,926,1884,29564,29305,58871,0,0,0,0,0,0,0,0,0,0,0,0,178,181,362,34781,34421,69196,2456,2508,4963,37413,37109,74524,453,443,895,63111,62531,125650,3410,3438,6852,66974,66418,133394,14,12,29,1234,1221,2449,453,324,779,1700,1554,3256
Pennant Hills - Epping,12601,2247,3950,14,13,26,1725,2275,3994,5,0,3,566,706,1270,4,6,10,577,705,1281,4,0,3,254,342,603,0,0,0,256,351,609,0,0,0,86,147,236,0,0,0,86,147,236,31,44,71,16616,17240,33857,305,313,620,16953,17596,34547,0,0,0,0,0,0,0,0,0,0,0,0,13,8,22,5200,5531,10731,194,216,412,5412,5752,11168,45,48,94,21820,22770,44589,495,531,1032,22364,23348,45711,0,0,0,117,246,360,6,15,18,121,260,384
Ryde - Hunters Hill,12602,6894,12772,34,42,78,5955,6970,12929,25,13,35,1781,2015,3795,12,13,24,1813,2034,3849,5,4,15,1519,1998,3514,14,17,31,1541,2019,3560,6,0,6,443,659,1100,0,7,8,451,661,1113,131,142,267,34351,35224,69569,968,991,1953,35440,36349,71796,0,0,0,0,4,7,0,0,0,0,4,7,87,81,164,24481,26972,51457,1119,1275,2392,25688,28328,54016,210,219,435,58835,62203,121039,2082,2261,4345,61134,64682,125814,41,16,61,1760,1774,3525,186,173,363,1985,1960,3944
Bringelly - Green Valley,12701,7568,15978,61,79,138,8644,7852,16491,84,90,171,2225,2299,4532,23,14,39,2332,2413,4741,47,35,77,2290,2609,4899,21,25,45,2356,2669,5021,8,4,10,907,1340,2246,0,16,17,911,1358,2270,684,770,1458,42682,43162,85843,2454,2472,4925,45820,46406,92231,0,0,0,18,20,36,3,0,9,17,25,42,76,83,164,3044,3401,6445,290,321,609,3409,3806,7212,763,854,1621,45737,46585,92327,2753,2789,5537,49251,50235,99485,0,0,0,80,119,194,7,0,10,85,116,201
Fairfield,12702,11920,24752,110,72,178,13067,12142,25206,84,62,147,4461,4668,9132,51,37,82,4596,4768,9365,45,46,94,6727,8715,15438,46,67,109,6816,8824,15642,0,5,7,3765,6061,9825,23,32,50,3791,6096,9887,542,561,1103,65161,66377,131535,2429,2428,4855,68123,69364,137489,0,3,3,50,39,88,4,0,8,52,44,98,111,98,204,18474,20243,38717,1014,968,1981,19596,21303,40906,653,655,1308,83682,86660,170343,3442,3404,6842,87776,90719,178493,3,3,3,489,739,1229,33,62,102,530,804,1340
Liverpool,12703,7713,16226,57,56,111,8711,7922,16631,65,73,139,2254,2336,4587,16,18,28,2331,2424,4753,47,33,78,2281,2861,5145,21,34,52,2347,2929,5271,3,7,10,797,1149,1941,7,6,15,803,1162,1968,573,564,1137,37784,38404,76186,1632,1687,3319,39983,40655,80638,0,0,0,6,0,4,0,0,0,6,0,4,148,174,317,13316,14009,27328,2001,2076,4075,15459,16258,31717,719,736,1452,51100,52411,103512,3629,3764,7390,55446,56918,112363,19,8,29,671,542,1207,232,122,351,916,667,1585
Cronulla - Miranda - Caringbah,12801,10924,21134,66,71,144,10406,11118,21519,18,27,53,2151,2711,4865,25,19,41,2191,2765,4955,21,16,31,1061,1351,2414,5,11,21,1092,1376,2466,3,0,8,149,166,318,3,0,3,154,168,320,349,344,693,32024,32612,64639,896,877,1768,33264,33836,67101,0,0,0,0,0,0,0,0,0,0,0,0,209,210,422,15937,18025,33963,1144,1286,2428,17294,19517,36812,561,551,1114,47964,50635,98600,2038,2157,4196,50562,53348,103907,3,5,10,368,752,1123,27,27,58,404,787,1191
Sutherland - Menai - Heathcote,12802,10721,21210,47,72,124,10670,10907,21572,30,29,64,2167,2554,4725,15,18,33,2216,2599,4815,11,13,28,1031,1236,2265,5,17,22,1054,1264,2319,3,0,3,123,154,280,3,3,5,126,156,285,460,435,897,39687,40132,79818,790,819,1614,40941,41387,82322,0,0,0,3,3,3,0,0,0,3,3,3,145,151,297,9007,10381,19384,436,514,949,9587,11046,20630,604,587,1189,48700,50512,99209,1229,1333,2562,50525,52431,102964,3,0,9,386,782,1168,17,39,62,408,831,1240
Ballarat,20101,6939,14205,71,91,162,7424,7158,14585,56,63,112,3298,3128,6428,36,35,69,3388,3220,6614,35,37,78,2155,2472,4627,42,40,85,2237,2547,4788,10,4,9,129,113,244,3,4,4,139,113,258,549,647,1201,37649,40055,77706,1991,2138,4130,40196,42840,83037,0,0,0,3,3,5,3,0,3,3,3,7,90,96,182,5130,6098,11229,419,516,941,5639,6713,12351,641,743,1385,42783,46161,88940,2416,2657,5077,45844,49553,95401,15,11,22,825,1068,1891,117,89,203,957,1165,2126
Creswick - Daylesford - Ballan,20102,1805,4141,22,25,49,2384,1844,4225,8,9,14,1031,806,1837,13,15,29,1051,836,1880,11,9,15,707,610,1315,18,12,30,733,629,1360,0,0,0,21,25,46,0,3,3,26,27,53,116,125,244,11138,11379,22517,926,969,1900,12181,12472,24657,0,0,0,13,5,17,0,3,4,16,9,26,6,13,17,501,582,1091,49,47,92,556,641,1199,122,139,257,11653,11971,23618,975,1022,1998,12748,13130,25878,0,0,3,114,148,264,31,65,95,148,214,369
Maryborough - Pyrenees,20103,2057,4545,34,35,65,2551,2117,4669,15,17,33,1213,979,2190,23,15,33,1245,1013,2259,13,11,29,943,794,1730,25,21,44,976,823,1805,0,0,0,35,23,64,3,0,3,42,30,64,137,184,320,10268,10274,20544,679,690,1368,11086,11146,22230,0,0,0,17,4,18,3,4,5,13,4,20,9,3,17,394,413,806,52,39,94,454,457,915,153,186,334,10675,10689,21367,736,734,1468,11559,11607,23168,16,0,19,447,160,610,16,28,44,489,185,671
Bendigo,20201,6845,14005,74,65,145,7371,7035,14403,64,77,143,3171,2961,6132,40,41,81,3275,3080,6356,56,47,98,2174,2348,4525,39,47,82,2268,2440,4711,3,4,9,231,210,440,0,0,0,236,212,445,712,721,1432,36202,38711,74907,2083,2205,4282,38990,41635,80627,0,0,0,3,3,8,0,0,0,3,0,10,49,71,121,2662,3171,5834,298,373,672,3009,3617,6627,765,794,1555,38864,41882,80749,2381,2574,4957,42011,45251,87259,7,3,10,531,944,1476,93,132,228,633,1082,1714
Heathcote - Castlemaine - Kyneton,20202,2908,6263,47,30,76,3444,2976,6421,29,16,40,1547,1288,2834,15,30,43,1590,1327,2920,11,6,19,1014,941,1954,13,20,38,1039,974,2009,0,0,3,52,51,104,3,0,7,55,59,110,168,171,338,18834,19646,38483,1434,1500,2935,20435,21321,41755,0,0,0,5,4,14,4,3,7,11,11,22,10,10,17,502,609,1107,65,73,137,570,691,1263,175,175,355,19342,20264,39608,1496,1581,3074,21022,22023,43043,46,3,47,781,223,1006,57,142,198,885,373,1260
Loddon - Elmore,20203,848,2006,21,15,38,1193,875,2064,11,13,22,539,431,969,7,7,10,560,446,1004,13,5,19,437,334,770,12,12,26,462,353,814,0,0,0,14,11,25,0,0,0,18,11,31,60,86,149,4679,4521,9197,473,441,912,5218,5049,10261,0,0,0,7,3,18,3,0,8,15,10,20,6,3,10,132,87,213,31,16,46,165,105,271,66,92,159,4817,4617,9427,506,456,961,5396,5159,10550,0,0,0,38,53,90,3,0,9,43,57,94
Barwon - West,20301,1132,2664,11,16,27,1554,1159,2716,6,3,9,627,494,1115,13,10,25,647,505,1155,7,0,9,401,304,706,3,0,8,415,303,718,3,0,3,13,11,28,0,0,0,13,13,26,74,69,144,8407,8274,16683,448,460,905,8928,8800,17731,0,0,0,18,10,31,0,0,0,19,10,33,0,0,0,66,59,121,5,8,15,71,60,133,74,69,144,8494,8343,16833,452,466,914,9017,8876,17894,0,0,0,56,84,142,11,14,27,64,102,168
Geelong,20302,11942,23952,105,110,216,12273,12188,24458,67,92,157,5375,5575,10951,56,65,116,5497,5732,11224,49,60,109,4208,5177,9389,69,78,153,4329,5314,9644,10,6,13,482,584,1068,10,10,22,501,600,1104,766,854,1622,70442,74409,144847,3438,3636,7072,74641,78893,153540,0,0,0,3,4,6,0,0,3,7,8,11,98,116,216,8286,9750,18040,765,868,1629,9146,10734,19878,868,966,1829,78730,84163,162891,4199,4509,8703,83789,89635,173427,69,26,96,2238,2052,4288,266,390,657,2575,2464,5044
Surf Coast - Bellarine Peninsula,20303,4246,8779,43,41,87,4590,4325,8924,24,15,38,1700,1592,3290,19,16,37,1738,1628,3364,14,11,21,1146,1222,2366,18,21,33,1172,1245,2422,0,4,4,62,57,123,3,3,6,65,66,129,228,237,464,28176,29667,57844,1373,1477,2850,29783,31376,61157,0,0,0,0,0,0,0,0,0,3,0,3,14,11,26,1656,1997,3656,159,168,330,1831,2182,4016,240,253,493,29840,31663,61502,1538,1644,3180,31616,33554,65175,3,3,3,250,434,683,22,41,63,275,478,752
Upper Goulburn Valley,20401,3912,8699,64,54,116,4924,4007,8924,35,30,58,2285,1740,4020,37,26,65,2351,1796,4147,27,19,44,1500,1346,2849,25,33,53,1551,1403,2954,0,3,3,68,44,113,0,3,3,67,47,115,294,309,603,20962,21097,42061,1607,1622,3229,22861,23032,45894,0,5,6,24,18,41,9,3,11,30,24,56,23,14,39,917,1006,1921,140,146,288,1080,1165,2245,320,331,648,21901,22115,44023,1753,1771,3524,23974,24217,48187,12,7,16,668,642,1309,139,103,248,819,747,1571
Wangaratta - Benalla,20402,3569,7653,49,32,85,4177,3661,7838,27,29,54,1657,1465,3126,32,19,50,1712,1518,3236,12,15,29,1247,1337,2589,29,28,61,1294,1385,2677,0,0,0,59,62,118,0,0,0,59,61,118,267,284,551,17764,18698,36460,1132,1189,2325,19167,20170,39330,0,0,0,6,3,16,0,0,0,6,10,13,28,30,62,1096,1378,2476,147,155,307,1272,1570,2840,299,319,611,18866,20083,38944,1282,1344,2630,20440,21745,42187,0,0,0,208,413,623,48,91,142,259,503,762
Wodonga - Alpine,20403,5696,12099,65,49,119,6584,5875,12460,44,61,105,2166,1978,4138,21,21,46,2233,2063,4294,41,31,72,1611,1454,3061,38,32,67,1689,1516,3205,3,3,5,125,109,233,0,0,0,122,118,242,504,589,1087,26707,27862,54564,1552,1588,3136,28757,30040,58790,0,0,0,5,4,4,0,0,3,5,9,8,37,75,109,1752,1955,3715,256,278,542,2048,2315,4361,537,660,1197,28463,29821,58285,1809,1873,3684,30812,32355,63165,25,10,37,885,578,1461,116,110,227,1023,698,1718
Baw Baw,20501,3617,7960,33,30,64,4410,3682,8098,34,22,49,1810,1591,3398,11,12,26,1851,1626,3473,16,8,26,1198,1218,2418,25,17,48,1237,1247,2488,4,3,3,71,74,142,0,0,3,68,77,151,215,212,424,19371,20301,39669,1193,1286,2479,20774,21794,42574,0,0,0,4,3,9,0,0,3,7,3,10,15,15,35,982,1246,2232,124,147,267,1125,1410,2528,231,226,455,20360,21550,41909,1313,1434,2746,21904,23206,45114,0,0,0,161,293,461,17,23,38,187,318,498
Gippsland - East,20502,3710,7852,65,45,110,4301,3854,8157,78,71,151,1902,1557,3462,24,28,55,2010,1660,3668,46,60,106,1364,1199,2561,22,29,52,1435,1286,2723,6,5,7,73,50,119,0,0,3,75,56,132,519,550,1064,16773,17553,34328,1375,1414,2791,18672,19512,38188,0,0,0,20,12,34,15,8,22,34,23,57,42,57,105,842,821,1660,142,152,293,1029,1029,2057,568,608,1172,17635,18392,36030,1532,1567,3102,19735,20568,40299,4,7,11,218,331,548,52,94,146,274,427,700
Gippsland - South West,20503,4770,10183,60,57,119,5525,4867,10390,20,16,36,2461,2073,4535,29,44,68,2509,2129,4646,18,13,33,1651,1629,3279,26,36,62,1700,1674,3371,0,0,4,79,84,162,3,0,3,82,83,165,260,258,514,24039,25163,49198,1650,1797,3445,25948,27211,53162,0,0,0,7,4,7,3,0,5,6,7,13,16,3,17,1044,1279,2319,124,139,264,1185,1418,2605,272,259,534,25087,26446,51529,1782,1934,3716,27144,28643,55784,3,0,3,241,503,742,28,38,65,266,541,808
Latrobe Valley,20504,5579,11781,60,71,130,6347,5755,12104,55,54,103,2444,2608,5056,36,35,73,2531,2699,5231,48,41,89,1985,2228,4219,25,34,58,2062,2302,4362,7,5,12,137,158,289,3,4,10,148,167,315,472,513,991,28075,29169,57245,1985,2039,4028,30533,31727,62264,0,0,0,7,0,4,3,0,3,4,0,10,62,56,115,1995,2348,4347,292,305,594,2341,2712,5050,534,575,1106,30072,31525,61596,2275,2344,4624,32879,34445,67323,3,5,9,334,556,882,148,197,348,480,757,1242
Wellington,20505,3254,7064,40,39,71,3889,3342,7237,21,22,46,1748,1419,3169,13,13,28,1789,1457,3244,23,18,35,1239,1019,2256,17,15,33,1270,1058,2324,3,0,5,62,66,126,0,0,0,60,63,125,242,276,516,16680,17117,33795,1232,1209,2440,18151,18604,36753,0,0,0,13,3,15,0,0,0,13,3,15,11,21,28,697,799,1494,99,91,186,800,915,1716,246,301,547,17389,17924,35311,1327,1305,2629,18956,19523,38484,54,3,60,914,260,1172,21,33,60,995,299,1291
Brunswick - Coburg,20601,2006,4466,28,23,47,2513,2048,4562,7,9,13,1000,951,1953,13,8,26,1020,971,1984,0,6,9,1974,2728,4700,28,28,56,2006,2762,4767,0,0,3,470,764,1234,3,5,13,475,770,1244,73,88,162,21066,22667,43733,919,973,1896,22058,23728,45788,0,0,0,0,0,0,0,3,0,0,0,3,108,115,223,16048,17167,33212,1105,1129,2232,17257,18415,35669,182,206,387,37113,39836,76947,2026,2105,4130,39318,42144,81464,12,11,25,368,338,708,68,54,121,449,399,848
Darebin - South,20602,1144,2547,12,8,14,1425,1172,2595,4,12,18,592,558,1154,3,11,13,606,579,1187,9,9,20,1072,1592,2665,13,9,20,1100,1612,2705,0,0,0,255,404,658,3,7,5,263,406,668,72,96,164,13109,14367,27483,585,606,1186,13760,15070,28835,0,0,0,0,0,0,0,0,0,0,0,0,60,81,138,8657,9874,18525,717,758,1468,9430,10706,20138,130,172,300,21766,24239,46008,1299,1364,2660,23190,25777,48970,3,3,5,184,384,569,26,59,85,213,442,660
Essendon,20603,2113,4249,21,13,41,2178,2143,4321,9,12,20,893,926,1819,11,8,18,914,946,1857,12,5,19,1079,1482,2560,14,22,33,1098,1509,2603,0,0,3,248,477,722,6,3,9,256,476,735,63,56,119,15588,16329,31918,549,578,1132,16206,16963,33170,0,0,0,0,0,0,0,0,0,0,0,0,71,51,124,12757,14336,27096,1221,1326,2543,14045,15715,29755,135,109,249,28346,30666,59012,1767,1902,3674,30247,32680,62929,0,0,3,305,402,706,41,29,78,352,439,784
Melbourne City,20604,1896,3851,20,15,40,2010,1931,3941,9,7,20,821,848,1670,13,11,19,846,866,1709,12,4,15,665,921,1583,4,10,23,683,941,1622,3,7,5,302,476,776,3,4,10,310,482,794,10,7,15,2031,2103,4139,206,199,405,2244,2317,4554,0,0,0,21,37,55,0,0,0,22,37,53,158,135,297,50703,54143,104844,5415,5541,10962,56285,59824,116104,167,145,314,52758,56283,109037,5619,5743,11366,58550,62171,120715,73,47,125,3116,3209,6321,1393,1249,2647,4583,4508,9092
Port Phillip,20605,2405,5148,23,25,46,2797,2443,5240,13,4,22,897,812,1704,12,9,25,922,825,1749,13,3,20,957,1135,2089,15,19,32,986,1152,2140,4,4,9,174,246,419,0,0,3,184,250,429,17,11,30,5237,5250,10482,319,342,664,5573,5600,11177,0,0,0,0,0,0,0,0,0,0,0,0,151,160,316,35702,38228,73923,3802,4046,7844,39652,42438,82093,169,178,342,40940,43475,84411,4120,4394,8511,45225,48038,93268,20,10,26,921,614,1538,367,153,522,1307,780,2087
Stonnington - West,20606,1334,2540,15,12,30,1239,1350,2595,3,0,9,427,472,899,9,3,11,438,478,918,8,0,4,501,693,1190,4,7,13,513,706,1216,0,0,3,99,191,292,0,0,0,101,193,295,15,8,18,5477,6071,11545,351,350,703,5835,6430,12264,0,0,0,3,0,5,0,0,0,3,0,5,92,81,172,19495,21965,41455,1902,2027,3932,21489,24070,45562,105,85,188,24973,28038,53003,2256,2382,4633,27329,30504,57830,3,0,3,301,391,694,84,95,175,386,485,867
Yarra,20607,1609,3502,14,14,27,1932,1634,3570,6,10,16,751,787,1543,11,4,14,773,803,1575,13,14,26,947,1512,2460,15,14,34,971,1541,2515,3,4,6,312,637,950,6,9,10,322,647,967,30,34,63,6203,6682,12885,428,412,832,6658,7121,13777,0,0,0,0,0,0,0,0,0,0,0,0,141,136,280,29553,31744,61300,2739,2968,5702,32439,34850,67287,169,168,344,35760,38421,74182,3166,3374,6539,39097,41970,81061,9,3,12,593,472,1070,216,118,337,823,598,1416
Boroondara,20701,4463,8134,32,30,62,3712,4505,8221,7,7,15,1880,2042,3928,17,24,42,1907,2072,3985,9,5,10,1421,2219,3640,15,16,30,1448,2238,3682,0,0,0,341,413,753,4,3,9,348,415,762,86,70,164,47989,50310,98299,1475,1449,2926,49552,51833,101382,0,0,0,4,0,4,0,0,0,4,0,4,54,59,108,23918,27766,51687,1404,1563,2971,25375,29390,54764,144,130,275,71912,78077,149986,2880,3016,5894,74933,81220,156154,13,9,19,1167,1786,2961,212,247,458,1390,2043,3439
Manningham - West,20702,3758,7053,25,35,65,3332,3810,7134,3,5,5,1551,1724,3279,5,8,21,1566,1743,3306,0,6,6,1977,2782,4761,22,29,46,1991,2815,4812,0,0,3,413,628,1041,7,4,5,416,633,1054,55,57,118,31166,32412,63577,849,927,1778,32074,33393,65472,0,0,0,0,0,0,0,3,3,0,3,3,13,11,30,9052,10394,19447,422,518,939,9485,10930,20414,71,71,143,40217,42804,83023,1268,1451,2716,41562,44323,85886,0,0,0,331,703,1029,35,94,130,370,793,1162
Whitehorse - West,20703,3456,6645,25,40,69,3227,3512,6734,10,3,10,1528,1770,3303,12,12,24,1548,1788,3340,3,3,7,1397,2109,3511,25,26,44,1421,2137,3566,7,9,10,400,528,928,0,7,8,408,550,954,76,59,134,32185,33354,65538,955,1019,1973,33213,34432,67649,0,0,0,3,0,6,0,0,0,3,0,6,23,26,48,12508,14587,27092,536,649,1184,13067,15255,28326,102,86,185,44692,47938,92629,1494,1665,3160,46285,49690,95977,0,0,6,780,1104,1881,85,89,176,866,1192,2062
Bayside,20801,3721,6737,30,47,71,3053,3772,6829,7,4,11,1314,1452,2769,9,20,36,1327,1482,2813,4,4,11,938,1287,2228,4,15,22,944,1311,2258,3,0,3,119,161,276,0,3,7,124,162,284,55,44,96,30005,31750,61751,1020,1140,2162,31079,32931,64008,0,0,0,0,0,0,0,0,0,0,0,0,40,31,70,11255,13505,24764,741,947,1697,12039,14488,26533,93,74,170,41263,45254,86516,1768,2086,3856,43126,47415,90541,0,3,3,430,966,1393,41,78,119,472,1042,1515
Darebin - North,20902,3224,6653,44,37,80,3531,3336,6864,27,30,57,1684,1723,3413,14,18,34,1731,1776,3507,31,23,52,2842,3975,6816,46,44,89,2912,4043,6954,7,3,9,698,1007,1705,8,10,17,714,1016,1732,265,268,531,28381,29152,57533,1655,1631,3288,30299,31052,61350,0,0,0,0,0,0,0,0,0,0,0,0,110,131,242,11987,12917,24898,1100,1183,2281,13194,14228,27421,375,403,770,40364,42066,82436,2753,2819,5573,43490,45284,88776,10,7,20,853,1075,1932,176,195,366,1038,1282,2320
Nillumbik - Kinglake,20903,3075,6890,26,28,54,3858,3132,6994,4,6,10,1426,1240,2664,17,6,23,1453,1253,2703,3,3,8,733,776,1510,3,8,11,746,790,1534,0,0,0,68,67,129,3,0,3,69,62,137,123,137,262,28324,28521,56839,1041,1114,2156,29489,29773,59257,0,0,0,19,10,31,7,5,13,24,18,47,0,3,3,969,1290,2259,57,94,149,1023,1390,2409,124,144,274,29308,29819,59128,1103,1213,2314,30537,31179,61717,0,0,0,114,226,339,14,31,53,132,260,390
Whittlesea - Wallan,20904,10118,21769,110,85,191,11891,10325,22218,81,58,140,5109,4651,9758,57,57,116,5244,4769,10009,31,43,77,5582,6809,12388,82,105,184,5697,6954,12655,4,4,7,1204,1673,2879,10,29,39,1214,1706,2921,778,802,1581,84367,85421,169783,4028,4123,8156,89171,90343,179515,0,0,0,3,3,4,0,0,0,0,3,5,82,126,212,11882,12783,24663,729,788,1514,12693,13693,26386,865,925,1791,96246,98203,194450,4759,4911,9671,101873,104042,205914,0,3,4,518,734,1251,52,60,109,569,794,1357
Keilor,21001,2846,5749,18,36,58,2931,2902,5836,5,0,8,1310,1299,2609,9,14,24,1325,1310,2632,0,0,3,1751,2449,4201,17,28,42,1768,2481,4244,0,0,0,301,436,734,3,0,3,298,442,740,72,76,152,21156,21787,42940,825,861,1686,22052,22721,44776,0,0,0,0,0,0,0,0,0,0,0,0,18,12,32,4798,5497,10288,271,326,592,5079,5837,10912,86,94,182,25952,27279,53234,1094,1184,2281,27130,28556,55693,0,0,0,166,290,455,29,16,46,192,305,500
Macedon Ranges,21002,1634,3692,14,13,33,2093,1658,3755,7,8,13,784,624,1409,8,5,17,803,635,1440,6,5,7,441,410,851,5,8,15,455,422,878,0,0,0,16,13,30,0,0,3,19,19,35,98,83,184,12604,12650,25260,645,656,1298,13352,13397,26746,0,0,0,3,5,8,0,0,3,5,7,5,3,4,9,390,543,939,40,50,98,440,603,1035,98,90,191,13004,13197,26200,688,707,1398,13794,13998,27792,0,0,0,52,85,140,8,50,60,70,131,197
Kingston,20803,5785,11597,43,39,81,5881,5850,11732,13,11,25,2263,2346,4605,19,19,38,2292,2377,4669,10,8,20,1733,2421,4158,26,42,60,1771,2470,4239,0,3,9,244,336,575,7,9,15,254,344,595,159,143,303,33328,34462,67789,1270,1282,2553,34760,35889,70647,0,0,0,0,0,0,0,0,0,0,0,0,84,108,190,17140,19784,36928,1004,1188,2192,18225,21075,39301,246,246,490,50470,54246,104719,2271,2471,4747,52981,56970,109954,0,0,0,505,765,1270,81,147,232,587,914,1502
Stonnington - East,20804,1063,1960,4,4,12,908,1071,1978,3,0,7,434,447,881,0,0,3,442,453,896,0,0,3,414,565,977,3,8,14,422,578,993,0,0,0,72,103,174,0,3,3,71,108,178,29,22,54,10940,11237,22178,344,360,707,11309,11625,22939,0,0,0,0,0,0,0,0,0,0,0,0,11,19,33,6937,8161,15098,366,452,813,7316,8632,15948,45,49,90,17882,19396,37278,704,817,1521,18627,20255,38886,0,0,0,173,306,477,21,19,43,195,327,524
