SA3_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,SA3_NAME11
50601,34,1850,621,290,1533,1.1,1309,2.7,Armadale
50602,34,2043,699,310,1695,1.1,1347,2.3,Belmont - Victoria Park
50604,33,1800,623,310,1561,1.1,1372,2.8,Gosnells
50605,38,1976,681,320,1778,1.0,1520,2.7,Kalamunda
50606,35,2167,666,310,1762,1.1,1636,3.0,Serpentine - Jarrahdale
50607,36,2200,779,340,2259,1.1,1606,2.3,South Perth
50701,34,2006,689,330,1805,1.0,1540,2.7,Cockburn
50702,41,2167,713,300,1998,1.1,1388,2.3,Fremantle
50703,32,1800,606,260,1451,1.1,1252,2.7,Kwinana
70104,28,2167,913,365,2013,1.1,1816,2.9,Palmerston
70202,28,934,367,60,901,1.5,1203,3.3,Barkly
70203,27,1400,297,42,790,1.6,1114,3.6,Daly - Tiwi - West Arnhem
70205,28,1700,468,100,1188,1.4,1367,3.3,Katherine
79797,33,0,1357,153,0,0.0,0,0.0,Migratory - Offshore - Shipping (NT)
79999,45,0,489,0,0,0.0,0,0.0,Special Purpose Codes SA3 (NT)
70201,31,1950,694,150,1595,1.3,1513,2.9,Alice Springs
80101,34,2050,858,375,2120,1.1,1802,2.6,Belconnen
80102,31,2250,855,170,2250,1.1,1815,2.7,Cotter - Namadgi
80103,39,1400,636,200,1618,1.1,895,1.8,Fyshwick - Pialligo - Hume
80104,31,2300,1019,400,2355,1.1,2176,2.9,Gungahlin
80105,31,2199,853,400,2432,1.1,1819,2.2,North Canberra
80106,39,2544,1172,430,2871,1.1,2383,2.3,South Canberra
80107,35,2000,900,370,2203,1.1,1962,2.8,Tuggeranong
80108,40,2145,910,346,2258,1.0,1831,2.5,Weston Creek
80109,40,2167,948,360,2390,1.1,1824,2.4,Woden
89797,26,0,0,53,0,0.0,0,0.0,Migratory - Offshore - Shipping (ACT)
89999,31,0,500,0,0,0.0,0,0.0,Special Purpose Codes SA3 (ACT)
90101,31,1083,1020,81,2118,1.3,1845,2.6,Christmas Island
90102,39,520,478,135,1140,1.2,1420,3.8,Cocos (Keeling) Islands
90103,27,0,500,60,974,1.2,966,3.1,Jervis Bay
99797,50,0,1750,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (OT)
99999,29,0,1577,0,0,0.0,0,0.0,Special Purpose Codes SA3 (OT)
