sa3_name16,sa3_code16,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total
Bankstown,11901,36076,22878,23198,21951,20764,18338,12169,7405,3824,166598,43,35,45,33,29,27,21,17,9,256,523,553,850,494,430,421,298,209,165,3935,5,14,18,19,21,28,16,6,3,127,6,10,22,26,49,28,13,3,0,161,7,0,11,0,10,7,10,0,0,52,3,3,12,3,6,5,0,4,0,36,0,0,4,3,10,3,3,0,0,23,0,0,0,0,0,4,0,0,0,11,4,9,5,10,0,8,9,0,0,46,0,0,0,0,0,0,0,0,0,0,547,587,920,554,529,504,348,224,167,4385,588,622,963,584,558,532,365,238,178,4641,153,243,188,133,189,313,212,64,9,1499,36821,23741,24350,22672,21509,19187,12745,7707,4014,172744
Canterbury,11902,26607,17205,22187,18572,16601,13042,8905,5975,2476,131567,41,25,32,23,28,22,17,8,7,206,311,339,556,366,310,253,171,141,52,2501,11,0,5,15,3,0,10,0,0,46,0,3,10,11,11,10,7,0,3,55,4,0,6,4,4,3,3,0,0,25,3,0,0,9,3,0,3,0,0,22,0,0,0,0,6,0,0,0,0,10,0,3,0,0,0,0,0,0,0,4,0,3,3,3,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,330,349,586,409,336,270,194,146,58,2677,370,382,620,427,359,297,209,157,65,2882,108,269,259,142,222,338,169,42,3,1542,27081,17849,23065,19144,17186,13674,9280,6173,2544,135999
Hurstville,11903,20854,17069,19895,15875,16256,14318,9900,6255,3218,123650,10,19,19,8,14,23,17,15,10,131,271,330,502,290,237,249,173,153,91,2292,4,3,16,8,12,9,0,0,3,60,5,7,13,3,6,13,13,0,0,63,0,3,0,0,3,4,3,0,0,12,0,0,4,0,3,7,0,0,0,19,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,5,15,3,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,278,356,550,312,269,273,194,159,95,2489,289,376,570,324,285,293,212,172,104,2620,157,347,303,161,267,585,327,81,9,2239,21295,17789,20769,16360,16806,15194,10441,6514,3331,128505
Kogarah - Rockdale,11904,21846,16722,26369,19156,16270,13536,10100,6584,3220,133812,12,23,41,17,17,11,20,13,9,157,325,371,679,418,418,363,419,322,225,3545,3,3,59,21,32,21,13,4,0,154,3,19,36,23,42,16,10,4,0,161,0,4,14,10,5,11,9,3,0,57,0,14,12,8,11,6,5,0,0,54,0,3,0,7,3,0,5,0,0,22,0,4,0,0,3,7,0,0,0,12,0,3,12,27,4,7,0,0,0,56,0,0,0,0,0,0,0,0,0,0,330,415,821,520,524,429,465,336,228,4065,347,439,856,530,546,441,481,346,233,4218,144,352,405,271,348,552,251,77,10,2411,22336,17510,27633,19962,17165,14530,10826,7013,3463,140441
Canada Bay,12001,13858,9340,14806,12619,10688,8756,6482,3782,1905,82235,3,3,18,6,13,3,4,3,6,61,163,242,375,267,258,228,219,207,144,2097,0,10,9,4,6,3,4,0,3,36,0,3,13,4,4,20,16,4,0,64,0,5,5,5,3,4,3,0,0,23,4,0,7,12,3,6,9,0,0,35,0,0,5,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,3,5,8,3,3,6,6,0,0,37,0,0,0,0,0,0,0,0,0,0,170,266,423,299,276,268,259,220,147,2317,169,269,435,307,288,272,263,222,153,2375,90,239,217,103,190,363,139,27,11,1382,14124,9847,15456,13023,11168,9389,6884,4031,2070,85986
Leichhardt,12002,10046,4530,8413,10297,8025,5818,4019,1640,685,53480,0,0,5,7,3,3,7,8,0,30,104,191,288,209,172,138,114,68,50,1334,0,4,12,15,19,10,12,9,0,84,0,3,6,12,8,20,23,3,0,73,0,0,3,0,9,9,7,7,0,32,0,4,0,4,8,3,3,4,0,27,0,0,0,0,0,5,6,4,0,16,0,0,0,4,0,0,0,0,0,4,3,6,3,0,0,8,12,4,0,31,0,0,0,0,0,0,0,0,0,0,107,214,317,239,223,186,171,88,47,1601,107,218,320,241,219,196,181,97,49,1635,38,121,101,60,54,65,80,11,8,542,10198,4870,8833,10602,8307,6074,4283,1752,739,55651
Strathfield - Burwood - Ashfield,12003,21496,21395,31416,20412,18549,14593,9528,6410,3221,147024,6,11,23,13,17,13,11,4,9,105,305,495,751,408,352,339,260,155,106,3169,5,17,30,17,6,18,10,3,0,100,3,19,24,19,18,17,10,3,4,114,0,3,10,0,4,3,0,0,3,29,0,3,5,8,4,9,0,7,0,32,0,0,3,0,3,4,7,0,0,18,0,3,0,3,0,0,0,0,0,9,0,9,12,4,3,8,6,4,0,48,0,0,0,0,0,0,0,0,0,0,318,548,842,451,394,392,291,172,112,3514,322,562,859,462,412,401,303,179,120,3623,175,617,594,237,313,555,264,79,8,2840,21996,22579,32866,21120,19271,15547,10090,6666,3351,153484
Chatswood - Lane Cove,12101,20844,12119,17690,18090,14310,10807,7787,4291,2372,108314,3,12,15,5,8,14,14,8,0,68,297,341,568,393,377,388,391,288,221,3269,12,16,50,60,46,42,17,9,5,253,8,28,42,50,57,54,41,7,3,293,3,7,7,11,18,13,3,0,0,70,3,5,23,15,5,26,11,4,0,96,0,3,5,0,5,10,3,0,0,25,0,0,0,6,0,0,0,0,0,9,0,8,6,11,15,13,9,0,0,58,0,0,0,0,0,0,0,0,0,0,326,402,704,552,527,547,478,307,227,4077,324,416,719,556,537,558,492,316,231,4146,281,484,591,446,351,503,282,70,17,3019,21453,13015,18998,19099,15198,11872,8559,4671,2612,115478
Hornsby,12102,16185,8950,9400,12702,11106,8773,6111,3267,1452,77947,3,15,6,8,3,5,4,0,5,58,189,283,248,192,164,165,165,124,149,1685,3,8,0,5,9,7,16,8,3,43,7,11,12,8,3,12,15,3,3,72,3,0,0,5,6,3,4,0,0,17,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,3,5,8,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,205,304,264,216,187,188,201,138,153,1856,201,321,272,221,191,200,203,142,156,1911,97,128,123,92,104,343,202,49,7,1144,16492,9398,9785,13015,11400,9310,6522,3461,1621,81005
Ku-ring-gai,12103,23594,15419,9225,14703,18016,13000,9955,6569,3797,114277,14,5,4,3,6,7,10,6,11,69,265,400,353,212,209,269,241,233,242,2427,12,12,3,13,11,6,9,11,8,90,7,12,9,8,17,15,25,14,3,115,0,0,0,3,0,6,14,0,0,21,0,4,7,5,0,4,4,3,0,31,0,3,0,0,3,3,4,3,0,15,3,3,0,0,5,0,0,0,0,16,3,4,13,3,3,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,286,447,384,246,247,307,307,261,251,2746,300,453,391,251,255,312,316,271,265,2814,266,351,199,184,235,439,272,90,8,2035,24158,16221,9813,15142,18507,13743,10538,6925,4074,119123
North Sydney - Mosman,12104,13032,7516,18027,15302,11761,9829,8298,3921,1938,89622,9,14,8,6,7,10,5,9,5,71,245,322,567,354,326,305,310,110,53,2594,4,16,40,44,58,51,28,5,0,248,13,15,41,62,64,48,49,10,4,310,5,3,4,15,19,6,11,3,3,69,3,3,25,22,23,23,10,0,0,108,0,0,3,6,7,11,13,5,0,38,0,0,3,0,6,0,0,0,0,11,0,14,8,20,5,16,6,9,6,73,0,0,0,0,0,0,0,0,0,0,276,372,696,517,504,469,423,136,65,3464,277,388,706,522,507,483,430,145,71,3529,122,266,361,183,184,261,161,41,9,1592,13432,8172,19094,16009,12458,10569,8893,4106,2018,94743
Manly,12201,7708,3785,6188,6761,5813,4170,3126,1625,842,40024,0,4,3,6,0,3,3,0,0,18,167,153,227,182,135,122,104,73,38,1200,0,4,14,30,14,13,4,3,0,89,0,16,15,21,24,13,10,7,3,111,0,0,9,0,10,0,3,0,0,22,0,15,6,10,7,11,9,3,0,55,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,7,3,10,3,0,0,20,0,0,0,0,0,0,0,0,0,0,167,191,279,247,201,173,135,90,38,1522,165,197,279,254,198,175,134,96,41,1536,74,239,165,86,77,86,54,11,0,788,7946,4212,6631,7103,6095,4423,3320,1732,884,42348
Pittwater,12202,11475,6271,4554,7463,8631,7790,6221,3304,1571,57279,3,7,6,10,9,9,3,3,0,50,165,188,209,155,138,157,146,100,80,1335,9,6,6,0,4,7,14,8,0,60,0,0,3,4,13,8,19,3,0,57,0,13,0,3,5,8,8,0,0,28,3,0,6,7,3,8,3,3,0,29,3,0,3,3,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,181,208,224,172,167,198,198,116,79,1550,184,213,231,182,178,199,199,124,81,1595,62,103,95,58,62,52,40,22,7,498,11717,6593,4878,7699,8871,8048,6459,3453,1661,59379
Warringah,12203,29661,15855,17313,22552,21478,14886,11573,7426,4204,144955,10,13,25,7,12,17,9,8,16,117,303,354,506,344,328,313,241,119,89,2589,10,14,30,20,18,18,9,5,0,137,9,11,17,29,35,32,23,15,5,186,0,7,4,6,13,7,4,0,0,35,0,3,10,3,7,9,11,5,0,48,0,0,0,0,3,7,4,0,0,11,3,0,0,7,0,0,0,0,0,6,0,3,7,6,4,6,9,0,3,32,0,0,0,0,0,0,0,0,0,0,331,394,572,411,411,393,296,149,93,3051,339,407,600,421,426,411,309,157,109,3173,180,341,248,141,174,188,136,50,5,1458,30179,16603,18158,23113,22078,15490,12018,7630,4315,149581
Camden,12301,14703,7969,8242,9422,8031,5833,3805,1741,814,60562,11,4,4,3,7,3,5,3,3,37,182,248,203,173,105,115,97,50,31,1209,5,0,3,3,5,3,0,0,0,22,8,9,9,8,9,12,4,5,0,53,0,0,0,0,4,0,5,0,0,11,0,0,0,0,0,3,0,0,0,10,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,193,265,217,187,130,140,110,60,34,1329,199,267,219,189,137,143,113,58,37,1364,30,41,15,27,28,36,26,13,3,220,14934,8277,8474,9632,8196,6006,3946,1820,854,62147
Campbelltown (NSW),12302,33359,21565,22585,20612,19235,18056,11694,4649,1620,153379,46,49,18,26,13,18,11,9,3,207,557,769,854,533,454,398,300,185,100,4158,11,8,25,17,21,9,4,4,0,102,13,26,28,19,33,37,13,4,0,163,0,3,10,5,7,11,0,0,0,32,3,7,0,9,11,9,4,0,0,47,0,0,0,0,0,3,3,0,0,6,3,0,3,0,0,0,0,0,0,11,0,10,4,9,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,582,821,926,586,533,468,321,200,104,4549,629,873,947,614,548,491,335,215,108,4755,67,131,142,118,143,329,211,50,8,1199,34056,22568,23670,21347,19926,18875,12246,4909,1730,159328
Wollondilly,12303,8793,4969,4687,5291,5452,4861,3351,1554,581,39538,15,11,4,5,5,0,6,0,0,47,117,196,153,107,81,90,85,53,26,914,0,0,7,3,7,3,9,3,0,27,3,3,0,3,10,7,6,0,0,30,0,3,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,0,0,3,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,121,209,172,119,96,108,103,57,26,1013,137,220,175,121,103,111,106,61,26,1062,8,27,21,15,12,10,7,0,0,100,8937,5212,4886,5424,5565,4983,3461,1617,607,40701
Blue Mountains,12401,13712,7933,6552,9277,10456,11053,8587,3879,1509,72965,12,17,12,7,10,10,9,8,0,76,216,365,396,261,273,349,337,137,85,2422,10,10,9,18,30,22,9,4,0,106,23,14,26,30,18,35,28,0,0,183,0,0,3,11,3,10,0,0,0,21,0,3,21,8,6,9,0,3,0,49,0,0,0,0,0,9,5,0,0,19,0,0,0,3,0,0,0,0,0,4,0,3,5,3,3,7,3,0,0,26,0,0,0,0,0,0,0,0,0,0,252,395,461,341,333,436,389,142,84,2834,260,406,475,346,348,446,399,150,86,2914,122,222,135,129,138,110,48,15,8,926,14099,8564,7163,9754,10938,11608,9035,4040,1605,76803
Blue Mountains - South,12402,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,8
Penrith,12403,29455,18032,20753,19382,16836,14723,9992,4287,1640,135097,27,25,14,16,13,6,16,7,3,124,529,701,675,450,338,321,322,213,96,3634,5,6,20,19,8,20,5,6,0,99,11,35,37,9,36,31,18,13,8,200,0,10,7,0,7,6,0,0,0,27,3,3,8,8,6,4,3,4,0,35,0,0,3,0,0,0,4,0,0,8,0,4,0,3,0,0,0,0,0,6,0,14,10,4,7,8,0,0,0,40,0,0,0,0,0,0,0,0,0,0,558,760,757,500,398,388,351,240,100,4051,586,786,771,508,410,397,369,240,104,4170,67,96,98,72,81,167,114,21,5,729,30110,18916,21622,19968,17329,15285,10475,4547,1748,139994
Richmond - Windsor,12404,6776,5116,5072,4492,4862,3923,2772,1561,657,35236,3,4,4,3,4,5,3,7,4,48,106,227,179,123,146,97,83,56,23,1047,4,6,12,0,7,10,5,3,0,48,5,16,8,12,15,8,14,0,0,71,0,0,8,3,5,13,0,0,0,36,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,12,0,5,8,3,0,0,0,0,0,10,0,6,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,114,261,219,148,178,138,102,62,24,1250,119,266,222,157,184,143,111,68,32,1297,14,28,17,20,10,14,5,4,0,115,6908,5415,5319,4665,5060,4074,2886,1633,693,36652
St Marys,12405,10889,7658,7865,6872,6809,6515,3635,1464,506,52215,18,17,5,14,11,3,3,3,0,67,216,264,262,163,124,122,73,34,25,1284,5,3,7,4,5,0,0,4,0,22,14,0,4,3,8,10,10,0,0,53,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,238,267,283,172,141,129,84,44,23,1383,254,283,290,188,152,135,89,42,26,1450,26,22,33,30,29,57,37,7,3,244,11168,7963,8192,7086,6979,6709,3758,1517,536,53918
Auburn,12501,15412,12554,21211,12501,10006,8165,4277,2186,948,87269,23,16,37,20,12,9,11,8,0,129,195,324,467,290,213,198,122,55,34,1912,3,44,46,68,60,30,17,3,0,255,4,42,27,35,36,15,11,0,0,166,0,12,6,14,25,14,4,0,0,62,3,17,23,18,21,16,0,0,0,93,0,0,7,0,3,0,0,0,0,12,3,0,4,0,0,0,0,0,0,3,0,54,19,7,8,13,0,0,0,103,0,0,0,0,0,0,0,0,0,0,205,481,603,436,352,281,155,61,34,2613,229,497,638,457,369,286,160,63,36,2735,93,247,396,140,186,388,145,57,3,1646,15734,13301,22239,13096,10558,8848,4580,2304,990,91655
Carlingford,12502,12552,8140,8543,9251,9130,7657,5032,3090,1213,64611,7,0,7,3,5,3,4,4,3,42,154,148,258,179,129,97,79,42,24,1114,3,5,3,3,0,0,3,3,0,29,3,4,8,4,0,5,3,0,0,38,4,3,0,3,7,5,0,0,0,17,0,0,0,6,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,163,165,274,194,140,120,88,46,25,1226,178,166,281,197,146,119,92,52,28,1266,72,132,109,98,129,302,188,62,9,1112,12799,8443,8932,9548,9411,8082,5307,3201,1255,66988
Merrylands - Guildford,12503,32241,20376,24690,19873,17456,14504,9896,5449,2525,147009,51,25,42,45,20,21,15,11,8,239,388,449,680,427,341,305,216,123,72,2996,6,17,19,19,9,6,5,0,0,77,14,16,29,16,14,16,11,5,0,120,0,6,0,5,0,0,3,0,0,21,0,5,3,7,7,6,10,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,8,0,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,407,486,732,475,374,338,251,131,79,3279,456,514,772,520,398,361,264,140,84,3517,100,160,187,103,174,287,168,40,6,1230,32806,21055,25651,20489,18026,15145,10331,5632,2625,151758
Parramatta,12504,27020,14261,30861,23074,14369,11723,8469,5015,2476,137257,21,37,33,12,11,9,5,11,0,139,567,589,919,696,541,491,354,270,165,4601,10,29,105,144,162,68,18,4,3,548,3,22,62,75,103,48,15,9,0,343,3,7,20,20,44,25,8,0,0,135,9,12,51,16,45,19,4,0,0,151,0,0,0,8,9,6,7,0,0,35,3,0,4,8,0,4,0,0,0,26,3,14,14,24,20,14,5,3,0,96,0,0,0,0,0,0,0,0,0,0,604,684,1184,994,924,680,411,294,175,5933,626,717,1216,1003,937,688,411,305,175,6080,176,313,484,311,459,1146,490,81,3,3469,27818,15293,32561,24386,15763,13559,9372,5400,2652,146804
Pennant Hills - Epping,12601,8571,6629,5488,6309,6472,5723,3699,2214,1087,46182,5,3,8,4,0,0,3,0,0,18,60,108,159,67,71,81,65,35,17,664,0,0,10,9,7,3,0,3,0,34,0,15,4,5,6,13,3,3,0,56,0,0,0,0,0,0,3,0,0,3,3,0,10,0,3,0,3,0,0,18,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,5,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,64,130,186,80,92,100,76,51,17,801,72,135,191,84,95,97,76,49,16,821,82,129,91,88,85,217,150,38,3,884,8717,6895,5775,6479,6652,6041,3923,2300,1105,47887
Ryde - Hunters Hill,12602,21882,17714,22300,18820,16457,13913,9611,6040,3586,130317,10,28,13,20,14,14,15,12,8,129,198,487,637,356,344,364,295,198,157,3040,18,27,69,114,111,55,25,6,0,423,4,16,58,53,84,41,21,0,0,289,0,8,11,21,14,10,18,6,0,79,4,3,26,10,31,25,3,0,0,98,0,0,4,4,3,6,3,3,0,30,0,6,0,3,3,0,0,0,0,11,4,14,16,18,8,25,13,3,5,107,0,0,0,0,0,0,0,0,0,0,228,563,824,571,592,533,385,218,159,4076,246,588,835,590,608,546,395,226,170,4205,191,783,496,323,364,615,352,87,20,3222,22322,19084,23626,19733,17432,15068,10355,6352,3773,137749
Bringelly - Green Valley,12701,23652,14931,14533,14196,13347,10183,5738,2746,782,100104,25,26,17,11,18,9,18,3,0,126,325,329,369,291,236,186,150,87,32,2008,5,4,21,3,0,3,10,0,0,50,4,10,7,3,11,12,3,0,3,52,0,0,0,0,0,4,0,0,0,11,0,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,3,0,0,10,0,0,0,0,0,0,0,4,0,4,341,343,403,308,253,208,164,96,35,2147,367,375,419,317,266,222,175,96,39,2275,30,37,62,41,54,117,75,27,7,456,24044,15345,15011,14557,13669,10527,5991,2863,822,102836
Fairfield,12702,34434,26974,24083,22442,24858,22940,13968,7812,3024,180533,50,55,42,30,36,29,26,11,6,276,564,581,856,584,476,403,235,211,107,4011,14,6,13,19,10,15,12,4,0,98,8,8,18,13,16,17,7,0,0,94,5,0,3,0,3,0,3,4,0,19,0,3,4,3,0,4,0,0,0,22,0,6,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,5,7,8,3,7,7,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,593,608,901,633,516,437,259,219,109,4284,639,665,939,661,553,471,286,229,115,4557,126,144,180,135,159,227,108,38,14,1131,35200,27778,25206,23242,25569,23635,14366,8078,3145,186220
Liverpool,12703,25846,15446,17271,17110,14719,11229,7283,3804,1486,114198,34,19,27,17,13,8,4,0,4,124,369,403,624,347,334,333,233,191,92,2926,0,16,42,27,24,20,13,4,3,144,3,42,65,20,16,21,9,4,3,180,0,17,8,9,4,0,0,0,0,38,8,11,27,5,9,10,4,0,0,77,0,3,0,3,3,5,0,3,0,21,0,16,9,6,0,0,0,0,0,42,0,3,14,3,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,385,514,789,425,396,383,261,201,101,3460,420,532,816,435,413,393,269,204,103,3585,73,107,126,114,177,261,161,58,8,1086,26341,16079,18211,17662,15312,11888,7714,4066,1599,118873
Cronulla - Miranda - Caringbah,12801,19374,11894,13100,14266,14531,12938,9718,6099,3405,105333,17,12,14,15,15,10,22,11,6,126,312,357,440,295,276,264,234,222,161,2565,5,3,19,14,21,21,9,9,5,106,16,3,16,29,30,31,20,7,4,149,0,0,4,4,3,4,4,3,0,28,0,4,6,9,3,3,6,3,0,30,0,0,0,0,3,3,6,3,0,21,0,0,3,0,4,0,0,0,0,12,0,3,0,0,6,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,329,370,491,348,349,337,288,241,169,2926,348,383,511,361,370,341,306,254,174,3047,56,120,93,58,83,104,70,37,5,629,19772,12402,13698,14685,14989,13390,10090,6390,3589,109007
Sutherland - Menai - Heathcote,12802,21360,12969,11727,14800,14653,13128,9139,4361,2280,104418,11,8,10,8,7,9,6,6,9,63,246,283,341,192,174,164,155,123,74,1757,4,4,17,3,6,8,9,0,3,57,3,14,7,4,8,17,25,3,0,75,0,0,0,0,0,4,5,0,0,12,9,3,3,7,0,4,7,0,0,37,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,3,4,4,7,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,265,304,373,218,192,194,211,128,77,1968,273,314,389,221,196,199,212,136,81,2029,52,109,75,39,41,88,66,26,3,498,21683,13395,12192,15066,14890,13422,9422,4518,2371,106946
Ballarat,20101,19333,13576,12554,12169,12670,11550,8811,4956,2215,97851,7,31,15,3,11,13,15,6,9,116,3,27,16,18,17,17,26,12,0,129,430,949,613,384,345,367,310,194,123,3710,6,7,11,13,14,27,18,0,0,96,4,11,9,8,11,12,9,8,3,77,3,0,3,7,10,5,4,0,0,37,0,0,3,3,8,15,15,4,0,49,5,8,5,3,3,7,0,0,0,31,0,0,3,0,4,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,454,1007,661,425,415,451,382,218,127,4144,463,1034,674,429,431,462,399,227,137,4263,50,124,56,37,49,50,26,12,3,409,19849,14745,13284,12639,13150,12067,9233,5198,2355,102522
