sa3_name16,sa3_code16,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Salisbury,40204,3,15,9,26,0,0,0,11,3,13,0,0,0,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,101,86,187,1842,1395,3239,115,97,214,2058,1580,3636,101,88,193,1968,1540,3510,136,114,249,2211,1744,3952,1272,1279,2548,44271,44302,88570,398,391,788,45939,45971,91912,34,45,82,0,3,3,3,0,3,34,47,85,0,0,0,0,0,0,0,0,0,0,0,0,34,44,73,0,3,3,3,0,3,32,43,80,12,7,25,0,0,0,0,0,0,19,7,28,48,48,88,681,689,1371,4,3,11,732,734,1466,301,276,576,7824,7435,15255,72,56,136,8200,7768,15964,91,102,189,3111,3042,6149,21,34,56,3224,3170,6398,11,34,50,1530,1734,3267,5,3,8,1552,1770,3326,23,61,77,2083,3180,5258,11,17,32,2115,3259,5375,230,299,526,22361,23698,46060,142,127,266,22736,24121,46857,190,215,402,10202,9122,19328,79,66,141,10480,9398,19875,189,236,429,9454
Campbelltown (SA),40104,0,5,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,13,511,511,1024,20,21,38,537,539,1071,8,12,13,571,575,1145,20,22,34,593,603,1195,119,145,262,15124,15776,30896,124,120,249,15367,16042,31409,3,8,8,0,0,0,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,282,243,526,0,0,3,286,249,536,21,22,46,2727,2425,5156,22,21,44,2781,2466,5245,8,16,23,1313,1254,2569,9,12,23,1334,1282,2614,4,8,11,822,829,1652,3,5,11,835,844,1675,8,12,25,815,1248,2065,3,3,12,834,1270,2101,38,47,88,11290,12114,23411,61,71,133,11396,12239,23629,16,24,40,3026,2973,6006,27,20,46,3075,3015,6091,20,24,44,2354
Prospect - Walkerville,40106,0,0,9,9,0,0,0,5,8,13,3,3,3,10,12,19,0,0,0,0,0,0,0,0,0,0,0,0,7,11,22,431,427,855,44,36,75,474,475,955,5,18,21,460,450,909,40,39,81,507,505,1014,94,82,182,9709,9771,19480,70,65,131,9872,9922,19798,8,12,17,0,0,4,0,0,0,8,14,18,0,7,7,0,0,0,0,0,0,0,7,7,8,3,12,0,0,4,0,0,0,8,4,13,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,175,155,330,0,0,0,175,156,334,11,18,29,1464,1421,2881,17,8,22,1494,1443,2932,11,9,25,681,658,1339,4,4,5,695,674,1365,3,3,9,634,581,1211,4,0,6,641,583,1223,5,8,11,589,689,1284,7,4,6,605,702,1305,30,33,62,7380,7561,14937,40,35,68,7444,7626,15073,20,12,36,1443,1373,2815,6,9,15,1475,1393,2867,17,12,37,1027
West Torrens,40403,3,12,18,30,0,0,0,5,7,14,0,0,0,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,25,16,45,785,781,1560,95,98,195,907,898,1801,31,19,51,845,830,1677,94,99,201,974,953,1925,274,258,529,19048,19936,38984,121,149,263,19442,20343,39781,10,10,26,0,0,0,0,0,0,10,12,27,0,0,0,0,0,0,0,0,0,0,0,0,8,10,21,0,0,0,0,0,0,8,12,26,3,0,3,0,0,0,0,0,0,3,0,3,5,6,9,304,283,587,3,3,5,308,293,606,59,43,106,2568,2550,5118,25,18,41,2651,2612,5268,27,30,53,1303,1391,2688,3,7,16,1332,1426,2760,5,10,14,1232,1392,2621,4,4,4,1238,1401,2640,16,21,31,1441,1872,3308,3,3,7,1460,1891,3354,78,94,173,14547,15313,29860,65,66,131,14692,15466,30162,42,41,81,3599,3401,6997,17,22,36,3662,3458,7119,43,43,94,2899
Barossa,40501,3,8,9,15,0,0,0,3,8,10,0,3,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,12,10,16,519,506,1020,113,87,206,642,606,1246,12,9,23,540,535,1069,112,92,204,666,636,1297,205,171,381,16037,16040,32082,171,201,369,16412,16412,32827,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,3,0,4,7,0,6,207,160,362,3,0,7,211,161,377,45,33,81,2237,2015,4256,21,29,54,2305,2088,4389,6,20,29,771,783,1553,13,8,17,790,810,1601,0,3,4,168,257,430,3,0,3,169,267,438,0,11,11,254,554,805,3,3,4,263,562,824,28,42,74,4998,6117,11113,42,55,99,5069,6214,11284,31,31,59,3197,2843,6036,33,34,64,3256,2903,6159,31,21,58,2798
Lower North,40502,0,12,8,11,0,0,0,0,3,10,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,12,21,543,465,1010,70,50,120,617,530,1150,8,9,23,577,495,1074,67,53,121,653,559,1216,190,188,376,10014,9900,19918,145,130,275,10353,10220,20569,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,3,7,4,13,121,105,229,0,3,0,128,116,243,41,44,85,1190,1209,2397,23,18,40,1249,1271,2518,13,9,25,417,396,812,3,7,11,435,417,848,3,0,5,57,74,130,0,0,0,59,79,133,3,7,12,121,300,418,0,0,4,127,302,427,37,44,78,2800,3396,6204,31,27,64,2872,3469,6340,33,31,65,2081,1860,3941,21,18,45,2139,1912,4047,34,25,58,1874
Mid North,40503,0,10,6,13,0,0,0,3,0,7,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,27,30,56,890,574,1459,160,91,245,1077,688,1763,34,35,74,924,615,1538,160,91,246,1120,740,1859,410,458,869,11707,11805,23514,157,141,302,12273,12403,24682,3,13,16,0,0,0,0,0,0,3,13,16,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16,0,0,0,0,0,0,3,13,16,0,3,3,0,0,0,0,0,0,0,3,3,11,15,29,115,86,204,0,0,0,129,104,237,113,125,241,1348,1300,2647,11,10,21,1470,1438,2907,28,38,68,550,524,1077,4,0,4,581,569,1147,0,9,9,64,110,170,0,0,0,64,113,175,0,17,14,144,324,466,3,3,7,143,340,489,35,69,103,2926,3695,6621,28,33,54,2987,3798,6785,50,57,109,2613,2296,4910,25,24,47,2687,2381,5063,74,73,141,2332
Yorke Peninsula,40504,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,35,668,579,1243,83,52,136,774,646,1419,26,21,47,710,613,1325,82,57,143,817,696,1516,315,331,647,11151,10871,22014,182,172,355,11648,11375,23022,5,6,9,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,5,6,9,0,9,9,0,0,0,0,0,0,0,9,9,9,5,17,89,80,163,0,0,3,101,87,183,64,69,139,1182,1000,2179,33,28,57,1281,1098,2380,21,18,39,400,372,771,9,3,11,427,399,825,0,5,8,40,61,101,0,0,0,40,68,107,3,7,9,85,248,333,3,0,3,89,259,346,42,48,93,2611,3303,5915,36,43,76,2690,3399,6082,58,59,116,2320,2126,4446,24,27,51,2405,2204,4609,51,65,112,2483
Eyre Peninsula and South West,40601,0,11,9,22,0,0,0,7,6,12,0,0,3,8,9,13,0,0,0,0,0,0,0,0,0,0,0,0,131,112,245,2431,1754,4185,646,361,1004,3210,2228,5439,147,129,277,2526,1834,4364,647,367,1012,3325,2330,5651,1206,1287,2491,23524,23047,46571,294,289,581,25020,24626,49646,162,154,317,0,0,0,0,0,0,166,155,317,27,20,45,0,0,0,0,0,0,27,20,45,139,131,271,0,0,0,0,0,0,141,134,274,28,20,53,0,0,0,0,0,0,28,20,53,38,46,86,278,253,531,6,3,11,324,302,628,310,299,610,3019,2870,5889,35,54,85,3361,3217,6576,86,83,166,980,987,1968,9,20,29,1077,1089,2164,8,24,31,126,249,373,0,0,0,134,275,411,11,63,73,353,852,1203,3,12,12,370,919,1292,152,265,415,6795,8206,15003,68,63,131,7023,8531,15552,195,221,418,5149,4437,9583,43,52,94,5390,4712,10093,225,223,445,4406
Outback - North and East,40602,4,42,26,66,0,0,0,14,15,31,8,7,12,20,21,42,0,0,0,0,0,0,0,0,0,0,0,0,239,172,410,2763,1206,3962,809,287,1105,3809,1667,5478,250,187,442,2804,1229,4035,815,289,1102,3870,1704,5578,1377,1523,2899,8674,7844,16520,130,133,258,10175,9498,19680,957,1039,1996,10,3,16,0,3,3,971,1044,2012,171,147,312,0,0,0,0,0,0,171,147,312,772,861,1634,10,3,16,0,3,3,787,868,1656,91,97,192,0,0,0,0,0,0,91,97,192,62,66,123,94,90,178,0,6,6,154,154,305,428,445,875,994,909,1905,19,25,45,1443,1378,2821,117,105,220,246,257,506,6,3,15,368,368,734,17,22,44,53,79,130,0,0,0,69,102,171,35,47,81,175,317,488,4,0,4,214,362,579,245,376,623,2685,3038,5721,23,23,52,2958,3439,6391,306,431,737,2097,1477,3578,28,24,45,2427,1934,4358,435,434,870,1697
Fleurieu - Kangaroo Island,40701,0,15,11,24,0,0,0,3,4,4,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,22,16,34,1000,985,1982,110,110,219,1126,1110,2240,22,16,34,1055,1052,2104,113,110,223,1192,1177,2367,325,347,670,21659,22928,44589,251,313,564,22230,23584,45819,13,7,24,6,0,6,0,0,0,21,14,28,0,0,0,0,0,0,0,0,0,0,0,0,13,7,24,5,0,5,0,0,0,22,14,28,4,3,6,0,0,0,0,0,0,4,3,6,7,6,17,166,196,360,3,4,3,171,205,378,84,76,154,2307,2222,4529,41,41,79,2426,2335,4761,23,32,54,773,827,1599,11,10,22,803,867,1670,3,7,6,132,200,331,0,7,5,138,215,347,5,12,20,286,688,978,0,11,9,294,713,1008,69,69,137,7267,8559,15826,57,96,155,7391,8726,16113,53,60,119,4218,4331,8548,53,46,101,4323,4445,8771,43,57,98,4280
Limestone Coast,40702,0,8,12,21,0,0,0,6,0,12,3,0,0,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,36,34,63,1324,1139,2460,188,134,323,1546,1299,2851,36,30,68,1393,1217,2609,194,135,327,1621,1382,3003,569,544,1112,27863,27532,55391,329,354,680,28755,28421,57184,12,7,27,0,0,4,0,0,0,16,15,27,0,0,0,0,0,0,0,0,0,0,0,0,12,7,27,0,0,4,0,0,0,16,15,27,7,4,12,0,0,0,0,0,0,7,4,12,14,21,34,308,281,590,10,11,15,333,310,645,148,121,272,3893,3546,7440,55,47,105,4089,3719,7809,57,35,91,1249,1295,2540,21,7,29,1323,1334,2661,3,10,13,235,322,563,0,7,5,241,336,579,6,24,26,371,923,1295,0,13,15,379,960,1341,70,117,188,7511,9727,17239,54,97,151,7634,9943,17575,98,80,174,5878,5438,11321,60,52,118,6041,5571,11614,99,89,183,5479
Murray and Mallee,40703,0,17,14,34,0,0,0,4,4,11,3,0,5,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,63,53,120,1529,1245,2783,241,168,412,1843,1473,3315,82,79,153,1667,1350,3010,250,175,427,1994,1598,3591,1087,1084,2176,28091,27992,56080,440,355,790,29611,29432,59042,104,131,230,0,0,4,0,0,0,104,129,236,4,0,10,0,0,0,0,0,0,4,0,10,100,126,221,0,0,4,0,0,0,101,128,225,3,16,21,0,0,0,0,0,0,4,17,23,44,37,76,261,255,514,3,3,6,301,294,601,296,258,555,3412,3186,6598,85,49,134,3799,3496,7294,91,90,177,1253,1310,2558,39,11,48,1378,1413,2785,5,16,25,199,315,515,0,0,0,205,337,541,12,38,54,384,816,1206,3,6,8,403,862,1269,158,196,356,7830,9481,17318,80,81,166,8070,9762,17832,144,168,319,5658,5410,11066,66,50,114,5869,5636,11506,203,213,418,6146
Augusta - Margaret River - Busselton,50101,0,0,3,4,0,0,0,9,8,11,0,0,0,8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,15,26,36,1310,1380,2691,368,354,725,1696,1756,3458,14,26,40,1348,1415,2767,368,360,729,1737,1795,3535,375,380,757,21281,22021,43304,200,210,418,21859,22615,44477,3,4,13,0,0,0,0,0,3,5,6,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,0,0,0,0,0,3,5,6,16,0,3,5,0,0,0,0,0,0,3,3,6,14,12,24,307,300,609,7,5,10,329,320,646,106,101,209,3236,3035,6273,41,37,80,3384,3178,6562,19,30,51,974,900,1882,11,14,19,1005,944,1946,3,6,9,104,166,274,0,0,0,109,172,279,6,7,16,335,879,1218,0,4,3,344,892,1234,71,89,159,8268,9922,18185,60,63,127,8397,10078,18475,43,30,74,2187,2304,4493,21,21,37,2247,2351,4602,77,74,152,5041
Bunbury,50102,0,4,3,6,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,78,79,160,1666,1489,3150,223,197,420,1966,1767,3733,80,86,163,1719,1536,3261,223,199,426,2025,1823,3848,1241,1387,2628,41549,42633,84185,365,441,801,43151,44463,87621,16,21,35,0,0,0,0,0,0,19,25,38,0,0,0,0,0,0,0,0,0,0,0,0,16,21,35,0,0,0,0,0,0,19,25,38,3,0,3,0,0,0,0,0,0,3,3,9,37,30,67,617,566,1180,3,9,8,661,603,1259,320,320,641,6249,6032,12275,70,72,143,6635,6422,13055,85,89,173,2169,2101,4271,21,24,39,2273,2211,4485,13,6,23,276,452,727,3,0,3,293,468,756,18,55,74,633,1666,2307,3,8,9,658,1725,2385,176,228,399,13386,16550,29935,80,105,186,13645,16881,30523,136,159,298,5057,5030,10091,34,42,73,5230,5229,10460,301,353,653,12116
Manjimup,50103,0,3,3,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,16,28,571,478,1056,120,81,203,706,579,1279,10,19,30,593,498,1087,123,84,203,725,597,1321,238,246,481,9604,9548,19156,133,128,260,9974,9927,19902,5,3,10,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,5,3,10,3,3,5,0,3,3,0,0,0,3,4,10,11,8,14,113,108,217,0,0,0,121,110,238,58,68,127,1229,1243,2476,9,14,29,1301,1325,2624,23,10,34,398,350,748,5,10,15,430,366,796,3,0,7,37,53,93,0,0,0,43,57,99,0,3,5,87,251,338,0,8,5,88,263,356,43,54,91,3054,3690,6739,30,40,72,3124,3776,6905,23,20,40,944,1078,2026,8,10,21,981,1113,2092,59,58,114,2849
Mandurah,50201,0,9,8,20,0,0,0,3,5,11,0,0,3,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,70,55,122,1475,1432,2912,174,185,362,1725,1668,3392,69,55,122,1532,1496,3032,180,188,367,1782,1736,3517,972,1038,2018,39804,41816,81616,350,417,760,41131,43267,84395,13,9,27,0,0,0,0,0,0,11,9,27,0,0,0,0,0,0,0,0,0,0,0,0,12,9,19,0,0,0,0,0,0,14,9,21,12,6,16,0,0,0,0,0,0,12,9,15,23,23,40,546,505,1056,5,4,8,581,525,1108,254,232,487,5274,5132,10412,39,33,78,5570,5399,10976,55,70,127,1832,1921,3759,17,19,36,1905,2015,3920,11,13,32,463,633,1092,0,4,3,477,653,1125,8,40,41,596,1587,2182,3,15,17,602,1639,2241,156,218,372,13768,15989,29761,93,112,201,14012,16312,30331,101,100,197,4567,4939,9508,28,50,81,4701,5084,9778,206,241,444,10983
Cottesloe - Claremont,50301,0,3,3,10,0,0,0,9,3,13,0,0,0,14,3,16,0,0,0,3,0,3,0,0,0,3,0,3,48,44,88,1137,1273,2417,216,218,436,1395,1537,2936,48,44,88,1171,1321,2489,214,222,433,1431,1581,3007,154,149,302,25998,27154,53154,132,143,273,26282,27450,53729,13,7,20,0,0,0,0,0,0,11,7,21,0,0,0,0,0,0,0,0,0,0,0,0,11,5,21,0,0,0,0,0,0,14,5,22,3,0,3,0,0,0,0,0,0,6,0,5,3,0,3,431,404,833,0,5,3,431,413,840,25,32,62,4522,4290,8806,18,21,44,4569,4342,8911,37,42,83,2387,2488,4875,11,15,19,2431,2544,4976,30,22,51,1919,1687,3608,8,7,13,1956,1716,3672,6,14,16,1313,1596,2907,5,3,14,1328,1612,2936,71,79,149,20065,21031,41102,90,75,161,20226,21188,41412,14,9,29,1283,1550,2836,6,14,24,1311,1580,2891,22,20,41,2066
Perth City,50302,29,30,35,67,0,0,0,18,25,43,10,10,24,31,36,65,0,0,0,0,0,3,0,0,0,0,0,3,152,119,270,3146,2699,5845,1494,1167,2658,4793,3981,8781,158,121,273,3204,2751,5953,1518,1169,2690,4880,4041,8917,294,317,615,33738,33082,66820,160,185,351,34197,33587,67780,13,10,26,0,0,0,0,0,0,13,10,26,0,0,0,0,0,0,0,0,0,0,0,0,13,10,25,0,0,0,0,0,0,13,10,25,4,0,4,0,0,0,0,0,0,4,4,4,0,7,6,526,482,1010,3,6,10,533,495,1024,25,39,64,3956,3739,7697,18,30,48,4006,3803,7804,12,31,46,1485,1677,3156,3,11,16,1502,1714,3221,13,18,26,1633,1877,3512,10,12,21,1654,1901,3555,14,22,36,2966,3664,6634,19,12,30,2997,3702,6700,114,150,263,30132,30446,60581,122,106,229,30364,30703,61069,43,29,70,2407,2225,4639,15,15,32,2469,2274,4746,75,59,133,3834
Bayswater - Bassendean,50401,3,7,6,7,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,5,0,4,39,48,91,888,802,1694,90,50,141,1021,908,1926,39,48,91,924,845,1772,89,53,143,1052,947,2006,557,577,1139,26714,26483,53196,183,191,377,27455,27251,54707,8,15,27,3,5,7,0,0,0,16,24,34,0,0,0,0,0,0,0,0,0,0,0,0,11,16,28,3,5,7,0,0,0,15,18,29,10,3,12,0,0,0,0,0,0,10,3,12,4,12,17,459,437,896,6,0,6,468,448,915,112,105,215,3804,3519,7321,32,28,67,3952,3656,7601,42,38,84,1501,1495,2993,13,11,20,1552,1543,3098,14,17,30,1033,924,1956,3,5,12,1054,951,1998,9,25,36,1469,2019,3486,4,8,15,1489,2045,3535,143,164,300,18720,19434,38159,68,83,156,18931,19686,38611,57,59,116,2711,2518,5235,20,11,35,2792,2596,5384,122,123,240,5722
Mundaring,50402,0,4,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,28,26,54,468,503,971,22,18,42,524,545,1069,32,30,63,492,516,1006,27,19,44,548,562,1115,454,442,899,16957,17085,34035,142,149,295,17556,17675,35228,13,12,24,3,0,3,0,0,0,14,12,29,0,0,0,0,0,0,0,0,0,0,0,0,7,9,17,3,0,3,0,0,0,12,9,24,6,3,11,0,0,0,0,0,0,6,3,11,7,4,8,259,196,459,0,0,6,268,205,471,117,101,224,2348,2264,4608,23,20,46,2491,2382,4869,22,43,69,978,911,1888,9,16,24,1011,967,1980,5,4,11,256,287,540,0,0,5,265,292,557,6,12,17,311,691,1003,4,3,5,317,704,1026,99,111,204,7059,8201,15254,46,44,90,7197,8356,15551,38,37,76,1832,1716,3548,15,16,29,1881,1777,3658,102,93,200,4149
Swan,50403,0,3,10,13,0,0,0,0,3,3,0,0,3,4,6,5,0,0,0,4,4,3,0,0,0,4,4,3,101,108,206,1580,1436,3022,117,99,219,1806,1649,3449,108,109,216,1640,1487,3129,121,99,226,1867,1699,3566,1539,1590,3132,44573,44568,89140,356,353,712,46471,46510,92980,52,39,87,0,0,0,0,0,0,52,42,89,7,3,5,0,0,0,0,0,0,7,3,5,39,36,72,0,0,0,0,0,0,39,32,77,12,8,25,0,0,0,0,0,0,12,8,25,33,39,68,855,848,1706,9,10,23,898,896,1795,400,411,809,8179,7483,15664,77,75,152,8663,7967,16628,137,92,231,3018,3003,6018,26,20,50,3182,3108,6290,9,29,35,1103,1277,2381,3,10,12,1115,1307,2428,15,42,53,1480,2578,4060,5,11,14,1500,2630,4125,294,369,662,22792,25448,48237,97,130,228,23182,25949,49130,152,135,289,5554,5319,10876,39,32,73,5752,5482,11233,322,325,648,11377
Joondalup,50501,0,11,7,23,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,3,0,4,0,0,0,3,0,5,37,33,73,1604,1750,3355,117,126,241,1753,1908,3666,39,33,75,1654,1807,3462,116,126,241,1809,1970,3780,454,483,936,64815,65368,130179,386,370,760,65654,66220,131876,11,16,25,0,3,4,0,0,0,11,20,33,0,0,0,0,0,0,0,0,0,0,0,0,12,16,25,0,3,4,0,0,0,14,19,30,0,0,0,0,0,0,0,0,0,0,0,0,9,6,18,1091,993,2085,10,3,14,1106,1009,2115,102,117,215,9970,9450,19420,64,62,127,10142,9624,19768,19,40,58,4290,4249,8535,44,24,63,4349,4309,8655,5,16,23,1993,2018,4009,16,11,22,2017,2036,4052,21,26,44,1803,2875,4679,8,15,21,1822,2918,4738,136,146,282,35379,37667,73053,160,157,323,35678,37970,73651,39,48,79,6537,6157,12700,38,34,77,6619,6239,12858,95,84,179,12193
