yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,sa3_code16,sa3_name16,ogc_fid
2011,28976.0,41.0,1023318410.0,32416.0,35316.0,72.0,9143.0,51.0,193323712.0,8615.0,21144.0,13.3,22769.0,49.0,117017226.0,419.0,5139.0,12.6,1203.0,60.0,25433838.0,16870.0,21142.0,2.0,34996.0,45.0,1338046891.0,33345.0,38234.0,5.4,1.74,0.32,0.12,0.466,6.6,19.1,30.1,30.9,29.9,25.7,13.5,2604.0,53.2,2216.0,20413.0,,,,,,,,,,,,,,,,,,,,,,,549.0,40703,Murray and Mallee,1168
2012,29699.0,41.0,1092301308.0,33699.0,36779.0,72.0,9064.0,51.0,162236765.0,8755.0,17899.0,12.9,23284.0,49.0,124741180.0,405.0,5357.0,12.7,1233.0,60.0,28841273.0,18143.0,23391.0,2.2,35130.0,45.0,1380591424.0,34833.0,39299.0,5.08,1.71,0.34,0.13,0.461,6.1,18.4,29.4,31.1,30.6,25.6,12.7,1702.0,42.4,3124.0,24892.0,,17.0,763.0,318.0,,,,,,,,,,,,,,,,,,,,40703,Murray and Mallee,1169
2013,30323.0,41.0,1157687116.0,34747.0,38179.0,72.0,8911.0,52.0,144869914.0,7949.0,16257.0,12.2,23881.0,50.0,128146634.0,340.0,5366.0,12.8,1234.0,60.0,28991537.0,17183.0,23494.0,2.0,35204.0,46.0,1426040646.0,35779.0,40508.0,5.0,1.73,0.35,0.12,0.46299999999999997,6.2,18.4,29.4,31.8,30.7,25.0,12.5,2616.0,43.9,3120.0,16781.0,,14.0,705.0,301.0,,,,,,,,,6194.0,4803.0,,,,,,,,,,40703,Murray and Mallee,1170
2014,30887.0,41.0,1212223870.0,35474.0,39247.0,72.0,8804.0,52.0,159144942.0,8196.0,18076.0,12.4,23884.0,50.0,130831676.0,312.0,5478.0,12.7,1250.0,59.0,29730232.0,18168.0,23784.0,2.1,35419.0,46.0,1486917451.0,36818.0,41981.0,4.9,1.74,0.35,0.13,0.46299999999999997,6.3,18.6,29.6,31.3,30.9,25.1,12.8,2012.0,49.7,2676.0,24705.0,,13.0,657.0,285.0,,,,,,,,,6115.0,4824.0,,,,,,,,,,40703,Murray and Mallee,1171
2015,31875.0,41.0,1280600855.0,36395.0,40176.0,72.0,8856.0,53.0,186364008.0,9629.0,21044.0,13.0,24727.0,50.0,131985387.0,262.0,5338.0,12.3,1349.0,59.0,34452835.0,17048.0,25540.0,2.2,36227.0,46.0,1571114489.0,37620.0,43369.0,4.89,1.73,0.35,0.13,0.457,6.4,18.7,29.7,31.1,31.0,25.0,12.9,2199.0,72.8,3337.0,33128.0,11065.0,12.0,597.0,246.0,1148.0,,4031.0,3584.0,1037.0,,268.0,466.0,5955.0,4789.0,,,,,,,,,,40703,Murray and Mallee,1172
2016,31403.0,40.0,1293808479.0,37811.0,41200.0,73.0,8489.0,52.0,174757966.0,9399.0,20586.0,12.5,23795.0,50.0,131084069.0,220.0,5509.0,12.3,1251.0,60.0,33816352.0,18293.0,27031.0,2.1,35567.0,46.0,1567508360.0,38574.0,44072.0,4.81,1.7,0.35,0.14,0.452,6.7,18.7,29.5,30.1,31.7,25.9,12.2,2104.0,52.6,2253.0,24996.0,11309.0,13.0,567.0,242.0,1151.0,,3873.0,3604.0,1063.0,,335.0,431.0,5844.0,4584.0,,36.9,28.2,15.5,1.6,1.0,5.9,0.6,630.0,40703,Murray and Mallee,1173
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11313.0,13.0,510.0,219.0,1170.0,2432.0,3756.0,3622.0,1026.0,420.0,303.0,430.0,5636.0,4205.0,4886.0,,,,,,,,,40703,Murray and Mallee,1174
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11240.0,,,,1266.0,2536.0,3758.0,3628.0,995.0,341.0,248.0,465.0,5361.0,4035.0,4880.0,,,,,,,,,40703,Murray and Mallee,1175
2011,15283.0,40.0,707993176.0,41273.0,46326.0,76.0,2808.0,49.0,60709699.0,10309.0,21620.0,7.9,12491.0,48.0,68855450.0,385.0,5512.0,11.2,1247.0,61.0,30415110.0,20079.0,24391.0,4.2,18019.0,44.0,862760892.0,40740.0,47881.0,4.8,1.78,0.37,0.16,0.44,6.5,18.4,29.0,24.2,25.8,27.0,23.0,1214.0,25.2,2274.0,20753.0,,,,,,,,,,,,,,,,,,,,,,,770.0,60104,Hobart - South and West,1176
2012,15516.0,41.0,759006478.0,43341.0,48918.0,76.0,2869.0,49.0,60089799.0,9656.0,20945.0,7.6,12814.0,48.0,71833745.0,397.0,5606.0,11.5,1314.0,62.0,34179243.0,21212.0,26012.0,4.4,18163.0,44.0,916000026.0,42763.0,50432.0,4.57,1.76,0.39,0.17,0.436,6.5,18.6,29.1,24.3,26.0,27.6,22.0,1000.0,24.6,1821.0,24648.0,,7.0,311.0,113.0,,,,,,,,,,,,,,,,,,,,60104,Hobart - South and West,1177
2013,15563.0,41.0,786108789.0,44734.0,50511.0,75.0,2828.0,49.0,59092460.0,9346.0,20895.0,7.9,12849.0,48.0,74412340.0,334.0,5791.0,11.5,1295.0,62.0,36091825.0,22240.0,27870.0,4.5,18004.0,45.0,942235277.0,44162.0,52335.0,4.33,1.77,0.41,0.18,0.43200000000000005,6.6,18.5,28.9,24.2,26.6,27.4,21.9,1146.0,17.8,1076.0,15558.0,,7.0,287.0,96.0,,,,,,,,,2541.0,2001.0,,,,,,,,,,60104,Hobart - South and West,1178
2014,15848.0,41.0,827094620.0,46128.0,52189.0,76.0,2798.0,49.0,61324048.0,9583.0,21917.0,7.6,13023.0,48.0,77163733.0,303.0,5925.0,11.4,1299.0,63.0,36199065.0,22890.0,27867.0,4.4,18217.0,45.0,982554214.0,45709.0,53936.0,4.33,1.75,0.4,0.18,0.43200000000000005,6.5,18.6,29.0,23.6,26.6,27.6,22.2,1351.0,29.7,1975.0,22006.0,,7.0,266.0,99.0,,,,,,,,,2442.0,1916.0,,,,,,,,,,60104,Hobart - South and West,1179
2015,16442.0,41.0,876367768.0,47388.0,53301.0,75.0,2927.0,50.0,66454770.0,10871.0,22704.0,8.1,13476.0,48.0,86045334.0,284.0,6385.0,11.5,1348.0,63.0,39057292.0,23999.0,28974.0,4.6,18661.0,45.0,1036635160.0,46919.0,55551.0,4.28,1.76,0.41,0.18,0.431,6.6,18.6,29.1,23.3,26.7,27.5,22.5,1394.0,31.9,2657.0,22882.0,3886.0,8.0,238.0,94.0,220.0,,1099.0,795.0,302.0,,304.0,129.0,2426.0,1951.0,,,,,,,,,,60104,Hobart - South and West,1180
2016,16370.0,41.0,894803438.0,49121.0,54661.0,74.0,2928.0,49.0,69649967.0,11718.0,23788.0,8.2,13633.0,48.0,84246105.0,258.0,6180.0,12.0,1351.0,63.0,38840015.0,24296.0,28749.0,4.6,18757.0,45.0,1053028299.0,48214.0,56141.0,4.42,1.74,0.39,0.17,0.429,6.0,17.9,28.4,23.7,25.9,27.9,22.6,1398.0,37.7,2126.0,26961.0,3998.0,10.0,226.0,78.0,235.0,,1056.0,738.0,318.0,,272.0,107.0,2368.0,1832.0,,29.1,25.8,25.6,4.5,2.0,7.1,0.2,866.0,60104,Hobart - South and West,1181
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972.0,9.0,211.0,71.0,251.0,675.0,1006.0,762.0,321.0,121.0,251.0,114.0,2271.0,1686.0,1556.0,,,,,,,,,60104,Hobart - South and West,1182
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3944.0,,,,259.0,704.0,1024.0,774.0,272.0,94.0,234.0,107.0,2169.0,1636.0,1470.0,,,,,,,,,60104,Hobart - South and West,1183
2011,74495.0,41.0,3565752997.0,40025.0,47866.0,74.0,12892.0,48.0,296343541.0,11712.0,22987.0,8.0,61747.0,49.0,405497914.0,336.0,6567.0,14.8,3554.0,59.0,79195147.0,14994.0,22283.0,2.0,88746.0,45.0,4290439095.0,38189.0,48345.0,5.52,1.93,0.35,0.14,0.47700000000000004,8.2,21.0,32.0,26.8,26.2,24.1,22.9,5497.0,133.6,2143.0,24307.0,,,,,,,,,,,,,,,,,,,,,,,700.0,10201,Gosford,1184
2012,75708.0,41.0,3796745097.0,41915.0,50150.0,74.0,12969.0,48.0,316795172.0,12349.0,24427.0,8.0,63235.0,49.0,431770600.0,334.0,6828.0,14.8,3521.0,59.0,83372339.0,15662.0,23679.0,2.0,89484.0,45.0,4546241656.0,40077.0,50805.0,5.27,1.92,0.36,0.15,0.473,8.1,20.9,31.9,26.9,26.4,24.0,22.7,4872.0,94.5,1543.0,19389.0,,85.0,1855.0,1133.0,,,,,,,,,,,,,,,,,,,,10201,Gosford,1185
2013,77818.0,41.0,4021188792.0,43000.0,51674.0,74.0,13033.0,48.0,314895075.0,12670.0,24161.0,8.0,63393.0,49.0,460313043.0,355.0,7261.0,14.7,3542.0,59.0,85279946.0,15762.0,24077.0,1.9,89929.0,46.0,4768274443.0,41796.0,53023.0,5.03,1.91,0.38,0.16,0.46799999999999997,8.0,20.7,31.7,26.8,26.4,24.1,22.7,5822.0,116.8,1634.0,20057.0,,78.0,1727.0,1037.0,,,,,,,,,12117.0,10395.0,,,,,,,,,,10201,Gosford,1186
2014,79186.0,42.0,4208876209.0,44037.0,53152.0,75.0,13062.0,48.0,336141415.0,13473.0,25734.0,8.1,64080.0,50.0,474928579.0,364.0,7411.0,14.5,3513.0,59.0,87100869.0,16646.0,24794.0,2.0,90826.0,46.0,4951991871.0,42865.0,54522.0,5.01,1.91,0.38,0.16,0.469,8.1,20.9,31.9,26.8,26.3,24.1,22.8,6417.0,171.7,3053.0,26752.0,,67.0,1557.0,961.0,,,,,,,,,11965.0,10287.0,,,,,,,,,,10201,Gosford,1187
2015,82500.0,42.0,4531120707.0,45569.0,54923.0,74.0,13279.0,48.0,355689691.0,14259.0,26786.0,8.3,66779.0,49.0,510882578.0,336.0,7650.0,14.8,3525.0,59.0,91914387.0,17352.0,26075.0,2.0,93031.0,46.0,5234143701.0,44208.0,56262.0,5.02,1.91,0.38,0.16,0.469,7.9,20.8,31.8,26.4,26.4,24.0,23.2,6838.0,208.3,3973.0,30458.0,25117.0,57.0,1413.0,869.0,1641.0,,6508.0,5390.0,1910.0,,1345.0,680.0,11467.0,9915.0,,,,,,,,,,10201,Gosford,1188
2016,83279.0,42.0,4737981542.0,47340.0,56893.0,74.0,13567.0,48.0,373334628.0,14374.0,27518.0,8.3,67826.0,49.0,525275103.0,306.0,7744.0,14.8,3363.0,59.0,86672131.0,16711.0,25772.0,1.8,94305.0,46.0,5451966736.0,45449.0,57812.0,5.19,1.92,0.37,0.15,0.47100000000000003,8.0,20.7,31.8,26.3,26.0,23.9,23.9,6807.0,238.1,3036.0,34974.0,25459.0,50.0,1275.0,803.0,1650.0,,6183.0,4835.0,1846.0,,1269.0,664.0,10892.0,8875.0,,30.4,24.9,21.6,4.6,2.4,7.6,0.4,822.0,10201,Gosford,1189
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24654.0,,,,1651.0,4551.0,5911.0,4748.0,1823.0,414.0,1083.0,650.0,10348.0,8098.0,11498.0,,,,,,,,,10201,Gosford,1190
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24190.0,,,,1720.0,4582.0,5940.0,4509.0,1696.0,332.0,930.0,642.0,9651.0,7572.0,11160.0,,,,,,,,,10201,Gosford,1191
2011,20137.0,40.0,934928644.0,40904.0,46428.0,79.0,4124.0,51.0,72543594.0,8189.0,17591.0,8.5,15403.0,47.0,87971619.0,287.0,5711.0,11.3,653.0,57.0,15271101.0,12814.0,23386.0,1.2,22830.0,43.0,1096994692.0,40497.0,48051.0,5.1,1.85,0.36,0.15,0.444,6.3,17.9,28.6,24.9,25.4,25.2,24.5,1324.0,29.3,1784.0,22115.0,,,,,,,,,,,,,,,,,,,,,,,715.0,10301,Bathurst,1192
2012,20669.0,40.0,1008435071.0,42891.0,48790.0,79.0,4133.0,52.0,72518417.0,7133.0,17546.0,8.1,16008.0,47.0,92031860.0,275.0,5749.0,11.4,672.0,58.0,16611838.0,15165.0,24720.0,1.3,23160.0,43.0,1170391083.0,42997.0,50535.0,4.91,1.83,0.37,0.16,0.439,5.9,17.5,28.2,24.9,25.1,25.6,24.4,1101.0,28.4,1824.0,25782.0,,6.0,199.0,142.0,,,,,,,,,,,,,,,,,,,,10301,Bathurst,1193
2013,21070.0,40.0,1056014985.0,43747.0,50119.0,78.0,4204.0,52.0,64826513.0,6138.0,15420.0,7.9,16364.0,48.0,97516183.0,282.0,5959.0,11.8,693.0,58.0,16531532.0,13262.0,23855.0,1.2,23300.0,44.0,1208364377.0,43730.0,51861.0,4.67,1.83,0.39,0.17,0.439,5.9,17.6,28.3,25.2,25.9,25.6,23.4,1340.0,27.8,1690.0,20769.0,,7.0,185.0,143.0,,,,,,,,,3378.0,2848.0,,,,,,,,,,10301,Bathurst,1194
2014,21326.0,41.0,1090797226.0,44641.0,51149.0,79.0,4250.0,52.0,70575825.0,6804.0,16606.0,8.0,16268.0,48.0,103895758.0,278.0,6387.0,11.7,692.0,58.0,18857929.0,14081.0,27251.0,1.3,23471.0,44.0,1250391394.0,44775.0,53274.0,4.7,1.83,0.39,0.17,0.441,6.2,17.9,28.6,25.1,26.0,25.5,23.4,1575.0,31.6,2746.0,20050.0,,6.0,169.0,125.0,,,,,,,,,3348.0,2863.0,,,,,,,,,,10301,Bathurst,1195
2015,22104.0,41.0,1164584445.0,46418.0,52687.0,78.0,4350.0,52.0,85867450.0,8297.0,19740.0,8.6,16884.0,48.0,110178454.0,252.0,6526.0,11.7,672.0,58.0,19352637.0,15983.0,28799.0,1.3,23997.0,44.0,1320567091.0,46279.0,55031.0,4.56,1.81,0.4,0.17,0.435,6.1,17.8,28.4,24.4,26.2,25.8,23.6,1588.0,42.7,2984.0,26866.0,5142.0,6.0,159.0,117.0,502.0,,1940.0,1340.0,785.0,,968.0,277.0,3359.0,2904.0,,,,,,,,,,10301,Bathurst,1196
2016,22236.0,40.0,1210315980.0,47964.0,54430.0,78.0,4304.0,52.0,83690814.0,8316.0,19445.0,8.4,16957.0,47.0,110690611.0,217.0,6528.0,11.9,673.0,58.0,19370154.0,17334.0,28782.0,1.4,24212.0,44.0,1366981638.0,47445.0,56459.0,4.68,1.82,0.39,0.16,0.441,6.5,18.1,28.8,24.3,25.9,26.0,23.8,1549.0,44.0,2268.0,28428.0,5264.0,6.0,164.0,109.0,512.0,,1904.0,1269.0,784.0,,897.0,248.0,3317.0,2718.0,,28.6,24.5,21.5,4.0,1.5,7.0,0.4,812.0,10301,Bathurst,1197
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.0,5.0,145.0,93.0,531.0,1194.0,1882.0,1302.0,748.0,188.0,771.0,278.0,3187.0,2542.0,3515.0,,,,,,,,,10301,Bathurst,1198
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169.0,,,,569.0,1251.0,1895.0,1276.0,715.0,164.0,623.0,241.0,3071.0,2445.0,3251.0,,,,,,,,,10301,Bathurst,1199
2011,10226.0,39.0,416909897.0,34290.0,40770.0,72.0,3537.0,51.0,117998680.0,15803.0,33361.0,17.4,7362.0,47.0,48013665.0,386.0,6522.0,9.9,177.0,56.0,3860195.0,10000.0,21809.0,0.7,11726.0,44.0,569350124.0,38522.0,48555.0,5.43,1.93,0.35,0.14,0.508,8.0,21.9,33.3,26.4,26.2,24.0,23.5,831.0,32.3,2192.0,38864.0,,,,,,,,,,,,,,,,,,,,,,,586.0,10501,Bourke - Cobar - Coonamble,1200
2012,10579.0,39.0,458857706.0,36583.0,43374.0,73.0,3554.0,52.0,64461117.0,9250.0,18138.0,14.6,7756.0,48.0,54748162.0,381.0,7059.0,11.3,171.0,56.0,3067136.0,10000.0,17936.0,0.6,11968.0,44.0,560983974.0,38479.0,46874.0,5.87,1.97,0.34,0.11,0.534,7.2,20.6,32.5,28.7,26.0,23.3,22.0,538.0,35.9,2587.0,66818.0,,,100.0,76.0,,,,,,,,,,,,,,,,,,,,10501,Bourke - Cobar - Coonamble,1201
2013,10665.0,39.0,488238748.0,38318.0,45780.0,73.0,3563.0,52.0,84569906.0,7803.0,23736.0,14.5,7645.0,48.0,50474734.0,363.0,6602.0,10.8,149.0,57.0,3195203.0,9185.0,21444.0,0.5,11924.0,43.0,600931849.0,40403.0,50397.0,5.6,1.94,0.35,0.12,0.525,8.5,21.8,33.4,28.7,25.9,23.5,21.9,582.0,27.9,1434.0,47861.0,,,83.0,71.0,,,,,,,,,2396.0,2114.0,,,,,,,,,,10501,Bourke - Cobar - Coonamble,1202
2014,10527.0,39.0,498742310.0,40297.0,47377.0,73.0,3504.0,53.0,24563306.0,5063.0,7010.0,13.0,7736.0,48.0,51734583.0,365.0,6688.0,12.6,172.0,56.0,3451740.0,9140.0,20068.0,0.6,11748.0,44.0,547940918.0,40656.0,46641.0,5.9,1.92,0.33,0.09,0.5920000000000001,8.0,21.3,33.6,29.8,26.0,23.6,20.6,646.0,29.5,3234.0,45673.0,,,69.0,62.0,,,,,,,,,2343.0,2084.0,,,,,,,,,,10501,Bourke - Cobar - Coonamble,1203
2015,10646.0,40.0,522951554.0,41410.0,49122.0,72.0,3481.0,53.0,59514561.0,10359.0,17097.0,15.6,7745.0,48.0,57856039.0,304.0,7470.0,11.2,210.0,56.0,4585054.0,10653.0,21834.0,0.9,11716.0,44.0,602870109.0,43628.0,51457.0,5.72,1.93,0.34,0.11,0.561,7.9,21.1,33.2,27.9,25.6,23.6,22.9,585.0,21.1,3308.0,36009.0,2866.0,,63.0,53.0,538.0,,1618.0,1659.0,793.0,,,311.0,2282.0,2056.0,,,,,,,,,,10501,Bourke - Cobar - Coonamble,1204
2016,10160.0,39.0,515450927.0,43333.0,50733.0,73.0,3150.0,53.0,59740963.0,10820.0,18965.0,15.2,7303.0,48.0,47263656.0,226.0,6472.0,10.5,193.0,57.0,3501405.0,9991.0,18142.0,0.8,11035.0,44.0,583770123.0,45590.0,52902.0,5.46,1.89,0.35,0.11,0.5529999999999999,7.4,20.5,32.4,27.1,25.0,24.7,23.2,533.0,38.5,2861.0,72310.0,2869.0,,60.0,44.0,533.0,,1469.0,1553.0,779.0,,39.0,258.0,2174.0,1879.0,,31.8,21.3,17.3,3.7,1.9,6.1,0.9,690.0,10501,Bourke - Cobar - Coonamble,1205
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2782.0,,56.0,39.0,534.0,842.0,1440.0,1492.0,766.0,86.0,36.0,224.0,2109.0,1793.0,1673.0,,,,,,,,,10501,Bourke - Cobar - Coonamble,1206
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712.0,,,,556.0,832.0,1406.0,1540.0,706.0,76.0,26.0,250.0,2038.0,1733.0,1663.0,,,,,,,,,10501,Bourke - Cobar - Coonamble,1207
2011,29226.0,39.0,1214378093.0,37241.0,41551.0,75.0,8070.0,51.0,152498671.0,9103.0,18897.0,11.7,22419.0,48.0,145349000.0,333.0,6483.0,11.9,798.0,58.0,16366038.0,11062.0,20509.0,1.0,33974.0,44.0,1500392990.0,37539.0,44163.0,5.01,1.81,0.36,0.14,0.461,7.0,18.9,29.8,26.3,28.2,26.0,19.6,2059.0,44.3,2139.0,21513.0,,,,,,,,,,,,,,,,,,,,,,,618.0,10503,Dubbo,1208
2012,30177.0,39.0,1309740437.0,38853.0,43402.0,76.0,8021.0,51.0,115592888.0,6989.0,14411.0,10.6,23376.0,48.0,164391260.0,312.0,7032.0,12.5,764.0,58.0,17750222.0,12103.0,23233.0,0.9,34379.0,44.0,1573925071.0,39255.0,45782.0,4.96,1.79,0.36,0.14,0.46399999999999997,6.9,18.8,29.7,26.9,28.1,26.1,18.9,1591.0,41.3,1962.0,25958.0,,14.0,381.0,337.0,,,,,,,,,,,,,,,,,,,,10503,Dubbo,1209
2013,30943.0,39.0,1392534170.0,40083.0,45003.0,76.0,8051.0,51.0,97031216.0,4856.0,12052.0,10.0,23357.0,48.0,153547242.0,315.0,6574.0,12.5,778.0,57.0,17359735.0,11601.0,22313.0,1.0,34582.0,44.0,1613588426.0,40321.0,46660.0,4.94,1.81,0.37,0.13,0.46799999999999997,6.5,18.4,29.4,27.9,27.9,25.4,18.7,1949.0,50.9,1532.0,26103.0,,14.0,355.0,320.0,,,,,,,,,6116.0,5016.0,,,,,,,,,,10503,Dubbo,1210
2014,31510.0,39.0,1451828920.0,41179.0,46075.0,76.0,8045.0,52.0,105521244.0,5909.0,13116.0,10.1,23893.0,48.0,168512446.0,306.0,7053.0,12.3,809.0,58.0,19485414.0,13248.0,24086.0,1.1,35075.0,44.0,1686241160.0,41361.0,48075.0,4.8,1.81,0.38,0.14,0.461,6.7,18.4,29.3,27.4,28.2,25.7,18.7,2087.0,59.6,2592.0,28535.0,,14.0,331.0,293.0,,,,,,,,,6014.0,5005.0,,,,,,,,,,10503,Dubbo,1211
2015,32693.0,39.0,1553176576.0,42341.0,47508.0,75.0,8295.0,52.0,166322256.0,9694.0,20051.0,11.6,24308.0,48.0,170302710.0,292.0,7006.0,11.8,868.0,58.0,19921491.0,12194.0,22951.0,1.1,35836.0,44.0,1820081056.0,43185.0,50789.0,4.63,1.8,0.39,0.16,0.446,6.4,18.2,29.0,26.2,28.3,25.7,19.7,2158.0,60.2,3206.0,27903.0,8701.0,15.0,295.0,270.0,954.0,,3267.0,2734.0,1513.0,,214.0,517.0,5839.0,4880.0,,,,,,,,,,10503,Dubbo,1212
2016,32244.0,39.0,1603134252.0,44161.0,49719.0,75.0,8015.0,52.0,168933918.0,9919.0,21077.0,11.3,24413.0,48.0,162437312.0,242.0,6654.0,12.2,803.0,58.0,19316089.0,14734.0,24055.0,1.1,35862.0,44.0,1859517065.0,44078.0,51852.0,4.89,1.81,0.37,0.14,0.45399999999999996,6.5,18.4,29.3,26.6,27.6,25.9,19.9,2067.0,72.8,2318.0,35212.0,8844.0,10.0,268.0,250.0,984.0,,3165.0,2800.0,1544.0,,239.0,521.0,5761.0,4656.0,,30.3,26.3,19.4,3.3,1.5,5.9,0.6,744.0,10503,Dubbo,1213
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8604.0,10.0,236.0,226.0,1013.0,2092.0,3066.0,2626.0,1525.0,302.0,216.0,448.0,5595.0,4458.0,4768.0,,,,,,,,,10503,Dubbo,1214
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8473.0,,,,1018.0,2098.0,3062.0,2812.0,1493.0,262.0,172.0,517.0,5442.0,4387.0,4739.0,,,,,,,,,10503,Dubbo,1215
2011,28915.0,42.0,1181617336.0,34747.0,40865.0,67.0,7227.0,50.0,131137137.0,8642.0,18145.0,10.1,27221.0,51.0,162286978.0,452.0,5962.0,19.2,1809.0,59.0,41920144.0,17873.0,23173.0,2.9,37695.0,48.0,1505388533.0,31857.0,39936.0,6.63,1.94,0.29,0.1,0.496,7.8,20.8,32.4,32.7,29.2,21.5,16.6,2556.0,54.3,2502.0,21226.0,,,,,,,,,,,,,,,,,,,,,,,569.0,10804,Port Macquarie,1216
