gml_id,sa3_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c9,"30303","4218","2715","1442","545","36125",Mt Gravatt
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c8,"30304","2258","1414","771","303","20482",Nathan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c7,"30305","3206","1675","711","312","27661",Rocklea - Acacia Ridge
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c6,"30905","2514","1491","593","152","15797",Mudgeeraba - Tallebudgera
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c5,"30906","4503","3001","1372","612","30959",Nerang
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c4,"30907","6749","4382","1586","542","53901",Ormeau - Oxenford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c3,"31503","1797","1494","486","115","8913",Outback - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c2,"31601","3922","2896","1683","800","26468",Buderim
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c1,"31602","6255","5362","3051","1177","39236",Caloundra
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64c0,"31603","5619","4761","2495","838","32779",Maroochy
