sa3_name16,sa3_code16,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Litchfield,70103,29,38,37,854,1104,1090,2339,2207,2219,2383,2400,2400,320,400,400,1.3,1.0,1.1,3.5,2.8,2.8,15.4,7.0,7.8
Palmerston,70104,20,31,30,725,1085,1056,1785,2246,2199,2383,2241,2253,370,450,430,1.1,0.9,0.9,3.2,2.8,2.9,10.9,3.5,4.5
Alice Springs,70201,26,36,33,281,1080,788,1064,1968,1715,1950,1950,1950,75,310,180,1.4,0.9,1.1,3.8,2.4,2.8,31.5,4.4,11.8
Barkly,70202,25,37,29,283,997,441,1052,1752,1366,1200,1200,1200,100,120,100,1.5,0.9,1.2,4.1,2.1,3.2,36.0,5.0,21.2
Daly - Tiwi - West Arnhem,70203,25,44,30,234,930,299,904,1521,1134,1434,1500,1500,60,22,55,1.8,1.0,1.4,4.8,2.0,3.5,53.1,5.1,31.2
East Arnhem,70204,24,34,27,235,1404,317,1293,2400,1944,0,1733,1733,60,8,50,2.0,0.9,1.5,5.6,2.6,4.1,63.6,2.2,32.5
Katherine,70205,23,35,29,261,1042,531,992,1872,1485,1593,1733,1733,89,249,130,1.7,0.9,1.3,4.5,2.4,3.3,45.7,4.7,21.4
Belconnen,80101,23,35,35,718,923,919,1778,1918,1915,2005,2000,2000,350,370,370,0.9,0.8,0.8,3.0,2.5,2.6,4.2,2.8,2.8
Canberra East,80103,31,42,41,433,717,713,725,987,972,0,1517,1659,231,227,228,0.9,0.9,0.9,1.6,1.8,1.8,0.0,3.4,3.5
Gungahlin,80104,21,31,31,971,1053,1052,2122,2248,2247,2184,2167,2167,380,391,390,1.0,0.9,0.9,3.1,2.9,2.9,6.3,2.8,2.9
North Canberra,80105,26,31,31,749,927,925,1709,1986,1981,2167,2167,2167,373,390,390,1.0,0.9,0.9,2.5,2.2,2.2,7.0,3.8,3.8
South Canberra,80106,26,40,40,671,1384,1376,1449,2343,2333,2000,2383,2379,298,421,420,1.1,0.8,0.8,2.4,2.2,2.2,6.6,2.1,2.1
Tuggeranong,80107,22,38,37,819,959,955,1943,2054,2051,2167,2000,2000,351,380,380,0.9,0.8,0.8,3.2,2.7,2.7,5.6,1.8,1.9
Weston Creek,80108,26,42,41,806,1023,1020,2175,2061,2064,2600,2167,2167,345,360,360,0.9,0.7,0.7,3.0,2.5,2.5,3.8,1.3,1.4
Woden Valley,80109,23,40,40,776,1047,1044,1738,2046,2040,2005,2167,2167,365,360,360,0.9,0.8,0.8,2.6,2.4,2.4,4.7,2.9,3.0
Molonglo,80110,27,30,30,1199,1341,1340,2625,2316,2319,2400,2012,2015,440,400,400,0.8,0.9,0.9,2.8,2.5,2.5,0.0,2.0,2.0
Urriarra - Namadgi,80111,10,35,34,0,1090,1090,0,2640,2656,0,2600,2600,0,300,300,1.0,0.9,0.9,0.0,3.0,3.0,0.0,3.8,3.7
Christmas Island,90101,36,38,38,0,1165,1164,0,2141,2141,0,1717,1717,0,162,152,0.0,1.0,1.0,0.0,2.7,2.7,0.0,7.1,7.0
Cocos (Keeling) Islands,90102,46,41,42,262,569,563,0,1843,1859,0,1029,1029,0,166,166,0.0,1.0,1.0,0.0,3.7,3.7,0.0,8.8,8.7
Jervis Bay,90103,33,30,32,390,1017,629,1208,2218,1542,0,0,0,60,300,128,1.2,0.7,0.9,3.9,2.8,3.2,29.2,0.0,20.8
Norfolk Island,90104,49,49,49,687,592,592,1249,1012,1012,0,1300,1300,0,140,138,0.0,0.8,0.8,1.5,2.2,2.2,0.0,2.4,2.4
