sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
80101,Belconnen,30.416,28.768,59.184,61964.0,49601.0,55789.0
80103,Canberra East,0.359,0.244,0.608,46438.0,40165.0,43808.0
80104,Gungahlin,19.124000000000002,18.239,37.364000000000004,69956.0,52440.0,60975.0
80105,North Canberra,16.803,15.624,32.428000000000004,60670.0,51321.0,56208.0
80106,South Canberra,9.083,8.667,17.75,76498.0,61616.0,68373.0
80107,Tuggeranong,28.854,27.98,56.836999999999996,63975.0,51421.0,57685.0
80108,Weston Creek,6.8389999999999995,6.896,13.732999999999999,69924.0,55147.0,61370.0
80109,Woden Valley,10.607000000000001,10.198,20.807,67108.0,55377.0,60718.0
80110,Molonglo,0.125,0.115,0.248,93190.0,73036.0,81527.0
80111,Urriarra - Namadgi,0.21600000000000003,0.172,0.387,50002.0,48044.0,49679.0
