sa3_name16,sa3_code16,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Barkly,70202,244,23,98,4,0,0,3,12,3,382,10,0,0,0,0,0,0,0,0,15,19,0,5,13,0,0,3,15,0,42,444,28,115,60,0,5,6,72,7,658,117,4,4,37,0,4,3,38,0,163,129,0,8,3,0,0,0,3,0,147,29,5,26,0,0,0,0,0,0,61,320,19,39,0,0,0,0,0,0,373,68,3,26,3,0,0,3,7,0,111,119,3,5,0,0,0,0,0,0,132,157,12,45,9,0,0,3,9,3,218,43,0,7,0,0,0,0,0,0,47,739,43,145,6,0,6,7,18,4,943,33,0,0,3,0,7,0,7,0,45,44,3,9,13,0,0,3,14,0,75,1064,46,166,66,0,13,7,89,5,1368
Daly - Tiwi - West Arnhem,70203,533,85,53,27,3,9,3,38,10,722,27,5,0,3,0,3,0,6,0,38,87,3,3,19,3,7,0,29,7,125,1298,97,57,116,14,33,5,165,40,1662,426,3,0,61,4,12,3,82,19,530,342,4,0,8,3,0,0,14,4,361,20,4,0,0,0,0,0,0,0,23,1149,132,40,0,0,13,0,11,3,1336,122,5,0,3,0,3,0,6,5,141,199,25,6,0,0,0,0,3,0,238,382,74,40,15,3,3,0,26,7,534,112,8,0,4,0,3,0,9,0,134,1991,247,94,31,3,23,3,60,19,2405,44,5,5,3,3,3,0,8,3,60,146,13,6,19,3,16,0,43,7,218,2947,274,103,124,16,51,5,202,51,3569
East Arnhem,70204,879,131,98,0,0,12,3,17,7,1126,23,3,0,0,0,0,0,0,0,24,52,17,6,0,0,0,0,0,0,81,993,150,105,3,4,17,3,22,15,1286,45,0,3,0,3,3,0,3,3,60,13,3,3,0,0,0,0,0,0,19,93,4,18,0,0,0,0,0,0,118,784,125,26,0,0,0,0,5,0,935,29,3,0,0,0,3,0,3,0,32,160,10,0,0,0,0,0,0,0,178,729,90,61,0,0,3,3,6,5,893,77,16,5,0,0,3,0,3,0,104,1874,256,105,0,0,13,3,24,7,2265,28,3,0,0,0,0,0,0,0,32,103,21,15,0,0,0,0,0,0,142,2059,283,127,3,4,25,3,32,15,2510
Katherine,70205,860,126,117,53,7,12,9,69,42,1216,26,0,0,5,0,0,0,4,3,35,96,20,6,25,4,18,0,49,11,183,1842,154,135,228,11,46,11,299,111,2541,367,3,7,136,4,24,7,163,33,570,677,6,7,17,0,0,3,23,29,734,281,43,62,0,0,0,0,0,5,387,761,135,78,5,0,0,0,6,7,989,139,17,19,10,0,3,0,12,19,206,248,20,10,0,0,0,0,8,23,300,452,50,32,50,3,6,6,61,20,617,69,11,6,3,0,3,0,7,4,97,1955,271,204,66,6,14,9,92,72,2603,42,0,0,11,0,7,0,17,3,60,144,34,15,34,5,28,0,60,19,271,3187,310,232,251,13,70,16,361,153,4241
Belconnen,80101,4774,2595,2655,0,0,0,6,7,17,10045,79,105,27,0,0,0,0,0,0,212,439,140,75,0,0,0,0,0,3,661,24509,5669,3660,0,10,0,10,22,31,33888,8608,1284,243,0,0,0,3,3,10,10153,10938,1581,674,0,3,0,5,8,3,13198,1911,1396,1868,0,0,0,3,0,4,5187,1411,524,217,0,0,0,0,0,6,2155,1413,602,511,0,0,0,3,3,8,2537,52,40,28,0,0,0,0,0,0,126,190,88,61,0,0,0,0,0,0,344,67,37,22,0,0,0,0,0,0,121,5051,2691,2709,0,0,0,6,7,17,10469,85,111,27,0,0,0,0,0,0,220,456,150,75,0,0,0,0,0,3,687,25139,5805,3719,0,10,0,10,22,31,34722
Canberra East,80103,96,14,63,6,39,0,0,46,5,218,3,0,0,0,0,0,0,0,0,3,11,0,4,6,4,0,0,5,0,21,278,14,72,22,87,0,0,108,9,487,144,0,3,16,43,0,0,55,3,208,34,0,3,0,3,0,0,8,0,47,15,3,5,0,0,0,0,0,0,31,17,0,30,0,0,0,0,0,0,45,38,4,7,0,0,0,0,3,0,52,0,0,15,0,0,0,0,0,0,13,21,4,14,0,43,0,0,41,3,83,3,0,0,0,0,0,0,0,0,5,100,14,66,6,41,0,0,46,6,228,3,0,0,0,0,0,0,0,0,3,11,0,4,6,6,0,0,12,0,22,289,14,75,22,93,0,0,113,15,503
Gungahlin,80104,3225,2750,1287,0,0,0,0,0,23,7283,44,21,25,0,0,0,0,0,0,85,249,122,39,0,0,0,0,0,3,409,14984,6154,2003,0,0,0,3,5,40,23180,3084,627,87,0,0,0,0,0,4,3800,8544,2673,576,0,0,0,3,3,9,11803,1554,1787,923,0,0,0,0,0,20,4281,273,279,34,0,0,0,0,0,0,586,733,634,273,0,0,0,0,0,0,1642,48,36,35,0,0,0,0,0,0,118,736,98,46,0,0,0,0,0,0,884,25,17,8,0,0,0,0,0,0,48,3368,2853,1311,0,0,0,0,0,23,7556,44,24,25,0,0,0,0,0,0,87,252,126,42,0,0,0,0,0,3,422,15288,6297,2034,0,0,0,3,5,40,23668
North Canberra,80105,2312,1605,5176,0,0,0,0,0,66,9160,36,26,82,0,0,3,0,3,3,147,178,113,203,3,0,0,0,8,9,507,8502,3160,7193,9,0,3,3,15,90,18960,3224,672,538,0,0,0,0,3,7,4437,2816,760,1216,0,0,0,3,3,12,4807,949,728,3246,0,0,0,0,0,12,4939,519,454,838,0,0,0,0,0,15,1827,646,339,1010,0,0,0,0,0,16,2021,34,42,60,0,0,0,0,0,13,151,194,62,124,0,0,0,0,0,0,378,53,19,21,0,0,0,0,0,3,91,2395,1643,5303,0,0,0,0,0,72,9407,38,26,85,0,0,3,0,3,3,149,181,120,203,3,0,5,0,14,9,522,8652,3216,7344,9,0,9,3,18,89,19319
South Canberra,80106,1051,547,2734,0,0,0,3,3,16,4345,34,33,19,0,0,0,0,0,0,91,100,37,63,0,0,0,0,0,0,202,4824,1333,4471,0,0,0,4,4,27,10662,2055,414,610,0,0,0,0,0,4,3089,1615,301,1059,0,0,0,0,0,0,2970,447,266,1964,0,0,0,0,0,10,2689,328,157,220,0,0,0,0,0,0,704,265,101,483,0,0,0,0,0,3,854,27,11,33,0,0,0,0,0,3,72,27,13,63,0,0,0,0,0,0,111,20,12,18,0,0,0,0,0,0,50,1106,565,2784,0,0,0,3,3,16,4478,34,33,19,0,0,0,0,0,0,91,106,36,67,0,0,0,0,0,0,209,4914,1358,4539,0,0,0,4,4,27,10835
Tuggeranong,80107,4039,1733,431,0,0,0,3,3,4,6217,63,132,4,0,0,0,0,0,3,205,405,110,94,0,0,0,0,0,4,608,24234,4122,787,0,0,0,7,7,34,29177,7916,933,99,0,0,0,0,0,20,8961,12271,1250,163,0,0,0,0,0,9,13693,1681,827,234,0,0,0,0,0,3,2748,1268,540,131,0,0,0,0,0,0,1939,1175,377,67,0,0,0,0,0,0,1619,38,36,0,0,0,0,0,0,0,84,176,25,6,0,0,0,0,0,0,210,57,18,3,0,0,0,0,0,0,74,4395,1831,437,0,0,0,3,3,4,6672,63,137,4,0,0,0,0,0,3,209,419,113,89,0,0,0,0,0,4,634,25068,4256,797,0,0,0,7,7,34,30166
Weston Creek,80108,1108,565,138,0,0,0,4,4,4,1821,24,28,3,0,0,0,0,0,0,58,112,40,3,0,0,0,0,0,0,149,6826,1198,206,0,0,0,19,16,13,8256,2792,339,24,0,0,0,9,5,3,3166,2861,231,42,0,0,0,5,5,0,3150,489,176,92,0,0,0,0,0,3,763,317,283,3,0,0,0,0,0,0,605,267,85,38,0,0,0,0,0,0,390,12,10,0,0,0,0,0,0,0,22,56,27,8,0,0,0,0,0,0,93,19,3,0,0,0,0,0,0,0,21,1158,584,139,0,0,0,4,4,4,1891,24,28,3,0,0,0,0,0,0,58,113,39,3,0,0,0,0,0,0,159,6956,1226,209,0,0,0,19,16,13,8419
Woden Valley,80109,1463,1347,1347,0,0,0,0,0,11,4166,27,31,65,0,0,0,0,0,0,132,171,65,55,0,0,0,0,0,4,294,8223,2641,2053,0,0,0,3,3,18,12934,3696,600,279,0,0,0,0,0,0,4576,2931,608,306,0,0,0,0,0,0,3853,747,783,901,0,0,0,0,0,9,2441,325,228,141,0,0,0,0,0,0,700,359,268,275,0,0,0,0,0,0,903,16,46,11,0,0,0,0,0,0,67,42,42,45,0,0,0,0,0,0,139,35,15,0,0,0,0,0,0,0,49,1519,1379,1375,0,0,0,0,0,16,4295,32,31,64,0,0,0,0,0,0,135,173,66,58,0,0,0,0,0,4,298,8358,2687,2090,0,0,0,3,3,18,13158
Molonglo,80110,58,79,171,0,0,0,0,0,0,309,10,0,0,0,0,0,0,0,0,14,7,3,13,0,0,0,0,0,0,23,692,412,583,0,0,0,0,0,0,1689,76,39,22,0,0,0,0,0,0,143,543,291,381,0,0,0,0,0,0,1218,27,48,140,0,0,0,0,0,0,216,9,0,0,0,0,0,0,0,0,12,20,17,30,0,0,0,0,0,0,69,3,0,0,0,0,0,0,0,0,3,4,11,3,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,60,78,173,0,0,0,0,0,0,313,10,0,0,0,0,0,0,0,0,14,7,3,13,0,0,0,0,0,0,23,698,419,586,0,0,0,0,0,0,1710
Urriarra - Namadgi,80111,34,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,158,0,0,3,0,0,0,3,0,160,27,0,0,0,0,0,0,0,0,25,95,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,158,0,0,3,0,0,0,3,0,166
Christmas Island,90101,80,54,66,0,0,0,3,3,0,204,0,0,0,0,0,0,0,0,0,3,6,4,10,0,0,0,0,0,0,21,195,85,105,0,0,0,3,3,10,394,71,14,27,0,0,0,0,0,3,113,44,9,11,0,0,0,0,0,0,58,0,0,3,0,0,0,0,0,0,7,12,26,29,0,0,0,0,0,0,67,22,10,12,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,36,16,21,0,0,0,0,0,0,77,3,0,0,0,0,0,0,0,0,4,84,54,66,0,0,0,3,3,0,205,0,0,0,0,0,0,0,0,0,3,6,4,10,0,0,0,0,0,0,18,197,85,108,0,0,0,3,3,10,399
Cocos (Keeling) Islands,90102,76,0,0,0,0,0,0,0,0,76,28,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,3,124,0,0,0,0,0,0,0,0,130,15,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,10,73,0,0,0,0,0,0,0,0,73,28,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,3,131,0,0,0,0,0,0,0,0,131
