sa3_name16,sa3_code16,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Sherwood - Indooroopilly,30403,3,664,663,0,183,183,8,360,369,5,313,318,5,721,728,4,708,712,10,816,827,12,913,922,9,1194,1203,9,1171,1186,18,2048,2062,23,1799,1821,13,1096,1112,41,4149,4190,21,1481,1505,0,228,230,178,17846,18023
The Gap - Enoggera,30404,3,150,154,7,75,85,16,239,253,8,362,378,22,771,799,16,605,620,23,830,855,31,907,935,29,1210,1240,30,1060,1091,34,1930,1964,40,2010,2048,37,1489,1526,71,3814,3884,38,1351,1385,0,261,267,408,17070,17485
Brisbane Inner,30501,6,837,842,4,208,212,19,582,601,17,711,732,32,1093,1123,19,922,939,26,1146,1172,31,1420,1448,38,1869,1907,38,1891,1925,38,3283,3323,38,3304,3348,23,1596,1625,54,5719,5777,26,2031,2062,6,377,386,423,26992,27418
Brisbane Inner - East,30502,0,142,144,3,74,73,15,197,206,6,257,261,16,535,553,10,388,403,11,546,554,17,626,642,18,879,897,22,858,882,38,1576,1612,35,1693,1725,16,1157,1173,72,4439,4513,13,1278,1291,3,217,216,293,14862,15158
Brisbane Inner - North,30503,9,682,691,6,227,228,20,507,532,20,627,646,23,1382,1405,30,1154,1187,28,1379,1411,43,1699,1736,48,2337,2388,47,2169,2218,73,3849,3924,68,3818,3886,40,2122,2157,95,8398,8491,43,2538,2584,12,488,506,594,33400,33995
Brisbane Inner - West,30504,8,386,392,4,128,133,7,291,293,5,361,369,10,666,679,7,644,647,14,719,728,12,906,917,13,1191,1199,34,1250,1277,28,2173,2204,25,2151,2176,19,1303,1322,64,6089,6150,22,1702,1723,0,200,200,268,20151,20419
Cairns - North,30601,21,266,282,11,116,122,9,280,290,22,352,372,30,849,884,46,725,763,48,1113,1165,63,1174,1234,82,1413,1494,75,1403,1481,118,2330,2450,109,2205,2310,65,1313,1382,120,2384,2508,104,1714,1820,14,310,326,941,17947,18888
Cairns - South,30602,55,418,474,51,192,241,144,664,805,193,981,1167,279,2193,2473,265,1646,1914,420,2379,2801,378,2437,2808,356,2904,3262,307,2545,2853,394,3870,4264,317,3248,3566,163,1827,1987,226,2784,3014,428,2550,2981,209,755,959,4192,31396,35584
Innisfail - Cassowary Coast,30603,18,163,181,17,119,144,63,261,321,60,401,466,91,997,1090,99,532,625,172,1087,1261,167,933,1097,175,1023,1199,157,900,1059,208,1205,1410,105,886,992,46,438,486,50,672,720,161,785,944,43,363,402,1638,10771,12407
Port Douglas - Daintree,30604,4,63,66,6,31,35,12,107,118,12,143,153,16,299,311,26,209,230,30,321,349,30,293,327,32,345,374,23,328,351,31,469,501,19,394,411,13,169,184,13,269,278,43,308,351,20,102,124,333,3840,4175
Tablelands (East) - Kuranda,30605,23,186,210,18,132,148,59,367,431,73,556,625,96,1404,1499,91,721,818,113,1452,1568,113,1114,1229,121,1305,1421,103,958,1062,139,1295,1429,82,1032,1113,47,618,671,50,880,930,156,1147,1295,50,484,537,1327,13658,14985
Darling Downs (West) - Maranoa,30701,20,250,279,12,112,122,44,298,345,61,436,495,110,1087,1197,89,609,705,133,1059,1192,100,1000,1101,123,1224,1346,90,1076,1171,141,1613,1753,96,1402,1501,56,767,819,71,1291,1363,112,1196,1312,45,481,526,1308,13910,15218
Darling Downs - East,30702,8,173,178,4,150,155,18,262,276,32,395,428,61,1169,1233,56,687,744,82,1312,1396,76,1082,1158,88,1277,1369,87,1113,1201,116,1556,1672,67,1309,1380,25,745,772,46,1094,1140,92,1167,1258,29,357,382,891,13851,14742
Granite Belt,30703,14,194,206,7,154,156,22,384,399,29,490,524,59,1500,1557,55,862,919,86,1683,1774,78,1237,1318,84,1381,1464,61,1218,1287,76,1498,1570,49,1064,1114,19,548,562,25,685,715,54,1016,1073,18,480,503,738,14399,15144
Central Highlands (Qld),30801,5,105,113,11,62,64,40,155,190,29,185,212,39,391,438,43,233,271,62,381,451,55,384,436,48,565,618,58,568,626,57,1046,1109,60,1133,1194,48,624,671,77,1561,1644,79,824,905,29,194,228,743,8412,9155
Rockhampton,30803,44,454,497,34,287,322,97,804,903,110,1170,1277,187,3039,3230,162,1832,1998,274,3107,3373,228,2641,2876,294,3042,3341,226,2715,2935,340,4362,4701,271,3751,4021,152,2285,2442,204,3936,4135,285,3555,3834,80,1072,1149,2986,38041,41029
Biloela,30804,3,84,82,3,47,51,5,83,88,16,121,138,18,273,295,16,149,167,25,301,322,18,260,279,18,335,349,13,307,323,25,523,553,37,568,605,28,323,352,26,721,751,19,409,425,9,182,189,281,4682,4965
Gladstone,30805,21,349,373,12,177,192,25,456,481,35,577,605,77,1173,1250,75,782,852,92,1293,1386,81,1127,1209,68,1319,1387,72,1286,1355,136,2161,2293,117,2432,2547,66,1454,1522,142,3366,3506,110,1863,1973,22,418,436,1133,20245,21378
Broadbeach - Burleigh,30901,4,310,316,3,140,144,13,381,389,4,605,609,16,1615,1624,14,1107,1123,24,1771,1791,20,1735,1758,24,2069,2093,29,1862,1893,61,2784,2848,47,2333,2381,34,1520,1551,64,3218,3284,33,1766,1798,10,600,614,404,23821,24223
Coolangatta,30902,3,230,238,7,133,147,21,365,381,15,580,597,31,1584,1617,33,1090,1119,47,1606,1654,43,1531,1574,58,1757,1808,41,1476,1524,61,2452,2508,75,1903,1978,47,1169,1215,57,2002,2061,50,1541,1586,21,499,517,611,19919,20529
Gold Coast - North,30903,9,417,422,5,195,198,11,502,511,13,816,834,42,2200,2240,36,1543,1583,46,2363,2411,43,2154,2198,58,2440,2494,44,2044,2092,67,2752,2815,51,2362,2409,32,1248,1279,55,2421,2470,45,1621,1665,10,687,696,572,25762,26336
Gold Coast Hinterland,30904,0,78,78,0,42,42,0,95,96,3,139,143,8,413,418,7,277,284,9,489,498,3,412,418,5,524,531,9,516,526,16,757,778,19,680,703,22,397,422,18,764,787,22,520,541,4,139,138,146,6249,6390
Bowen Basin - North,31201,7,114,129,8,73,82,15,207,225,22,260,285,40,616,657,32,354,384,61,589,649,67,496,565,57,629,687,57,631,686,76,1038,1117,98,1292,1391,45,686,731,94,1795,1896,77,872,947,27,272,294,796,9927,10719
Mackay,31202,48,518,562,25,281,302,71,796,865,94,1025,1119,152,2358,2516,148,1550,1699,208,2414,2619,153,2321,2474,218,2795,3008,213,2575,2786,270,4293,4561,218,4236,4459,157,2630,2784,226,4969,5194,265,4284,4553,85,1082,1167,2552,38119,40669
Whitsunday,31203,0,96,95,0,52,53,10,127,135,10,166,176,6,377,389,24,285,307,26,497,522,33,457,484,21,580,601,29,535,563,21,833,854,22,648,668,11,389,396,30,584,610,42,632,675,10,174,189,290,6430,6722
Bribie - Beachmere,31301,4,167,172,3,109,109,13,265,278,13,480,490,33,1506,1540,28,948,981,56,1764,1820,38,1222,1257,47,1271,1321,46,980,1025,58,1226,1290,28,858,890,19,453,468,35,784,815,43,788,826,12,465,478,476,13294,13773
Caboolture,31302,12,222,234,7,127,138,36,388,418,41,588,632,74,1555,1637,94,1172,1261,130,1897,2031,177,1733,1911,143,2072,2217,140,1891,2026,172,2675,2846,135,2089,2228,48,1092,1142,84,1490,1572,106,1417,1524,31,511,538,1433,20918,22356
Caboolture Hinterland,31303,3,62,62,0,42,42,4,90,96,3,111,117,10,358,371,9,176,185,13,375,391,14,308,322,16,363,378,13,297,312,31,503,530,15,393,410,7,220,227,15,327,343,21,325,345,4,116,120,180,4068,4248
Narangba - Burpengary,31304,15,191,203,10,103,114,19,250,267,17,449,464,43,1102,1142,41,937,975,80,1565,1650,76,1318,1392,87,1688,1780,76,1503,1576,105,2594,2700,88,2253,2343,55,1451,1506,97,2185,2283,89,1585,1669,24,429,446,907,19598,20509
Redcliffe,31305,8,259,272,11,153,161,12,504,518,41,871,913,60,2199,2260,43,1390,1433,77,2023,2104,105,1856,1958,71,2036,2104,76,1741,1821,92,2535,2628,71,1993,2069,47,1151,1196,64,1963,2032,71,1445,1519,24,667,694,862,22811,23667
The Hills District,31401,9,201,204,0,111,108,3,224,221,3,286,293,12,888,896,6,676,689,15,1180,1197,21,1326,1348,34,1798,1838,33,1737,1776,80,3361,3435,80,3675,3758,52,2856,2908,124,6436,6559,47,2353,2399,6,328,337,531,27433,27969
North Lakes,31402,6,214,218,0,99,103,12,230,242,12,384,396,22,1007,1030,30,917,944,43,1498,1543,60,1497,1557,70,1956,2028,93,1978,2073,116,3485,3595,133,3140,3276,69,1896,1965,86,2801,2890,58,1703,1762,20,391,409,826,23198,24032
Strathpine,31403,5,111,116,3,65,64,11,196,209,16,293,308,25,762,780,27,530,560,37,928,963,37,989,1029,48,1220,1269,56,1082,1136,83,1779,1858,56,1616,1673,43,862,904,53,1063,1112,41,841,875,14,215,235,552,12552,13102
Far North,31501,29,86,116,48,44,90,242,116,356,160,160,317,307,367,674,283,183,458,322,322,646,366,291,662,341,349,697,346,309,650,382,530,911,292,530,820,144,275,419,238,612,853,388,411,800,167,219,387,4060,4805,8862
Robina,30908,7,382,387,4,131,135,9,278,290,3,381,384,0,912,910,17,724,734,22,1268,1293,23,1201,1226,27,1496,1526,34,1406,1436,45,2189,2229,37,1934,1969,25,1179,1206,50,1971,2019,34,1331,1363,4,340,340,333,17111,17446
Southport,30909,4,546,553,3,170,177,11,504,521,21,708,729,28,1596,1619,33,1214,1251,43,1693,1730,36,1640,1680,58,1984,2041,45,1684,1735,66,2412,2476,49,2002,2055,33,1162,1194,45,1920,1963,43,1550,1594,19,572,593,537,21365,21900
Surfers Paradise,30910,0,388,386,3,141,147,4,341,346,10,434,440,13,1024,1034,9,819,823,10,1184,1196,14,1207,1223,26,1442,1468,20,1216,1231,27,1799,1818,23,1403,1426,17,719,738,30,2080,2101,11,1107,1122,3,349,353,213,15652,15868
Forest Lake - Oxley,31001,14,314,329,10,137,147,32,440,474,44,564,606,67,1431,1495,47,919,971,80,1526,1607,69,1564,1631,97,1894,1985,76,1820,1896,98,2704,2803,63,2401,2467,46,1412,1463,60,2145,2208,73,1592,1664,26,476,504,900,21344,22243
Ipswich Hinterland,31002,14,266,278,6,175,178,15,397,416,28,554,587,50,1740,1794,50,1010,1058,96,1952,2044,99,1719,1814,103,1869,1971,98,1659,1752,146,2393,2543,99,1871,1972,54,1078,1127,63,1464,1531,83,1653,1735,25,536,569,1039,20316,21359
Ipswich Inner,31003,23,302,325,25,184,209,43,551,600,69,931,1000,118,2323,2441,146,1688,1833,188,2626,2815,170,2668,2837,200,3191,3391,201,2841,3044,270,4373,4648,225,3621,3845,117,2205,2317,145,3288,3436,179,2458,2631,46,769,819,2165,34028,36192
Springfield - Redbank,31004,16,255,270,0,91,90,21,281,301,36,368,406,34,955,991,61,878,934,102,1475,1578,105,1634,1735,115,2208,2327,127,2236,2363,164,3633,3798,152,3331,3490,89,1990,2081,118,2742,2858,110,1922,2034,27,387,420,1280,24381,25662
Beaudesert,31101,3,52,52,0,34,34,5,82,90,4,152,154,17,414,434,27,317,339,37,474,509,29,365,398,26,431,454,23,390,409,35,500,541,25,389,417,10,176,184,11,312,327,18,346,367,6,140,144,295,4574,4864
Beenleigh,31102,6,152,160,0,82,82,13,243,257,29,409,437,36,1037,1073,45,870,919,52,1383,1435,58,1144,1201,81,1393,1470,65,1139,1209,71,1745,1823,66,1341,1408,40,716,757,41,910,952,61,883,945,14,345,365,695,13787,14481
Browns Plains,31103,12,265,273,0,100,98,11,329,341,15,443,455,51,1222,1266,54,923,979,75,1703,1777,85,1660,1746,102,2121,2221,109,2180,2293,179,3266,3450,139,2923,3064,87,1622,1703,87,2011,2098,99,1845,1947,32,461,492,1142,23080,24223
Jimboomba,31104,10,126,134,0,68,69,3,107,108,6,114,128,16,398,406,14,325,337,27,684,710,29,687,719,34,916,949,61,971,1027,99,1894,1990,90,1871,1953,65,1230,1295,93,1989,2076,69,1160,1226,12,220,231,619,12754,13369
Loganlea - Carbrook,31105,9,213,226,5,71,82,15,279,294,16,409,422,38,1110,1151,27,795,821,44,1300,1343,45,1266,1310,75,1634,1703,62,1514,1582,93,2488,2586,93,2298,2391,62,1396,1465,67,2317,2384,57,1425,1477,26,382,411,736,18905,19638
Springwood - Kingston,31106,14,357,375,8,167,177,29,486,519,50,678,728,69,1720,1789,77,1145,1222,93,1911,2007,97,1945,2050,108,2253,2359,87,2062,2154,138,3024,3160,91,2491,2576,52,1525,1580,80,2272,2354,82,1789,1873,38,553,591,1120,24381,25505
Outback - North,31502,22,113,137,24,41,65,93,104,192,96,152,247,155,293,448,103,172,274,152,299,455,129,311,444,179,429,608,157,428,582,214,834,1048,182,1061,1238,123,606,731,235,1552,1796,223,615,838,101,220,323,2188,7234,9427
Toowoomba,31701,21,535,559,17,315,332,53,856,912,77,1361,1440,127,3852,3980,156,2632,2789,230,4369,4591,220,3919,4138,225,4589,4818,217,4004,4221,300,6260,6560,228,5375,5599,131,3243,3369,194,5243,5433,193,3607,3801,60,1220,1283,2446,51383,53834
Maryborough,31905,9,248,257,8,145,155,20,453,476,39,699,740,76,2033,2110,67,989,1058,99,2132,2230,97,1491,1584,81,1578,1660,65,1223,1290,93,1434,1526,48,978,1026,28,494,527,26,668,686,53,1065,1120,33,636,669,844,16258,17100
Adelaide City,40101,3,733,736,7,160,163,13,332,342,7,327,334,7,430,438,6,377,382,5,400,404,3,528,530,8,632,636,3,562,568,4,940,943,7,892,899,3,352,358,8,1266,1276,0,531,532,4,139,141,85,8592,8678
Adelaide Hills,40102,0,209,213,0,166,167,10,387,395,3,547,551,10,1351,1361,12,1040,1051,17,1683,1701,25,1675,1693,30,2048,2078,17,1870,1893,32,3133,3162,25,2800,2827,26,1960,1992,34,3816,3846,25,2289,2318,3,405,410,274,25378,25654
Norwood - Payneham - St Peters,40105,0,293,293,0,147,147,10,371,379,4,603,609,10,1190,1199,7,752,760,8,1000,1006,15,969,978,6,1162,1167,16,1005,1017,12,1474,1483,6,1289,1297,12,770,783,17,2409,2423,3,1013,1019,3,243,244,128,14686,14808
Unley,40107,3,235,235,0,119,119,3,284,286,3,381,380,6,846,854,8,618,631,4,883,890,4,842,851,13,1047,1053,8,953,967,10,1509,1523,6,1394,1399,3,858,862,22,3304,3325,9,1129,1134,0,233,232,96,14640,14738
Gawler - Two Wells,40201,3,104,107,0,82,84,3,263,265,8,408,417,13,952,964,26,675,696,21,1055,1080,11,978,990,29,1099,1124,13,939,956,34,1559,1597,25,1275,1298,22,756,773,24,1098,1120,19,943,957,8,289,299,263,12473,12728
Playford,40202,24,361,383,11,248,260,60,974,1035,54,1365,1418,105,2832,2931,155,1900,2056,141,3191,3332,124,2860,2977,134,3029,3161,123,2496,2617,143,3451,3600,88,2520,2614,40,1165,1206,45,1338,1383,93,1987,2081,55,908,960,1389,30622,32011
Port Adelaide - East,40203,9,425,433,5,210,215,23,692,722,30,1023,1054,42,2034,2084,40,1289,1329,47,2018,2063,40,1964,2005,47,2302,2344,35,2034,2075,48,3086,3134,32,2368,2399,9,1436,1449,29,1961,1990,45,1578,1619,20,504,526,513,24930,25442
Salisbury,40204,16,635,649,13,355,365,46,1194,1243,53,1563,1612,77,3763,3842,99,2565,2661,96,4510,4600,104,4172,4277,125,4900,5025,109,4221,4325,174,6031,6200,108,4557,4661,61,2354,2416,62,2622,2683,96,3151,3247,45,1017,1059,1278,47602,48886
Tea Tree Gully,40205,8,335,341,14,192,203,12,559,570,14,828,839,22,2299,2320,29,1488,1522,36,2778,2813,24,2640,2661,44,3245,3288,36,2728,2762,67,4416,4483,54,4048,4098,17,2549,2568,40,3607,3648,35,2279,2312,7,623,632,458,34619,35079
Mitcham,40303,3,265,268,0,167,168,7,411,419,5,485,487,10,1359,1366,7,1058,1067,12,1423,1436,13,1385,1398,20,1816,1837,10,1637,1653,26,2545,2570,15,2318,2335,12,1737,1751,24,4414,4440,23,1818,1837,3,334,334,190,23175,23365
Onkaparinga,40304,20,557,583,20,371,390,30,1324,1361,53,1869,1923,88,4919,5005,95,3438,3530,117,5710,5826,109,5241,5352,110,6099,6213,123,5199,5319,132,7771,7898,106,6215,6326,50,3560,3605,60,4397,4456,110,4276,4386,40,1252,1294,1266,62199,63464
Charles Sturt,40401,16,565,579,12,318,328,48,1124,1170,30,1670,1700,59,3560,3622,58,2056,2110,59,3399,3463,53,3116,3166,71,3656,3730,51,3069,3121,71,4728,4797,58,4039,4093,29,2684,2715,62,4433,4500,76,2853,2935,32,1010,1041,789,42271,43059
Port Adelaide - West,40402,9,363,369,15,189,204,44,751,795,47,1122,1165,60,2006,2068,41,1198,1234,54,1952,2004,64,1738,1800,37,2011,2049,60,1639,1707,70,2414,2483,53,2005,2056,38,1204,1246,46,1643,1688,47,1467,1512,37,552,587,709,22253,22965
Campbelltown (SA),40104,3,332,335,0,145,145,8,429,439,8,644,655,8,1607,1617,9,914,927,5,1603,1610,14,1411,1424,14,1684,1699,7,1369,1379,21,2191,2204,25,1970,1991,8,1189,1198,7,2109,2120,12,1286,1296,7,371,374,154,19244,19402
Prospect - Walkerville,40106,0,173,179,0,74,80,11,261,268,3,280,282,8,613,621,8,418,428,7,600,609,4,623,628,13,804,822,4,668,672,12,1160,1178,17,1070,1087,7,672,679,26,2140,2159,10,819,826,3,181,188,128,10565,10697
West Torrens,40403,3,410,416,4,196,198,16,579,598,13,897,914,21,1922,1945,3,1326,1331,20,1909,1928,17,1887,1907,24,2190,2216,29,1801,1834,41,2770,2810,26,2377,2405,18,1428,1438,33,2539,2571,20,1624,1640,6,471,478,302,24322,24623
Barossa,40501,3,112,113,3,91,95,6,265,274,4,356,362,14,1000,1010,8,638,647,15,1128,1142,12,1030,1041,14,1261,1273,25,1100,1121,30,1674,1701,17,1352,1367,12,810,822,15,1076,1095,15,959,981,11,231,241,204,13079,13283
Lower North,40502,0,94,98,3,87,94,4,244,249,18,362,379,16,936,954,14,493,502,18,882,896,19,696,716,26,869,896,20,733,753,19,863,883,17,643,658,8,329,337,4,543,549,21,628,641,11,217,224,207,8612,8818
Mid North,40503,4,134,142,4,107,114,18,360,373,35,532,561,47,1331,1378,33,625,660,47,1157,1205,28,849,877,41,893,931,21,733,756,30,991,1014,20,751,767,7,457,463,11,563,577,41,753,799,13,337,353,407,10567,10978
Yorke Peninsula,40504,3,125,125,3,104,105,21,323,344,23,443,464,25,1294,1320,22,598,620,45,1319,1363,27,891,917,24,931,958,18,757,778,42,854,896,11,618,624,14,288,295,7,461,473,29,687,710,13,363,384,320,10060,10376
Eyre Peninsula and South West,40601,25,240,260,16,190,208,89,726,816,73,970,1047,72,1983,2057,85,1099,1181,105,1910,2018,97,1503,1600,98,1735,1837,66,1478,1546,81,2178,2259,80,1842,1925,48,1023,1069,48,1579,1624,108,1459,1560,145,681,824,1236,20589,21824
Outback - North and East,40602,23,103,130,21,57,79,92,196,285,57,303,362,133,589,726,91,345,436,147,493,642,126,503,632,135,549,686,103,516,624,127,795,924,92,752,843,40,453,494,69,821,886,190,591,781,128,286,415,1596,7363,8954
Fleurieu - Kangaroo Island,40701,3,228,236,3,178,184,14,510,523,17,758,769,29,2187,2214,34,1416,1449,37,2530,2567,22,1935,1966,43,2084,2130,22,1593,1616,36,1898,1938,27,1326,1352,13,606,616,12,899,914,39,1356,1399,10,555,563,368,20062,20431
Limestone Coast,40702,7,286,294,10,185,189,26,634,665,21,888,901,44,2277,2321,39,1298,1335,53,2308,2364,52,2023,2071,52,2205,2251,55,2041,2091,69,2819,2889,35,2111,2146,20,1155,1170,24,1553,1578,56,1592,1648,30,676,705,586,24037,24625
Murray and Mallee,40703,11,307,314,13,245,262,70,758,829,64,1135,1199,79,2861,2944,87,1528,1614,103,2981,3078,117,2221,2336,111,2496,2603,69,2072,2136,99,2690,2788,78,1953,2028,37,942,981,28,1225,1252,84,1695,1777,49,852,907,1098,25952,27048
Augusta - Margaret River - Busselton,50101,7,246,252,7,121,127,6,352,361,16,511,527,17,1190,1204,20,892,916,18,1416,1437,26,1264,1292,41,1442,1478,25,1329,1351,40,2040,2086,34,1724,1759,15,1041,1059,28,1815,1843,47,1868,1913,9,376,389,353,17630,17981
Bunbury,50102,17,442,463,13,239,253,40,658,702,45,1016,1062,71,2448,2521,78,1603,1678,88,2738,2830,84,2301,2387,77,2550,2629,76,2370,2441,137,3996,4133,102,3845,3945,51,2347,2398,89,4390,4481,152,3535,3683,35,867,908,1172,35359,36528
Manjimup,50103,5,138,139,6,94,101,0,243,249,11,326,337,22,732,758,12,427,435,24,821,842,21,627,652,18,726,743,19,615,634,23,880,900,17,709,722,6,422,430,13,628,646,21,792,813,15,233,240,239,8401,8633
Mandurah,50201,15,574,594,11,289,300,30,779,807,28,1127,1156,61,3039,3099,65,1855,1925,87,3340,3424,54,2405,2458,71,2844,2910,66,2254,2314,88,3353,3447,95,3093,3184,48,1831,1876,87,3888,3976,108,3616,3728,24,972,995,936,35259,36196
Cottesloe - Claremont,50301,0,465,465,0,188,186,6,351,356,7,448,451,6,872,878,10,762,770,5,883,885,3,921,928,12,1127,1138,3,1117,1117,8,1842,1850,6,1826,1833,8,1107,1115,26,8681,8709,6,2387,2396,3,399,406,115,23370,23490
Perth City,50302,6,868,875,3,319,326,14,800,810,19,1057,1074,24,1884,1907,16,1321,1340,9,1646,1652,12,1919,1929,19,2596,2618,19,2348,2373,34,4377,4402,39,4732,4770,25,2356,2378,77,10470,10543,22,3263,3287,10,569,586,346,40513,40859
Bayswater - Bassendean,50401,17,516,530,7,218,226,36,612,647,27,883,917,34,1906,1944,27,1209,1235,37,1974,2017,44,1883,1927,41,2310,2356,34,2103,2139,55,3517,3574,52,3347,3396,30,2122,2154,72,4832,4905,45,2432,2481,24,592,620,595,30470,31065
Mundaring,50402,4,187,185,6,101,109,14,243,257,9,323,336,9,809,821,24,505,525,23,904,926,31,783,814,18,1054,1076,24,895,916,35,1562,1590,43,1552,1597,31,1019,1051,56,2244,2298,56,1463,1518,18,295,310,398,13936,14335
Burnside,40103,0,300,303,0,123,123,6,291,293,0,378,382,0,876,877,0,685,685,3,880,879,6,958,963,10,1226,1239,8,1003,1006,3,1750,1752,5,1505,1509,3,986,990,8,4086,4101,11,1388,1392,4,274,276,71,16704,16778
Swan,50403,16,540,560,14,253,270,41,631,666,29,816,848,61,1891,1950,63,1410,1472,69,2303,2373,78,2378,2451,107,3195,3302,107,3162,3268,154,5537,5694,162,5387,5549,74,3238,3312,146,5742,5891,170,3970,4139,39,721,757,1320,41175,42496
Joondalup,50501,9,632,641,3,316,316,11,680,687,3,810,810,20,2234,2257,7,1639,1647,28,2664,2689,17,2686,2705,40,3545,3586,30,3149,3180,56,5706,5766,54,6248,6309,44,4569,4611,102,12295,12398,67,5409,5478,10,825,841,501,53415,53914
Stirling,50502,11,1106,1115,16,542,556,45,1404,1448,49,2112,2160,59,4517,4579,59,3022,3082,47,4415,4463,68,4284,4356,66,5556,5618,75,4936,5007,99,8058,8156,82,7712,7791,58,4555,4611,102,13682,13784,90,5953,6045,53,1471,1524,975,73326,74300
Wanneroo,50503,18,723,740,15,339,358,24,930,950,41,1051,1094,45,2713,2756,63,2102,2165,58,3401,3461,84,3297,3376,70,4405,4478,98,4385,4489,124,7806,7936,122,7982,8100,76,4991,5065,120,8964,9086,133,6143,6277,42,1014,1052,1139,60246,61388
Armadale,50601,18,345,366,7,174,175,27,484,518,24,568,592,34,1410,1444,55,1087,1140,69,1670,1735,62,1664,1729,66,2289,2359,71,2109,2181,92,3408,3499,70,3195,3261,38,1943,1977,86,3367,3452,85,2394,2477,30,517,544,846,26610,27453
Belmont - Victoria Park,50602,9,526,528,13,230,246,35,587,627,35,806,840,46,1589,1638,33,945,974,43,1492,1536,42,1564,1605,39,2086,2119,43,1766,1810,65,3130,3195,39,2987,3027,38,1697,1739,61,4182,4246,58,2230,2286,33,469,498,631,26276,26910
Canning,50603,6,730,738,11,279,291,22,649,664,17,798,811,20,1885,1904,19,1281,1301,22,1841,1867,30,1872,1900,31,2421,2455,17,2168,2190,47,3664,3717,32,3451,3485,26,2195,2216,43,5037,5078,47,2705,2752,15,543,557,415,31515,31930
Gosnells,50604,15,679,692,7,245,256,41,691,727,23,822,848,46,2177,2222,52,1389,1442,71,2526,2597,79,2424,2499,82,3166,3252,60,3033,3090,123,4802,4934,96,4612,4703,56,2730,2791,93,4688,4779,105,3320,3427,27,709,737,986,38013,38996
Kalamunda,50605,3,262,262,4,130,127,7,279,285,17,363,377,21,1005,1029,14,701,718,16,1186,1202,24,1112,1135,29,1524,1551,29,1343,1373,51,2376,2425,46,2297,2342,30,1553,1580,66,3242,3308,56,1929,1986,8,367,376,426,19653,20084
Serpentine - Jarrahdale,50606,3,110,110,0,38,39,0,76,78,3,107,111,3,224,227,8,190,199,3,382,387,11,404,410,10,583,597,19,621,635,37,1187,1220,29,1174,1206,21,717,739,31,1340,1370,30,898,932,5,148,156,218,8197,8417
South Perth,50607,3,386,391,6,129,132,12,353,366,4,380,387,12,803,818,5,640,648,16,751,765,8,852,864,15,1100,1120,7,976,981,14,1628,1643,12,1652,1659,8,921,928,30,4033,4066,25,1293,1319,8,256,265,190,16150,16341
Cockburn,50701,8,459,461,12,202,211,23,613,638,23,783,807,28,1779,1809,33,1171,1205,44,1918,1963,50,1841,1887,52,2437,2486,60,2212,2274,69,4133,4196,56,4282,4340,41,2960,3004,99,6225,6319,87,3384,3465,21,678,699,692,35068,35759
Fremantle,50702,4,229,233,0,100,104,25,404,428,18,483,500,20,899,921,10,524,543,5,718,725,15,706,723,25,831,850,5,796,803,18,1386,1406,26,1318,1343,7,861,868,34,3179,3213,21,1331,1354,11,249,264,247,14022,14267
Kwinana,50703,9,162,170,3,60,68,12,246,258,21,304,330,30,689,718,33,477,503,33,766,794,33,826,857,40,1073,1107,28,999,1030,48,1706,1752,52,1520,1575,20,938,961,42,1280,1319,49,1151,1201,13,242,247,449,12442,12892
Melville,50704,5,582,591,0,296,300,18,652,670,10,815,828,22,1960,1979,10,1319,1335,24,1897,1919,12,1826,1837,30,2397,2429,6,2028,2037,22,3506,3533,21,3629,3646,29,2480,2514,64,9061,9121,30,3314,3347,10,624,638,318,36395,36710
Rockingham,50705,25,577,606,10,233,240,21,728,745,21,962,986,42,2346,2393,61,1685,1753,64,2678,2740,60,2360,2418,81,2999,3077,81,2728,2813,145,4923,5070,134,4901,5036,75,2911,2982,132,5699,5830,140,4804,4943,18,840,861,1110,41369,42481
