sa3_code16,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p,sa3_name16
10701,22043,22545,44586,2440,2486,4929,6776,7468,14246,73,85,155,203,196,402,30,40,73,52,58,104,18,18,38,11,19,28,54,62,111,0,0,0,7211,7947,15160,581,647,1225,184,166,354,10412,11254,21672,2129,2210,4335,34584,36005,70592,Dapto - Port Kembla
10702,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,Illawarra Catchment Reserve
10703,24493,25466,49957,3466,3605,7070,8995,9816,18812,133,146,277,342,343,683,26,44,66,85,87,175,28,38,70,26,41,66,113,110,225,3,0,3,9759,10622,20377,563,620,1178,201,204,404,13982,15054,29036,2622,2784,5404,41100,43301,84401,Kiama - Shellharbour
10704,32978,34199,67170,4193,4316,8509,13586,14164,27750,232,279,512,377,398,774,53,66,124,143,118,264,50,51,101,45,36,81,217,252,465,5,3,4,14706,15368,30074,4045,3382,7427,317,326,639,23260,23391,46654,3587,3620,7207,59817,61210,121032,Wollongong
10801,7925,8206,16127,1522,1729,3247,3223,3407,6633,69,68,142,247,216,464,15,24,33,26,24,55,15,17,40,5,9,16,19,29,42,0,0,0,3629,3791,7426,122,155,277,94,127,223,5366,5809,11173,1300,1362,2665,14586,15375,29966,Great Lakes
10802,12997,13140,26137,2261,2537,4798,3452,3729,7181,154,146,297,488,512,1003,44,40,81,66,71,133,34,24,54,36,25,63,37,50,88,0,0,0,4307,4595,8900,198,222,424,144,131,276,6916,7479,14392,2725,2411,5140,22636,23032,45669,Kempsey - Nambucca
10803,102,106,201,14,14,27,37,32,67,0,0,0,0,3,9,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,40,38,80,3,7,11,0,0,3,64,57,117,20,20,38,183,177,361,Lord Howe Island
10804,18390,19849,38236,4044,4563,8608,8342,9193,17532,283,297,584,739,749,1488,79,82,157,125,146,270,71,87,157,70,78,147,123,141,264,0,0,0,9828,10775,20604,511,573,1089,220,221,445,14607,16135,30739,2763,2998,5762,35760,38977,74743,Port Macquarie
10805,13873,14420,28297,2830,3222,6046,5169,5450,10615,94,95,191,336,364,697,24,23,42,54,64,116,22,30,52,32,25,58,34,44,81,3,4,7,5760,6103,11861,160,213,367,151,162,318,8898,9698,18592,2089,2227,4312,24860,26348,51206,Taree - Gloucester
10901,14941,15440,30384,2484,2763,5244,4828,5405,10230,1761,1976,3739,379,401,780,86,84,164,114,112,223,53,54,110,63,58,122,84,112,196,0,0,0,7362,8200,15566,505,641,1147,181,202,384,10537,11810,22344,2280,2364,4641,27760,29613,57371,Albury
10902,3607,3320,6926,569,601,1169,372,385,758,456,488,949,44,45,94,73,84,152,29,25,60,3,3,10,13,14,30,4,3,5,0,0,0,1001,1051,2053,50,74,122,71,64,138,1686,1791,3481,741,662,1399,6032,5771,11807,Lower Murray
10903,11520,11439,22961,2138,2271,4411,1129,1191,2322,2068,2208,4274,239,229,469,57,49,103,76,77,154,27,33,67,49,57,103,17,24,39,0,0,0,3667,3874,7533,253,280,535,84,97,178,6148,6516,12664,2011,2086,4091,19680,20037,39718,Upper Murray exc. Albury
11001,8916,9274,18185,2379,2529,4907,2675,3129,5808,112,143,254,408,479,887,20,33,55,44,50,94,22,25,49,34,41,79,34,36,70,3,0,3,3361,3925,7288,676,740,1418,97,94,193,6517,7283,13808,1467,1558,3022,16896,18114,35015,Armidale
11002,10415,10512,20930,2172,2454,4622,2038,2157,4198,59,64,126,718,796,1519,17,21,43,37,35,72,19,17,35,33,40,71,7,7,11,0,0,0,2921,3147,6069,162,198,355,85,79,166,5340,5874,11213,2077,1938,4016,17830,18327,36157,Inverell - Tenterfield
11003,6980,6636,13613,1415,1536,2945,1282,1357,2633,41,29,77,372,400,770,10,10,25,21,17,36,3,3,3,9,7,15,5,9,12,0,0,0,1748,1826,3572,133,137,262,78,67,141,3365,3558,6924,1557,1561,3125,11900,11760,23661,Moree - Narrabri
11004,19704,20296,39996,3998,4462,8455,7434,8127,15556,141,145,286,731,776,1510,56,56,115,105,123,228,36,21,55,59,52,112,41,48,85,3,3,8,8608,9348,17951,739,636,1374,217,182,404,13560,14623,28184,3482,3501,6987,36748,38421,75166,Tamworth - Gunnedah
