sa3_name16,sa3_code16,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Port Adelaide - West,40402,50,3,3,0,0,0,0,0,0,53,123,18,3,0,0,0,0,0,4,150,84,27,33,0,0,0,0,0,0,145,154,88,15,0,0,0,0,0,0,253,29,13,12,0,0,0,0,0,0,53,8,18,0,0,0,0,0,0,0,28,4,3,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,6,279,150,62,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,18,463,177,63,0,0,0,0,0,4,709,5066,894,204,4,23,0,15,42,10,6214,6156,1186,232,3,0,0,14,22,21,7615,1281,867,640,0,0,0,7,4,13,2805,779,1246,326,0,0,0,0,4,8,2359,1034,448,275,0,3,0,7,9,11,1784,101,145,62,0,0,0,0,0,0,311,128,70,49,0,0,0,0,0,3,245,64,31,16,0,0,0,0,0,0,114
Burnside,40103,9,0,3,0,0,0,0,0,0,12,19,3,3,0,0,0,0,0,0,21,10,3,4,0,0,0,0,0,0,19,3,0,4,0,0,0,0,0,0,5,4,3,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,9,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,18,0,0,0,0,0,0,71,5493,1271,336,0,0,0,3,3,9,7106,4210,747,259,0,0,0,0,0,8,5222,751,866,577,0,0,0,3,3,3,2197,3,44,97,0,0,0,0,0,0,146,498,395,259,0,0,0,0,0,5,1164,4,38,30,0,0,0,0,0,0,72,34,26,19,0,0,0,0,0,0,79,42,16,12,0,0,0,0,0,0,76
Campbelltown (SA),40104,19,4,0,0,0,0,0,0,0,21,31,11,0,0,0,0,0,0,0,37,26,8,10,0,0,0,0,0,0,42,18,9,3,0,0,0,0,0,0,24,15,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,21,15,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,107,35,18,0,0,0,0,0,0,154,6356,868,165,0,0,0,0,0,3,7401,4910,968,226,0,0,0,3,3,13,6115,1329,516,490,0,0,0,0,3,6,2343,213,247,204,0,0,0,0,0,0,660,925,287,258,0,0,0,0,0,8,1485,51,72,58,0,0,0,0,0,0,188,67,28,45,0,0,0,0,0,3,141,58,17,17,0,0,0,0,0,0,90
Prospect - Walkerville,40106,18,4,0,0,0,0,0,0,0,27,18,5,0,0,0,0,0,0,0,23,17,3,3,0,0,0,0,0,0,28,15,12,9,0,0,0,0,0,0,37,10,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,15,0,0,0,0,0,0,73,3,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,82,30,19,0,0,0,0,0,3,128,3013,413,108,12,0,0,10,17,5,3556,2778,477,130,0,0,0,3,3,9,3393,635,535,551,0,0,0,0,3,7,1741,43,156,155,0,0,0,0,0,0,362,421,250,225,0,0,0,14,14,11,916,16,77,19,0,0,0,0,0,0,111,30,21,34,3,0,0,0,3,0,83,30,15,5,0,0,0,0,0,0,47
West Torrens,40403,24,3,0,0,0,0,0,0,0,29,59,4,0,0,0,0,0,0,0,63,35,21,21,0,0,0,0,0,0,83,35,18,4,0,0,0,0,0,0,62,27,6,8,0,0,0,0,0,0,37,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,104,56,31,0,0,0,0,0,0,192,8,0,5,0,0,0,0,0,0,8,6,3,4,0,0,0,0,0,0,13,187,68,41,0,0,0,0,0,4,302,6216,912,359,4,0,0,10,15,15,7508,5349,1194,476,0,3,0,3,12,24,7053,1576,1167,1490,0,0,0,15,15,15,4263,275,531,268,0,0,0,0,0,3,1076,1288,695,684,0,0,0,7,7,17,2687,90,231,47,0,0,0,0,0,0,363,89,58,99,0,0,0,3,3,4,252,69,36,15,0,0,0,0,0,3,117
Barossa,40501,31,0,0,4,0,0,0,4,0,38,91,0,0,0,0,0,0,0,0,91,28,3,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,60,3,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,189,5,3,3,0,0,0,3,0,204,4469,101,17,36,11,6,3,59,15,4668,5466,62,3,4,0,0,16,24,23,5581,864,123,31,0,0,0,0,0,0,1024,82,55,20,0,0,0,0,0,0,153,764,42,6,0,0,3,3,5,8,816,44,53,28,0,0,0,0,0,0,125,135,12,3,5,4,0,0,8,0,163,80,4,4,0,0,0,0,0,0,86
Lower North,40502,46,0,0,0,0,0,0,0,0,46,71,0,0,0,0,0,0,0,0,68,25,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,7,74,3,0,0,0,0,0,0,0,78,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,3,0,6,200,4,4,0,0,0,0,3,0,207,3569,52,15,30,6,3,20,57,26,3720,2593,27,0,3,0,3,22,28,13,2661,501,29,27,0,0,0,0,0,7,563,100,35,15,0,0,0,0,0,4,151,735,20,11,0,0,0,8,8,11,783,55,29,24,0,0,0,0,0,0,107,177,3,0,3,4,0,3,11,3,192,79,7,0,0,0,0,3,4,3,94
Mid North,40503,59,4,0,0,0,0,0,0,0,66,120,4,0,0,0,0,0,0,0,123,64,23,0,0,0,0,0,0,0,80,23,40,0,0,0,0,0,0,0,56,43,0,0,0,0,0,0,0,0,48,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,6,139,61,3,0,0,0,0,0,4,199,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,16,328,75,5,0,0,0,0,0,0,407,4155,111,11,18,0,0,18,36,42,4351,3063,73,0,5,0,0,8,13,22,3172,781,178,20,0,0,0,3,3,5,989,270,307,62,0,0,0,0,0,0,643,634,37,5,0,0,0,4,8,11,700,30,23,13,0,0,0,0,0,0,60,146,10,3,15,0,0,5,17,3,180,78,8,0,0,0,0,0,0,0,93
Yorke Peninsula,40504,35,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0,0,0,0,74,67,4,0,0,0,0,0,0,0,72,58,7,0,0,0,0,0,0,0,66,35,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,7,174,8,3,0,0,0,0,0,3,190,4,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,15,302,11,4,0,0,0,0,0,5,320,4567,88,38,86,25,0,9,127,14,4832,2516,21,7,3,0,0,12,15,15,2566,810,40,44,0,0,0,0,0,0,897,167,121,7,0,0,0,0,0,3,299,723,19,16,0,0,0,8,10,6,775,36,13,9,0,0,0,0,0,0,62,112,3,3,3,3,0,5,6,0,124,97,6,0,3,0,0,0,3,3,111
Eyre Peninsula and South West,40601,72,7,0,0,0,0,0,3,3,93,193,38,0,0,0,0,0,3,0,236,134,53,7,0,0,0,0,0,0,199,229,171,16,0,0,0,0,0,0,413,66,7,5,0,0,0,0,0,0,83,73,6,0,0,0,0,0,0,0,77,30,6,0,0,0,0,0,0,0,33,16,3,0,0,0,0,0,0,0,24,544,248,26,0,0,0,0,0,0,827,8,0,0,0,0,0,0,0,0,12,52,21,3,0,0,0,0,0,0,78,879,315,31,3,0,0,3,7,7,1236,6129,581,75,104,14,22,28,155,31,6977,5526,898,30,11,5,9,22,44,25,6526,1201,569,218,0,3,0,4,10,7,2003,422,1237,253,0,0,0,0,0,7,1921,1264,304,66,3,3,6,5,17,15,1670,35,62,18,0,0,0,0,0,0,119,309,68,27,6,11,0,3,26,10,427,146,40,11,0,0,3,0,4,4,209
Outback - North and East,40602,108,3,0,3,0,0,0,6,0,121,224,5,0,0,0,0,0,0,0,235,135,46,13,0,0,0,0,0,0,195,511,93,54,0,0,0,0,0,0,653,72,17,3,0,0,0,0,0,3,85,118,10,8,0,0,0,0,0,0,142,43,5,0,3,0,0,0,3,0,54,17,8,0,0,0,0,0,0,0,30,894,171,82,3,0,0,0,7,5,1161,10,0,0,0,0,0,0,0,0,13,46,11,4,0,0,0,0,0,0,61,1290,199,84,10,0,3,0,15,6,1596,2147,77,8,33,0,12,6,52,52,2332,1804,61,7,8,0,0,0,7,16,1894,734,157,81,0,0,0,0,0,4,975,217,152,85,0,0,0,0,0,4,461,381,32,20,4,0,0,3,9,17,460,18,6,10,0,0,0,0,0,0,36,556,108,40,3,13,3,0,17,32,746,80,8,3,3,0,4,0,7,8,113
Fleurieu - Kangaroo Island,40701,62,0,0,0,0,0,0,0,0,65,96,0,0,0,0,0,0,0,0,99,98,9,3,0,0,0,0,0,0,104,24,3,0,0,0,0,0,0,0,29,39,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,161,14,5,0,0,0,0,0,0,189,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,11,340,23,6,0,0,0,0,0,0,368,8208,255,48,58,56,3,16,132,27,8679,5997,68,24,9,4,5,6,19,28,6137,1733,219,139,0,0,0,9,10,6,2102,185,39,27,0,0,0,0,0,0,255,1244,87,49,3,0,0,9,13,15,1411,72,68,16,0,0,0,0,0,0,160,194,10,3,5,9,0,0,18,3,231,124,10,6,0,0,0,0,0,4,142
Limestone Coast,40702,93,0,0,0,0,0,0,0,0,92,177,3,0,0,0,0,0,0,0,186,87,17,18,0,0,0,0,0,0,125,44,33,3,0,0,0,0,0,0,82,46,4,3,0,0,0,0,0,0,58,3,3,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,7,196,58,25,0,0,0,0,3,0,288,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,21,485,71,30,0,3,0,0,3,0,586,8073,219,103,34,12,3,5,53,26,8485,7818,208,67,3,4,6,13,25,20,8138,1899,510,525,0,0,0,3,4,16,2956,523,436,143,0,0,0,0,0,0,1107,1289,79,83,0,0,0,3,8,15,1469,85,73,9,0,0,0,0,0,0,166,435,42,30,7,10,0,5,21,11,537,195,31,11,3,0,3,0,5,3,243
Murray and Mallee,40703,133,4,0,0,0,0,0,3,0,135,258,5,0,0,0,0,0,0,0,262,167,26,6,0,0,0,0,0,0,209,189,43,3,0,0,0,0,0,0,238,95,4,6,0,0,0,0,0,0,102,44,0,0,0,0,0,0,0,0,47,25,3,0,6,0,0,0,5,0,36,8,0,0,0,0,0,0,0,0,8,529,90,16,7,0,0,3,8,0,644,11,0,0,0,0,0,0,0,0,11,37,6,0,0,0,0,0,0,0,48,962,96,22,10,3,0,3,13,3,1098,9190,207,72,74,107,12,18,213,54,9736,7721,113,23,14,8,5,21,49,51,7959,2145,362,195,0,3,0,0,5,14,2723,547,370,89,0,0,0,0,0,0,1018,1911,101,68,9,3,3,5,19,10,2103,68,81,42,0,0,0,0,0,0,190,554,40,20,19,19,0,4,44,27,681,228,26,10,3,3,0,0,6,0,269
Augusta - Margaret River - Busselton,50101,44,0,0,0,0,0,0,0,0,44,113,0,0,0,0,0,0,3,0,119,56,3,0,0,0,0,0,0,0,62,50,7,0,0,0,0,0,0,0,55,46,0,0,0,4,0,0,4,0,49,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,158,15,0,0,5,0,0,4,4,181,4,0,0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,0,0,12,323,21,0,0,3,3,0,5,4,353,5146,312,11,85,258,10,4,362,23,5857,6075,153,3,6,8,6,12,35,29,6288,1908,275,7,0,0,0,0,0,0,2191,301,245,26,0,0,0,0,0,0,572,1447,104,11,3,0,4,5,16,12,1587,15,22,20,0,3,0,0,3,0,59,194,15,3,37,34,4,7,75,10,299,121,9,3,0,0,0,3,9,4,153
Bunbury,50102,101,8,3,0,0,0,0,0,0,109,378,6,0,0,0,0,0,3,0,390,209,29,7,0,0,0,0,0,0,238,166,56,4,0,0,0,0,0,0,224,119,3,0,0,0,0,0,0,0,124,9,3,0,0,0,0,0,0,0,11,15,3,0,0,0,0,0,3,0,20,4,0,0,0,0,0,0,0,0,6,519,90,10,0,0,0,0,3,0,630,5,0,0,0,0,0,0,0,0,3,30,3,0,0,0,0,0,0,0,34,1036,109,14,5,0,0,0,3,3,1172,9974,535,165,113,87,7,7,212,31,10931,13602,406,58,9,8,5,8,33,36,14133,3363,790,247,0,0,0,3,3,14,4416,402,542,104,0,0,0,0,0,3,1053,2361,334,75,3,0,0,3,12,10,2784,36,73,94,0,0,0,0,0,0,200,248,60,18,30,27,0,0,60,11,392,150,35,12,4,0,0,0,8,3,200
Manjimup,50103,37,0,0,0,0,0,0,0,0,41,79,0,0,0,0,0,0,0,0,77,34,0,5,0,0,0,0,0,0,41,20,8,0,0,0,0,0,0,0,33,17,4,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,5,81,20,10,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,201,20,12,0,0,0,0,6,0,239,3472,34,4,16,8,13,4,34,23,3569,2653,20,7,5,5,11,3,29,13,2715,521,35,46,0,0,0,3,7,0,612,140,49,23,0,0,0,0,0,0,214,621,18,8,0,0,4,0,5,9,654,12,17,25,0,0,0,0,0,0,51,143,8,0,0,0,0,3,3,8,155,101,3,3,0,0,0,0,0,0,107
Mandurah,50201,88,7,0,3,3,0,0,5,0,105,300,10,0,0,0,0,0,0,0,313,225,25,3,0,0,0,0,0,0,251,56,30,0,0,0,0,0,0,0,86,98,8,3,0,0,0,0,0,0,113,8,0,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,3,405,72,7,7,0,0,0,4,0,484,7,3,0,0,0,0,0,0,0,10,27,0,0,0,0,0,0,0,0,33,825,90,10,10,3,0,3,14,0,936,9483,1441,246,158,87,6,3,252,19,11446,12215,530,139,3,6,10,0,22,27,12926,3737,895,221,0,0,5,0,8,9,4870,305,418,60,0,0,0,0,0,0,780,2136,357,105,3,0,5,4,11,0,2613,72,69,83,0,0,0,0,0,0,215,185,49,28,36,22,0,4,58,3,331,115,27,17,0,0,0,0,3,0,155
Cottesloe - Claremont,50301,14,3,3,0,0,0,0,0,0,21,20,3,8,0,0,0,0,0,0,28,14,8,12,0,0,0,0,0,0,32,3,7,3,0,0,0,0,0,0,10,8,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,12,25,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,63,21,36,0,0,0,0,0,4,115,7661,1180,767,0,0,0,3,3,9,9625,5664,701,433,0,0,0,0,3,7,6808,1486,711,1428,0,0,0,0,0,3,3621,71,166,143,0,0,0,0,0,0,380,817,321,496,0,0,0,0,0,0,1645,18,42,54,0,0,0,0,0,0,104,127,32,63,0,0,0,0,0,3,226,54,29,28,0,0,0,3,3,3,115
Perth City,50302,25,6,11,0,0,0,0,0,0,39,40,14,17,0,0,0,0,0,0,70,23,14,79,0,0,0,0,0,0,116,4,14,26,0,0,0,0,0,0,42,14,6,10,0,0,0,0,0,0,35,0,0,7,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,3,42,37,127,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,4,8,11,8,0,0,0,0,0,0,22,119,65,163,0,0,0,0,0,0,346,6112,1542,1818,3,0,3,12,17,30,9516,6117,2022,3410,0,0,0,19,23,28,11596,1824,1915,7705,0,3,0,36,42,36,11529,70,351,907,0,0,0,4,4,5,1341,1353,821,2101,3,0,0,12,11,15,4302,23,51,224,0,0,0,0,0,0,297,75,57,231,0,0,0,0,0,0,366,65,43,82,0,0,0,0,0,4,193
Bayswater - Bassendean,50401,51,9,0,0,0,0,0,0,0,62,119,16,4,0,0,0,0,0,0,138,82,26,12,0,0,0,0,0,0,122,71,51,7,0,0,0,0,0,0,137,58,21,5,0,0,0,0,0,0,81,6,5,0,0,0,0,0,0,0,11,4,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,221,106,31,0,0,0,0,0,0,358,3,0,0,0,0,0,0,0,0,3,13,14,3,0,0,0,0,0,0,26,403,142,41,0,0,0,0,0,0,595,7805,1085,270,0,0,0,3,3,17,9175,8726,1766,523,0,0,0,3,4,30,11052,2521,1421,875,0,0,0,0,0,12,4831,283,535,188,0,0,0,0,0,3,1011,1826,678,367,0,0,0,3,3,14,2884,41,87,19,0,0,0,0,0,0,147,144,68,45,0,0,0,0,0,0,260,87,32,16,0,0,0,0,0,0,131
Mundaring,50402,61,0,0,0,0,0,0,0,0,64,179,0,0,0,0,0,0,0,0,181,45,3,0,0,0,0,0,0,0,55,31,15,0,0,0,0,0,0,0,51,27,3,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,25,0,0,0,0,0,0,0,133,4,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,17,364,31,0,0,0,0,0,0,0,398,4880,163,3,14,0,3,0,16,9,5070,6454,83,4,0,0,5,6,13,8,6557,706,82,3,0,0,0,0,0,0,792,78,171,9,0,0,0,0,0,0,258,653,73,8,0,0,0,0,3,4,733,16,46,0,0,0,0,0,0,0,57,45,20,0,0,0,0,0,0,0,67,54,5,0,0,0,0,0,0,0,58
Swan,50403,92,5,0,0,0,0,0,0,0,102,516,41,0,0,0,0,0,0,0,559,185,62,14,0,0,0,0,0,0,251,156,54,4,0,0,0,0,0,0,210,78,19,0,0,0,0,0,0,0,101,9,3,0,0,0,0,0,0,6,19,12,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,7,439,141,14,0,0,0,0,0,6,605,0,0,0,0,0,0,0,0,0,4,44,10,0,0,0,0,0,0,0,52,1102,194,14,0,0,0,0,8,8,1320,8105,779,13,122,23,7,11,165,19,9085,20674,1695,55,9,3,10,9,30,30,22487,3008,1173,237,0,0,0,0,0,10,4430,444,507,97,0,0,0,0,0,0,1057,2088,414,25,0,0,3,9,10,12,2550,52,43,12,0,0,0,0,3,0,106,246,40,7,6,17,0,0,27,3,318,113,36,9,0,0,0,0,0,0,152
Joondalup,50501,68,8,0,0,0,0,0,0,0,74,223,7,3,0,0,0,0,0,0,230,74,12,3,0,0,0,0,0,0,88,19,4,0,0,0,0,0,0,0,27,40,10,3,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,145,30,7,0,0,0,0,0,0,179,3,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,13,441,48,8,0,0,0,0,0,0,501,16651,1454,280,10,118,3,0,128,9,18515,23169,1286,165,0,0,3,7,15,17,24648,3939,788,479,0,3,0,0,3,10,5222,139,171,27,0,0,0,0,0,0,340,2484,498,177,0,7,0,8,9,11,3180,30,26,0,0,0,0,0,0,0,56,133,21,9,0,3,0,0,6,7,174,95,13,6,0,3,0,0,3,0,116
