gml_id,sa3_name16,sa3_code16,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c47,Onkaparinga,"40304","16528","1729","1035","158","25","11","99","19587"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c48,Charles Sturt,"40401","10784","801","293","103","9","9","40","12037"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c49,Port Adelaide - West,"40402","5159","474","216","82","12","8","27","5966"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4a,Murray and Mallee,"40703","5509","504","351","58","9","3","62","6500"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4b,Augusta - Margaret River - Busselton,"50101","4975","382","265","36","7","0","27","5690"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4c,Bunbury,"50102","9840","884","642","138","21","9","95","11632"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4d,Manjimup,"50103","1902","129","89","14","3","3","27","2164"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4e,Mandurah,"50201","8251","891","567","105","18","12","86","9934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c4f,Cottesloe - Claremont,"50301","7992","378","125","35","0","3","9","8544"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c50,Perth City,"50302","8443","434","131","47","3","3","14","9070"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c51,Burnside,"40103","5207","297","116","36","7","0","19","5674"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c52,Campbelltown (SA),"40104","5895","286","139","40","7","0","14","6392"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c53,Bayswater - Bassendean,"50401","7978","567","243","80","12","7","31","8920"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c54,Mundaring,"50402","4303","385","215","64","16","0","37","5020"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c55,Prospect - Walkerville,"40106","3145","170","62","26","0","0","6","3409"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c56,Joondalup,"50501","20006","1350","661","159","20","3","82","22280"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c57,Stirling,"50502","19621","1210","519","172","22","13","60","21623"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c58,Wanneroo,"50503","22777","1715","1223","328","45","24","124","26227"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c59,Armadale,"50601","8810","733","472","139","22","10","69","10252"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5a,Belmont - Victoria Park,"50602","5771","417","198","68","5","7","29","6499"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5b,Canning,"50603","10624","540","271","171","14","4","30","11659"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5c,Gosnells,"50604","13674","940","573","241","28","15","78","15563"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5d,Kalamunda,"50605","6284","545","306","92","17","0","39","7291"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5e,Serpentine - Jarrahdale,"50606","3183","289","205","43","6","12","29","3758"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c5f,South Perth,"50607","3906","234","59","36","0","0","10","4244"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c60,Cockburn,"50701","11971","829","489","134","14","3","38","13483"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c61,Fremantle,"50702","3303","259","97","19","3","0","13","3697"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c62,Kwinana,"50703","3952","352","248","73","10","0","36","4668"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c63,Melville,"50704","12069","675","266","96","13","0","34","13148"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c64,Rockingham,"50705","13204","1351","953","163","23","18","111","15835"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c65,Albany,"50901","5020","419","290","59","6","4","48","5850"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c66,Wheat Belt - North,"50902","4623","333","292","76","8","8","82","5418"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c67,Wheat Belt - South,"50903","1718","88","111","17","3","0","29","1966"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c68,Kimberley,"51001","2411","223","145","136","28","19","83","3047"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c69,East Pilbara,"51002","1872","151","129","45","7","8","25","2245"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6a,West Pilbara,"51003","2963","220","167","46","11","3","30","3436"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6b,Esperance,"51101","1388","125","79","18","3","0","12","1628"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6c,Gascoyne,"51102","738","57","40","19","0","0","14","868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6d,Goldfields,"51103","3653","292","262","80","17","9","44","4357"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6e,Mid West,"51104","4521","384","265","65","13","3","66","5323"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c6f,Brighton,"60101","1533","179","148","18","3","0","17","1903"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c70,Hobart - North East,"60102","4787","522","288","52","8","4","27","5690"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c71,Hobart - North West,"60103","4066","537","371","58","13","10","53","5113"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c72,Hobart - South and West,"60104","3451","313","187","26","7","3","19","4006"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c73,Hobart Inner,"60105","4255","316","129","20","3","0","17","4741"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c74,Sorell - Dodges Ferry,"60106","1389","170","104","21","0","5","15","1702"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c75,Launceston,"60201","6831","673","447","53","16","4","47","8069"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c76,Meander Valley - West Tamar,"60202","1935","173","122","21","3","3","20","2285"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c77,North East,"60203","2968","292","205","32","3","0","25","3529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c78,Central Highlands (Tas.),"60301","978","109","60","14","4","0","13","1182"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c79,Huon - Bruny Island,"60302","1634","166","95","18","0","5","9","1929"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7a,South East Coast,"60303","382","32","19","5","0","0","7","443"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7b,Devonport,"60402","3518","449","252","34","8","3","37","4301"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7c,West Coast,"60403","1465","144","126","9","4","0","15","1761"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7d,Darwin City,"70101","1877","167","60","24","3","0","4","2140"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7e,Darwin Suburbs,"70102","5392","424","235","133","14","7","38","6242"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c7f,Litchfield,"70103","1990","202","149","31","3","3","17","2398"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c80,Palmerston,"70104","3649","358","278","57","9","3","26","4377"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c81,Holdfast Bay,"40301","2969","210","87","24","0","0","8","3302"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c82,Marion,"40302","9111","674","296","91","20","4","26","10213"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c83,Burnie - Ulverstone,"60401","3821","450","283","27","4","0","35","4628"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c84,Alice Springs,"70201","2814","219","129","147","21","14","68","3424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c85,Barkly,"70202","357","28","16","48","4","3","24","484"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c86,Daly - Tiwi - West Arnhem,"70203","1175","97","49","147","16","17","52","1543"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c87,East Arnhem,"70204","1113","72","43","126","14","6","42","1417"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c88,Katherine,"70205","1377","109","77","136","17","16","77","1798"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c89,Belconnen,"80101","10010","670","392","106","11","5","48","11247"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8a,Canberra East,"80103","76","6","3","0","0","0","0","84"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8b,Gungahlin,"80104","9644","596","341","106","12","4","23","10722"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8c,North Canberra,"80105","3770","251","96","29","4","0","18","4169"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8d,South Canberra,"80106","2446","141","50","18","0","0","7","2666"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8e,Tuggeranong,"80107","9755","906","514","122","13","8","43","11361"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c8f,Weston Creek,"80108","2570","171","98","17","3","0","5","2868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c90,Woden Valley,"80109","3844","234","95","33","3","3","14","4230"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c91,Molonglo,"80110","529","30","16","8","0","0","0","582"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c92,Urriarra - Namadgi,"80111","68","3","0","0","0","0","0","80"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c93,Christmas Island,"90101","148","5","0","0","0","0","0","159"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c94,Cocos (Keeling) Islands,"90102","73","3","0","3","0","0","0","83"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c95,Jervis Bay,"90103","24","0","0","3","0","0","0","24"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p27_family_blending_census_2016.fid-5ff86f36_1724bdf6fd3_5c96,Norfolk Island,"90104","132","11","11","0","0","0","0","165"
