sa4_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa4_name16
111,6260,6281,6247,6243,6606,58,58,58,58,58,143180670,147597593,150442563,159531699,186157034,15054,15930,15291,16732,17412,22872,23499,24082,25554,28180,1.5,1.5,1.5,1.5,1.7,Newcastle and Lake Macquarie
112,4798,4838,4817,4910,5009,59,59,58,58,58,112871995,117561660,118916063,127962417,137327468,16928,17560,17701,18000,18308,23525,24300,24687,26062,27416,2.3,2.3,2.3,2.3,2.3,Richmond - Tweed
113,2204,2119,2113,2198,2187,58,58,58,58,58,45242200,47640102,49562040,52636912,55056603,14087,16636,15553,16084,16894,20527,22482,23456,23948,25174,1.1,1.2,1.2,1.2,1.2,Riverina
114,3677,3680,3731,3813,3914,59,60,59,60,60,90584535,99769812,104203371,108343262,117023352,20235,21355,21741,21986,22953,24635,27111,27929,28414,29899,2.9,2.9,3.0,3.0,3.1,Southern Highlands and Shoalhaven
115,3439,3405,3362,3344,3257,58,58,59,58,59,76901776,81777060,78723536,83429864,89354652,13569,16054,13860,14706,17433,22362,24017,23416,24949,27435,1.0,1.0,1.0,0.9,0.9,Sydney - Baulkham Hills and Hawkesbury
116,2606,2549,2746,2809,2954,57,57,57,57,57,48581846,52848878,57355477,58350146,65346245,10000,11445,10308,10312,11276,18642,20733,20887,20773,22121,0.8,0.7,0.8,0.7,0.8,Sydney - Blacktown
117,2668,2660,2776,2855,2929,58,58,58,58,58,60667715,70914284,71882171,82514609,84593162,12083,15497,13918,15408,16473,22739,26660,25894,28902,28881,0.6,0.6,0.7,0.7,0.7,Sydney - City and Inner South
118,3454,3554,3592,3575,3485,59,59,59,59,59,86684634,98927218,97710751,106623036,115187793,15117,16422,15825,17695,19942,25097,27835,27202,29825,33052,0.8,0.8,0.8,0.8,0.9,Sydney - Eastern Suburbs
119,5382,5351,5395,5564,5497,59,59,58,58,58,115253140,117913015,119091399,129324454,135811301,13236,14210,13108,13476,14903,21415,22036,22074,23243,24706,0.9,0.9,0.9,0.9,0.9,Sydney - Inner South West
120,3608,3487,3517,3579,3513,58,59,59,59,59,82994568,84485132,89030676,97051517,99647485,13461,15390,14633,16319,18255,23003,24229,25314,27117,28365,0.9,0.9,0.9,0.9,0.9,Sydney - Inner West
121,7550,7428,7336,7114,7023,60,60,60,60,60,196994994,207906043,210584159,219833810,226772969,15829,18041,17701,19999,21450,26092,27990,28706,30902,32290,1.2,1.2,1.2,1.2,1.1,Sydney - North Sydney and Hornsby
122,4871,4792,4708,4633,4425,59,59,59,59,59,110609298,115578641,116049252,122475827,126106848,14273,16323,15585,17181,18939,22708,24119,24649,26436,28499,1.3,1.3,1.2,1.2,1.2,Sydney - Northern Beaches
123,2921,2947,2957,3201,3317,57,57,57,57,57,64286588,70810913,70058707,76206513,85661897,14958,15757,14505,14158,15677,22008,24028,23692,23807,25825,1.0,1.1,1.0,1.1,1.1,Sydney - Outer South West
124,4856,4860,4882,4777,4963,58,58,58,58,58,108103650,116784798,121260160,122876099,132763780,16062,16868,16758,17567,18083,22262,24030,24838,25722,26751,1.5,1.4,1.4,1.4,1.5,Sydney - Outer West and Blue Mountains
125,3786,3671,3764,3848,3796,58,59,58,58,59,71943769,76022408,77567297,83616402,86075179,11424,13410,11890,12157,13906,19003,20709,20608,21730,22675,0.9,0.9,0.8,0.8,0.8,Sydney - Parramatta
126,2959,2901,2873,2936,2807,60,60,60,60,60,65724547,69318003,67248949,73666688,73249555,13904,15413,15157,16340,18553,22212,23895,23407,25091,26095,1.3,1.2,1.2,1.2,1.2,Sydney - Ryde
127,2538,2468,2737,2928,2977,56,57,56,56,57,50171681,51261848,54993123,61050904,68836891,10000,11218,10000,10000,10929,19768,20771,20092,20851,23123,0.7,0.7,0.7,0.8,0.8,Sydney - South West
128,4267,4232,4269,4214,4188,59,59,59,59,59,101635341,110634018,115353190,120190706,123393724,16270,18389,18321,20000,20982,23819,26142,27021,28522,29464,1.5,1.5,1.5,1.5,1.5,Sydney - Sutherland
