ogc_fid,objectid_1,playarea_id,iams_id,parent_playground_name,parent_playground_iams_id,division_name,upgrade_year,equipment_replacement_cost,surface_type,surface_location,surface_area,other_surface_type,other_surface_location,other_surface_area,edging_type,fencing_type,access_description,all_access,age_range_0_to_3,age_range_4_to_7,age_range_8_to_12,age_range_13_plus,balance,bridge,bar,climber,cubby,combination_unit,flying_fox,fort,goal,panal,rocker,rotation,sculpture,slide,sound,swing,track_glide,sand_element,exercise_element,vehicle,total_structures,comments,feature_type,operational,area,perimeter,latitude,longitude,feature_type_code,create_date,feature_instance_metadata_id,objectid,natural_element,shape_length,shape_area
339,113,383,PLAR187,PITCAIRN STREET,PLGR161,EVATT,2000.0,50000.0,TANBARK,SOUTHWEST SUPPORT POST AT TRACKGLIDE,240.0,NONE,BASE AT SLIDE 0.3M OUT,,TIMBER (SLEEPER),NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWINGS AND ROCKER.",PLAY AREA,,233.522240841206,65.3279609515,,,20,,,121,0,65.3246308250888,233.522380393633
340,114,386,PLAR188,READ PLACE,PLGR162,EVATT,2000.0,34000.0,TANBARK,EAST SUPPORT POST AT SLIDE,260.0,NONE,ONE METRE SOUTH EAST OF FIREPOLE,,BRICK,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,186.943149678666,50.2160651858,,,20,,,122,0,50.2133860364403,186.943255462914
341,115,387,PLAR189,COPLAND DRIVE,PLGR163,EVATT,2004.0,30000.0,TANBARK,SOUTH WEST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE EAST OF FIREPOLE,,TIMBER (SLEEPER),PARTIAL,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,198.041617870156,50.215873125200005,,,20,,,123,0,50.2129415573975,198.041408406058
342,125,388,PLAR191,TEAGUE PLACE,PLGR165,COOK,2000.0,8000.0,TANBARK,NORTH WEST SWING FRAME SUPPORT POST,90.0,NONE,UNDERNEATH FLAT SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING.,PLAY AREA,,93.64473385110409,35.6995801211,,,20,,,124,0,35.6976781761844,93.6443458698716
343,126,389,PLAR192,DEXTER STREET-BOURNE STREET,PLGR166,COOK,1998.0,8000.0,TANBARK,SOUTH WEST SUPPORT POST OF SWING FRAME,100.0,NONE,UNDER NEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING.,PLAY AREA,,119.53321008200399,42.4292249176,,,20,,,125,0,42.4269487696156,119.533437444098
344,127,390,PLAR193,DEXTER STREET-BOURNE STREET,PLGR166,COOK,1998.0,42000.0,TANBARK,EAST SUPPORT POST AT SLIDE,90.0,NONE,1M NORTH CENTRE OF CLATTER BRIDGE,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,118.141093309305,42.1651290738,,,20,,,126,0,42.1629851935634,118.14132810820801
345,136,373,PLAR172,PLOWMAN PLACE,PLGR150,FLYNN,2000.0,64000.0,TANBARK,WEST SUPPORT POST AT SLIDE,280.0,NONE,ONE METRE SOUTH OF CLATTER BRIDGE CENTRE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,7,"CONTAINS COMBINATION UNIT, SWING, SPINNING POLE AND ROCKERS.",PLAY AREA,,268.389045099797,61.846987636,,,20,,,135,0,61.84305471894421,268.388766749
346,137,374,PLAR174,DONNISON PLACE,PLGR152,CHARNWOOD,1995.0,52000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,210.0,NONE,UNDERNEATH CENTRE OF MONKEY BARS,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,231.06366054343,67.6373847416,,,20,,,136,0,67.632928661725,231.06376269694698
347,138,371,PLAR170,HERSCHELL CIRCUIT,PLGR148,FLYNN,2000.0,22000.0,TANBARK,EAST SUPPORT POST AT SLIDE,90.0,NONE,ONE METRE WEST OF ANGLED HOOP CLIMBER,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,113.44410567621401,42.7308416822,,,20,,,137,0,42.7282874255788,113.44454558980499
348,140,375,PLAR176,BETTINGTON CIRCUIT,PLGR154,CHARNWOOD,2006.0,10000.0,TANBARK,SOUTH EAST SUPPORT POST OF SWING FRAME,115.0,NONE,UNDERNEATH FLAT SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,CONTAINS SWING AND ROCKER.,PLAY AREA,,114.99746023653799,38.2283532309,,,20,,,139,0,38.2258362757115,114.99764462635599
349,141,372,PLAR171,RECHNER PLACE,PLGR149,FLYNN,2004.0,30000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE TO THE SOUTH OF FIREPOLE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,217.43187234939202,52.4920389398,,,20,,,140,0,52.48888141677361,217.431772661996
350,142,329,PLAR105,BOSWELL CRESCENT,PLGR92,FLOREY,1990.0,30000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CENTRE OF SOUTH FLAT SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SLIDE AND CAROUSEL.",PLAY AREA,,252.821185641826,66.74789538729999,,,20,,,98,0,66.743939848829,252.8213847907
351,143,330,PLAR106,MEYRICK PLACE,PLGR93,FLOREY,2004.0,50000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,150.0,NONE,1M SOUTH OF ZIG ZAG CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,205.159066598904,52.2581270497,,,20,,,99,0,52.254980611164704,205.159163386144
352,144,331,PLAR107,O'SULLIVAN STREET,PLGR94,HIGGINS,2002.0,2000.0,TANBARK,AT FOOTING ON WEST SIDE,30.0,NONE,1M EAST OF FOOTING,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS ROCKER,PLAY AREA,,56.16755915384971,26.9989071404,,,20,,,100,0,26.997051415426604,56.167645470743196
354,147,333,PLAR110,HUDSON STREET,PLGR96,HIGGINS,1985.0,8000.0,TANBARK,NORTH SUPPORT POST OF SWING FRAME,140.0,NONE,UNDERNEATH SOUTH FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING,PLAY AREA,,142.403011288544,50.0837963404,,,20,,,103,0,50.0803191703588,142.403027109839
355,148,334,PLAR111,RICH STREET,PLGR97,HIGGINS,1985.0,10000.0,TANBARK,NORTH SUPPORT POST OF SWING FRAME,160.0,NONE,UNDERNEATH WEST FLAT SWING SEAT CENTRE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,CONTAINS SWING AND ROCKER,PLAY AREA,,202.401161385108,63.1549165771,,,20,,,104,0,63.150286424898795,202.40159436909
356,149,335,PLAR112,UMBAGONG DISTRICT PARK,PLGR98,LATHAM,1995.0,60000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,720.0,NONE,AT END OF NORTH SLIDE,,TIMBER (SLEEPER),NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS TOWER WITH SLIDES.,PLAY AREA,,163.514764228053,54.147246556199995,,,20,,,105,0,54.1435310303012,163.515128943904
357,159,360,PLAR157,PIGDON PLACE,PLGR136,BELCONNEN,1990.0,60000.0,TANBARK,NORTH WEST SUPPORT POST AT DOUBLE SLIDE,200.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,BRICK,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CONTAINS 2 COMBINATION UNITS.,PLAY AREA,,196.007888504866,49.9645223134,,,20,,,150,0,49.9619425423919,196.00772466428901
358,160,361,PLAR158,RENNY PLACE,PLGR137,BELCONNEN,1990.0,20000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CENTRE OF TYRE SWING,,BRICK,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HAS A COMBINATION UNIT.,PLAY AREA,,190.799767018145,49.1136255647,,,20,,,151,0,49.11111124230761,190.79968088430002
359,162,362,PLAR160,COBBETT PLACE,PLGR139,BRUCE,2008.0,26000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,200.0,NONE,1M NORTH OF POMMEL CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SCALE ROCKER, ROCKER AND RUBBER FROG.",PLAY AREA,,201.209392362901,50.411542025900005,,,20,,,153,0,50.409034515881004,201.20930523003202
360,163,363,PLAR161,MUGGLESTONE PLACE,PLGR140,BRUCE,1990.0,24000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,80.0,NONE,UNDERNEATH SOUTH STRAP SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,CONTAINS COMBINATION UNIT AND ROCKERS.,PLAY AREA,,88.53185762484492,33.5694054716,,,20,,,154,0,33.567721660597805,88.5316312279627
361,164,364,PLAR162,JAEGAR CIRCUIT,PLGR141,BRUCE,1990.0,20000.0,TANBARK,EAST SUPPORT POST AT SLIDE,70.0,NONE,UNDERNEATH CENTRE OF FLAT SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,81.67692493323399,36.0762833896,,,20,,,155,0,36.0745779092296,81.6771486246524
362,165,365,PLAR163,SCARLETT STREET,PLGR142,MELBA,2009.0,30000.0,TANBARK,AT ROCKER,205.0,NONE,AT SHOP COUNTER OF COMBINATION UNIT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWINGS AND ROCKER.",PLAY AREA,,198.15852871915797,52.093823399099996,,,20,,,156,0,52.090679733856796,198.158115395893
363,166,366,PLAR164,DELANY COURT,PLGR143,MELBA,2004.0,54000.0,TANBARK,AT END OF STAIRS,360.0,NONE,BETWEEN STAND ON SWING AND SWINGS,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,"CONTAINS COMBINATION UNIT, POMMEL WALK STAND ON SWING COMBINATION, SWINGS AND ROCKERS.",PLAY AREA,,317.293567568493,72.2804735676,,,20,,,157,0,72.27604002047171,317.293044111702
364,167,367,PLAR165,HENSLOWE PLACE,PLGR144,MELBA,1995.0,20000.0,TANBARK,AT SUPPORT POST OF FIREPOLE,160.0,NONE,BELOW HALF HOOP CLIMBER,,MIXED,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONTAINS COMBINATION UNIT.,PLAY AREA,,188.51831010613603,49.0760184625,,,20,,,158,0,49.0731102433625,188.518430654072
365,168,368,PLAR166,BISHOP PLACE,PLGR145,MELBA,2004.0,53000.0,TANBARK,WEST SWING SUPPORT POST,215.0,NONE,BETWEEN SPINNING POLE AND COMBINATION UNIT,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND SPINNING POLE.",PLAY AREA,,214.744872316228,59.2264936902,,,20,,,159,0,59.222995962957896,214.745074747015
366,169,369,PLAR167,FLOWER PLACE,PLGR146,MELBA,1990.0,42000.0,TANBARK,EAST SUPPORT POST END OF SWINGS,230.0,NONE,BETWEEN STRAIGHT SLIDE AND BURMESE BRIDGE,,MIXED,NONE,SEALED PATH,,NO,NO,NO,NO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,254.618663726466,64.2089353782,,,20,,,160,0,64.2052396210199,254.618787475382
367,170,370,PLAR168,BLACKWELL CIRCUIT,PLGR147,FLYNN,1995.0,30000.0,TANBARK,WEST SUPPORT POST AT SLIDE,120.0,NONE,ONE METRE EAST OF CORKSCREW CLIMBER,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,171.42421491767402,49.4183581453,,,20,,,161,0,49.41506399631739,171.423870556283
368,195,376,PLAR178,SADLIER PLACE,PLGR156,CHARNWOOD,2004.0,35000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE WEST AT CLIMBING WALL,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING, SPINNING POLE AND ROCKER.",PLAY AREA,,224.07931460338298,54.066331558,,,20,,,186,0,54.0628619195643,224.079134279822
413,503,301,PLAR73,WOOLNER CIRCUIT,PLGR63,HAWKER,2000.0,8000.0,TANBARK,WEST SUPPORT POST OF SWING FRAME,80.0,NONE,UNDERNEATH FLAT SWING SEAT CENTRE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING,PLAY AREA,,90.96891288366,33.997464098,,,20,,,525,0,33.9952230208797,90.96889086835421
369,196,377,PLAR179,COVINGTON CRESCENT,PLGR157,CHARNWOOD,1998.0,8000.0,TANBARK,NORTH EAST SUPPORT POST OF SWING FRAME,80.0,NONE,UNDERNEATH CENTRE OF STRAP SWING SEAT,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING.,PLAY AREA,,101.318203132953,35.8243746439,,,20,,,187,0,35.822072186510205,101.31837290227502
370,197,378,PLAR180,COVINGTON CRESCENT,PLGR157,CHARNWOOD,1998.0,33000.0,TANBARK,WEST SUPPORT POST AT SLIDE,260.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,"CONTAINS JUNIOR AND SENIOR COMBINATION UNITS, ROCKER AND SHOOT HOOP.",PLAY AREA,,261.183942554207,57.392738790699994,,,20,,,188,0,57.389069576169796,261.184492307006
371,198,379,PLAR181,GOLLAN STREET,PLGR158,EVATT,1995.0,30000.0,TANBARK,EAST SUPPORT POST AT SLIDE,150.0,NONE,ONE METRE EAST OF CORKSCREW CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,197.56229898372501,49.982229467399996,,,20,,,189,0,49.9795949684746,197.561992356798
372,199,380,PLAR182,JACOBS STREET,PLGR159,EVATT,1985.0,25000.0,TANBARK,EAST SUPPORT POST AT SLIDE,170.0,NONE,UNDERNEATH CENTRE OF TYRE SWING SEAT,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, ROCKER AND TURN OVER BAR.",PLAY AREA,,153.307046689157,49.7382626941,,,20,,,190,0,49.735726932946704,153.30688788128
373,200,381,PLAR184,KINKEAD STREET,PLGR160,EVATT,1998.0,48000.0,TANBARK,EAST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,TIMBER (SLEEPER),NONE,GRAVEL PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,CONTAINS COMBINATION UNIT AND SWING.,PLAY AREA,,218.604986951428,56.2899309514,,,20,,,191,0,56.2871185615086,218.60484638597998
374,201,382,PLAR186,PITCAIRN STREET,PLGR161,EVATT,2000.0,2000.0,SAND,,8.0,NONE,,,BRICK,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SANDPIT AREA,PLAY AREA,,225.35881352336003,53.5708284699,,,20,,,192,0,53.567903208981704,225.358257146325
375,283,257,PLAR510,QUINLIVAN CRESCENT,PLGR411,DUNLOP,1998.0,30000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE WEST OF CLIMBER,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER.",PLAY AREA,,207.207850435639,58.7611553122,,,20,,,343,0,58.756938756903494,207.20777435851699
376,300,261,PLAR511,EVELYN OWEN CRESCENT,PLGR412,DUNLOP,1998.0,32000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,200.0,NONE,ONE METRE SOUTH OF CLIMBER,,TIMBER (SLEEPER),PARTIAL,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,200.552016827962,53.8722590566,,,20,,,292,0,53.8682579647365,200.552115181362
414,507,302,PLAR74,ERLDUNDA CIRCUIT ANNINGIE PLACE,PLGR64,HAWKER,1995.0,26000.0,TANBARK,SOUTH SUPPORT POST AT TRACKGLIDE,230.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,CONTAINS COMBINATION UNIT AND ROCKERS,PLAY AREA,,207.519849449884,57.569177001199996,,,20,,,529,0,57.5653266519789,207.520117249836
377,354,553,PLAR625,GILLESPIE STREET PEDESTRIAN PARKLAND,PLGR510,WEETANGERA,2007.0,26000.0,TANBARK,NORTH SUPPORT POST OF SWING FRAME,220.0,RUBBER (WET POUR),1M WEST OF ROCKER,11.0,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,7,"CONTAINS SWING, SPINNING POLES, ROCKER, BRIDGE AND RUBBER SCULPTURES.",PLAY AREA,,186.27817235355099,56.556783672200005,,,20,,,354,0,56.553249761515296,186.27812766708598
378,355,550,PLAR626,KITSON PLACE,PLGR513,FLOREY,2007.0,40000.0,TANBARK,SOUTH SUPPORT POST AT LADDER CLIMBING WALL,230.0,RUBBER (WET POUR),1M NORTH OF EAST SPINNING POLE,9.0,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,5,"CONTAINS CLIMBING WALL, SWING, SPINNING POLES AND ROCKER",PLAY AREA,,174.676956402739,50.4460362983,,,20,,,355,0,50.44281286481829,174.67737119826302
379,364,286,PLAR57,ERSKINE STREET,PLGR47,MACQUARIE,1985.0,8000.0,TANBARK,NORTH EAST SUPPORT POST OF SWING FRAME,65.0,NONE,UNDERNEATH FLAT SWING SEAT CENTRE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING,PLAY AREA,,72.3072869123542,30.5839536883,,,20,,,372,0,30.5822160065027,72.30743443864091
380,415,293,PLAR65,VAGABOND CRESCENT,PLGR55,MCKELLAR,1985.0,66000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,200.0,NONE,UNDERNEATH CENTRE OF MONKEY BARS,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,"CONTAINS 2 COMBINATION UNITS, ROCKER AND SEE SAW.",PLAY AREA,,209.50849370114497,57.690133735399996,,,20,,,474,0,57.6871739554129,209.508336437921
381,430,276,PLAR592,GOULDSMITH STREET PEDESTRIAN PARKLAND,PLGR481,DUNLOP,2002.0,35000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,300.0,NONE,UNDERNEATH CENTRE OF TRACKGLIDE,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,"CONTAINS COMBINATION UNIT, TRACKGLIDE, SWING AND ROCKER.",PLAY AREA,,283.361969789966,65.8972132322,,,20,,,423,0,65.8925900289137,283.361881955297
382,433,528,PLAR597,BOWLING PLACE,PLGR117,SPENCE,2005.0,8000.0,TANBARK,EAST SUPPORT POST OF SWING FRAME,40.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CONTAINS SWING.,PLAY AREA,,110.68266649506799,46.88362100770001,,,20,,,426,0,46.88107951818171,110.682533348109
415,517,300,PLAR72,LEVIEN STREET,PLGR62,SCULLIN,1992.0,24000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,145.0,NONE,1M EAST OF CORKSCREW CLIMBER,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,CONTAINS COMBINATION UNIT AND ROCKERS.,PLAY AREA,,131.470266125119,45.972642916000005,,,20,,,514,0,45.969666200626605,131.470665543303
383,434,529,PLAR598,CANAWAY PLACE,PLGR485,EVATT,2005.0,61000.0,TANBARK,EAST SUPPORT POST AT SLIDE,320.0,RUBBER,UNDERNEATH CENTRE OF BURMESE BRIDGE,8.0,CONCRETE,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,6,"CONTAINS COMBINATION UNIT, SWING, SPINNING POLES, ROCKER AND TWISTER GAME ACTIVITY PANEL WITH RUBBER.",PLAY AREA,,335.867969137107,78.9656881049,,,20,,,427,0,78.96123815479541,335.86793575770804
384,439,537,PLAR607,HAWKER SHOPPING CENTRE,PLGR493,HAWKER,2002.0,22000.0,RUBBER,,150.0,NONE,,,BRICK,NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,CONTAINS COMBINATION UNIT AND ROCKER.,PLAY AREA,,118.552544024231,43.772014042100004,,,20,,,432,0,43.769049353677396,118.551450444398
385,441,539,PLAR609,MC QUADE CLOSE,PLGR495,CHARNWOOD,2000.0,32000.0,TANBARK,NORTH EAST SUPPORT POST AT SLIDE,175.0,NONE,ONE METRE SOUTH OF CLATTER BRIDGE,,TIMBER (SLEEPER),NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,"CONTAINS COMBINATION UNIT, SWING AND ROCKERS.",PLAY AREA,,200.733549481877,53.535566025600005,,,20,,,434,0,53.531911260818205,200.73284909117
386,442,540,PLAR610,SANDERSON CLOSE,PLGR496,FLYNN,2000.0,65000.0,TANBARK,SOUTH SUPPORT POST AT ALPHABET ACTIVITY PANEL,210.0,NONE,ONE METRE NORTH OF BURMESE BRIDGE,,CONCRETE,NONE,NO PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SPINNING POLE AND EMBANKMENT SLIDE.",PLAY AREA,,148.147230723455,50.0471583357,,,20,,,435,0,50.044061811538896,148.146877074635
387,443,541,PLAR611,MACROSSAN CRESCENT,PLGR497,LATHAM,2005.0,30000.0,TANBARK,NORTH WEST SUPPORT POST AT SLIDE,150.0,NONE,UNDERNEATH CENTRE OF CRADLE SWING SEAT,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"CONTAINS COMBINATION UNIT, SWING AND ROCKER",PLAY AREA,,142.481442914793,45.5543653042,,,20,,,436,0,45.551218290512104,142.480823931145
388,444,542,PLAR612,UMBAGONG DISTRICT PARK,PLGR98,LATHAM,2005.0,62000.0,TANBARK,NORTH SUPPORT POST AT SLIDE,80.0,NONE,1M SOUTH OF FIREPOLE,,TIMBER (SLEEPER),NONE,SEALED PATH,,YES,YES,YES,YES,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,"CONTAINS COMBINATION UNIT, PLATFORM AND ROCKER",PLAY AREA,,103.64418702295299,42.2958540358,,,20,,,437,0,42.2930903924006,103.644941130869
