sla_code_2006_,sla_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
305111637,Wynnum,992,827,6,60,QLD,281,6,59,924,1087,11719,0
312100555,Beaudesert (S) - Pt C,926,296,3,22,QLD,122,3,26,850,1024,11269,3
705102811,Gunn-Palmerston City,1003,890,7,64,NT ,61,7,68,993,1018,2380,0
305202005,Burpengary-Narangba,948,505,4,37,QLD,187,4,40,889,1027,22609,0
305304645,Tanah Merah,955,557,4,40,QLD,202,5,43,955,955,963,0
305202008,Caboolture (S) - Central,880,87,1,7,QLD,35,1,8,803,952,18269,0
305202013,Caboolture (S) - East,916,227,2,17,QLD,88,2,19,855,968,15534,0
305202014,Caboolture (S) - Hinterland,930,320,3,23,QLD,132,3,28,871,1015,6010,15
305202015,Caboolture (S) - Midwest,965,644,5,47,QLD,228,5,48,908,1023,13956,0
305202016,Deception Bay,878,79,1,6,QLD,32,1,7,820,942,20365,0
305202018,Morayfield,895,123,1,9,QLD,48,2,11,788,1019,19816,0
305253962,Ipswich (C) - Central,919,248,2,18,QLD,94,2,20,811,1045,69952,0
305253965,Ipswich (C) - East,925,286,3,21,QLD,116,3,25,813,1090,50390,0
305253966,Ipswich (C) - North,1009,914,7,66,QLD,313,7,66,913,1060,7872,0
305253974,Ipswich (C) - South-West,920,251,2,18,QLD,95,2,20,876,979,4254,0
305253976,Ipswich (C) - West,915,223,2,16,QLD,86,2,19,845,999,7715,6
705102814,Moulden,893,119,1,9,NT ,32,4,36,847,919,3363,0
340106550,Sarina (S),889,102,1,8,QLD,43,1,10,836,961,10720,0
710204020,Thamarrurr (CGC),875,70,1,6,NT ,27,3,30,823,884,1930,0
305304601,Browns Plains,915,225,2,17,QLD,87,2,19,861,1029,28263,0
305304642,Springwood,996,850,7,61,QLD,289,7,61,962,1035,6008,0
305304603,Carbrook-Cornubia,996,852,7,62,QLD,290,7,61,943,1034,3579,0
307053481,Ormeau-Yatala,963,631,5,46,QLD,222,5,47,884,1023,10740,0
305304605,Daisy Hill-Priestdale,1027,1000,8,72,QLD,341,8,72,916,1105,4187,0
305304623,Marsden,863,62,1,5,QLD,24,1,6,833,888,19302,0
345153800,Hinchinbrook (S),918,243,2,18,QLD,91,2,20,836,1009,11557,0
305405973,Lawnton,924,282,3,21,QLD,113,3,24,814,1007,5643,0
305304608,Greenbank-Boronia Heights,899,138,1,10,QLD,55,2,12,858,968,8180,0
305304651,Underwood,992,828,6,60,QLD,282,6,60,909,1070,4516,0
705102818,Woodroffe,950,521,4,38,NT ,42,5,47,928,969,3454,0
710301809,Gulf,811,17,1,2,NT ,6,1,7,784,825,638,16
305304612,Kingston,859,55,1,4,QLD,23,1,5,811,889,12834,0
305506283,Redland (S) Bal,924,283,3,21,QLD,114,3,24,860,1025,6910,0
710152000,Jabiru (T),1035,1027,8,74,NT ,74,9,82,942,1059,1136,0
305506276,Wellington Point,1018,955,7,69,QLD,323,7,68,947,1087,10177,0
305304615,Loganholme,975,713,6,52,QLD,253,6,54,896,1043,13379,0
305304631,Rochedale South,990,816,6,59,QLD,276,6,58,912,1040,14927,0
345057031,Magnetic Island,994,844,7,61,QLD,287,7,61,932,1050,2110,0
305304618,Loganlea,909,189,2,14,QLD,70,2,15,851,1000,8335,0
710202380,Nauiyu Nambiyu (CGC),842,35,1,3,NT ,13,2,15,842,842,395,0
305304634,Shailer Park,998,863,7,62,QLD,295,7,62,958,1060,11223,0
305304637,Slacks Creek,942,444,4,32,QLD,171,4,36,850,1048,11055,0
305304654,Waterford West,878,76,1,6,QLD,31,1,7,831,904,5493,0
305304656,Woodridge,848,39,1,3,QLD,19,1,4,787,919,18453,0
307053476,Mt Warren Park,923,281,3,21,QLD,112,3,24,883,950,5636,0
305304663,Logan (C) Bal,912,207,2,15,QLD,79,2,17,787,957,2567,0
305405951,Albany Creek,1046,1067,8,77,QLD,371,8,78,951,1122,15943,0
305405957,Bray Park,931,328,3,24,QLD,135,3,29,902,962,8821,0
305405958,Central Pine West,1039,1038,8,75,QLD,356,8,75,955,1128,17800,0
710251209,East Arnhem - Bal,815,18,1,2,NT ,7,1,8,690,914,6522,20
710251609,Groote Eylandt,1010,919,7,66,NT ,66,8,73,1010,1010,1542,38
710252340,Marngarr (CGC),797,5,1,1,NT ,2,1,3,797,797,275,17
305405961,Dakabin-Kallangur-M. Downs,935,361,3,26,QLD,149,4,32,854,1088,24024,1
345057014,Douglas,1082,1163,9,84,QLD,403,9,85,1012,1109,5993,15
305405963,Griffin-Mango Hill,1019,959,7,69,QLD,325,7,69,762,1079,10258,0
305405971,Hills District,1040,1043,8,75,QLD,359,8,76,952,1137,20507,0
305405974,Petrie,978,740,6,54,QLD,257,6,54,917,1074,8567,0
305405978,Strathpine-Brendale,920,255,2,19,QLD,97,3,21,878,958,11268,0
305405988,Pine Rivers (S) Bal,1076,1144,9,82,QLD,395,9,83,931,1164,18309,0
345057015,Garbutt,886,94,1,7,QLD,38,1,8,852,919,2389,3
305456201,Clontarf,925,287,3,21,QLD,117,3,25,878,967,7722,0
345057018,Gulliver,932,331,3,24,QLD,138,3,29,915,948,2873,0
710252409,Nhulunbuy,991,822,6,59,NT ,58,7,64,969,1025,4112,0
710252500,Numbulwar Numburindi (CGC),900,147,2,11,NT ,33,4,37,900,900,681,1
305456204,Margate-Woody Point,936,384,3,28,QLD,154,4,33,872,1005,10355,0
307053461,Beenleigh,890,105,1,8,QLD,45,1,10,826,969,7816,0
305456206,Redcliffe-Scarborough,964,633,5,46,QLD,223,5,47,885,1063,18818,0
305456208,Rothwell-Kippa-Ring,923,275,2,20,QLD,109,3,23,849,1066,14281,0
307053463,Bethania-Waterford,905,168,2,13,QLD,63,2,14,879,949,5626,0
305506251,Alexandra Hills,952,533,4,39,QLD,196,5,42,883,1033,16987,0
305506254,Birkdale,983,773,6,56,QLD,265,6,56,914,1058,13995,0
710300600,Borroloola (CGC),849,42,1,4,NT ,17,2,19,849,849,774,0
305506257,Capalaba,952,535,4,39,QLD,197,5,42,898,1047,17097,0
305506262,Cleveland,1005,894,7,65,QLD,303,7,64,908,1100,13584,0
305506264,Ormiston,1039,1039,8,75,QLD,357,8,75,938,1123,5384,0
305506265,Redland Bay,970,679,5,49,QLD,241,6,51,918,1057,10886,0
710300790,Daguragu (CGC),803,9,1,1,NT ,4,1,5,710,865,543,0
710301409,Elsey,958,585,5,42,NT ,43,5,48,868,1052,777,0
305506267,Sheldon-Mt Cotton,1012,926,7,67,QLD,315,7,67,943,1109,4870,0
710302100,Jilkminggan (CGC),606,1,1,1,NT ,1,1,2,606,606,273,0
305506268,Thorneside,952,539,4,39,QLD,198,5,42,894,996,3466,0
307053466,Eagleby,855,49,1,4,QLD,20,1,5,812,924,8833,0
305506271,Thornlands,1008,906,7,65,QLD,309,7,65,927,1059,10518,0
305506273,Victoria Point,966,649,5,47,QLD,229,5,49,919,1038,13754,0
307053493,Wolffdene-Bahrs Scrub,980,753,6,54,QLD,259,6,55,959,1032,4679,0
307103515,Broadbeach Waters,1022,978,8,71,QLD,333,7,70,891,1073,7380,0
307103508,Biggera Waters-Labrador,958,583,5,42,QLD,212,5,45,901,1048,20780,0
307103517,Bundall,1062,1106,8,80,QLD,387,9,82,1006,1096,4103,0
710353800,Tennant Creek (T),938,408,3,30,NT ,40,5,44,687,979,2921,4
307103511,Bilinga-Tugun,958,587,5,43,QLD,213,5,45,885,1037,6257,0
307103514,Broadbeach-Mermaid Beach,1034,1021,8,74,QLD,348,8,73,954,1097,9541,3
345057023,Heatley,927,300,3,22,QLD,125,3,27,861,976,4266,0
307103521,Burleigh Heads,1009,913,7,66,QLD,312,7,66,951,1119,7607,0
307103523,Burleigh Waters,965,643,5,47,QLD,227,5,48,898,1031,12727,0
307103527,Coolangatta,944,475,4,35,QLD,181,4,38,896,1046,4868,0
307103533,Currumbin,1026,995,8,72,QLD,338,8,71,995,1060,2646,0
307103555,Main Beach-South Stradbroke,1089,1178,9,85,QLD,408,9,86,1045,1123,3325,4
307103562,Mermaid Wtrs-Clear Is. Wtrs,1010,917,7,66,QLD,314,7,66,931,1092,15740,0
345057026,Hermit Park,993,837,6,60,QLD,284,6,60,942,1038,3444,0
307103563,Miami,991,821,6,59,QLD,278,6,59,915,1107,6168,0
345057027,Hyde Park-Mysterton,1032,1016,8,73,QLD,346,8,73,990,1069,2221,0
307103573,Palm Beach,968,668,5,48,QLD,236,5,50,917,1028,13493,0
307103576,Paradise Point-Runaway Bay,1003,884,7,64,QLD,300,7,63,944,1132,16128,0
345057034,Mundingburra,1020,965,7,70,QLD,329,7,69,975,1062,3726,0
307103585,Southport,997,856,7,62,QLD,292,7,62,907,1112,24096,0
307103587,Surfers Paradise,1021,966,7,70,QLD,330,7,70,871,1216,18503,9
307153502,Ashmore-Benowa,1023,981,8,71,QLD,334,8,71,947,1123,18781,0
307153592,Varsity Lakes,985,787,6,57,QLD,270,6,57,839,1095,11796,0
307153525,Carrara-Merrimac,970,681,5,49,QLD,242,6,51,887,1059,16377,0
345057041,North Ward-Castle Hill,1093,1187,9,86,QLD,413,9,87,1049,1156,5588,0
320057262,Warwick (S) - Central,899,137,1,10,QLD,54,2,12,841,956,11217,0
307153535,Currumbin Waters,951,529,4,38,QLD,193,5,41,867,1027,9642,0
307153531,Coombabah,926,290,3,21,QLD,120,3,26,832,1033,9305,0
307153534,Currumbin Valley-Tallebudgera,1008,902,7,65,QLD,307,7,65,965,1064,6386,0
320057263,Warwick (S) - East,944,468,4,34,QLD,179,4,38,820,1022,4251,0
320057265,Warwick (S) - North,964,637,5,46,QLD,225,5,48,903,1088,2478,0
320057266,Warwick (S) - West,932,339,3,25,QLD,141,3,30,822,1019,3590,0
325050300,Balonne (S),957,579,5,42,QLD,208,5,44,829,1149,4626,0
345057038,Murray,1060,1100,8,79,QLD,384,9,81,959,1103,10100,8
330152104,Calliope (S) - Pt B,898,132,1,10,QLD,51,2,11,823,967,2726,3
309054907,Maroochy (S) - Maroochydore,949,513,4,37,QLD,189,4,40,849,1098,16352,0
330152850,Duaringa (S),914,220,2,16,QLD,85,2,18,796,1058,6744,0
330153000,Emerald (S),949,516,4,37,QLD,191,5,41,804,1060,14355,0
330153154,Fitzroy (S) - Pt B,927,298,3,22,QLD,123,3,26,812,1123,4389,0
330154100,Jericho (S),937,392,3,29,QLD,157,4,33,897,1087,920,0
330154554,Livingstone (S) - Pt B,956,568,5,41,QLD,205,5,43,853,1049,24965,0
345057078,Wulguru,921,265,2,19,QLD,104,3,22,865,963,4917,0
307153537,Elanora,975,712,6,52,QLD,252,6,53,915,1041,11679,0
307153543,Helensvale,981,765,6,55,QLD,264,6,56,876,1084,14768,0
309055755,Noosa (S) - Sunshine-Peregian,1045,1065,8,77,QLD,369,8,78,962,1157,9236,0
325056400,Roma (T),933,342,3,25,QLD,142,3,30,885,1015,6507,0
325057200,Warroo (S),1001,876,7,63,QLD,296,7,63,873,1140,1038,0
330053151,Fitzroy (S) - Pt A,909,187,2,14,QLD,69,2,15,895,934,6182,0
330054551,Livingstone (S) - Pt A,973,695,5,50,QLD,246,6,52,935,998,3904,12
330056350,Rockhampton (C),940,424,4,31,QLD,163,4,35,797,1137,58747,0
330102101,Calliope (S) - Pt A,937,387,3,28,QLD,156,4,33,856,1014,13818,0
330103350,Gladstone (C),931,326,3,24,QLD,134,3,29,842,1009,29084,0
330150350,Banana (S),934,354,3,26,QLD,146,4,31,839,1055,13358,0
330150500,Bauhinia (S),967,663,5,48,QLD,235,5,50,915,1057,2189,0
307153547,Hope Island,1056,1086,8,78,QLD,379,8,80,969,1131,5395,0
307153551,Kingsholme-Upper Coomera,964,636,5,46,QLD,224,5,47,916,1037,14736,0
307153564,Molendinar,978,738,6,53,QLD,256,6,54,908,1044,5605,0
307153566,Mudgeeraba-Reedy Creek,987,793,6,57,QLD,272,6,58,934,1079,20514,0
307153567,Nerang,942,442,4,32,QLD,170,4,36,865,1024,23633,0
307153568,Oxenford-Maudsland,962,617,5,45,QLD,218,5,46,912,1024,11479,0
307153572,Pacific Pines-Gaven,967,661,5,48,QLD,234,5,50,917,990,11089,0
312100800,Boonah (S),941,431,4,31,QLD,167,4,36,879,1059,8642,0
312103250,Gatton (S),931,325,3,24,QLD,133,3,28,844,1117,15640,0
312104450,Laidley (S),900,144,2,11,QLD,56,2,12,852,1005,14480,0
330155350,Mount Morgan (S),831,25,1,2,QLD,13,1,3,808,906,2984,0
330155850,Peak Downs (S),943,455,4,33,QLD,175,4,37,907,1051,3188,0
345057058,Rosslea,984,780,6,56,QLD,268,6,57,956,1012,1446,0
307153578,Parkwood-Arundel,1004,892,7,64,QLD,302,7,64,896,1062,17782,0
307153581,Pimpama-Coomera,993,838,7,61,QLD,285,6,60,913,1110,5479,0
320016901,Toowoomba (C) - Central,966,657,5,48,QLD,232,5,49,884,1052,13547,0
340107330,Whitsunday (S),957,574,5,42,QLD,206,5,44,868,1105,16957,3
307153582,Robina,1024,984,8,71,QLD,336,8,71,968,1184,19182,0
320016903,Toowoomba (C) - North-East,1071,1130,9,81,QLD,394,9,83,896,1177,10161,0
307153593,Worongary-Tallai,988,800,6,58,QLD,273,6,58,900,1078,9322,0
307200553,Beaudesert (S) - Pt B,1024,982,8,71,QLD,335,8,71,928,1200,10038,0
307203538,Guanaba-Springbrook,1008,905,7,65,QLD,308,7,65,986,1039,3971,6
309052132,Caloundra (C) - Caloundra N.,955,559,5,41,QLD,203,5,43,864,1054,21155,0
309052133,Caloundra (C) - Caloundra S.,952,530,4,38,QLD,194,5,41,843,1051,20137,0
309052135,Caloundra (C) - Kawana,969,673,5,49,QLD,239,6,51,839,1091,20318,0
309054902,Maroochy (S) - Buderim,1018,956,7,69,QLD,324,7,68,884,1140,39911,1
309054911,Maroochy (S) - Mooloolaba,992,829,6,60,QLD,283,6,60,914,1086,10244,0
320053600,Goondiwindi (T),921,261,2,19,QLD,100,3,21,843,964,4713,0
320053900,Inglewood (S),929,317,3,23,QLD,130,3,28,852,1027,2534,0
320054204,Jondaryan (S) - Pt B,912,206,2,15,QLD,78,2,17,817,1093,6984,1
320055000,Millmerran (S),928,311,3,23,QLD,127,3,27,835,1051,3098,0
309054914,Maroochy (S) - Nambour,931,330,3,24,QLD,137,3,29,851,981,13278,0
309054917,Maroochy (S) - Paynter-Petrie Creek,973,696,5,50,QLD,247,6,52,895,1046,15203,0
309055756,Noosa (S) - Tewantin,947,494,4,36,QLD,186,4,39,869,1018,11553,0
309102136,Caloundra (C) - Hinterland,1027,997,8,72,QLD,339,8,72,939,1089,7656,0
309102138,Caloundra (C) - Rail Corridor,944,473,4,34,QLD,180,4,38,878,1042,18330,0
315051810,Bundaberg (C),896,128,1,10,QLD,50,2,11,817,985,45803,0
315051981,Burnett (S) - Pt A,955,561,5,41,QLD,204,5,43,862,1040,13965,0
315073751,Hervey Bay (C) - Pt A,921,266,2,20,QLD,105,3,23,860,1033,48157,0
315100700,Biggenden (S),912,209,2,15,QLD,80,2,17,861,985,1524,0
315101984,Burnett (S) - Pt B,913,216,2,16,QLD,82,2,18,846,987,12330,0
320056600,Stanthorpe (S),927,299,3,22,QLD,124,3,26,799,1054,10123,0
320056700,Tara (S),934,348,3,25,QLD,144,4,31,793,1059,3675,0
320056750,Taroom (S),973,698,6,51,QLD,248,6,52,875,1093,2388,0
320057120,Waggamba (S),1009,912,7,66,QLD,311,7,66,827,1103,2872,0
320057150,Wambo (S),968,671,5,49,QLD,238,5,50,852,1102,5227,0
315102330,Cherbourg (S),816,19,1,2,QLD,11,1,3,816,816,1128,0
315102532,Cooloola (S) (excl. Gympie),918,245,2,18,QLD,92,2,20,818,1094,19617,0
315102535,Cooloola (S) - Gympie only,902,156,2,12,QLD,60,2,13,852,973,16452,0
315102950,Eidsvold (S),954,552,4,40,QLD,200,5,42,870,1085,860,0
315103300,Gayndah (S),920,252,2,19,QLD,96,3,21,871,1101,2786,0
315103754,Hervey Bay (C) - Pt B,866,64,1,5,QLD,26,1,6,836,976,4064,0
315104000,Isis (S),906,173,2,13,QLD,64,2,14,820,954,6297,0
315104300,Kilkivan (S),929,313,3,23,QLD,128,3,27,876,1019,3452,0
315104350,Kingaroy (S),941,437,4,32,QLD,169,4,36,807,1085,12221,0
315104400,Kolan (S),887,99,1,8,QLD,40,1,9,785,977,4563,0
315104950,Maryborough (C),895,124,1,9,QLD,49,2,11,793,1012,25703,2
315105100,Miriam Vale (S),901,153,2,11,QLD,59,2,13,812,992,5128,1
315105150,Monto (S),944,465,4,34,QLD,177,4,38,885,1057,2434,0
315105450,Mundubbera (S),904,165,2,12,QLD,62,2,13,825,980,2116,0
315105500,Murgon (S),928,308,3,23,QLD,126,3,27,865,1044,3456,0
315105650,Nanango (S),888,101,1,8,QLD,42,1,9,827,1271,9014,0
315105900,Perry (S),923,274,2,20,QLD,108,3,23,880,951,428,0
315106850,Tiaro (S),879,83,1,6,QLD,33,1,7,817,978,5324,0
315107450,Wondai (S),911,201,2,15,QLD,75,2,16,784,1048,4398,0
315107500,Woocoo (S),931,329,3,24,QLD,136,3,29,868,994,3440,0
320012151,Cambooya (S) - Pt A,981,764,6,55,QLD,263,6,56,906,1053,3909,0
320014201,Jondaryan (S) - Pt A,970,682,5,49,QLD,243,6,51,920,1016,7111,6
320016451,Rosalie (S) - Pt A,935,370,3,27,QLD,151,4,32,887,999,4539,0
320016905,Toowoomba (C) - North-West,910,194,2,14,QLD,72,2,16,789,1076,18374,1
345057003,City,1083,1168,9,84,QLD,404,9,85,971,1142,1985,0
320016906,Toowoomba (C) - South-East,1037,1034,8,75,QLD,354,8,75,885,1164,26026,0
345057007,Cranbrook,984,775,6,56,QLD,267,6,56,934,1037,6276,0
320016908,Toowoomba (C) - West,925,288,3,21,QLD,118,3,25,852,1009,22092,0
320052154,Cambooya (S) - Pt B,1019,962,7,69,QLD,327,7,69,944,1062,1909,0
320052350,Chinchilla (S),934,357,3,26,QLD,148,4,32,802,1092,5940,1
320052400,Clifton (S),960,605,5,44,QLD,215,5,46,868,1089,2612,0
320052554,Crow's Nest (S) - Pt B,980,758,6,55,QLD,261,6,55,901,1067,3922,0
320052650,Dalby (T),917,234,2,17,QLD,90,2,19,841,987,9779,0
325050650,Bendemere (S),957,580,5,42,QLD,209,5,44,854,1054,987,0
325050850,Booringa (S),943,454,4,33,QLD,174,4,37,855,1109,1705,0
325051750,Bulloo (S),929,316,3,23,QLD,129,3,28,902,1039,371,0
325051850,Bungil (S),1001,880,7,64,QLD,298,7,63,904,1058,2052,0
325055600,Murweh (S),941,432,4,31,QLD,168,4,36,843,1096,4580,0
330157550,Woorabinda (S),841,34,1,3,QLD,17,1,4,841,841,851,0
335050150,Aramac (S),952,532,4,39,QLD,195,5,41,854,1151,724,0
345057012,Currajong,932,332,3,24,QLD,139,3,30,870,964,2612,0
335050400,Barcaldine (S),961,610,5,44,QLD,216,5,46,927,1053,1617,0
335050450,Barcoo (S),962,618,5,45,QLD,219,5,46,903,1034,360,6
335050750,Blackall (S),914,218,2,16,QLD,84,2,18,874,1132,1456,0
335050900,Boulia (S),900,146,2,11,QLD,57,2,12,857,1006,420,0
335052750,Diamantina (S),921,260,2,19,QLD,99,3,21,880,963,281,7
345057074,West End,998,859,7,62,QLD,294,7,62,912,1036,3659,0
335053850,Ilfracombe (S),971,691,5,50,QLD,245,6,52,873,1209,267,0
335054050,Isisford (S),946,487,4,35,QLD,184,4,39,870,1156,264,0
335054700,Longreach (S),994,842,7,61,QLD,286,6,60,932,1192,3522,0
335056650,Tambo (S),949,520,4,38,QLD,192,5,41,878,1152,560,0
335057400,Winton (S),947,493,4,36,QLD,185,4,39,910,1149,1380,0
340054762,Mackay (C) - Pt A,942,449,4,33,QLD,173,4,37,825,1078,72845,1
340100600,Belyando (S),941,430,4,31,QLD,166,4,35,881,1043,10455,0
340100950,Bowen (S),882,89,1,7,QLD,36,1,8,816,978,12378,0
340101700,Broadsound (S),926,291,3,21,QLD,121,3,26,836,1040,6843,0
340104765,Mackay (C) - Pt B,930,319,3,23,QLD,131,3,28,868,1037,12045,1
350104970,Mer (IC),821,21,1,2,QLD,12,1,3,821,821,483,0
350105670,Napranum (S),803,10,1,1,QLD,6,1,2,803,803,840,1
345057044,Oonoonba-Idalia-Cluden,978,735,6,53,QLD,255,6,54,873,1103,3542,0
345057047,Pallarenda-Shelley Beach,1052,1081,8,78,QLD,376,8,79,1052,1052,1026,0
345057062,Rowes Bay-Belgian Gardens,1042,1056,8,76,QLD,366,8,77,1008,1127,2365,0
350100770,Boigu (IC),877,75,1,6,QLD,30,1,7,877,877,284,0
350102078,Cairns (C) - Pt B,957,577,5,42,QLD,207,5,44,876,1035,4703,0
350102200,Cardwell (S),921,262,2,19,QLD,101,3,22,832,1006,9528,2
350102500,Cook (S),936,385,3,28,QLD,155,4,33,880,1096,3466,2
350102600,Croydon (S),873,68,1,5,QLD,28,1,6,828,1081,254,0
345057065,South Townsville,1001,878,7,63,QLD,297,7,63,985,1035,1913,0
345057068,Stuart-Roseneath,880,86,1,7,QLD,34,1,8,862,899,1236,48
345057071,Vincent,922,270,2,20,QLD,107,3,23,873,960,2592,0
345106801,Kelso,920,258,2,19,QLD,98,3,21,881,996,8697,0
350102740,Dauan (IC),912,204,2,15,QLD,77,2,17,912,912,152,0
350102800,Douglas (S),969,675,5,49,QLD,240,6,51,779,1091,10191,0
345106804,Kirwan,967,660,5,48,QLD,233,5,49,871,1026,23101,0
345106807,Thuringowa (C) - Pt A Bal,923,279,2,20,QLD,110,3,24,859,1002,19784,0
345151900,Burdekin (S),911,202,2,15,QLD,76,2,16,851,1014,17019,0
345152300,Charters Towers (C),910,195,2,14,QLD,73,2,16,857,955,7976,0
345155770,Palm Island (S),792,3,1,1,QLD,2,1,1,792,792,1982,0
345156831,Thuringowa (C) - Pt B,934,356,3,26,QLD,147,4,31,857,992,7586,0
345157084,Townsville (C) - Pt B,958,581,5,42,QLD,210,5,45,842,998,3715,0
350052062,Cairns (C) - Barron,1021,971,7,70,QLD,332,7,70,951,1145,20051,0
350052065,Cairns (C) - Central Suburbs,934,351,3,26,QLD,145,4,31,828,1037,21369,3
350052066,Cairns (C) - City,1014,935,7,67,QLD,316,7,67,903,1098,8168,0
350052068,Cairns (C) - Mt Whitfield,1048,1075,8,78,QLD,373,8,79,963,1133,11805,0
350052072,Cairns (C) - Northern Suburbs,1019,960,7,69,QLD,326,7,69,938,1149,15207,0
350052074,Cairns (C) - Trinity,938,407,3,30,QLD,159,4,34,848,1063,33848,0
350103030,Erub (IC),856,51,1,4,QLD,21,1,5,856,856,317,0
350103100,Etheridge (S),954,556,4,40,QLD,201,5,43,894,1033,851,0
350106480,St Pauls (IC),909,185,2,14,QLD,68,2,15,909,909,240,0
350052076,Cairns (C) - Western Suburbs,991,826,6,60,QLD,280,6,59,891,1081,12286,0
350100200,Atherton (S),953,550,4,40,QLD,199,5,42,893,1054,10913,2
350100250,Aurukun (S),803,8,1,1,QLD,5,1,2,803,803,1045,0
350106570,Seisia (IC),938,410,3,30,QLD,160,4,34,938,938,164,0
350106950,Torres (S),980,756,6,55,QLD,260,6,55,883,1055,3233,0
350107090,Ugar (IC),893,118,1,9,QLD,47,1,10,893,893,76,0
350100270,Badu (IC),845,36,1,3,QLD,18,1,4,845,845,820,0
350100330,Bamaga (IC),901,150,2,11,QLD,58,2,13,901,901,784,0
350103650,Hammond (IC),903,162,2,12,QLD,61,2,13,903,903,214,0
350103700,Herberton (S),910,197,2,15,QLD,74,2,16,834,987,5420,0
350103830,Hope Vale (S),807,15,1,2,QLD,10,1,3,807,807,779,2
350104430,Kubin (IC),995,846,7,61,QLD,288,7,61,995,995,200,0
350104570,Lockhart River (S),856,52,1,4,QLD,22,1,5,856,856,553,1
350104740,Mabuiag (IC),893,114,1,9,QLD,46,1,10,893,893,248,0
350107170,Warraber (IC),906,178,2,13,QLD,66,2,14,906,906,246,0
805207389,Rivett,1083,1167,9,84,ACT,38,4,37,1053,1116,3070,0
350104830,Mapoon (S),864,63,1,5,QLD,25,1,6,864,864,239,3
350104850,Mareeba (S),941,429,4,31,QLD,165,4,35,834,1050,18211,6
350107650,Yorke (IC),876,73,1,6,QLD,29,1,7,876,876,298,0
355051950,Burke (S),925,285,3,21,QLD,115,3,25,852,959,497,6
355052250,Carpentaria (S),890,104,1,8,QLD,44,1,10,850,953,1939,0
355052450,Cloncurry (S),910,192,2,14,QLD,71,2,15,819,1004,3135,0
350105730,New Mapoon (S),913,213,2,16,QLD,81,2,17,913,913,344,0
350106070,Pormpuraaw (S),804,12,1,1,QLD,7,1,2,804,804,600,0
350106100,Poruma (IC),962,621,5,45,QLD,220,5,47,962,962,167,0
350106470,Saibai (IC),869,65,1,5,QLD,27,1,6,869,869,337,0
350107300,Weipa (T),971,690,5,50,QLD,244,6,52,939,1024,2831,0
350107570,Wujal Wujal (S),806,13,1,1,QLD,8,1,2,806,806,325,0
350107600,Yarrabah (S),793,4,1,1,QLD,3,1,1,793,793,2372,0
355053200,Flinders (S),943,459,4,33,QLD,176,4,37,880,1120,1791,0
405055688,Playford (C) - West Central,804,11,1,1,SA ,1,1,1,736,894,13000,0
405150070,Adelaide (C),1171,1340,10,96,SA ,122,10,100,1093,1243,16660,4
705051094,Parap,1067,1118,9,81,NT ,82,10,91,1034,1103,1804,0
355055300,Mount Isa (C),936,383,3,28,QLD,153,4,33,839,1127,19663,1
355056300,Richmond (S),949,514,4,37,QLD,190,4,40,904,1037,901,0
805207749,Stirling,1088,1177,9,85,ACT,41,4,40,1073,1110,2042,0
805207839,Stromlo,1146,1302,10,94,ACT,69,7,67,1146,1146,65,0
415058834,Yorke Peninsula (DC) - South,938,411,3,30,SA ,45,4,37,886,1023,3858,0
405052030,Gawler (T),937,393,3,29,SA ,41,4,34,798,1035,18913,0
805050189,Ainslie,1164,1327,10,96,ACT,80,8,77,1119,1191,4814,0
405055681,Playford (C) - East Central,907,179,2,13,SA ,25,3,21,805,968,20133,0
805050639,Braddon,1183,1360,10,98,ACT,89,9,86,1004,1248,3575,0
415101140,Clare and Gilbert Valleys (DC),974,704,6,51,SA ,73,6,60,886,1086,8144,0
415102110,Goyder (DC),959,594,5,43,SA ,61,5,50,795,1053,4184,0
415108130,Wakefield (DC),938,397,3,29,SA ,44,4,36,837,1058,6371,0
805102139,Dunlop,1056,1085,8,78,ACT,18,2,18,1014,1093,5849,0
535033500,Geraldton (C),912,211,2,16,WA ,18,2,12,778,1029,18915,0
535033851,Greenough (S) - Pt A,953,544,4,39,WA ,47,4,31,807,1054,12637,0
535051540,Carnarvon (S),948,502,4,36,WA ,41,3,27,777,1080,5682,0
405055683,Playford (C) - Elizabeth,818,20,1,2,SA ,2,1,2,738,894,24495,1
405055684,Playford (C) - Hills,996,851,7,61,SA ,92,8,75,928,1050,3365,0
405055686,Playford (C) - West,903,160,2,12,SA ,23,2,19,779,977,9017,0
405055891,Port Adel. Enfield (C) - East,980,750,6,54,SA ,79,7,65,864,1104,31064,2
805051989,Downer,1126,1265,10,91,ACT,59,6,57,1110,1140,3370,0
405055894,Port Adel. Enfield (C) - Inner,935,366,3,27,SA ,39,4,32,805,1035,19319,0
405057141,Salisbury (C) - Central,875,72,1,6,SA ,8,1,7,832,962,26857,3
405057143,Salisbury (C) - Inner North,859,57,1,5,SA ,6,1,5,754,905,24121,0
405156510,Prospect (C),1080,1157,9,83,SA ,111,10,91,913,1153,19294,0
