LGA_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,LGA_NAME11
64010,361,144,180,300,356,420,259,137,2949,6,0,7,3,0,0,0,3,6,0,25,4006,307,617,232,259,403,453,516,327,319,7439,Launceston (C)
64210,40,5,14,9,16,15,3,9,321,0,0,0,0,0,0,0,0,0,0,0,1514,98,126,30,35,23,22,30,9,75,1962,Meander Valley (M)
64610,15,6,6,8,6,3,0,5,126,0,0,0,0,0,0,0,0,0,0,0,807,55,48,17,28,21,6,9,0,46,1037,Northern Midlands (M)
64810,20,6,7,3,3,0,0,5,153,0,0,0,0,0,0,0,0,0,0,0,853,54,89,18,34,13,17,8,6,50,1142,Sorell (M)
65010,6,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,278,12,25,13,0,6,9,0,0,17,360,Southern Midlands (M)
65210,0,3,0,0,3,3,0,3,29,0,0,0,0,0,0,0,0,0,0,0,224,9,17,3,3,3,9,6,3,16,293,Tasman (M)
65410,21,0,6,13,3,9,3,9,157,0,0,0,0,0,0,0,0,0,0,0,1021,57,69,16,9,30,17,9,7,55,1290,Waratah/Wynyard (M)
65610,12,0,7,15,8,4,0,9,89,0,0,0,0,0,0,0,0,0,0,0,257,10,21,7,10,15,14,10,3,21,368,West Coast (M)
65810,97,38,25,31,32,24,8,35,642,7,0,0,0,0,0,0,0,0,3,10,2257,151,210,73,58,68,67,49,25,125,3083,West Tamar (M)
69499,6,0,0,3,7,22,9,10,64,0,0,0,0,0,0,0,0,0,0,0,76,8,11,0,4,9,11,25,19,17,180,
58330,16,0,0,4,0,0,4,4,96,0,0,0,0,0,0,0,0,0,0,0,732,49,58,13,13,15,10,16,7,36,949,Toodyay (S)
70200,304,169,202,215,252,209,109,88,2040,6,0,0,6,0,0,3,0,6,6,27,1836,351,600,250,313,328,410,413,279,237,5017,Alice Springs (T)
58400,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,3,53,Trayning (S)
99399,23,13,7,14,5,22,14,634,1090,8,0,0,3,0,0,0,0,4,0,15,459,24,35,19,7,22,5,26,21,642,1260,Unincorp. Other Territories
99499,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,9,
58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,Upper Gascoyne (S)
58510,940,432,570,868,893,695,650,392,7322,7,3,8,4,3,8,11,3,6,12,65,4800,809,1432,603,777,1138,1146,950,895,659,13209,Victoria Park (T)
58540,5,3,4,4,4,7,0,0,27,0,0,0,0,0,0,0,0,0,0,0,65,11,14,3,8,7,4,11,4,3,130,Victoria Plains (S)
58570,421,191,283,372,358,376,250,332,5406,15,3,0,0,0,3,3,6,0,8,38,5696,628,851,353,493,700,663,733,567,592,11276,Vincent (T)
58610,3,6,0,3,3,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,206,12,19,12,4,6,6,0,3,16,284,Wagin (S)
