lga_code_2016,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total,lga_name_2016
14650,4472,1149,5681,32271,16133,1477,49881,101173,10208,161262,Lake Macquarie (C)
14700,689,73,777,6670,1761,200,8631,19078,1666,29376,Lane Cove (A)
14750,200,36,239,1581,724,46,2347,5478,1043,8868,Leeton (A)
14850,935,204,1148,6309,2683,377,9369,22564,3494,35430,Lismore (C)
14870,412,96,516,2851,1392,122,4364,10621,2512,17496,Lithgow (C)
14900,1949,303,2283,34394,9013,797,44206,100333,13495,158031,Liverpool (C)
14920,162,28,191,1113,388,42,1537,3952,756,6243,Liverpool Plains (A)
14950,81,19,101,479,200,19,706,1507,269,2477,Lockhart (A)
15050,1027,240,1280,14297,5505,705,20506,35869,4031,60404,Maitland (C)
15240,2631,765,3421,10825,5446,452,16732,52223,7418,76370,Mid-Coast (A)
15270,410,72,487,3718,1269,161,5147,11665,2365,19175,Mid-Western Regional (A)
15300,147,29,176,1866,719,88,2676,6084,1518,10270,Moree Plains (A)
15350,731,173,910,4870,1633,122,6624,14904,1938,23465,Mosman (A)
15520,269,71,341,1633,697,65,2394,6262,1028,9683,Murray River (A)
15560,53,10,70,555,207,16,771,1872,404,3051,Murrumbidgee (A)
15650,159,39,203,2871,902,106,3875,7247,1342,12458,Muswellbrook (A)
15700,507,193,706,2358,1069,95,3526,10768,1744,16040,Nambucca (A)
15750,160,84,256,1930,780,88,2796,6118,1380,10296,Narrabri (A)
15800,158,36,199,830,352,33,1217,2837,642,4697,Narrandera (A)
15850,139,36,179,918,407,40,1369,3044,660,5069,Narromine (A)
15900,2841,1252,4148,24134,10610,1050,35790,84098,9326,129212,Newcastle (C)
15950,951,180,1146,9430,3437,211,13080,40920,5112,59115,North Sydney (A)
15990,5521,1313,6945,47586,15220,1608,64413,125105,13502,203023,Northern Beaches (A)
16100,91,20,112,726,341,25,1095,2613,669,4375,Oberon (A)
16150,765,136,921,6749,2676,339,9768,19403,2633,31801,Orange (C)
16200,318,113,438,2153,839,92,3084,7146,1423,11662,Parkes (A)
16260,3317,530,3898,41023,9970,877,51866,118211,14474,184550,Parramatta (C)
11300,846,114,976,4911,1500,115,6526,23387,2089,32004,Burwood (A)
11350,518,152,687,4835,1740,257,6836,15699,3738,26265,Byron (A)
11400,255,42,306,2203,837,105,3144,6383,964,10499,Cabonne (A)
11450,756,209,980,16095,4837,597,21530,34461,3525,59521,Camden (A)
11500,1188,458,1666,26312,9527,858,36699,77138,9308,123148,Campbelltown (C) (NSW)
11520,1792,196,2020,14444,4243,292,18983,49716,5030,73728,Canada Bay (A)
11570,6529,837,7487,55252,14940,1260,71458,182838,20972,275266,Canterbury-Bankstown (A)
11600,49,12,60,423,140,8,577,1377,236,2185,Carrathool (A)
11650,7895,2288,10278,52139,22558,2534,77236,168866,21210,267307,Central Coast (C) (NSW)
11700,20,3,23,183,57,3,246,920,321,1485,Central Darling (A)
11720,844,190,1052,8940,4214,425,13574,25836,4775,44189,Cessnock (C)
11730,1349,258,1618,6397,3096,355,9854,28038,4471,42364,Clarence Valley (A)
11750,59,12,78,754,213,27,994,2117,512,3623,Cobar (A)
11800,1448,600,2070,10888,4304,508,15699,38187,5710,59595,Coffs Harbour (C)
12000,76,46,120,661,257,20,937,2014,474,3431,Coolamon (A)
12150,77,26,105,471,184,14,664,1870,583,3124,Coonamble (A)
12350,362,62,433,1579,729,82,2388,6813,1095,10296,Cowra (A)
12380,2765,487,3282,34731,8554,696,43988,114722,12996,171707,Cumberland (A)
12700,130,44,179,1363,677,56,2093,4504,720,7315,Dungog (A)
12730,242,51,295,1222,542,37,1800,4574,892,7276,Edward River (A)
12750,1057,324,1388,4157,2041,196,6393,22143,3376,31914,Eurobodalla (A)
12850,3204,322,3585,27273,9004,593,36872,113680,10329,160880,Fairfield (C)
12870,286,119,411,1623,763,72,2458,6528,1197,10187,Federation (A)
12900,213,41,254,1357,537,62,1960,4803,877,7636,Forbes (A)
12930,3212,476,3763,24381,7589,556,32525,82828,6868,122216,Georges River (A)
12950,98,30,134,586,266,20,870,2194,377,3440,Gilgandra (A)
13010,192,79,279,1085,465,59,1611,4648,1069,7322,Glen Innes Severn (A)
13310,497,233,738,4374,1865,205,6439,14920,2869,24238,Goulburn Mulwaree (A)
13340,186,65,259,1660,692,65,2417,4935,761,8116,Greater Hume Shire (A)
13450,434,230,669,3923,1474,142,5537,12190,2552,20274,Griffith (C)
13510,319,67,391,1471,689,65,2233,5995,904,9126,Gundagai (A)
13550,261,51,318,1960,717,87,2765,5918,1002,9686,Gunnedah (A)
13660,111,41,155,716,240,16,981,2739,563,4280,Gwydir (A)
13800,824,170,1010,10953,4263,466,15682,32169,3866,51718,Hawkesbury (C)
13850,36,22,60,383,153,20,548,1516,365,2431,Hay (A)
16350,1966,316,2316,34197,12491,1395,48082,94741,11958,154775,Penrith (C)
16380,2452,511,2981,10967,4555,485,16009,43665,5771,65441,Port Macquarie-Hastings (A)
16400,1348,312,1676,10177,4866,507,15550,36086,5408,57039,Port Stephens (A)
16490,574,94,680,9445,3245,344,13032,28180,3845,45061,Queanbeyan-Palerang Regional (A)
16550,2586,525,3181,20467,6219,603,27284,80653,11760,119698,Randwick (C)
16610,527,101,634,3063,1383,143,4585,11896,1957,18441,Richmond Valley (A)
16650,2119,654,2817,16632,4847,335,21809,62766,7398,91982,Rockdale (C)
16700,2549,377,2972,19482,5266,452,25191,66748,5399,97335,Ryde (C)
16900,1026,331,1377,11695,5355,550,17599,33221,4040,54854,Shellharbour (C)
16950,2398,743,3160,13194,6468,654,20317,54236,8779,83332,Shoalhaven (C)
17000,291,49,343,4104,1510,164,5779,10764,1584,18127,Singleton (A)
17040,336,122,460,2990,1023,103,4119,10618,2019,16754,Snowy Monaro Regional (A)
17080,288,138,430,2075,849,70,2987,7225,1578,11789,Snowy Valleys (A)
