lga_name_2016,lga_code_2016,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Murray Bridge (RC),45040,4,57,35,35,81,63,29,38,0,333,18,33,30,21,55,49,7,25,66,305,328,1052,825,1093,1753,1520,694,1038,164,8470
Naracoorte and Lucindale (DC),45090,3,14,11,11,19,32,20,23,3,138,3,15,5,20,24,20,6,16,35,147,192,501,368,518,769,677,413,711,86,4236
Northern Areas (DC),45120,0,4,3,8,13,11,15,14,0,68,0,5,4,7,3,7,4,8,10,53,94,254,206,239,212,287,202,485,29,1993
Norwood Payneham St Peters (C),45290,18,82,64,67,133,90,46,81,8,576,13,74,47,38,64,57,32,46,101,466,518,2335,1841,2076,3186,2761,1577,2457,214,16962
Onkaparinga (C),45340,99,431,311,421,769,568,320,411,33,3356,88,252,148,220,439,323,159,261,450,2338,3029,9578,8026,10618,16315,11304,6846,8106,1078,74900
Orroroo/Carrieton (DC),45400,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,3,0,0,7,13,13,45,42,44,40,64,26,119,3,398
Peterborough (DC),45540,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,3,0,0,12,22,18,78,58,83,57,57,22,92,18,493
Playford (C),45680,50,145,104,145,316,239,133,128,7,1271,47,109,82,123,316,202,91,120,345,1432,1257,3661,3145,4542,8052,4923,2966,3411,696,32648
Port Adelaide Enfield (C),45890,66,295,243,303,538,347,187,210,18,2197,56,203,164,157,405,234,93,153,456,1925,1795,6128,5253,6778,13180,8100,4675,5398,952,52263
Port Augusta (C),46090,4,14,15,18,51,40,22,22,3,193,6,17,8,13,15,13,9,15,48,143,255,559,500,652,1246,738,417,831,118,5306
Port Lincoln (C),46300,3,43,30,34,48,53,21,29,4,262,12,23,11,23,26,26,16,18,55,203,254,859,658,886,1144,826,603,786,117,6127
Port Pirie City and Dists (M),46450,9,28,24,22,45,45,27,22,3,236,5,23,6,9,32,15,10,13,48,174,265,859,740,832,1056,930,776,917,130,6507
Prospect (C),46510,21,47,48,49,75,63,34,52,3,387,7,41,19,25,50,46,26,37,55,297,350,1257,1094,1363,2138,1777,1034,1456,124,10598
Renmark Paringa (DC),46670,3,19,15,8,37,21,14,26,3,137,11,10,13,15,26,14,5,24,31,152,168,451,416,550,760,636,365,642,88,4068
Robe (DC),46860,4,10,4,0,4,3,0,0,4,24,0,9,0,0,0,0,0,6,7,20,56,107,68,79,95,83,54,121,12,677
Roxby Downs (M),46970,0,0,0,9,3,7,7,16,0,49,0,0,0,0,0,6,0,14,10,35,104,105,173,145,173,218,284,951,43,2199
Unley (C),47980,13,90,58,92,104,62,64,70,0,555,20,74,42,55,61,64,24,70,83,494,634,2573,1978,2286,3199,2915,1815,2896,198,18491
Victor Harbor (C),48050,6,39,14,31,25,36,15,20,0,180,10,27,12,9,12,10,5,8,45,141,221,838,610,824,697,510,308,560,88,4649
Wakefield (DC),48130,5,8,9,7,27,8,0,11,0,77,8,9,0,14,12,6,3,15,22,90,119,350,281,357,489,355,223,548,61,2783
Coolgardie (S),51960,3,3,3,7,0,4,7,13,0,38,3,3,3,0,7,5,0,14,12,42,87,113,76,105,152,147,141,616,30,1476
Coorow (S),52030,0,3,0,3,0,4,3,0,0,12,0,6,3,0,0,6,0,4,3,22,16,43,36,37,32,60,42,160,5,429
Walkerville (M),48260,0,10,13,9,21,7,6,13,0,79,9,25,10,8,12,19,8,21,15,119,112,506,377,381,528,543,332,598,36,3402
Wattle Range (DC),48340,3,32,13,24,30,29,7,21,5,157,19,20,14,6,23,24,7,26,34,177,317,677,481,628,805,749,422,866,90,5033
West Torrens (C),48410,30,136,138,155,246,180,80,112,15,1082,31,110,69,69,117,114,39,80,193,828,959,3591,3061,3641,6076,4475,2437,3105,410,27750
Whyalla (C),48540,10,55,30,35,63,30,22,29,0,275,5,22,17,16,41,36,24,29,62,252,368,975,867,957,1664,1096,891,1326,157,8299
Wudinna (DC),48640,0,0,3,0,6,4,0,7,0,19,3,0,3,0,4,0,3,0,9,27,29,57,68,74,67,93,49,192,16,647
Yankalilla (DC),48750,0,11,4,6,15,7,4,9,0,57,7,14,8,12,6,8,3,8,17,69,102,342,238,314,288,230,131,306,28,1983
Yorke Peninsula (DC),48830,3,18,4,21,27,25,7,25,3,144,14,16,5,9,12,12,3,20,43,131,199,578,453,521,433,572,337,876,95,4061
Unincorporated SA,49399,0,7,3,12,8,9,0,10,4,55,7,5,4,3,0,6,0,11,12,54,51,129,104,123,193,181,133,718,48,1675
No usual address (SA),49499,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Albany (C),50080,21,116,67,88,140,121,64,102,13,725,27,94,55,64,71,88,34,81,126,643,766,2250,1660,2154,2690,2357,1492,2334,290,15988
Armadale (C),50210,53,196,146,165,356,322,167,234,20,1656,54,174,109,115,381,363,125,223,301,1840,1434,4058,3263,3935,7603,6679,3499,5164,654,36286
Ashburton (S),50250,4,14,6,8,8,16,13,42,0,107,23,13,10,4,11,16,9,219,52,361,568,273,243,248,248,466,572,5542,141,8305
Augusta-Margaret River (S),50280,14,36,32,25,26,36,12,23,3,208,30,40,31,28,35,45,23,47,43,313,426,1055,829,955,894,1006,489,1108,126,6892
Bassendean (T),50350,7,33,33,31,52,69,26,44,0,299,8,37,11,23,45,57,19,41,51,303,270,808,710,803,1426,1386,699,1025,112,7242
Bayswater (C),50420,35,153,169,163,283,267,129,168,12,1384,44,168,141,104,226,314,112,177,244,1537,1036,3594,3417,3398,6530,6323,3051,4517,559,32423
Belmont (C),50490,11,90,82,88,186,172,70,102,8,815,20,100,86,86,151,186,44,102,154,929,663,1832,1788,1878,3897,3695,1716,2774,339,18599
Beverley (S),50560,0,0,0,6,3,3,3,3,0,18,0,0,0,0,3,3,3,7,3,29,28,89,64,87,59,102,46,174,12,671
Boddington (S),50630,0,4,3,0,0,3,3,6,0,26,0,0,0,0,3,3,0,7,8,23,64,77,67,64,55,104,90,299,28,856
Boyup Brook (S),50770,4,0,0,6,0,0,0,5,0,15,3,8,0,3,0,4,0,8,7,31,48,89,75,93,49,90,47,247,14,752
Broomehill-Tambellup (S),51080,0,0,0,0,3,3,0,3,0,13,0,3,5,3,0,6,0,5,9,27,29,39,37,47,45,67,52,141,9,465
Bruce Rock (S),51120,0,0,0,0,0,3,0,0,0,11,0,3,3,0,0,6,0,4,0,11,14,47,28,37,22,88,28,134,4,413
Bunbury (C),51190,12,87,50,68,116,101,66,86,13,605,25,74,53,37,81,95,42,74,99,584,606,1714,1390,1689,2416,2122,1460,2080,241,13729
Busselton (C),51260,27,100,68,71,80,103,51,73,7,576,20,81,57,55,74,82,44,86,113,616,819,2340,1835,2172,2244,2322,1388,2680,281,16075
Cambridge (T),51310,11,63,34,40,51,62,32,57,3,344,18,81,55,41,47,91,29,101,58,520,407,2003,1450,1353,1498,2388,1281,2408,147,12935
Canning (C),51330,37,241,211,194,339,306,135,163,12,1639,59,228,187,167,342,377,135,211,328,2030,1377,5831,5178,4584,8263,7757,3482,4956,698,42134
Capel (S),51400,6,54,31,31,46,62,39,54,6,321,14,27,16,30,41,55,22,58,51,314,340,1026,764,963,1259,1243,811,1487,127,8019
Carnamah (S),51470,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,3,4,0,13,9,14,11,19,29,44,25,94,0,252
Chittering (S),51680,3,18,9,12,25,20,9,20,3,115,5,19,13,12,13,25,11,33,18,149,141,271,248,274,353,434,235,527,46,2526
Claremont (T),51750,0,28,21,13,23,10,3,9,0,108,8,30,23,18,23,34,14,29,18,196,107,749,491,454,479,766,415,901,55,4419
Cockburn (C),51820,50,279,205,264,450,417,202,273,34,2178,94,257,151,179,389,507,201,387,400,2567,1942,5954,5114,5466,9910,10003,4956,7554,866,51765
Collie (S),51890,5,26,19,15,7,24,24,20,4,141,7,9,9,5,12,20,4,21,31,123,175,434,337,342,442,348,604,514,86,3285
Corrigin (S),52100,0,0,3,0,0,4,0,3,0,15,3,0,3,0,0,7,0,0,9,18,26,40,44,54,46,101,58,141,12,525
Cottesloe (T),52170,3,16,0,11,10,18,5,11,0,76,4,38,10,10,9,26,15,34,25,172,119,582,364,361,345,701,334,845,39,3694
Cranbrook (S),52240,0,0,3,0,0,0,0,4,3,10,0,3,0,0,3,7,0,0,11,24,25,61,32,41,35,98,54,160,17,524
Cuballing (S),52310,0,3,3,0,5,0,3,3,0,16,3,0,0,0,0,8,0,0,6,18,21,37,21,38,50,50,38,108,5,371
Cue (S),52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,9,5,4,3,22,0,66
Cunderdin (S),52450,0,0,0,0,3,8,3,5,0,18,0,3,0,3,0,3,0,3,9,22,29,63,49,56,82,89,53,174,14,619
Dalwallinu (S),52520,0,0,0,0,3,3,3,3,0,19,0,3,3,3,0,6,4,17,3,39,23,53,52,66,53,139,79,245,16,726
Dandaragan (S),52590,0,10,4,7,10,0,5,8,0,44,4,6,3,3,0,9,3,13,15,61,75,178,152,134,129,204,136,420,25,1453
Dardanup (S),52660,16,35,23,45,50,44,33,33,9,292,10,21,20,14,32,34,27,41,36,238,311,783,650,789,1030,900,732,1116,109,6425
Dowerin (S),52940,0,0,0,0,3,3,0,3,0,9,0,3,0,0,0,3,3,0,0,16,8,29,36,31,18,61,20,100,4,307
Dumbleyung (S),53010,0,0,0,0,0,5,0,0,0,6,0,0,3,0,0,0,0,0,5,6,11,24,28,24,29,46,31,127,6,324
Dundas (S),53080,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,0,0,3,4,18,10,25,16,25,38,38,35,111,13,305
East Fremantle (T),53150,0,23,9,13,21,16,9,10,0,98,6,22,15,13,15,30,9,29,23,162,132,551,408,413,466,677,356,672,40,3720
East Pilbara (S),53220,18,33,22,23,19,20,12,82,7,231,14,7,3,3,7,7,3,20,37,107,370,235,177,202,335,337,742,3328,136,5853
Esperance (S),53290,13,29,24,38,56,52,41,39,3,310,14,23,17,24,30,45,24,38,52,256,358,787,526,746,863,966,679,1338,120,6377
Exmouth (S),53360,0,6,6,5,3,13,0,11,0,51,8,6,9,3,5,7,3,9,12,66,101,150,104,170,215,248,125,261,25,1405
Fremantle (C),53430,6,74,48,52,65,63,24,53,3,393,25,100,53,55,79,117,43,100,93,678,585,1949,1508,1578,2084,2500,1323,2246,211,13973
Gingin (S),53570,0,10,11,11,4,12,3,10,0,58,9,9,10,6,7,13,6,16,32,112,111,271,225,221,219,349,184,505,67,2154
Gnowangerup (S),53640,0,3,0,3,0,0,3,3,0,15,0,3,3,3,0,0,0,8,8,31,25,63,50,47,50,105,74,181,17,602
Kalgoorlie/Boulder (C),54280,29,58,47,51,98,117,92,255,9,740,17,47,27,39,54,95,50,136,137,599,575,1247,904,1216,1940,2292,1854,4541,333,14898
Karratha (C),54310,21,36,27,27,48,55,42,126,4,370,33,45,18,32,66,76,61,197,83,601,561,729,568,748,1221,1550,1709,3428,196,10701
Goomalling (S),53710,0,0,3,0,4,3,3,0,0,15,0,0,0,0,0,7,0,7,5,18,14,55,54,52,40,76,28,120,6,446
Gosnells (C),53780,46,289,233,253,543,457,203,327,28,2381,105,274,215,242,564,609,207,316,504,3027,1770,6008,5234,5896,11583,10112,4638,6618,1078,52930
Greater Geraldton (C),53800,19,88,66,74,128,158,61,137,4,740,29,76,44,61,94,111,44,122,149,734,818,1906,1491,1989,2761,2800,1543,3085,304,16701
Halls Creek (S),53920,3,5,3,8,5,6,3,12,0,44,4,3,4,3,3,3,0,4,18,39,23,44,43,56,129,114,79,183,41,705
Harvey (S),53990,8,57,50,57,66,70,45,71,7,433,27,54,18,33,57,89,39,85,94,490,577,1452,1138,1346,1781,1686,1276,2209,217,11684
Irwin (S),54060,3,13,0,3,18,4,3,7,0,52,6,9,6,6,5,12,3,12,18,67,63,219,131,172,157,170,114,320,46,1389
Jerramungup (S),54130,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,14,17,60,32,55,43,105,42,212,3,569
Joondalup (C),54170,84,493,331,397,510,548,257,382,25,3026,129,365,255,249,444,635,245,469,476,3261,2935,10786,8826,8845,12795,14966,7258,11467,1109,78978
Kalamunda (S),54200,42,179,113,128,250,289,134,209,14,1364,48,153,90,100,219,260,95,169,165,1307,1027,3230,2576,3005,4820,5125,2619,4414,431,27255
Katanning (S),54340,7,10,10,7,3,19,4,16,0,77,5,12,7,7,17,8,4,3,17,71,79,170,132,196,354,324,181,292,35,1759
Kellerberrin (S),54410,0,3,0,0,3,0,0,0,0,11,3,3,3,4,0,0,0,8,6,32,18,47,46,70,54,71,31,136,13,487
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,34,15,30,17,38,27,121,8,298
Kojonup (S),54550,3,0,0,4,3,5,9,6,0,34,5,0,3,0,0,4,4,0,12,25,53,86,89,102,82,163,68,295,22,964
Kondinin (S),54620,0,0,0,0,0,0,3,3,0,7,0,0,0,0,3,5,0,0,8,14,13,36,36,35,40,60,65,191,7,488
Koorda (S),54690,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,5,12,9,23,15,15,11,29,11,73,8,192
Kulin (S),54760,0,3,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,3,3,11,20,32,27,30,24,47,46,169,8,413
Kwinana (C),54830,24,69,76,69,159,122,71,84,3,670,34,69,54,52,146,167,72,109,194,893,644,1724,1497,1764,3643,3153,1564,2441,373,16802
Lake Grace (S),54900,3,3,0,0,4,11,3,4,0,31,0,0,0,0,0,11,0,9,8,32,43,46,52,66,34,126,74,255,16,708
Laverton (S),54970,0,0,0,3,3,3,0,4,0,17,3,3,0,0,0,0,0,3,4,16,34,16,22,28,37,44,56,347,10,598
Leonora (S),55040,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,3,3,8,33,20,26,37,53,49,47,387,17,669
Mandurah (C),55110,36,180,119,147,205,189,107,147,16,1147,56,149,122,85,152,206,85,222,241,1315,1522,4059,3222,3648,5279,4422,2600,5682,604,31036
Manjimup (S),55180,7,16,7,15,21,34,13,23,0,144,16,17,10,15,23,32,7,29,37,185,251,517,423,482,563,712,331,808,90,4184
Meekatharra (S),55250,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,4,13,23,37,24,17,20,54,37,42,214,21,463
Melville (C),55320,29,239,186,179,249,263,120,202,13,1481,63,268,188,174,252,387,127,327,239,2015,1531,7063,5279,4998,7063,8720,4297,7174,541,46665
Mukinbudin (S),55950,0,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,3,3,6,10,5,28,22,17,20,52,33,101,8,276
Menzies (S),55390,0,3,0,0,13,0,0,4,0,23,0,0,0,0,0,0,0,0,3,3,13,7,8,5,32,9,16,118,10,220
Mingenew (S),55530,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,10,7,24,19,23,16,29,10,91,13,232
Mundaring (S),56090,31,106,84,78,147,159,79,137,9,826,27,88,50,66,137,131,61,127,132,815,740,2282,1828,1952,2822,3049,1622,2816,273,17390
Morawa (S),55670,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,15,25,30,32,37,50,28,87,3,304
Moora (S),55600,0,6,0,5,9,10,12,3,0,48,3,3,0,4,4,7,4,6,4,44,50,116,95,111,119,231,107,288,24,1137
Nungarin (S),56860,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,12,8,17,14,14,12,33,5,110
Peppermint Grove (S),56930,0,6,3,0,0,0,3,4,0,17,3,9,6,3,0,9,3,5,3,30,15,142,78,78,49,112,52,152,12,697
Mosman Park (T),55740,9,20,21,18,14,18,11,16,3,120,7,29,14,11,12,30,10,30,27,180,126,649,495,430,489,725,352,740,61,4059
Mount Magnet (S),55810,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,7,16,6,13,9,15,19,23,11,56,6,150
Mount Marshall (S),55880,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,8,13,25,18,20,15,46,31,105,5,273
Rockingham (C),57490,72,292,228,216,396,394,193,296,11,2098,118,226,160,162,404,477,188,415,386,2531,2432,6172,5101,5679,9877,9653,5488,9551,888,54837
Southern Midlands (M),65010,7,8,13,7,28,18,7,18,7,114,16,12,10,5,17,16,3,13,37,128,112,288,255,332,467,444,222,398,79,2599
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,6,5,24,3,52
Murray (S),56230,11,34,10,29,45,35,30,51,6,249,7,38,23,32,30,54,21,47,55,306,326,864,685,730,1015,856,544,1276,123,6418
Nannup (S),56300,0,3,0,0,0,0,0,0,0,5,0,9,3,0,3,3,0,0,3,20,26,78,72,62,64,70,41,110,18,544
Tasman (M),65210,0,3,4,0,3,0,0,4,0,16,5,3,0,7,0,3,3,0,4,22,53,144,100,131,107,98,49,107,17,797
Waratah/Wynyard (M),65410,4,25,20,14,49,45,13,24,0,188,16,30,17,24,23,35,17,17,52,221,216,723,627,663,952,751,481,815,112,5342
West Coast (M),65610,7,9,5,3,6,6,12,7,4,51,4,0,0,0,0,0,3,9,19,38,78,208,153,154,179,162,178,370,39,1515
West Tamar (M),65810,10,62,40,57,85,52,38,54,3,408,18,44,21,27,51,51,24,20,77,342,471,1336,1173,1258,1822,1511,887,1212,172,9856
Narembeen (S),56370,0,0,0,0,5,0,3,0,0,10,0,0,0,0,0,3,0,5,7,22,22,33,24,38,33,74,37,136,12,409
Narrogin (S),56460,3,9,9,8,11,31,13,15,0,101,7,11,3,3,8,15,10,15,22,94,133,216,202,214,297,398,204,390,46,2093
Nedlands (C),56580,0,47,22,19,25,23,16,38,0,189,14,70,37,24,29,58,26,77,34,372,290,1814,1068,1012,940,1695,840,2009,103,9772
Ngaanyatjarraku (S),56620,4,0,0,4,0,3,0,0,0,15,0,0,0,0,3,0,0,0,3,15,22,19,20,51,45,35,19,54,13,284
Northam (S),56730,12,26,18,11,42,29,14,29,3,184,9,26,13,12,27,44,22,24,30,214,201,477,420,480,748,735,485,710,83,4337
Northampton (S),56790,3,4,4,3,3,7,7,4,0,43,4,3,0,3,4,3,3,19,7,55,86,182,143,164,118,165,116,361,36,1370
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,15,0,40
Serpentine-Jarrahdale (S),57700,14,77,53,66,113,115,71,118,0,635,27,55,44,44,105,131,47,134,75,658,498,1336,1155,1383,2297,2346,1290,2383,185,12871
Shark Bay (S),57770,0,3,0,0,3,4,0,0,0,17,0,3,0,3,7,3,0,0,3,27,19,38,33,51,60,65,31,117,9,419
South Perth (C),57840,18,111,65,71,120,99,61,84,3,634,27,116,80,83,113,182,51,129,120,899,669,2758,2214,2033,3243,4065,2041,3442,289,20757
Stirling (C),57910,99,577,468,471,754,710,363,482,37,3967,125,528,407,354,677,878,337,593,712,4615,3390,12521,11364,10988,18459,19960,9806,15323,1615,103428
Subiaco (C),57980,12,46,16,26,34,34,23,29,0,214,10,51,19,27,22,68,30,62,55,341,297,1340,927,885,1214,1830,941,1627,142,9207
Swan (C),58050,80,356,244,302,628,603,302,419,27,2962,102,290,198,226,624,592,221,406,540,3189,2324,6860,5883,6908,13133,11514,5799,9754,1166,63340
Tammin (S),58190,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,6,18,19,16,14,32,20,51,0,169
Three Springs (S),58260,0,3,0,0,0,0,0,4,0,8,0,0,0,0,0,4,0,0,0,10,9,25,15,17,26,49,35,84,9,264
Perenjori (S),57000,0,0,0,0,0,0,3,0,0,7,3,0,0,3,0,0,0,3,4,17,19,27,19,24,16,38,47,195,6,385
Perth (C),57080,3,25,35,26,77,54,34,51,9,310,28,44,39,33,62,115,50,80,83,543,452,963,1173,835,2015,2628,1142,2100,195,11512
Pingelly (S),57140,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,3,3,16,23,59,42,36,32,63,32,117,7,417
Plantagenet (S),57210,0,12,7,11,24,9,5,11,0,78,4,8,7,3,9,12,3,14,26,88,118,276,229,281,269,288,189,430,48,2120
Port Hedland (T),57280,9,15,14,17,45,30,34,122,6,284,14,19,13,18,28,26,25,77,66,290,403,427,351,484,861,894,836,2634,163,7051
Quairading (S),57350,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,0,0,3,4,11,28,41,43,38,27,53,37,105,18,369
Ravensthorpe (S),57420,0,3,0,0,0,6,0,8,0,16,0,0,4,0,0,4,3,6,4,18,45,76,58,54,47,75,72,323,18,775
Toodyay (S),58330,3,12,5,10,12,9,0,12,0,64,8,11,9,7,5,23,0,7,15,88,113,235,201,187,244,289,159,382,40,1846
Westonia (S),59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,10,6,9,15,19,85,7,169
Trayning (S),58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,14,20,10,9,19,13,43,7,135
No usual address (Tas.),69499,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,7,0,4,0,18,14,38,27,28,45,38,17,39,10,247
Palmerston (C),72800,19,45,47,57,133,129,72,105,4,614,31,49,18,45,128,127,60,162,166,783,747,991,918,1331,3892,3225,1887,3944,366,17296
Upper Gascoyne (S),58470,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,7,3,5,4,5,3,10,0,31,5,72
Victoria Park (T),58510,21,85,71,75,133,108,61,50,3,610,24,72,61,49,114,140,52,92,143,746,592,1938,1914,1677,3284,3543,1713,2549,294,17489
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
Alice Springs (T),70200,17,46,28,38,168,114,59,81,0,543,23,13,19,30,97,81,37,61,101,464,531,788,673,1079,3261,2567,1379,2089,239,12608
Roper Gulf (R),73600,7,18,3,10,22,24,3,14,11,120,8,5,3,0,12,5,3,7,70,119,77,137,90,101,259,207,91,329,142,1437
Tiwi Islands (R),74050,0,28,5,14,8,7,0,9,8,83,7,3,0,0,9,0,0,0,32,52,11,118,32,62,104,62,21,74,40,524
Victoria Daly (R),74550,3,3,5,6,6,14,3,16,3,65,3,9,3,0,0,0,0,0,24,44,20,66,44,62,102,114,52,249,36,743
Victoria Plains (S),58540,0,0,0,3,8,4,0,7,0,20,0,0,0,0,0,5,4,7,3,21,23,44,42,34,29,70,52,152,3,453
West Daly (R),74680,0,3,7,10,26,10,3,4,3,67,0,0,0,0,0,3,0,0,11,19,16,19,31,49,150,93,21,43,21,452
Unincorporated NT,79399,4,5,3,12,18,30,13,15,7,106,19,11,7,5,19,28,4,25,30,142,202,181,169,221,527,825,461,971,76,3636
No usual address (NT),79499,0,0,0,0,0,0,0,0,0,9,4,3,7,0,3,3,0,5,4,36,52,28,40,30,78,93,56,175,18,574
Vincent (C),58570,8,94,70,66,125,96,55,100,4,615,18,69,67,66,110,167,60,110,103,771,631,1906,1935,1767,3084,3780,2139,3300,239,18784
Wagin (S),58610,0,3,3,0,0,7,10,10,0,32,3,0,3,5,0,0,3,3,7,23,40,103,66,86,54,141,65,172,12,745
Wandering (S),58680,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,0,7,13,26,13,13,14,30,18,67,3,209
Wanneroo (C),58760,98,593,446,480,831,786,399,567,44,4248,147,389,293,307,722,828,293,508,806,4292,3383,10571,8596,10029,17368,16838,7805,12808,1693,89092
Waroona (S),58820,0,7,3,9,14,10,3,11,0,56,9,4,3,10,5,8,0,12,18,67,111,190,166,165,291,209,128,328,50,1626
West Arthur (S),58890,0,0,3,0,0,0,0,3,0,8,0,3,0,0,6,5,0,3,9,28,12,47,49,47,33,39,32,129,11,411
Flinders (M) (Tas.),62010,0,0,0,0,3,3,0,0,0,10,0,0,0,3,4,0,0,0,5,16,17,63,35,63,53,72,35,68,15,433
George Town (M),62210,0,5,3,8,12,20,3,7,0,55,3,13,12,11,17,18,13,12,26,112,88,241,247,300,410,348,212,270,61,2185
Glamorgan/Spring Bay (M),62410,3,9,0,3,11,7,3,11,0,39,3,12,7,3,8,7,5,9,24,76,113,279,169,229,237,218,115,250,47,1648
Glenorchy (C),62610,21,111,88,104,193,139,67,92,8,824,29,84,52,67,123,108,26,40,180,714,738,2391,1951,2697,4707,3047,1589,1777,369,19256
Hobart (C),62810,13,119,68,102,116,74,61,82,3,641,28,88,65,61,81,62,25,67,111,591,968,3623,2738,3152,4599,3556,2186,3161,271,24259
Wickepin (S),59100,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,7,15,15,57,26,30,27,42,36,109,12,353
Wagait (S),74560,0,0,4,0,4,7,0,0,0,12,0,0,0,0,0,3,0,0,0,13,20,18,17,27,52,40,28,36,6,228
West Arnhem (R),74660,5,16,7,3,38,38,3,8,8,126,7,3,5,3,11,14,3,4,78,132,76,92,93,88,351,295,95,246,108,1451
Williams (S),59170,0,0,3,0,0,3,0,3,0,14,0,0,3,3,0,3,0,0,4,11,31,44,53,49,36,67,49,179,7,519
Wiluna (S),59250,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,3,0,4,9,18,11,10,13,20,18,24,244,8,371
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9,3,3,0,0,0,0,0,14,10,28
Unincorporated ACT,89399,149,820,609,680,1270,1025,621,857,70,6102,185,599,369,370,799,908,347,557,1218,5346,8471,20570,16484,19945,46914,41411,21467,27141,3014,205419
No usual address (ACT),89499,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,5,11,9,28,14,22,35,46,12,35,6,202
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,5,5,7,4,8,9,3,8,3,58,5,13,7,10,16,16,4,13,24,111,121,204,149,209,503,331,236,331,69,2151
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,11
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
Huon Valley (M),63010,8,36,35,28,47,63,23,22,4,263,10,24,21,25,30,33,8,25,59,246,270,870,797,868,1124,1030,477,809,137,6381
Kentish (M),63210,6,10,18,16,24,18,6,13,3,103,7,15,7,10,14,20,3,10,38,115,128,340,301,322,374,330,205,376,69,2445
King Island (M),63410,0,3,0,0,3,5,3,3,0,24,4,4,0,0,0,3,0,7,7,28,51,80,63,90,109,145,80,171,12,797
Kingborough (M),63610,10,99,67,81,98,98,57,74,5,602,19,66,42,43,53,62,18,48,89,441,683,2300,1964,2202,3102,2606,1371,1907,203,16335
