lga_name_2016,lga_code_2016,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Blayney (A),10850,6,18,0,0,3,0,0,0,0,29,0,9,0,0,0,0,0,0,0,11,33,176,12,18,37,5,0,3,0,290,0,0,0,0,0,0,0,0,0,0,20,14,3,13,17,6,0,3,3,81,10,8,5,40,23,5,0,6,0,107,31,23,39,75,74,20,3,19,4,287,5,0,0,9,18,8,0,5,0,37,8,9,3,8,17,10,3,5,0,58,0,0,0,3,0,0,0,0,3,14,10,8,3,8,12,8,0,3,0,43,142,301,66,169,205,64,11,45,17,1008,3,0,0,0,0,0,0,0,0,0,8,13,0,0,3,0,0,0,0,19,17,39,0,4,4,0,0,3,0,63,0,8,0,0,0,0,0,0,0,7,8,19,6,3,3,0,0,0,0,40,3,14,0,0,0,0,0,0,0,22,75,246,18,25,43,6,8,11,0,431,0,0,0,0,0,0,0,0,0,3
Blue Mountains (C),10900,71,462,10,60,61,11,0,9,7,694,18,118,4,14,17,0,0,0,0,176,464,2837,98,420,476,143,4,80,31,4545,0,5,0,4,4,4,0,0,0,19,120,428,45,202,247,65,5,27,8,1150,170,249,77,383,381,91,10,55,16,1433,151,194,298,655,628,223,18,145,22,2334,19,12,15,35,92,45,0,19,3,238,36,48,24,104,181,45,4,28,3,462,6,43,9,23,47,11,3,11,0,148,18,59,8,48,76,29,9,20,27,290,1308,5711,603,2022,2315,684,59,407,139,13253,10,39,0,0,3,0,0,0,0,54,55,458,13,9,17,4,3,0,3,556,458,1603,45,104,161,37,11,26,40,2471,13,52,3,4,8,0,0,0,0,74,146,685,26,84,72,15,3,11,14,1065,43,151,18,20,33,3,0,4,3,270,1040,4562,297,661,685,253,66,174,84,7815,3,3,8,6,4,7,0,0,0,30
Bogan (A),10950,3,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,3,11,52,0,8,5,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,5,6,0,6,4,0,0,0,0,28,7,3,0,14,6,0,0,0,0,33,6,3,8,21,8,0,3,9,0,70,0,0,0,3,3,3,0,4,0,11,3,0,0,6,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,3,15,52,75,8,63,38,17,5,18,3,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,5,30,72,3,9,13,0,3,4,0,132,0,0,0,0,0,0,0,0,0,0
Botany Bay (C),11100,21,112,7,24,25,3,0,0,0,191,10,34,3,3,8,0,0,0,0,61,393,1356,84,284,479,235,32,110,44,3010,3,6,0,8,6,6,0,0,0,21,78,121,26,90,141,84,10,25,8,574,109,128,46,184,207,92,6,31,7,815,96,75,138,275,260,104,10,30,13,1008,4,5,3,23,58,17,3,6,0,117,23,16,14,64,101,37,3,16,4,275,10,24,8,8,44,13,0,10,0,123,19,33,11,36,54,21,4,18,13,205,924,2492,357,1051,1537,690,67,285,97,7509,8,13,3,0,3,0,0,0,0,31,29,181,10,6,14,3,0,0,3,235,354,971,90,90,247,140,57,61,23,2041,15,32,3,6,3,3,0,5,0,64,34,156,16,31,31,6,3,7,0,283,18,49,3,3,6,0,0,0,3,90,858,2449,274,451,733,400,187,257,89,5700,4,3,3,7,3,6,0,3,0,32
Bourke (A),11150,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,65,3,15,9,3,0,0,0,105,0,0,0,0,0,0,0,0,0,0,3,3,0,17,3,0,0,0,0,21,7,6,3,17,7,0,0,8,0,47,5,8,4,18,19,3,0,0,0,64,4,0,0,4,4,0,0,7,0,15,0,0,0,8,3,0,0,0,0,12,3,0,0,3,0,0,0,0,0,3,3,4,0,0,3,3,0,0,0,20,50,102,13,80,45,12,0,19,3,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,25,84,3,25,12,4,0,3,0,149,0,0,0,0,0,0,0,0,0,0
Brewarrina (A),11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0,3,4,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,11,3,4,0,10,0,0,0,0,0,20,3,8,3,8,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,17,29,53,8,29,15,4,0,4,6,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,0,6,4,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0
Junee (A),14300,0,17,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,3,20,103,9,9,19,5,0,7,3,168,0,0,0,0,0,0,0,0,0,3,8,8,0,13,12,0,0,0,0,44,10,13,3,32,16,5,0,3,0,87,11,16,20,74,45,19,8,16,3,206,5,0,3,5,19,5,0,3,0,41,10,3,0,6,11,3,0,4,0,38,4,0,0,0,4,0,0,3,0,14,4,3,0,8,8,0,0,11,3,39,87,182,38,147,129,42,14,43,7,690,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,6,11,15,0,3,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,3,51,139,9,17,22,4,3,17,3,274,0,0,0,0,0,0,0,0,0,3
Kempsey (A),14350,8,49,0,6,3,0,0,0,0,69,7,16,0,0,3,0,0,0,0,30,53,457,13,51,57,15,0,15,3,655,0,0,0,3,0,0,0,0,3,4,36,79,4,51,35,6,0,7,3,223,32,79,13,105,95,28,0,11,4,373,83,92,91,362,232,95,16,65,14,1048,8,7,8,27,42,22,3,16,3,129,12,9,8,59,56,27,0,20,4,204,3,5,0,6,8,5,0,0,0,28,16,17,11,27,32,14,3,18,8,149,263,904,157,701,564,212,20,148,42,3024,0,3,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,17,23,101,0,10,9,0,0,4,0,145,0,9,0,0,3,0,0,0,0,12,11,77,0,6,5,0,0,0,0,103,6,18,0,0,3,0,0,0,0,32,114,658,23,75,72,18,11,25,6,1005,3,0,0,3,0,0,0,0,3,9
Broken Hill (C),11250,7,40,0,9,3,0,0,0,0,64,5,16,0,3,3,0,0,0,0,29,44,353,0,41,23,8,0,4,0,473,0,0,0,0,0,0,0,0,0,3,10,49,3,32,19,4,0,0,0,126,28,41,9,94,54,16,0,6,3,247,43,64,80,213,169,37,7,31,4,653,4,4,3,27,26,7,0,16,0,85,10,9,3,34,40,10,0,9,0,121,0,5,0,8,6,3,0,0,0,24,12,19,4,29,25,17,0,11,8,111,172,693,103,498,376,107,10,78,18,2050,0,4,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,15,21,91,3,5,9,4,3,0,0,137,0,3,0,3,0,0,0,0,0,6,18,68,0,9,3,0,0,0,3,104,8,25,0,8,3,0,0,0,0,45,81,507,16,65,33,8,6,8,3,718,0,0,0,3,0,0,0,0,0,3
Hilltops (A),13910,9,35,0,12,6,0,0,3,0,64,0,8,0,0,0,0,0,0,0,10,107,346,0,34,57,5,0,27,3,586,0,0,0,0,0,0,0,0,0,0,53,46,4,34,46,3,0,7,0,203,36,42,16,66,49,11,3,17,3,245,63,53,83,199,128,60,12,54,3,659,12,3,0,14,21,26,0,12,0,92,23,5,5,21,34,16,0,10,0,125,7,4,0,3,11,3,0,3,0,36,16,11,4,16,20,19,0,21,7,104,339,610,117,410,381,145,17,155,21,2195,0,5,0,0,0,0,0,0,0,11,5,8,0,0,0,0,0,4,0,19,33,61,3,0,3,5,0,0,0,106,0,3,0,0,0,0,0,0,0,6,17,53,4,7,6,0,0,3,0,83,5,11,0,0,3,0,0,0,0,11,222,474,15,51,72,20,0,44,5,899,0,0,0,0,0,0,0,0,0,0
Hornsby (A),14000,131,667,19,87,114,15,0,12,5,1053,39,176,0,10,28,3,0,0,0,260,1260,5953,290,838,1799,549,39,158,103,10978,0,5,0,14,3,3,0,0,0,32,263,651,78,301,627,141,12,60,19,2147,280,378,101,468,689,213,8,52,17,2210,202,244,329,650,713,259,21,87,19,2530,26,19,16,50,155,48,11,15,3,344,86,66,38,150,414,97,10,39,10,918,54,141,10,33,145,32,0,10,6,437,33,115,20,70,132,54,5,22,52,502,3007,11281,985,2845,5413,1543,116,481,280,25948,30,102,3,0,12,0,0,0,0,149,180,957,26,11,31,7,5,9,7,1238,1759,4862,279,238,887,249,59,83,79,8500,74,177,8,7,46,12,4,6,4,331,307,1059,41,116,155,34,14,22,7,1760,91,249,9,26,38,7,5,3,3,429,3610,11277,917,1205,2608,992,224,450,226,21505,3,12,5,14,7,3,3,0,0,44
Hunters Hill (A),14100,18,71,3,4,11,3,0,0,3,109,3,13,0,0,3,0,0,0,0,22,211,548,15,62,176,45,0,6,10,1072,0,0,0,0,0,0,0,0,0,0,33,59,8,24,68,22,0,0,7,219,27,31,6,24,48,26,0,5,3,164,27,13,27,32,36,18,0,6,0,157,0,6,0,0,10,3,0,0,0,23,13,6,0,6,36,14,0,0,0,78,7,14,0,4,12,0,0,0,0,41,11,13,0,3,9,0,0,0,0,35,438,1052,61,170,450,139,3,25,27,2360,6,15,0,0,0,0,0,0,0,23,27,135,5,3,4,0,0,0,0,177,221,392,12,23,63,18,0,3,9,742,0,15,0,0,5,0,0,0,0,29,34,106,3,5,18,8,0,0,3,176,7,20,0,3,5,0,0,0,0,31,553,1096,45,83,242,103,12,12,24,2169,0,0,0,0,0,0,0,0,0,0
Inner West (A),14170,296,1122,18,111,171,39,0,8,19,1782,117,299,6,21,54,5,0,3,0,504,3008,9814,450,1345,2539,953,37,298,180,18624,14,7,0,13,20,7,3,3,0,69,409,751,121,302,489,226,14,78,25,2412,469,686,204,604,769,302,13,90,37,3171,301,362,420,645,745,303,44,83,44,2951,33,39,14,53,139,49,3,19,5,365,106,123,40,147,322,101,11,39,9,893,49,143,26,49,109,43,3,14,14,449,54,131,21,87,96,59,5,28,83,563,6429,18824,1414,3637,6300,2274,140,727,487,40231,41,144,4,6,22,5,0,0,0,217,293,2087,19,21,68,5,6,4,8,2522,2710,7227,277,376,1199,365,47,159,134,12501,94,253,8,14,32,12,3,3,8,423,531,1806,48,141,250,51,15,25,21,2897,182,428,22,32,85,15,0,4,3,771,6183,18000,1358,2117,3789,1714,352,787,396,34707,20,14,8,10,16,11,3,5,3,95
Inverell (A),14200,11,40,0,7,5,0,0,3,0,56,0,5,0,0,0,0,0,0,0,6,59,317,11,26,38,4,0,22,4,490,0,0,0,4,0,0,0,0,0,6,31,51,3,29,24,10,0,3,3,149,19,36,3,63,44,12,3,9,3,194,64,48,69,208,118,68,3,48,3,625,10,7,3,13,18,6,0,8,0,64,9,3,3,28,25,10,0,17,0,102,3,3,0,3,3,3,0,0,0,25,11,15,5,20,15,12,0,17,18,113,233,560,96,402,293,134,7,130,39,1896,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,19,39,0,4,4,0,0,3,3,68,0,3,0,0,0,0,0,0,0,4,14,55,0,7,6,3,0,3,0,87,0,7,0,0,0,0,0,0,0,10,108,447,16,43,53,11,0,36,7,718,0,0,0,4,0,0,0,3,0,8
Kiama (A),14400,17,151,0,9,9,0,0,3,0,193,3,24,0,0,6,0,0,0,0,38,128,693,23,94,120,26,3,14,16,1115,0,0,0,3,0,0,0,0,0,3,41,102,8,46,64,19,3,8,3,297,45,78,15,91,96,31,0,3,3,365,47,47,81,181,194,64,7,30,5,660,11,0,5,13,25,17,0,3,0,82,11,8,6,30,68,24,0,4,0,149,4,12,0,3,15,0,0,0,0,38,13,14,7,26,19,11,0,4,3,99,373,1354,153,513,636,197,12,70,42,3350,0,15,0,0,0,0,0,0,0,17,13,69,3,0,3,0,0,0,3,96,110,285,14,26,25,10,0,3,4,468,4,14,0,0,0,0,0,0,0,17,26,219,3,13,6,3,0,3,0,281,6,30,4,4,5,0,0,0,0,55,324,1172,62,149,156,54,22,34,26,1995,0,3,0,3,0,0,0,0,0,8
Ku-ring-gai (A),14500,142,504,9,35,138,30,0,6,6,867,36,84,0,8,15,0,0,3,0,151,1666,5333,181,568,1652,501,14,85,143,10145,0,0,3,0,3,0,0,0,0,9,225,429,40,163,448,126,5,20,24,1494,208,261,35,224,421,143,0,24,11,1328,121,107,152,224,239,115,9,30,11,1010,12,14,11,25,57,17,0,5,3,137,76,60,19,85,214,77,3,12,8,559,57,101,8,25,110,27,0,4,9,341,41,109,14,42,78,32,3,5,36,364,3432,9837,521,1516,3916,1209,38,212,321,21001,48,79,7,0,13,6,0,0,3,149,224,1233,24,14,49,11,3,7,16,1582,2411,4651,144,139,792,269,26,31,140,8608,89,197,0,7,32,4,0,0,5,347,324,815,21,51,180,46,0,13,18,1461,72,135,3,10,30,5,0,0,3,261,4764,10650,515,818,2366,987,108,233,323,20758,3,3,5,0,3,0,0,0,0,20
Kyogle (A),14550,7,13,0,3,8,0,0,3,0,40,0,10,0,0,0,0,0,0,0,12,20,161,0,14,18,5,0,7,3,234,0,0,0,3,0,0,0,0,0,4,21,29,3,19,9,3,6,6,0,103,14,14,9,32,25,9,0,6,0,107,25,25,31,82,60,13,4,21,10,273,0,0,0,9,8,4,0,12,0,36,11,3,3,22,13,3,0,15,0,67,0,0,0,0,7,0,0,3,0,13,16,11,0,6,4,6,0,5,3,47,125,298,44,199,159,40,14,70,19,962,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,13,30,0,3,0,0,0,3,0,54,0,0,0,0,0,0,0,0,0,0,12,26,0,6,8,0,0,3,0,54,0,8,0,0,0,0,0,0,0,17,74,225,6,19,24,6,6,16,7,380,0,0,0,3,0,0,0,0,0,9
Lachlan (A),14600,3,26,0,0,4,0,0,0,0,29,0,3,0,0,0,0,0,0,0,3,34,120,0,18,12,4,0,3,3,194,0,0,0,0,0,0,0,0,0,0,8,23,0,10,14,0,0,3,0,57,14,12,0,17,19,4,0,3,0,72,21,8,18,53,31,12,5,8,0,165,5,0,3,5,12,7,0,0,0,33,12,0,3,7,4,0,0,3,0,30,0,0,0,0,4,0,3,0,0,8,14,9,3,3,12,3,0,8,6,46,110,208,25,121,107,42,12,27,13,659,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,33,0,0,4,0,0,0,0,38,0,3,0,0,0,0,0,0,0,5,60,152,3,22,12,10,4,3,6,270,0,0,0,0,0,0,0,0,0,0
Lake Macquarie (C),14650,84,504,12,84,73,10,4,3,11,781,35,207,0,8,35,8,0,4,3,300,658,5332,139,611,922,254,16,71,57,8063,0,6,3,27,11,9,0,0,0,59,227,727,70,377,553,123,15,29,15,2135,311,585,160,985,909,242,13,98,21,3324,457,577,957,2116,2098,696,102,396,70,7480,55,33,29,141,307,180,20,90,3,868,95,100,61,282,568,167,23,82,10,1396,28,81,22,56,130,29,6,14,3,373,37,114,24,163,204,112,7,79,62,811,2208,9596,1508,4925,5947,1857,208,890,269,27409,8,54,4,3,3,0,0,3,0,86,60,565,4,6,16,7,0,0,8,668,539,1663,62,77,188,51,12,19,20,2626,28,84,0,6,13,0,0,0,0,127,149,761,27,100,89,14,9,11,14,1178,84,271,10,25,51,8,0,3,3,453,1623,8475,467,923,1188,412,115,195,113,13510,3,16,9,27,15,15,0,7,0,83
Lane Cove (A),14700,50,191,3,21,33,6,0,0,3,304,11,67,0,0,7,3,0,0,0,85,619,2080,72,216,549,178,4,39,49,3808,0,4,0,0,0,0,0,0,0,5,77,160,25,52,132,34,0,0,4,489,67,115,20,86,153,47,0,8,3,499,55,47,59,99,120,48,3,6,8,440,10,8,6,7,21,3,0,0,0,56,24,33,3,30,51,24,0,9,3,177,7,31,5,11,29,10,0,3,3,102,12,18,3,9,31,12,0,0,12,100,1259,3818,222,592,1318,417,10,80,109,7811,9,38,0,0,4,0,0,0,0,55,70,380,0,11,11,3,0,0,7,481,720,1730,68,68,272,101,20,18,35,3029,23,49,0,0,7,5,0,0,0,94,106,317,13,23,42,16,3,7,4,534,27,85,0,4,9,6,0,0,0,130,1454,4067,224,336,811,353,53,88,112,7508,3,3,0,3,3,0,0,0,0,14
Leeton (A),14750,9,18,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,7,27,222,8,14,26,5,3,21,4,328,0,0,0,0,0,0,0,0,0,0,9,30,4,14,10,3,0,3,0,72,13,17,5,37,33,12,0,13,3,125,33,29,43,86,110,24,5,38,4,377,4,0,4,11,15,5,0,13,0,62,6,7,4,16,37,10,0,3,0,90,0,3,0,0,4,0,0,3,0,15,9,11,3,16,9,11,3,17,3,85,123,374,70,195,250,71,16,110,16,1230,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,14,20,37,3,0,4,0,0,3,0,70,0,4,0,0,0,0,0,0,0,8,10,30,5,0,3,0,0,0,0,50,4,4,0,0,0,0,0,0,0,10,73,334,25,23,36,9,3,40,5,542,0,0,0,0,0,0,0,0,0,0
Lismore (C),14850,22,168,5,31,32,0,0,0,0,265,3,46,3,6,8,0,0,0,0,66,170,1230,36,211,230,50,5,42,11,1996,0,0,0,0,3,0,0,0,0,8,50,136,16,97,87,24,3,16,4,432,79,105,40,234,174,42,0,28,0,702,93,116,168,494,412,175,14,131,10,1621,11,12,7,42,56,47,6,35,7,227,24,24,11,68,117,41,9,28,5,328,7,10,4,6,24,16,0,7,0,69,19,25,12,26,41,32,8,26,14,198,533,2143,307,1241,1209,422,40,323,62,6294,0,19,0,0,3,0,0,0,0,24,15,140,3,8,4,4,0,0,3,168,66,332,14,28,16,4,3,14,5,479,4,13,0,3,0,0,0,0,0,23,49,239,12,37,34,3,3,0,0,374,15,64,4,5,6,0,0,3,0,101,375,1890,134,308,301,89,19,92,21,3233,0,4,3,0,6,0,0,0,0,11
Lithgow (C),14870,4,46,0,5,5,0,0,0,0,71,0,6,0,0,0,0,0,0,0,12,49,291,6,35,73,14,3,7,9,488,0,0,0,3,0,0,0,0,0,3,21,68,3,36,44,7,4,9,3,204,32,36,10,83,69,22,0,12,0,254,36,56,84,222,198,68,8,53,8,734,6,4,6,23,37,16,0,6,0,102,12,9,7,29,42,8,5,5,0,121,3,3,3,3,6,3,4,4,0,28,11,16,6,18,21,14,4,11,8,109,194,589,138,465,513,155,21,117,28,2224,3,0,0,0,0,0,0,0,0,3,0,12,0,0,3,0,0,0,0,13,30,86,3,6,12,4,0,5,0,142,0,0,0,0,0,0,0,0,0,0,13,58,3,8,8,3,0,0,0,97,4,14,3,4,3,0,0,0,0,21,90,430,34,52,93,21,5,15,8,752,0,0,0,3,0,0,0,0,0,4
Liverpool (C),14900,19,239,3,83,53,15,3,7,4,423,12,81,4,6,16,0,0,0,0,122,699,4194,192,702,1459,477,66,146,112,8039,3,16,0,22,11,7,0,0,0,60,201,428,66,331,597,149,30,70,25,1889,305,484,144,950,988,316,46,94,69,3395,290,348,446,1212,1339,442,137,283,69,4565,38,41,18,101,286,102,26,74,17,704,82,81,53,239,444,136,28,90,18,1159,33,93,20,53,161,43,9,31,9,458,51,106,37,109,229,103,26,100,122,889,1935,7499,1001,3926,5824,1862,392,927,468,23820,11,50,0,3,3,0,0,0,0,72,31,223,3,3,12,3,4,0,0,289,539,2120,138,189,370,142,99,51,47,3690,21,109,3,5,20,6,3,0,5,172,63,364,19,107,78,22,12,10,5,686,41,109,7,10,19,0,3,0,0,195,1717,6907,772,1052,2164,814,476,424,234,14556,8,22,5,23,11,13,4,3,6,99
Liverpool Plains (A),14920,0,15,0,3,3,0,0,0,0,21,0,3,0,0,0,0,0,0,0,4,33,122,3,11,16,3,3,3,0,207,0,0,0,3,0,0,0,0,0,5,16,22,3,17,9,8,0,3,0,78,16,15,3,26,17,0,0,3,0,93,19,20,27,65,68,15,3,24,0,232,8,0,5,4,13,3,0,5,0,44,4,6,5,19,21,3,0,4,0,65,0,3,0,7,4,0,0,0,0,8,7,7,0,6,13,4,0,9,0,57,111,232,48,161,171,42,13,50,9,831,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,6,3,23,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,17,0,3,3,0,0,0,0,22,3,3,0,0,0,0,0,0,0,4,73,167,6,18,17,9,4,11,0,306,0,0,0,3,0,0,0,0,0,5
Lockhart (A),14950,6,9,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,9,17,74,3,0,6,0,0,4,0,107,0,0,0,0,0,0,0,0,0,0,7,9,0,3,8,3,0,0,0,37,11,4,3,10,15,3,0,0,0,43,12,5,4,36,28,13,3,11,0,109,0,0,0,0,7,0,3,3,0,15,8,3,0,8,7,0,0,3,0,31,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,3,0,0,0,15,76,127,12,62,69,28,8,16,9,403,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,7,6,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,9,41,84,3,3,9,0,0,4,0,149,0,0,0,0,0,0,0,0,0,0
