lga_name_2016,lga_code_2016,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Central Highlands (M) (Tas.),61010,114,117,93,215,22,29,50,166,188,354,72,45,116,261,265,526
Circular Head (M),61210,467,368,357,721,240,239,475,655,645,1302,255,235,497,1151,1121,2275
Clarence (C),61410,2019,1895,1609,3499,433,354,789,6151,6138,12283,1044,1097,2143,7636,7589,15223
Derwent Valley (M),61510,509,400,422,827,86,98,182,1015,1010,2022,266,287,555,1367,1395,2758
Devonport (C),61610,1129,882,973,1856,283,307,589,2374,2682,5057,567,608,1175,3218,3595,6816
Dorset (M),61810,381,303,280,583,37,35,75,628,653,1283,213,191,398,875,879,1753
Flinders (M) (Tas.),62010,37,39,34,74,18,10,31,56,54,109,21,12,37,103,76,180
George Town (M),62210,493,346,335,687,55,62,114,599,682,1282,268,241,509,922,984,1910
Glamorgan/Spring Bay (M),62410,299,225,220,448,47,36,85,270,284,558,151,157,305,471,475,947
Glenorchy (C),62610,2476,1739,1933,3668,406,448,847,4844,5253,10097,1272,1339,2610,6521,7031,13555
Hobart (C),62810,2590,1606,1592,3199,148,140,287,6908,7171,14079,1361,1312,2676,8421,8622,17040
Huon Valley (M),63010,892,657,654,1319,278,269,550,1434,1542,2971,466,470,935,2176,2280,4452
Barkly (R),70420,330,468,326,801,848,697,1544,185,169,359,190,151,340,1220,1023,2247
Belyuen (S),70540,0,10,3,12,17,15,32,0,0,0,0,0,0,18,15,34
Central Desert (R),70620,120,185,201,379,511,521,1029,40,50,85,68,54,124,621,624,1241
Coomalie (S),70700,233,163,144,308,58,75,130,65,72,141,135,110,240,262,251,515
Darwin (C),71000,7354,4706,4148,8850,1097,1167,2269,8005,8869,16876,4018,3500,7522,13126,13539,26672
East Arnhem (R),71300,92,556,547,1104,1612,1611,3220,38,60,101,45,44,89,1691,1717,3405
Katherine (T),72200,1695,1098,958,2054,399,408,811,704,697,1402,924,800,1721,2028,1906,3937
Litchfield (M),72300,3372,3527,1314,4847,1031,350,1378,2255,2085,4343,2395,1069,3463,5681,3503,9186
MacDonnell (R),72330,340,1040,589,1629,1301,911,2213,87,51,142,173,174,343,1554,1136,2692
