lga_name_2016,lga_code_2016,one_method_train_m,one_method_train_f,one_method_train_p,one_method_bus_m,one_method_bus_f,one_method_bus_p,one_method_ferry_m,one_method_ferry_f,one_method_ferry_p,one_met_tram_incl_lt_rail_m,one_met_tram_incl_lt_rail_f,one_met_tram_incl_lt_rail_p,one_method_taxi_m,one_method_taxi_f,one_method_taxi_p,one_method_car_as_driver_m,one_method_car_as_driver_f,one_method_car_as_driver_p,one_method_car_as_passenger_m,one_method_car_as_passenger_f,one_method_car_as_passenger_p,one_method_truck_m,one_method_truck_f,one_method_truck_p,one_method_motorbike_scootr_m,one_method_motorbike_scootr_f,one_method_motorbike_scootr_p,one_method_bicycle_m,one_method_bicycle_f,one_method_bicycle_p,one_method_other_m,one_method_other_f,one_method_other_p,one_method_walked_only_m,one_method_walked_only_f,one_method_walked_only_p,one_method_tot_one_method_m,one_method_tot_one_method_f,one_method_tot_one_method_p,two_methods_train_bus_m,two_methods_train_bus_f,two_methods_train_bus_p,two_methods_train_ferry_m,two_methods_train_ferry_f,two_methods_train_ferry_p,two_mt_trn_trm_incl_lt_rl_m,two_mt_trn_trm_incl_lt_rl_f,two_mt_trn_trm_incl_lt_rl_p,two_methods_trn_car_as_drvr_m,two_methods_trn_car_as_drvr_f,two_methods_trn_car_as_drvr_p,two_methods_trn_car_as_pass_m,two_methods_trn_car_as_pass_f,two_methods_trn_car_as_pass_p,two_methods_train_other_m,two_methods_train_other_f,two_methods_train_other_p,two_methods_train_tot_m,two_methods_train_tot_f,two_methods_train_tot_p,two_methods_bus_ferry_m,two_methods_bus_ferry_f,two_methods_bus_ferry_p,two_mth_bu_trm_inc_lt_rl_m,two_mth_bu_trm_inc_lt_rl_f,two_mth_bu_trm_inc_lt_rl_p,two_methods_bus_car_as_drvr_m,two_methods_bus_car_as_drvr_f,two_methods_bus_car_as_drvr_p,two_methods_bus_car_as_pass_m,two_methods_bus_car_as_pass_f,two_methods_bus_car_as_pass_p,two_methods_bus_other_m,two_methods_bus_other_f,two_methods_bus_other_p,two_methods_bus_tot_m,two_methods_bus_tot_f,two_methods_bus_tot_p,two_methds_othr_two_methds_m,two_methds_othr_two_methds_f,two_methds_othr_two_methds_p,two_methods_tot_two_methods_m,two_methods_tot_two_methods_f,two_methods_tot_two_methods_p,three_meth_trn_two_othr_met_m,three_meth_trn_two_othr_met_f,three_meth_trn_two_othr_met_p,three_met_bs_2_ot_met_ex_tr_m,three_met_bs_2_ot_met_ex_tr_f,three_met_bs_2_ot_met_ex_tr_p,three_meth_othr_three_meth_m,three_meth_othr_three_meth_f,three_meth_othr_three_meth_p,three_meth_tot_three_meth_m,three_meth_tot_three_meth_f,three_meth_tot_three_meth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,method_travel_to_work_ns_m,method_travel_to_work_ns_f,method_travel_to_work_ns_p,tot_m,tot_f,tot_p
Burke (S),31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,48,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,34,25,58,68,45,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,7,9,14,3,0,3,85,64,147
Cairns (R),32080,11,13,23,613,629,1246,35,17,58,8,3,6,106,105,218,24970,24490,49455,1781,2644,4423,500,13,511,573,102,675,960,393,1357,648,187,840,1257,1144,2398,31470,29748,61209,0,0,0,0,0,0,0,0,0,8,14,18,0,3,3,0,0,0,14,11,28,6,3,5,0,0,0,19,12,31,40,74,111,36,24,59,105,111,213,360,206,568,474,333,810,5,0,5,26,19,48,30,14,47,63,34,94,1154,1650,2808,2856,3912,6771,388,326,713,36397,36009,72405
Cherbourg (S),32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,65,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,21,16,39,62,65,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,127
Cloncurry (S),32450,0,0,0,90,14,105,0,0,0,0,0,0,3,0,4,441,302,741,89,29,120,17,0,19,0,3,3,6,8,15,28,9,38,119,101,220,789,468,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,5,0,5,10,5,10,17,3,16,0,0,0,0,0,0,4,0,6,7,0,9,47,51,100,56,46,101,19,11,28,936,584,1520
Cook (S),32500,0,0,0,26,27,51,0,0,0,0,0,0,0,0,0,488,408,893,50,50,101,33,4,39,9,3,10,4,5,10,25,10,36,125,138,261,769,643,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,3,13,9,3,18,0,0,0,0,0,0,0,0,0,0,0,0,54,63,120,70,65,133,14,14,26,917,790,1707
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,37,3,0,3,3,0,3,0,0,3,0,0,0,0,0,3,6,13,21,37,35,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,30,0,3,8,0,0,0,57,51,110
Western Downs (R),37310,0,0,3,94,19,113,0,0,0,0,0,0,6,10,13,4865,3844,8709,445,375,815,237,4,243,80,9,96,89,26,116,127,35,163,506,382,884,6439,4712,11156,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,6,3,3,3,5,0,5,14,6,17,57,18,82,73,29,102,4,0,3,4,0,4,13,3,14,21,3,19,834,768,1603,553,816,1373,100,66,171,8027,6400,14418
Whitsunday (R),37340,6,5,10,232,124,355,66,21,86,0,0,3,25,15,43,4776,4080,8856,535,556,1092,126,5,130,109,18,133,88,35,122,228,143,368,803,738,1540,6997,5750,12744,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,10,4,15,0,0,0,27,9,31,7,6,20,3,6,4,50,23,69,137,47,182,184,70,253,0,0,3,12,5,20,4,8,13,19,11,31,336,500,837,781,836,1618,100,98,195,8425,7258,15681
Diamantina (S),32750,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,31,22,48,4,6,13,0,0,0,0,0,0,3,0,3,0,0,0,27,35,64,71,61,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,4,3,5,0,0,0,85,76,164
Clare and Gilbert Valleys (DC),41140,0,0,0,8,0,8,0,0,0,0,0,0,3,4,3,1447,1233,2677,80,61,142,25,0,32,14,0,17,9,3,15,26,11,38,115,100,220,1730,1425,3152,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,23,27,12,31,0,0,0,0,0,0,0,0,0,0,0,0,217,191,406,191,320,511,22,26,46,2188,1967,4148
Doomadgee (S),32770,0,0,0,5,7,6,0,0,0,0,0,0,0,0,0,48,31,79,14,31,46,3,0,3,0,0,0,0,0,0,5,0,5,62,63,123,130,136,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,7,8,0,6,6,135,144,279
Douglas (S),32810,0,0,0,36,22,63,8,0,8,0,0,0,3,3,8,1624,1566,3198,137,166,307,46,4,42,41,11,58,113,100,210,65,13,79,234,205,436,2311,2098,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,6,15,15,37,18,22,40,0,0,0,3,0,3,0,0,0,4,0,4,188,234,422,235,314,552,48,27,75,2806,2698,5509
Etheridge (S),33100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,67,46,107,0,5,9,8,6,19,8,0,8,0,4,5,13,6,16,36,37,74,135,106,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,43,89,14,12,23,0,0,4,204,158,360
Flinders (S) (Qld),33200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,164,383,15,12,27,17,0,13,3,3,12,4,0,3,11,9,17,62,41,103,316,241,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,89,82,167,19,25,48,4,6,11,434,353,795
Fraser Coast (R),33220,12,8,20,190,56,249,11,9,26,0,0,0,23,24,46,10913,10976,21887,772,1049,1826,383,13,390,275,44,319,257,114,373,172,58,236,490,504,987,13495,12849,26351,0,3,3,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,10,7,9,0,4,5,0,0,0,8,5,17,11,5,12,7,4,7,26,21,45,157,90,249,193,111,302,0,0,3,7,5,11,6,0,6,18,10,25,653,954,1607,1521,2090,3615,196,179,382,16078,16192,32271
Gladstone (R),33360,5,0,3,540,49,585,120,18,132,4,0,3,34,18,52,9632,8171,17803,680,689,1367,147,4,148,376,22,394,132,26,155,137,67,198,348,387,735,12145,9446,21590,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,8,3,6,125,23,143,0,0,0,15,3,19,5,3,5,3,0,5,145,29,171,460,104,562,614,135,745,0,0,3,548,98,643,12,3,18,559,105,664,307,641,951,1488,1403,2890,132,99,230,15253,11829,27074
Gold Coast (C),33430,1348,1101,2449,1456,1528,2981,52,16,68,710,932,1643,158,151,312,94734,84658,179393,5605,6924,12523,1908,52,1960,1820,226,2049,1538,632,2174,1304,652,1956,3196,3542,6740,113832,100422,214252,237,270,508,0,0,0,20,17,36,584,395,978,88,74,163,81,15,93,1007,764,1773,6,3,11,219,347,563,78,85,160,63,154,213,30,25,52,399,606,1008,1166,688,1854,2569,2064,4632,296,231,527,85,92,182,69,42,109,448,361,815,6351,9051,15407,9142,14127,23264,1133,1051,2179,133473,127077,260548
Goondiwindi (R),33610,0,0,0,5,6,10,0,0,0,0,0,0,0,7,10,1715,1435,3150,103,112,216,65,3,67,21,4,26,22,14,33,33,19,49,148,140,286,2114,1737,3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,16,11,28,21,7,30,0,0,3,0,0,0,3,0,4,4,4,7,276,247,518,154,230,388,43,27,68,2606,2250,4855
Gympie (R),33620,3,3,5,105,43,148,3,0,4,0,0,0,6,8,16,5918,5431,11354,461,485,942,329,5,337,119,6,119,35,12,48,105,38,141,299,288,588,7383,6325,13709,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,3,10,3,0,3,0,0,0,7,0,11,5,5,5,7,0,6,16,3,23,82,28,102,102,37,138,0,0,0,6,4,8,5,0,4,16,3,19,661,799,1461,829,1092,1919,130,133,261,9115,8385,17499
Hinchinbrook (S),33800,0,0,0,34,4,38,0,0,0,0,0,0,0,3,7,1663,1369,3032,100,98,203,83,3,86,36,0,43,33,3,30,47,13,64,128,74,210,2132,1577,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,26,16,11,23,0,0,0,0,0,0,0,0,0,0,0,0,151,155,310,175,260,440,39,36,81,2518,2037,4562
Hope Vale (S),33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,133,29,12,37,0,0,0,0,0,0,0,0,0,9,0,13,22,12,37,127,93,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,136,96,230
Ipswich (C),33960,1274,1647,2914,246,209,454,6,0,8,0,3,3,53,36,93,32016,26112,58131,2207,2513,4727,878,22,902,776,63,831,235,37,268,271,148,417,550,606,1155,38511,31394,69907,178,230,414,0,0,3,0,0,0,564,601,1168,99,149,246,65,18,83,906,1003,1913,4,0,8,0,0,0,13,39,54,12,36,55,5,4,9,39,80,122,398,172,575,1349,1259,2612,142,175,320,13,4,10,21,8,27,176,188,363,868,1651,2519,3189,4951,8137,424,325,747,44507,39773,84285
Isaac (R),33980,0,3,3,330,63,390,0,0,3,0,0,0,0,3,3,3464,2340,5800,425,221,644,57,5,62,32,13,48,44,30,74,87,26,118,332,323,659,4774,3027,7799,0,3,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,7,3,5,0,0,0,0,0,0,37,0,38,8,4,8,4,0,4,48,8,56,52,14,69,104,25,129,0,0,0,5,0,12,3,0,3,9,0,17,325,373,695,727,511,1230,57,48,106,6000,3977,9972
Kowanyama (S),34420,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,52,20,77,9,10,14,3,0,3,0,0,0,0,0,0,3,0,6,46,73,116,113,106,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,0,0,118,113,227
Livingstone (S),34530,0,3,7,252,72,324,3,0,6,0,0,0,0,5,12,5291,5160,10449,409,405,811,181,7,185,74,14,83,24,16,39,72,33,103,227,197,421,6536,5912,12448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,31,7,10,15,3,0,3,37,12,49,42,24,65,76,41,120,0,0,0,5,4,6,3,3,7,7,6,18,351,534,884,873,907,1783,101,73,177,7950,7475,15425
Lockhart River (S),34570,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,23,63,15,7,21,0,0,0,0,0,0,0,0,0,0,0,0,39,46,84,91,79,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,5,6,99,86,189
Lockyer Valley (R),34580,9,9,18,43,25,65,3,0,3,3,0,3,0,5,5,5739,4877,10615,482,616,1097,301,5,305,113,13,122,14,4,15,61,28,92,221,181,403,6989,5758,12745,3,0,3,0,0,0,0,0,0,22,22,43,0,6,5,0,0,0,26,26,56,0,0,0,0,0,0,9,3,8,0,7,5,0,0,0,9,10,14,54,30,87,86,71,152,7,6,9,3,5,6,7,0,7,11,12,23,415,490,907,696,1033,1735,107,90,199,8312,7456,15762
Logan (C),34590,698,798,1491,1486,2158,3639,10,3,13,7,0,6,104,61,163,51146,40856,91998,3606,3908,7514,2094,48,2137,1105,77,1183,266,50,313,473,240,712,700,755,1458,61691,48952,110647,156,179,332,0,0,0,0,0,0,250,297,550,57,81,140,44,9,51,499,571,1068,8,5,13,0,0,0,329,521,853,88,225,311,29,15,43,458,769,1221,597,249,843,1553,1582,3133,110,142,253,37,37,74,22,4,29,174,186,356,1766,3180,4949,4753,6835,11593,712,573,1287,70645,61309,131955
Winton (S),37400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,131,280,7,7,14,0,0,0,0,3,3,7,7,11,11,7,23,37,32,75,213,194,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53,49,96,23,24,50,4,3,10,299,271,572
Barunga West (DC),40430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,226,482,17,11,28,7,0,7,0,0,0,0,0,0,15,4,18,52,25,75,351,268,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,84,75,160,48,65,114,16,9,23,506,411,911
Berri and Barmera (DC),40520,0,0,0,14,3,18,4,0,4,0,0,0,4,0,4,1621,1474,3094,101,103,200,32,0,32,13,0,13,8,4,14,22,8,29,91,110,197,1908,1700,3603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,15,3,19,16,3,19,0,0,0,0,0,0,4,0,4,4,0,4,126,108,234,152,243,396,34,30,56,2234,2082,4311
Woorabinda (S),37550,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,34,28,61,4,4,8,3,0,3,0,0,0,0,0,0,0,0,0,47,60,103,92,88,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,100,95,193
Burnside (C),40700,8,7,17,634,722,1355,5,0,5,3,6,8,25,18,47,6731,5851,12584,305,668,977,40,0,41,87,6,92,411,155,563,79,40,121,287,265,550,8621,7754,16371,12,7,24,0,0,0,0,0,0,5,3,8,0,0,0,3,0,3,27,8,34,0,0,0,8,5,13,34,48,83,15,42,53,11,10,21,64,105,167,105,65,169,194,181,374,0,0,0,8,5,11,9,0,7,17,6,24,614,692,1303,677,1249,1921,68,62,129,10179,9944,20125
Campbelltown (C) (SA),40910,11,3,9,894,1103,1994,0,0,4,0,0,4,48,17,65,8309,6732,15044,394,775,1170,146,0,149,85,10,98,144,22,167,107,37,142,140,140,277,10278,8852,19134,15,4,21,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,20,7,28,0,0,0,4,5,6,100,132,231,25,68,91,10,4,19,141,208,346,85,50,136,241,263,505,3,5,10,8,11,20,8,0,8,24,11,35,344,479,820,806,1458,2263,104,89,189,11794,11152,22950
Ceduna (DC),41010,0,0,0,11,0,12,0,0,0,0,0,0,4,3,7,530,476,1005,36,47,87,10,0,10,0,0,0,3,0,9,13,0,14,52,52,103,654,586,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,44,95,66,98,157,8,14,25,789,736,1531
Charles Sturt (C),41060,503,604,1102,1008,1404,2405,13,4,11,186,271,454,83,39,129,18730,15204,33939,902,1570,2473,242,6,249,233,39,270,519,167,687,230,73,297,409,459,871,23052,19842,42893,47,58,107,0,0,0,21,23,39,49,71,122,10,16,21,15,9,23,139,167,309,0,0,0,13,15,31,47,85,131,30,76,102,16,16,34,105,194,301,314,349,668,566,712,1281,44,33,76,21,30,45,19,11,33,82,74,158,673,947,1627,2047,3306,5349,217,191,411,26643,25080,51718
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,15,18,39,35,33,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,64
Yarrabah (S),37600,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,97,91,188,19,29,49,0,0,0,0,0,0,0,0,0,3,0,3,21,40,57,138,165,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,8,7,21,161,184,343
No usual address (Qld),39499,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
Goyder (DC),42110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,413,983,31,39,69,22,0,24,8,3,4,3,4,7,18,3,22,53,37,94,703,501,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,6,0,6,10,4,14,0,3,3,0,0,0,0,0,0,0,3,7,154,120,277,67,112,174,19,9,24,956,743,1695
Adelaide (C),40070,32,26,60,344,417,755,0,0,0,87,90,175,18,15,36,1887,1361,3254,107,191,295,0,0,0,49,9,60,218,131,349,47,39,89,1269,1221,2487,4062,3495,7557,23,7,31,0,0,0,3,0,5,0,0,0,0,0,3,4,0,6,29,10,41,0,0,0,3,10,18,3,9,14,3,6,14,7,4,12,26,27,52,27,20,51,86,63,151,10,0,7,0,3,4,3,0,5,10,5,16,210,221,437,434,595,1032,41,38,84,4855,4420,9275
Adelaide Hills (DC),40120,8,8,12,297,310,610,0,0,0,3,4,6,12,9,22,6997,5825,12823,284,449,734,148,0,150,63,3,70,68,16,83,87,31,119,280,182,464,8249,6838,15085,6,0,6,0,0,0,0,0,0,3,3,8,0,0,5,0,0,0,19,3,22,0,0,0,3,0,3,110,146,258,18,33,56,3,3,4,140,187,328,81,52,131,236,236,476,5,3,3,10,14,24,6,3,13,15,21,35,695,786,1483,856,1421,2283,73,77,150,10129,9381,19510
Alexandrina (DC),40220,7,6,10,32,11,47,0,0,0,0,0,0,0,4,4,3524,3179,6707,147,200,347,111,4,109,31,4,39,48,9,58,68,24,91,190,179,364,4150,3628,7772,0,0,0,0,0,0,0,0,0,3,11,15,0,0,0,0,0,0,7,11,17,0,0,0,0,0,0,10,30,43,0,0,3,0,0,3,15,37,49,43,15,57,62,60,123,0,0,3,0,0,0,3,0,3,5,3,5,377,419,799,477,771,1254,55,66,122,5129,4951,10077
Anangu Pitjantjatjara (AC),40250,0,0,0,3,7,11,0,0,0,0,0,0,0,0,0,70,44,114,11,29,41,3,0,3,0,0,3,0,0,0,0,0,0,95,176,275,188,256,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,6,18,25,18,19,40,224,294,512
Barossa (DC),40310,11,12,24,13,20,31,3,0,3,0,3,3,5,3,11,4382,3503,7886,160,201,360,79,0,81,36,4,36,50,9,53,70,18,89,182,142,320,4988,3915,8902,3,3,6,0,0,0,0,0,0,27,26,48,0,0,0,0,0,0,32,25,55,0,0,0,0,0,0,10,16,23,0,3,0,0,0,0,11,18,22,27,14,45,67,60,126,4,3,7,3,0,3,3,0,3,11,7,17,310,369,676,512,845,1359,51,43,94,5936,5230,11167
Cleve (DC),41190,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,273,203,475,11,13,23,6,0,6,0,0,0,3,0,3,4,3,10,48,42,87,342,255,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,84,61,142,42,53,99,0,3,5,478,375,846
Coober Pedy (DC),41330,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,215,188,406,17,29,43,0,0,0,4,0,4,0,0,4,3,3,8,29,33,60,283,248,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,17,17,26,30,31,56,7,7,16,336,310,643
Copper Coast (DC),41560,0,0,0,25,0,25,0,0,0,0,0,0,3,3,7,1753,1594,3348,147,119,265,54,0,54,12,4,12,17,6,17,37,17,54,111,84,190,2154,1818,3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,16,7,28,21,12,33,0,0,0,0,0,0,3,0,3,4,0,3,101,138,237,281,364,640,40,33,74,2598,2363,4960
Elliston (DC),41750,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,122,86,215,6,11,17,3,0,3,0,0,0,5,3,4,7,0,4,28,33,60,173,137,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,46,112,28,30,63,7,6,10,277,219,496
Grant (DC),42250,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,1491,1162,2649,69,71,137,64,8,68,20,3,24,10,0,10,23,14,39,60,47,110,1744,1304,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,3,18,0,0,0,0,0,0,0,0,0,0,0,0,176,189,364,159,237,392,27,18,45,2114,1754,3867
Kangaroo Island (DC),42750,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,621,586,1205,30,51,87,14,0,15,3,3,3,9,3,13,17,4,26,95,92,184,805,740,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,10,3,18,18,7,23,0,0,0,0,0,0,0,0,0,0,0,3,146,125,264,129,184,313,12,12,22,1103,1064,2166
Karoonda East Murray (DC),43080,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,139,94,234,4,3,7,5,0,3,0,0,0,0,0,0,6,0,7,20,10,32,175,111,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,85,46,131,14,40,54,6,4,10,281,200,478
