lga_name_2016,lga_code_2016,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot
Waratah/Wynyard (M),65410,0,3,0,0,0,0,0,0,0,3,0,10,0,0,4,0,0,0,0,16,15,12,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,0,0,0,16,3,8,4,0,0,0,0,0,0,16,48,127,3,12,4,3,3,3,3,205,0,0,0,0,0,0,0,0,0,0,23,22,10,5,4,4,5,9,0,78,24,22,28,9,7,4,7,4,0,112,141,27,503,50,35,41,121,100,23,1045,3,0,3,8,4,3,3,13,0,28,5,7,9,13,0,0,13,14,0,56,0,0,0,0,0,0,0,0,0,8,13,3,15,6,3,5,18,21,10,88,274,245,579,95,66,56,175,161,43,1693,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,12,9,39,0,0,5,3,0,0,0,54,0,6,0,0,0,0,0,0,0,4
Moora (S),55600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,20,3,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,12,4,3,0,3,0,0,0,3,0,18,44,3,70,0,5,6,28,27,3,195,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,18,88,35,85,8,9,13,39,38,3,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Subiaco (C),57980,0,6,0,0,0,0,0,0,0,6,26,274,0,0,7,0,4,0,0,308,175,361,23,9,28,12,3,20,13,645,5,15,0,0,4,0,0,0,0,28,34,77,7,3,11,0,0,0,3,137,7,15,0,4,3,0,0,0,0,28,328,1102,70,73,104,78,20,60,15,1852,0,0,0,0,0,0,0,0,0,3,30,65,33,9,5,12,3,4,3,168,40,51,27,20,14,13,9,15,3,180,60,29,184,27,11,18,17,16,8,367,3,3,0,0,0,5,0,9,0,19,8,11,3,6,5,4,3,3,0,51,7,23,5,3,9,3,4,0,0,50,9,23,7,5,0,3,8,6,3,58,737,2047,362,160,196,153,62,136,56,3899,3,10,0,0,3,0,0,0,0,20,17,193,0,9,5,0,0,0,0,228,90,296,12,11,46,13,0,8,9,485,10,24,0,0,3,0,0,0,0,36
Swan (C),58050,3,9,0,0,0,0,0,0,0,16,21,88,3,3,0,0,0,4,3,114,152,357,53,41,83,28,47,19,12,789,17,21,3,4,4,0,4,0,0,50,65,147,16,15,25,9,17,5,0,290,24,37,3,11,5,3,0,0,3,84,632,1513,373,254,286,197,229,162,43,3689,0,0,10,0,0,3,3,5,0,29,243,259,277,117,92,53,124,79,20,1269,347,318,473,195,165,117,208,125,20,1961,966,417,5581,520,452,412,1351,890,194,10779,31,13,51,44,32,36,73,101,3,383,62,41,95,62,26,31,114,76,6,514,37,43,53,11,23,13,35,23,13,248,43,47,160,43,31,41,130,86,50,631,2635,3312,7148,1319,1220,937,2334,1574,370,20848,7,16,0,3,7,0,0,0,0,35,10,88,3,4,4,0,0,0,3,114,83,343,16,85,107,48,5,37,11,733,3,29,0,4,12,4,0,0,0,54
Morawa (S),55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,3,14,0,8,0,0,0,10,9,3,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,32,10,13,3,0,0,10,7,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Mount Magnet (S),55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,0,0,3,0,26,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,11,18,4,0,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nungarin (S),56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,11,0,10,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,25,3,18,3,0,0,3,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammin (S),58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,21,0,7,0,0,0,3,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Springs (S),58260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,12,0,21,0,0,3,0,9,0,43,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,27,3,24,6,0,3,3,12,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosman Park (T),55740,0,6,0,0,0,0,0,0,0,8,16,62,0,0,0,0,0,0,0,84,79,104,3,3,11,3,0,3,3,206,4,0,0,0,0,0,0,0,0,6,8,20,3,3,5,3,0,0,0,43,3,3,0,0,0,0,0,0,0,11,186,403,32,37,39,27,4,27,11,773,0,0,0,0,0,0,0,0,0,0,27,22,7,7,13,12,6,0,0,91,31,16,20,7,3,0,0,5,0,90,45,12,106,10,10,17,10,25,4,238,3,0,0,0,0,3,0,0,0,13,4,3,0,3,3,4,0,0,0,18,3,5,0,0,0,0,3,0,3,24,10,7,3,0,0,3,0,4,3,29,414,666,183,76,84,74,29,68,30,1626,0,3,0,0,0,0,0,0,0,5,4,55,0,0,0,0,0,0,5,58,35,134,0,10,13,6,0,0,3,211,0,10,0,0,0,0,0,0,0,9
Nannup (S),56300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,7,0,3,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,9,4,5,0,0,0,3,0,0,0,14,17,0,33,0,0,3,13,4,0,70,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,19,40,4,6,7,16,11,5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Perth (C),57080,0,5,0,0,0,0,0,0,0,9,19,132,3,0,0,0,0,0,8,164,164,451,25,33,58,14,5,23,6,782,5,9,0,0,0,0,0,0,0,15,19,55,3,0,4,0,0,3,0,91,13,12,0,3,0,0,0,0,0,30,413,1224,139,112,184,87,25,104,30,2324,0,0,0,0,0,0,0,3,0,8,79,67,41,26,19,13,15,28,4,291,69,58,90,60,34,23,13,35,6,381,87,51,347,46,40,35,41,67,15,737,4,0,3,5,0,3,3,3,0,31,16,5,19,13,0,4,5,5,0,80,16,21,8,11,3,3,8,10,4,72,14,26,16,9,7,4,6,16,10,104,923,2126,696,321,357,203,115,298,75,5112,0,11,0,4,3,0,0,0,0,15,12,71,0,0,5,0,0,0,0,96,89,276,14,39,74,20,3,19,9,543,4,17,0,0,0,0,0,0,0,24
Pingelly (S),57140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,7,18,3,16,0,0,0,5,13,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,15,27,9,25,3,8,3,11,18,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murray (S),56230,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,12,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,37,71,14,8,9,6,8,6,0,155,0,0,0,0,0,0,0,0,0,0,23,16,15,14,0,4,12,3,3,92,29,20,34,11,5,13,13,9,0,134,115,32,742,39,25,29,190,112,41,1322,5,0,6,4,0,7,13,16,0,52,4,7,6,0,0,4,17,15,7,58,0,3,0,0,0,0,3,7,0,14,8,3,18,4,3,0,27,8,14,92,239,181,844,86,54,60,282,171,62,1973,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,9,4,28,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,4
Narembeen (S),56370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,3,0,0,6,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,6,22,11,18,4,0,3,8,7,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nedlands (C),56580,3,13,0,0,0,0,0,0,0,20,49,347,0,0,3,0,0,0,3,405,225,319,9,12,37,13,7,5,5,630,8,27,0,0,3,0,0,0,0,37,49,81,4,5,7,3,3,0,0,150,0,11,4,0,0,0,0,0,0,19,466,1273,50,57,104,65,24,30,33,2110,0,0,0,0,0,0,0,0,0,4,44,67,14,6,11,18,3,6,3,172,42,34,15,17,16,12,10,4,3,152,75,24,129,36,13,12,10,18,8,322,0,0,0,3,0,3,0,3,0,10,15,4,3,3,3,3,0,6,0,33,11,25,0,0,3,0,0,0,3,48,14,18,8,3,4,0,3,10,14,64,999,2248,236,152,204,138,54,84,72,4190,3,13,0,0,3,0,0,0,0,16,14,179,0,0,11,0,0,0,0,205,92,308,4,16,44,16,0,3,5,481,3,19,0,0,5,0,0,0,0,34
Plantagenet (S),57210,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,23,38,11,3,3,0,3,4,0,84,0,0,0,0,0,0,0,0,0,0,22,3,3,8,3,0,0,3,0,43,16,6,5,7,3,0,3,4,3,45,58,4,133,16,3,15,38,53,3,329,4,0,3,0,0,0,0,8,0,14,5,6,3,3,0,0,3,0,0,23,0,0,0,0,0,0,0,4,0,9,13,0,5,0,0,0,3,7,0,32,153,70,155,46,19,13,60,80,8,606,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,7,0,0,5,0,0,0,0,18,0,3,0,0,0,0,0,0,0,3
Narrogin (S),56460,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,5,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,24,70,9,13,0,5,0,4,0,115,0,0,0,0,0,0,0,0,0,0,7,3,4,4,0,0,0,3,0,25,15,9,5,7,3,3,3,6,0,42,43,10,181,12,4,17,29,45,3,346,3,0,10,0,0,3,6,9,0,31,4,0,8,3,0,3,0,5,0,25,0,0,0,0,0,0,3,0,0,3,9,0,10,4,0,3,3,8,3,35,110,108,216,42,9,30,45,74,10,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Peppermint Grove (S),56930,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,12,18,9,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,57,85,4,3,8,10,0,3,9,166,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,17,0,5,3,0,0,0,0,0,0,11,4,0,8,0,3,0,0,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,90,133,17,4,13,13,4,3,11,284,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,8,18,0,0,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5
Port Hedland (T),57280,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,29,36,10,0,0,0,3,0,0,82,3,3,0,0,0,0,0,0,0,5,7,17,0,0,0,0,3,0,0,26,3,3,8,0,0,0,0,0,0,13,67,124,54,13,13,9,18,22,8,321,0,0,0,0,0,0,0,0,0,3,27,38,40,10,6,0,14,7,5,148,38,20,56,13,13,4,20,10,8,187,106,53,1170,26,59,15,244,143,55,1877,0,3,11,3,5,0,11,9,0,49,3,5,16,8,0,0,21,12,0,70,4,4,11,4,0,0,3,3,0,26,4,3,20,9,3,7,31,16,9,110,294,314,1391,81,109,49,372,225,85,2918,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,9,30,3,7,10,0,0,3,0,69,0,9,0,0,0,0,0,0,0,13
Quairading (S),57350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,8,9,0,23,3,0,0,8,12,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,23,10,26,3,0,4,12,13,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Ravensthorpe (S),57420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,3,0,0,13,0,0,0,0,0,0,3,0,0,11,29,3,71,3,6,3,17,16,0,138,0,0,0,0,0,0,0,3,0,9,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,7,0,0,0,11,0,0,19,59,20,78,6,6,6,39,26,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Rockingham (C),57490,3,3,0,3,3,0,0,0,0,12,12,50,0,0,0,0,0,0,0,69,145,215,21,24,32,5,19,10,8,477,8,10,0,4,0,0,0,0,0,27,35,114,4,7,3,0,3,3,0,173,29,26,4,13,5,0,0,0,3,79,429,1046,255,165,138,91,74,102,24,2319,0,3,6,0,0,0,0,0,0,12,257,251,307,106,76,41,80,44,15,1172,321,265,423,199,122,90,110,79,32,1637,824,417,6309,562,366,319,1290,985,248,11315,28,17,80,61,19,38,57,93,5,387,55,34,121,75,24,40,112,66,7,541,19,41,47,16,11,9,24,22,4,196,43,32,110,42,18,19,116,109,56,553,2211,2528,7680,1276,821,648,1894,1516,412,18982,3,26,0,3,4,0,0,0,0,40,4,38,0,0,0,0,0,0,0,50,62,283,16,24,32,3,0,10,4,439,11,31,0,0,3,0,0,0,0,44
Southern Midlands (M),65010,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,30,3,3,3,0,0,3,0,66,0,0,0,0,0,0,0,0,0,0,11,3,4,3,0,0,0,0,0,27,17,5,3,4,3,3,8,3,0,43,84,15,227,13,12,14,62,49,5,480,3,0,0,3,0,0,3,5,0,14,4,3,5,0,4,0,0,4,0,18,0,0,3,0,0,0,0,0,0,5,14,3,13,0,0,0,9,16,3,61,153,75,259,30,28,24,83,81,16,741,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
