lga_name_2016,lga_code_2016,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Goyder (DC),42110,36,48,48,320,483,481,700,896,891,654,867,867,125,150,150,0.7,0.7,0.7,2.1,2.3,2.3,0.0,2.6,2.5
Grant (DC),42250,35,44,44,562,666,665,1357,1383,1383,1083,1300,1300,165,160,160,0.8,0.8,0.8,3.2,2.6,2.6,0.0,1.8,1.9
Derby-West Kimberley (S),52800,25,38,30,315,1127,433,881,1899,1264,1798,1730,1733,95,128,100,1.2,0.8,1.1,3.8,2.1,3.1,26.4,3.3,16.7
Donnybrook-Balingup (S),52870,26,47,47,417,567,563,880,1161,1155,1350,1560,1541,250,230,230,0.8,0.7,0.7,2.5,2.4,2.4,0.0,1.4,1.4
Holdfast Bay (C),42600,29,46,46,629,748,748,1562,1356,1358,2029,1755,1772,320,300,300,1.0,0.8,0.8,2.4,2.2,2.2,3.4,1.3,1.3
Kangaroo Island (DC),42750,27,49,49,406,556,553,743,952,947,867,1083,1083,165,170,170,0.8,0.7,0.7,2.9,2.2,2.2,0.0,1.9,1.9
Karoonda East Murray (DC),43080,43,48,48,450,461,461,900,870,871,0,722,650,0,100,100,0.0,0.7,0.8,0.0,2.3,2.3,0.0,2.0,2.0
Kimba (DC),43220,19,41,40,350,685,684,1125,1236,1233,0,823,823,0,85,85,1.0,0.7,0.7,2.0,2.4,2.5,0.0,0.0,0.0
Kingston (DC) (SA),43360,30,51,50,458,578,575,966,978,978,1054,1058,1058,172,160,163,0.8,0.7,0.7,3.0,2.2,2.2,0.0,0.4,0.6
Light (RegC),43650,23,39,39,508,670,669,1547,1470,1471,1700,1450,1452,312,250,250,0.9,0.8,0.8,3.3,2.8,2.8,0.0,1.6,1.7
Lower Eyre Peninsula (DC),43710,29,43,43,524,674,672,1187,1279,1276,1300,1343,1342,160,180,180,1.0,0.8,0.8,3.4,2.5,2.5,7.5,1.9,2.1
Loxton Waikerie (DC),43790,18,47,46,440,555,552,853,1012,1005,984,1040,1040,183,171,175,1.0,0.8,0.8,3.1,2.3,2.3,3.3,1.6,1.6
Mallala (DC),43920,21,42,42,506,608,606,1674,1324,1332,1760,1408,1430,230,225,230,1.0,0.8,0.8,3.5,2.7,2.7,8.9,2.4,2.6
Maralinga Tjarutja (AC),44000,29,54,35,269,1674,1375,0,0,3374,0,0,0,0,0,0,1.5,0.6,1.5,3.9,2.0,3.7,45.5,0.0,35.7
Marion (C),44060,23,39,39,443,630,628,1141,1265,1263,1760,1625,1625,270,300,300,1.0,0.8,0.8,2.8,2.4,2.4,9.0,2.3,2.4
Mid Murray (DC),44210,26,51,51,445,474,473,762,841,839,1012,1000,1000,200,175,175,0.9,0.7,0.7,2.6,2.1,2.2,8.7,2.1,2.3
Mitcham (C),44340,26,42,42,453,716,715,1384,1606,1604,1863,1842,1842,300,300,300,0.9,0.8,0.8,2.8,2.6,2.6,6.5,2.1,2.1
Mount Barker (DC),44550,19,39,39,575,678,677,1242,1437,1435,1680,1612,1616,300,310,310,0.9,0.8,0.8,3.3,2.6,2.6,4.1,1.4,1.4
Mount Gambier (C),44620,19,40,40,432,592,589,929,1056,1052,1192,1170,1172,190,192,190,0.9,0.7,0.8,3.0,2.3,2.3,4.7,1.8,1.9
Mount Remarkable (DC),44830,34,53,53,386,502,497,787,948,940,1200,867,890,154,150,150,0.7,0.7,0.7,3.0,2.2,2.2,0.0,1.0,1.2
Murray Bridge (RC),45040,23,42,41,426,530,526,942,975,973,1195,1181,1183,215,220,220,0.9,0.8,0.8,3.0,2.3,2.4,6.9,2.7,2.9
Naracoorte and Lucindale (DC),45090,24,41,41,450,658,655,1160,1204,1203,867,1083,1083,170,180,180,1.0,0.8,0.8,3.0,2.4,2.4,0.0,2.4,2.4
Northern Areas (DC),45120,29,48,48,359,546,540,752,1055,1049,727,867,867,160,151,151,0.9,0.7,0.7,2.6,2.2,2.3,10.5,1.3,1.5
Norwood Payneham St Peters (C),45290,24,40,40,465,683,681,1275,1308,1307,1539,1800,1800,275,300,300,0.9,0.8,0.8,2.4,2.2,2.2,5.7,2.6,2.6
Onkaparinga (C),45340,19,40,40,450,595,593,1057,1196,1194,1517,1441,1447,280,290,290,0.9,0.8,0.8,3.0,2.5,2.5,7.1,1.6,1.7
Orroroo/Carrieton (DC),45400,12,52,52,575,510,513,0,1007,1003,0,817,820,0,107,107,0.0,0.7,0.7,0.0,2.1,2.2,0.0,1.5,1.7
Peterborough (DC),45540,17,55,54,361,429,426,545,708,700,607,563,563,150,140,140,0.8,0.7,0.7,2.9,1.9,2.0,0.0,2.1,2.2
Playford (C),45680,19,33,32,441,501,498,933,1019,1015,1300,1300,1300,245,245,245,1.0,0.8,0.8,3.1,2.6,2.6,9.5,3.8,4.0
Port Adelaide Enfield (C),45890,23,38,37,420,555,551,948,1145,1141,1625,1560,1560,240,270,268,1.0,0.8,0.8,2.8,2.4,2.4,9.7,4.3,4.5
Port Augusta (C),46090,26,43,39,409,642,604,845,1154,1103,1196,1235,1213,170,185,180,1.0,0.7,0.8,3.0,2.2,2.3,10.5,1.8,3.3
Port Lincoln (C),46300,22,42,40,428,614,603,879,1097,1081,1300,1300,1300,198,220,220,0.9,0.7,0.8,2.9,2.3,2.3,6.8,1.4,1.7
Port Pirie City and Dists (M),46450,17,44,44,339,484,481,787,907,901,923,1018,1001,170,170,170,0.9,0.7,0.7,3.1,2.2,2.3,6.2,1.6,1.8
Prospect (C),46510,30,37,37,470,759,757,1575,1576,1576,1767,1885,1863,260,295,295,0.9,0.9,0.9,2.5,2.5,2.5,0.0,3.5,3.5
Renmark Paringa (DC),46670,19,44,44,418,553,550,1048,1014,1016,1300,1083,1083,169,175,175,1.0,0.8,0.8,3.1,2.3,2.3,9.4,2.0,2.2
Robe (DC),46860,26,50,50,449,635,634,1437,1048,1055,0,1235,1235,0,200,200,0.6,0.6,0.6,2.0,2.1,2.1,0.0,1.7,1.7
Roxby Downs (M),46970,25,31,30,1375,1554,1547,2700,2472,2477,2500,2000,2000,206,198,198,0.9,0.8,0.8,3.1,2.7,2.7,0.0,1.1,1.1
Salisbury (C),47140,22,36,35,476,531,530,1120,1142,1141,1408,1354,1357,265,278,275,1.0,0.8,0.8,3.1,2.6,2.6,9.1,4.4,4.5
Unley (C),47980,26,41,41,582,792,791,1388,1639,1636,2394,2000,2000,320,315,315,1.0,0.8,0.9,2.6,2.4,2.4,6.4,2.1,2.1
Victor Harbor (C),48050,21,58,58,388,481,481,900,834,835,1300,1300,1300,268,255,255,0.9,0.7,0.7,3.0,2.1,2.1,0.0,0.9,0.9
Wakefield (DC),48130,20,44,44,410,552,549,900,1048,1045,934,917,917,240,180,180,1.0,0.8,0.8,3.1,2.4,2.4,0.0,2.3,2.3
Coolgardie (S),51960,19,35,33,381,824,757,1086,1883,1805,1034,1083,1083,180,200,200,1.0,0.8,0.8,3.0,2.4,2.5,14.9,1.6,3.2
Coorow (S),52030,24,52,52,374,557,549,725,963,957,0,1400,1400,220,150,175,0.6,0.6,0.7,2.0,2.0,2.0,0.0,0.0,1.0
Walkerville (M),48260,23,44,44,362,801,796,1312,1707,1703,0,2000,2000,198,330,330,0.9,0.8,0.8,2.0,2.3,2.3,0.0,2.0,2.0
Wattle Range (DC),48340,24,46,46,435,549,547,949,1024,1023,899,958,953,159,150,150,1.0,0.7,0.7,2.8,2.3,2.3,0.0,1.3,1.3
West Torrens (C),48410,25,38,38,476,616,614,1254,1220,1221,1712,1700,1700,285,280,280,0.9,0.9,0.9,2.5,2.3,2.3,7.2,3.9,3.9
Whyalla (C),48540,21,41,40,372,506,497,750,1005,988,1213,1235,1235,170,179,177,0.9,0.7,0.7,2.7,2.2,2.3,6.1,1.5,1.7
Wudinna (DC),48640,19,42,42,466,676,672,949,1171,1162,813,800,800,180,120,120,0.6,0.7,0.7,2.6,2.3,2.3,0.0,1.6,2.2
Yankalilla (DC),48750,27,54,54,518,496,496,1354,917,923,1700,1257,1257,265,230,231,1.0,0.7,0.7,3.0,2.2,2.2,0.0,1.2,1.3
Yorke Peninsula (DC),48830,30,56,55,381,485,483,729,852,847,964,1000,1000,125,180,180,0.8,0.7,0.7,2.4,2.1,2.1,6.7,1.3,1.5
Unincorporated SA,49399,33,45,43,382,906,774,770,1023,959,809,572,640,75,57,70,1.0,0.7,0.8,3.1,1.9,2.1,15.6,2.6,5.2
No usual address (SA),49499,33,41,40,263,385,370,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory - Offshore - Shipping (SA),49799,0,45,45,0,1749,1749,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany (C),50080,25,44,43,419,616,611,1178,1210,1209,1625,1600,1600,250,280,280,0.9,0.7,0.8,3.0,2.4,2.4,7.5,1.9,2.1
Armadale (C),50210,20,34,33,449,704,698,1253,1507,1497,1733,1950,1950,300,330,325,1.0,0.8,0.8,3.4,2.7,2.7,9.1,2.1,2.4
Ashburton (S),50250,30,36,36,1139,2453,2381,1992,2548,2456,1750,2084,2000,35,30,32,1.0,0.9,0.9,3.1,2.6,2.7,8.0,1.8,2.8
Augusta-Margaret River (S),50280,21,39,39,575,672,671,1215,1286,1285,1586,1750,1733,310,300,300,1.0,0.8,0.8,3.1,2.5,2.5,6.7,2.4,2.4
Bassendean (T),50350,23,39,39,386,740,731,1166,1519,1508,1875,1922,1922,300,350,345,1.0,0.8,0.8,3.0,2.4,2.4,8.7,1.7,1.9
Bayswater (C),50420,23,37,37,477,735,732,1173,1512,1507,1993,2000,2000,300,350,350,0.9,0.8,0.8,2.8,2.4,2.4,9.8,2.8,2.9
Belmont (C),50490,25,34,34,469,728,722,1114,1439,1431,1950,1950,1950,280,360,350,1.0,0.8,0.8,3.0,2.4,2.4,11.1,3.9,4.1
Beverley (S),50560,28,53,53,414,543,532,966,993,991,1083,1185,1170,185,137,150,0.9,0.7,0.7,2.6,2.1,2.2,20.8,1.8,2.5
Boddington (S),50630,29,40,39,407,845,809,1312,1869,1843,1500,1733,1733,250,277,274,0.9,0.7,0.8,3.2,2.5,2.5,13.3,1.2,1.8
Boyup Brook (S),50770,41,49,49,525,602,600,1312,1093,1096,1376,1300,1300,240,125,133,0.6,0.7,0.7,1.5,2.3,2.3,0.0,1.3,1.3
Bridgetown-Greenbushes (S),50840,29,50,49,408,521,518,933,1027,1024,1343,1517,1517,270,240,240,0.9,0.7,0.7,3.0,2.3,2.3,17.1,1.6,1.9
Brookton (S),50910,25,50,48,345,699,661,840,1158,1107,1083,1096,1090,168,140,150,1.0,0.7,0.7,3.0,2.2,2.3,0.0,0.0,1.7
Broomehill-Tambellup (S),51080,24,42,39,390,688,643,824,1294,1242,1083,748,800,160,80,100,1.1,0.8,0.8,3.8,2.5,2.6,13.2,3.5,4.6
Bruce Rock (S),51120,35,47,47,416,697,687,762,1109,1090,0,825,800,129,100,100,0.9,0.7,0.7,2.0,2.2,2.2,0.0,0.0,0.0
Bunbury (C),51190,23,42,41,444,638,632,970,1204,1197,1517,1600,1600,270,300,295,0.9,0.7,0.7,3.1,2.3,2.3,8.5,1.4,1.7
Busselton (C),51260,18,42,42,467,655,653,1197,1303,1300,2000,1863,1863,315,350,350,1.0,0.7,0.7,3.4,2.5,2.5,5.5,1.2,1.3
Cambridge (T),51310,25,40,40,634,1035,1034,2541,2448,2449,3900,2800,2800,450,450,450,0.9,0.8,0.8,2.9,2.7,2.7,0.0,1.7,1.7
Canning (C),51330,21,34,34,452,616,615,1209,1564,1560,1717,1951,1950,300,375,370,1.0,0.8,0.8,3.2,2.8,2.8,7.4,3.4,3.4
Capel (S),51400,20,37,36,388,723,716,1442,1735,1726,1975,1950,1950,330,350,350,0.9,0.8,0.8,3.4,2.8,2.8,6.8,1.0,1.1
Carnamah (S),51470,28,46,46,399,708,698,724,1147,1136,0,719,737,145,84,100,0.8,0.7,0.7,2.0,2.1,2.1,0.0,0.0,0.0
Carnarvon (S),51540,25,41,39,393,754,693,960,1340,1261,1720,1517,1517,150,213,200,1.1,0.8,0.9,3.0,2.3,2.4,17.2,3.6,6.0
Chittering (S),51680,15,43,43,75,648,641,2624,1617,1640,2383,2167,2167,0,270,270,0.9,0.8,0.8,3.9,2.8,2.8,0.0,1.9,2.1
Claremont (T),51750,16,43,43,0,963,960,3624,2069,2073,2405,2600,2600,578,450,450,0.8,0.8,0.8,1.6,2.3,2.3,0.0,1.6,1.6
Cockburn (C),51820,22,36,35,484,764,761,1364,1765,1756,2167,2058,2058,335,380,380,1.0,0.8,0.8,3.3,2.7,2.7,7.5,1.9,2.0
Collie (S),51890,21,43,41,321,523,512,748,1187,1161,1300,1517,1517,200,230,225,1.0,0.7,0.7,3.2,2.4,2.4,10.8,1.9,2.3
Corrigin (S),52100,11,45,44,537,757,748,962,1347,1332,390,1000,1000,166,130,137,1.5,0.7,0.7,2.9,2.3,2.3,0.0,1.0,1.7
Cottesloe (T),52170,31,42,42,1125,1219,1218,2374,2636,2631,4200,3250,3250,443,545,540,1.1,0.8,0.8,2.3,2.5,2.5,0.0,1.2,1.2
Cranbrook (S),52240,40,46,46,325,622,612,725,1070,1047,0,943,878,100,125,123,0.9,0.7,0.7,2.5,2.3,2.4,0.0,1.9,1.9
Cuballing (S),52310,39,47,47,387,608,604,725,1110,1101,0,1213,1226,0,150,150,0.0,0.7,0.7,2.0,2.2,2.2,0.0,1.7,2.0
Cue (S),52380,22,56,52,450,558,534,899,900,875,0,1000,775,124,100,100,1.2,0.5,0.6,3.5,1.6,1.9,0.0,0.0,0.0
Cunderdin (S),52450,24,37,37,450,638,633,762,1314,1288,0,1000,995,153,180,180,0.6,0.8,0.8,2.3,2.5,2.5,0.0,2.2,2.1
Dalwallinu (S),52520,26,38,38,410,825,803,1187,1434,1424,729,1000,946,100,199,185,1.1,0.7,0.7,3.1,2.4,2.5,0.0,1.1,1.4
Dandaragan (S),52590,25,48,48,543,639,636,1781,1179,1189,1625,1700,1700,265,260,260,0.9,0.7,0.7,2.8,2.2,2.3,0.0,1.2,1.2
Dardanup (S),52660,20,37,37,599,671,670,1769,1541,1546,1733,1885,1863,345,330,330,0.9,0.7,0.7,3.3,2.6,2.6,3.3,1.2,1.2
Denmark (S),52730,19,49,49,395,547,544,1042,1013,1013,1170,1593,1573,260,265,263,0.9,0.8,0.8,3.0,2.3,2.3,0.0,2.2,2.2
Dowerin (S),52940,12,44,43,593,645,641,1187,1118,1125,0,867,867,150,100,100,1.2,0.7,0.7,3.0,2.3,2.4,0.0,2.0,2.7
Dumbleyung (S),53010,40,42,42,288,677,662,483,1112,1088,0,585,585,110,93,98,0.7,0.7,0.7,1.5,2.2,2.2,0.0,0.0,0.0
Dundas (S),53080,26,48,47,408,638,612,784,796,794,694,604,604,140,125,132,1.0,0.7,0.7,2.5,1.8,1.9,0.0,2.6,3.4
East Fremantle (T),53150,27,43,43,674,940,938,1042,2064,2051,1800,2500,2500,338,400,400,1.2,0.8,0.8,2.3,2.5,2.5,0.0,1.4,1.4
East Pilbara (S),53220,27,35,34,370,2017,1814,1437,2548,2353,416,650,457,100,100,100,1.4,0.9,1.0,4.3,2.6,3.0,30.5,1.7,8.6
Esperance (S),53290,17,40,40,346,696,682,1292,1366,1363,1733,1677,1679,223,240,240,1.0,0.8,0.8,3.4,2.4,2.5,6.1,1.6,1.8
Exmouth (S),53360,23,37,37,604,820,816,1604,1655,1650,1200,2167,2167,203,308,300,1.2,0.9,0.9,2.5,2.4,2.5,0.0,3.7,3.7
Fremantle (C),53430,26,42,42,414,785,778,1059,1595,1585,2167,2167,2167,194,360,351,1.0,0.8,0.8,2.8,2.2,2.2,11.1,1.9,2.1
Gingin (S),53570,24,48,47,545,567,567,1281,1116,1123,2084,1733,1733,250,250,250,0.9,0.7,0.7,3.3,2.4,2.4,0.0,2.3,2.4
Gnowangerup (S),53640,26,42,40,311,804,759,725,1426,1319,780,768,774,137,130,130,0.8,0.7,0.7,3.3,2.3,2.4,20.0,0.0,2.4
Kalgoorlie/Boulder (C),54280,22,33,33,437,1020,974,1356,2116,2080,1565,1801,1800,250,300,290,1.1,0.8,0.8,3.4,2.6,2.7,14.8,2.1,3.0
Karratha (C),54310,23,32,31,426,1468,1350,1649,2789,2626,2323,2600,2600,165,240,220,1.1,0.8,0.9,3.4,2.8,2.8,14.6,1.7,3.5
Goomalling (S),53710,25,45,45,312,679,668,474,1152,1128,0,1105,1105,154,150,150,1.0,0.7,0.8,2.6,2.3,2.3,0.0,1.6,2.1
Gosnells (C),53780,23,34,34,446,640,636,1276,1486,1482,1700,1800,1800,300,350,350,1.0,0.8,0.8,3.5,2.8,2.9,9.9,3.6,3.7
Greater Geraldton (C),53800,23,40,38,423,686,662,1005,1383,1348,1690,1733,1733,240,275,270,1.0,0.7,0.8,3.2,2.5,2.5,10.3,1.4,2.3
Halls Creek (S),53920,25,36,28,272,1273,359,705,2037,1023,0,1062,981,85,0,75,1.4,0.8,1.2,3.8,1.8,3.2,36.6,2.4,25.9
Harvey (S),53990,20,38,38,444,667,662,1278,1562,1553,1794,1842,1842,300,320,320,0.9,0.7,0.7,3.4,2.7,2.7,5.7,1.3,1.4
Irwin (S),54060,44,49,49,379,553,547,1093,1085,1085,1867,1733,1733,140,250,240,0.7,0.7,0.7,2.3,2.3,2.3,0.0,1.1,1.0
Jerramungup (S),54130,11,42,41,687,797,794,900,1307,1284,984,895,899,0,130,128,0.8,0.7,0.7,1.4,2.3,2.3,0.0,1.1,1.0
Joondalup (C),54170,23,40,40,615,776,776,1864,1958,1957,2022,2100,2100,390,410,410,0.9,0.7,0.7,3.3,2.8,2.8,4.3,0.9,0.9
Kalamunda (S),54200,19,39,39,466,735,732,1642,1662,1661,1965,2000,2000,350,380,380,0.9,0.7,0.7,3.4,2.7,2.7,6.8,1.6,1.7
Katanning (S),54340,21,41,40,389,678,667,1045,1221,1205,1050,1170,1134,180,180,180,0.9,0.8,0.8,3.1,2.4,2.5,11.3,4.3,4.9
Kellerberrin (S),54410,32,49,48,345,551,526,787,1039,1016,660,867,867,146,100,115,1.2,0.7,0.8,3.1,2.3,2.5,17.9,2.0,3.0
Kent (S),54480,19,39,39,0,859,856,0,1333,1342,0,412,412,0,0,61,0.0,0.8,0.8,0.0,2.5,2.5,0.0,0.0,0.0
Kojonup (S),54550,22,45,44,547,730,720,849,1317,1303,997,1083,1083,123,150,143,1.1,0.7,0.7,3.2,2.4,2.4,0.0,1.3,1.7
Kondinin (S),54620,22,44,43,359,818,784,599,1326,1289,737,845,776,120,112,115,0.6,0.7,0.7,2.6,2.3,2.3,0.0,1.7,2.3
Koorda (S),54690,13,47,47,0,643,640,0,1093,1083,0,521,542,0,95,95,0.0,0.7,0.7,3.0,2.3,2.3,0.0,0.0,0.0
Kulin (S),54760,25,44,44,450,763,746,899,1229,1221,0,650,650,159,99,107,1.5,0.7,0.7,2.4,2.3,2.3,0.0,0.0,0.0
Kwinana (C),54830,24,32,32,442,691,684,1157,1480,1471,1733,1818,1813,300,330,325,0.9,0.8,0.8,3.2,2.7,2.7,8.5,2.5,2.7
Lake Grace (S),54900,12,41,40,687,904,899,900,1441,1433,0,1000,1000,152,135,138,1.3,0.7,0.7,3.9,2.3,2.3,0.0,1.6,1.7
Laverton (S),54970,25,40,36,291,1864,1597,716,1480,1111,0,670,679,90,40,70,1.2,0.7,0.9,3.6,1.9,2.6,22.5,0.0,10.7
Leonora (S),55040,26,36,35,441,1587,1443,840,1919,1810,0,834,867,130,0,0,1.0,0.8,0.8,3.5,2.2,2.5,12.7,2.5,4.4
Mandurah (C),55110,20,44,43,424,558,555,1170,1162,1162,1917,1816,1820,309,320,320,0.9,0.7,0.7,3.3,2.4,2.4,6.6,1.1,1.3
Manjimup (S),55180,18,45,45,423,600,594,1068,1120,1118,1300,1300,1300,200,180,183,1.0,0.7,0.7,3.4,2.3,2.3,11.0,1.7,2.0
Meekatharra (S),55250,27,37,35,397,1489,992,880,1666,1347,650,517,600,106,100,100,1.0,0.7,0.8,3.4,2.0,2.5,21.8,0.0,9.7
Melville (C),55320,22,41,41,497,759,757,1545,1836,1834,1903,2167,2167,360,400,400,0.9,0.7,0.7,3.1,2.6,2.6,7.4,1.3,1.3
Mukinbudin (S),55950,22,43,43,424,667,647,687,1471,1402,0,607,607,191,60,83,0.7,0.7,0.8,2.4,2.4,2.5,0.0,0.0,2.0
Menzies (S),55390,29,44,38,284,1770,776,1025,1541,1170,0,0,0,118,40,100,1.5,0.9,1.2,3.6,1.6,2.6,41.0,0.0,24.7
Merredin (S),55460,20,39,38,366,682,661,1028,1363,1332,1213,1122,1127,170,180,180,1.1,0.7,0.8,3.3,2.4,2.4,6.1,1.8,2.1
Mingenew (S),55530,21,42,42,333,753,732,899,1267,1234,0,827,700,170,75,93,0.8,0.7,0.7,4.0,2.2,2.3,0.0,0.0,0.0
Mundaring (S),56090,29,43,42,543,695,692,1949,1659,1664,2058,2000,2000,340,350,350,0.9,0.7,0.8,3.4,2.7,2.7,8.7,1.5,1.6
Morawa (S),55670,23,42,38,271,638,560,725,1204,1148,0,542,542,165,145,150,1.0,0.7,0.7,2.9,2.3,2.4,14.3,0.0,3.2
Moora (S),55600,23,43,41,410,756,707,1115,1438,1395,776,1164,1100,195,150,166,1.1,0.7,0.8,3.4,2.3,2.4,22.6,1.5,3.6
Nungarin (S),56860,15,47,44,449,626,615,2083,1034,1068,0,758,758,0,55,55,0.0,0.7,0.7,2.0,2.3,2.5,0.0,0.0,0.0
Peppermint Grove (S),56930,15,41,39,0,1092,1061,0,3481,3481,0,2817,2817,0,459,459,0.0,0.8,0.8,0.0,2.8,2.8,0.0,1.0,1.0
Mosman Park (T),55740,21,40,40,519,900,894,1125,1873,1864,1820,2700,2700,180,320,320,1.1,0.8,0.8,2.6,2.4,2.4,14.8,1.4,1.5
Mount Magnet (S),55810,31,43,42,341,645,526,949,1153,1110,442,490,442,170,130,145,1.0,0.7,0.8,3.2,2.0,2.4,14.3,3.7,5.8
Mount Marshall (S),55880,44,42,42,899,678,684,0,1211,1227,0,520,499,0,55,60,0.6,0.8,0.8,2.0,2.4,2.4,0.0,0.0,2.0
Southern Midlands (M),65010,26,45,44,435,541,533,1009,1051,1048,1083,1192,1192,230,160,170,0.9,0.8,0.8,2.8,2.4,2.5,6.0,2.3,2.5
Tasman (M),65210,40,55,55,425,464,462,900,784,788,850,934,910,198,190,195,0.9,0.7,0.8,2.6,2.0,2.1,0.0,1.8,2.0
Murchison (S),56160,22,45,37,256,833,562,762,1850,1343,0,0,0,50,0,25,1.3,0.5,0.8,3.4,2.0,2.8,0.0,0.0,0.0
Murray (S),56230,19,44,44,411,548,543,1286,1217,1218,1720,1863,1863,300,300,300,1.0,0.7,0.8,3.6,2.5,2.5,11.6,1.7,2.0
Nannup (S),56300,46,53,53,412,520,515,749,968,955,1650,1408,1408,169,175,175,0.9,0.7,0.8,2.3,2.2,2.2,0.0,2.0,2.4
Waratah/Wynyard (M),65410,24,48,46,481,500,498,1010,935,942,1200,1157,1170,204,200,200,0.9,0.8,0.8,2.9,2.2,2.3,4.9,1.7,2.0
West Coast (M),65610,26,45,44,450,470,469,1136,892,910,540,697,673,155,130,135,0.9,0.7,0.7,2.5,2.1,2.1,4.4,1.1,1.4
West Tamar (M),65810,20,45,45,505,565,564,1180,1138,1139,1343,1300,1300,250,245,250,1.0,0.8,0.8,3.2,2.4,2.4,8.0,1.4,1.6
Narembeen (S),56370,24,46,46,437,770,763,824,1211,1204,0,600,625,190,120,120,0.6,0.7,0.7,1.5,2.2,2.3,0.0,2.1,2.4
No usual address (Tas.),69499,31,38,38,361,389,385,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narrogin (S),56460,19,42,40,371,657,635,972,1248,1225,1108,1200,1200,209,220,220,1.1,0.7,0.7,3.4,2.3,2.4,15.7,1.4,2.3
Nedlands (C),56580,25,41,41,466,990,987,1791,2717,2708,2167,3250,3250,525,520,520,1.0,0.8,0.8,3.0,2.8,2.8,0.0,1.5,1.5
Ngaanyatjarraku (S),56620,27,42,29,271,1330,307,823,2097,1073,0,0,0,55,0,55,1.4,0.6,1.3,4.3,1.7,3.8,39.2,0.0,30.9
Northam (S),56730,23,43,42,380,598,581,962,1191,1178,1200,1432,1408,190,250,245,1.0,0.7,0.8,3.6,2.4,2.4,11.3,2.5,3.0
Northampton (S),56790,27,52,51,365,546,530,782,977,961,1517,1509,1517,225,200,200,1.0,0.7,0.8,3.3,2.1,2.2,14.3,1.6,2.2
Victoria Daly (R),74550,23,37,27,252,911,376,817,1468,1098,1517,1484,1517,60,0,50,1.7,0.8,1.3,4.5,1.8,3.3,47.4,3.1,27.7
Sandstone (S),57630,0,58,58,0,510,509,0,1125,1083,0,0,0,0,0,0,0.0,0.5,0.5,0.0,1.6,1.7,0.0,0.0,0.0
Serpentine-Jarrahdale (S),57700,18,33,32,706,774,773,1903,1858,1859,2167,2128,2145,370,380,380,0.9,0.8,0.8,3.9,3.0,3.0,7.2,1.7,1.8
Shark Bay (S),57770,41,44,43,695,644,648,1281,1045,1083,1290,1500,1380,110,178,170,0.8,0.8,0.8,2.1,2.1,2.1,0.0,2.4,2.2
South Perth (C),57840,20,37,37,348,847,840,1125,1787,1780,3197,2167,2173,265,380,375,1.0,0.8,0.8,2.9,2.3,2.3,12.6,1.8,1.9
Stirling (C),57910,25,36,36,497,769,766,1217,1568,1563,1998,2000,2000,300,350,350,0.9,0.8,0.8,2.7,2.4,2.4,8.7,2.7,2.8
Subiaco (C),57980,23,36,36,505,897,892,1625,1837,1836,3050,2500,2500,345,400,400,1.0,0.9,0.9,2.2,2.2,2.2,0.0,3.8,3.8
Swan (C),58050,21,34,34,462,721,716,1412,1629,1623,2000,2000,2000,318,353,350,1.0,0.8,0.8,3.4,2.8,2.8,8.2,2.3,2.5
Tammin (S),58190,39,38,38,383,727,661,833,1363,1273,759,979,867,0,102,102,0.8,0.8,0.8,2.5,2.5,2.5,0.0,0.0,0.0
Three Springs (S),58260,19,41,40,416,626,610,700,1202,1162,0,594,594,156,110,115,0.9,0.7,0.7,2.5,2.3,2.3,0.0,0.0,0.0
Unincorporated NT,79399,26,35,34,755,1125,1086,1539,2002,1950,2000,1509,1550,97,80,80,1.2,1.1,1.1,2.6,2.3,2.3,10.4,4.4,5.1
No usual address (NT),79499,42,45,44,356,578,449,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perenjori (S),57000,26,43,42,833,1218,1188,1624,1329,1343,786,800,800,180,48,110,1.0,0.7,0.7,2.8,2.1,2.3,0.0,0.0,0.0
Perth (C),57080,31,32,32,472,932,928,1958,1848,1849,2000,2167,2151,400,440,440,1.1,1.0,1.0,1.9,1.9,1.9,8.6,5.9,5.9
