lga_name_2016,lga_code_2016,d_5_9_fpet_mptlf,d_5_9_fpet_mpnlf,d_5_9_fpet_mplfsns,d_5_9_fpet_t,d_5_9_fpulftw_mpeft,d_5_9_fpulftw_mpept,d_5_9_fpulftw_mp_eaw,d_5_9_fpulftw_mp_e_hns,d_5_9_fpulftw_mpet,d_5_9_fpulftw_mpulftw,d_5_9_fpulftw_mpulptw,d_5_9_fpulftw_mput,d_5_9_fpulftw_mptlf,d_5_9_fpulftw_mpnlf,d_5_9_fpulftw_mplfsns,d_5_9_fpulftw_t,d_5_9_fpulptw_mpeft,d_5_9_fpulptw_mpept,d_5_9_fpulptw_mpeaw,d_5_9_fpulptw_mp_e_hns,d_5_9_fpulptw_mpet,d_5_9_fpulptw_mpulftw,d_5_9_fpulptw_mpulptw,d_5_9_fpulptw_mput,d_5_9_fpulptw_mptlf,d_5_9_fpulptw_mpnlf,d_5_9_fpulptw_mplfsns,d_5_9_fpulptw_t,d_5_9_fput_mpeft,d_5_9_fput_mpept,d_5_9_fput_mpeaw,d_5_9_fput_mpehns,d_5_9_fput_mpet,d_5_9_fput_mpulftw,d_5_9_fput_mpulptw,d_5_9_fput_mput,d_5_9_fput_mptlf,d_5_9_fput_mpnlf,d_5_9_fput_mplfsns,d_5_9_fput_t,d_5_9_fptlf_mpeft,d_5_9_fptlf_mpept,d_5_9_fptlf_mpeaw,d_5_9_fptlf_mpehns,d_5_9_fptlf_mpet,d_5_9_fptlf_mpulftw,d_5_9_fptlf_mpulptw,d_5_9_fptlf_mput,d_5_9_fptlf_mptlf,d_5_9_fptlf_mpnlf,d_5_9_fptlf_mplfsns,d_5_9_fptlf_t,d_5_9_fpnlf_mpeft,d_5_9_fpnlf_mpept,d_5_9_fpnlf_mpeaw,d_5_9_fpnlf_mpehns,d_5_9_fpnlf_mpet,d_5_9_fpnlf_mpulftw,d_5_9_fpnlf_mpulptw,d_5_9_fpnlf_mput,d_5_9_fpnlf_mptlf,d_5_9_fpnlf_mpnlf,d_5_9_fpnlf_mplfsns,d_5_9_fpnlf_t,d_5_9_fplfsns_mpeft,d_5_9_fplfsns_mpept,d_5_9_fplfsns_mpeaw,d_5_9_fplfsns_mpehns,d_5_9_fplfsns_mpet,d_5_9_fplfsns_mpulftw,d_5_9_fplfsns_mpulptw,d_5_9_fplfsns_mput,d_5_9_fplfsns_mptlf,d_5_9_fplfsns_mpnlf,d_5_9_fplfsns_mplfsns,d_5_9_fplfsns_t,d_5_9_fpt_mpeft,d_5_9_fpt_mpept,d_5_9_fpt_mpeaw,d_5_9_fpt_mpehns,d_5_9_fpt_mpet,d_5_9_fpt_mpulftw,d_5_9_fpt_mpulptw,d_5_9_fpt_mput,d_5_9_fpt_mptlf,d_5_9_fpt_mpnlf,d_5_9_fpt_mplfsns,d_5_9_fpt_t,d_10_12_fpeft_mpeft,d_10_12_fpeft_mpept,d_10_12_fpeft_mpeaw,d_10_12_fpeft_mpehns,d_10_12_fpeft_mpet,d_10_12_fpeft_mpulftw,d_10_12_fpeft_mpulptw,d_10_12_fpeft_mput,d_10_12_fpeft_mptlf,d_10_12_fpeft_mpnlf,d_10_12_fpeft_mplfsns,d_10_12_fpeft_t,d_10_12_fpept_mpeft,d_10_12_fpept_mpept,d_10_12_fpept_mpeaw,d_10_12_fpept_mpehns,d_10_12_fpept_mpet,d_10_12_fpept_mpulftw,d_10_12_fpept_mpulptw,d_10_12_fpept_mput,d_10_12_fpept_mptlf,d_10_12_fpept_mpnlf,d_10_12_fpept_mplfsns,d_10_12_fpept_t,d_10_12_fpeaw_mpeft,d_10_12_fpeaw_mpept,d_10_12_fpeaw_mpeaw,d_10_12_fpeaw_mpehns,d_10_12_fpeaw_mpet,d_10_12_fpeaw_mpulftw,d_10_12_fpeaw_mpulptw,d_10_12_fpeaw_mput,d_10_12_fpeaw_mptlf,d_10_12_fpeaw_mpnlf,d_10_12_fpeaw_mplfsns,d_10_12_fpeaw_t,d_10_12_fphns_mpeft,d_10_12_fphns_mpept,d_10_12_fphns_mpeaw,d_10_12_fphns_mpehns,d_10_12_fphns_mpet,d_10_12_fphns_mpulftw,d_10_12_fphns_mpulptw,d_10_12_fphns_mput,d_10_12_fphns_mptlf,d_10_12_fphns_mpnlf,d_10_12_fphns_mplfsns,d_10_12_fphns_t,d_10_12_fpet_mpeft,d_10_12_fpet_mpept,d_10_12_fpet_mpeaw,d_10_12_fpet_mpehns,d_10_12_fpet_mpet,d_10_12_fpet_mpulftw,d_10_12_fpet_mpulptw,d_10_12_fpet_mput,d_10_12_fpet_mptlf,d_10_12_fpet_mpnlf,d_10_12_fpet_mplfsns,d_10_12_fpet_t,d_10_12_fpulftw_mpeft,d_10_12_fpulftw_mpept,d_10_12_fpulftw_mpeaw,d_10_12_fpulftw_mpehns,d_10_12_fpulftw_mpet,d_10_12_fpulftw_mpulftw,d_10_12_fpulftw_mpulptw,d_10_12_fpulftw_mput,d_10_12_fpulftw_mptlf,d_10_12_fpulftw_mpnlf,d_10_12_fpulftw_mplfsns,d_10_12_fpulftw_t,d_10_12_fpulptw_mpeft,d_10_12_fpulptw_mpept,d_10_12_fpulptw_mpeaw,d_10_12_fpulptw_mpehns,d_10_12_fpulptw_mpet,d_10_12_fpulptw_mpulftw,d_10_12_fpulptw_mpulptw,d_10_12_fpulptw_mput,d_10_12_fpulptw_mptlf,d_10_12_fpulptw_mpnlf,d_10_12_fpulptw_mplfsns,d_10_12_fpulptw_t,d_10_12_fput_mpeft,d_10_12_fput_mpept,d_10_12_fput_mpeaw,d_10_12_fput_mpehns,d_10_12_fput_mpet,d_10_12_fput_mpulftw,d_10_12_fput_mpulptw,d_10_12_fput_mput,d_10_12_fput_mptlf,d_10_12_fput_mpnlf,d_10_12_fput_mplfsns,d_10_12_fput_t,d_10_12_fptlf_mpeft,d_10_12_fptlf_mpept,d_10_12_fptlf_mpeaw,d_10_12_fptlf_mpehns,d_10_12_fptlf_mpet,d_10_12_fptlf_mpulftw,d_10_12_fptlf_mpulptw,d_10_12_fptlf_mput,d_10_12_fptlf_mptlf,d_10_12_fptlf_mpnlf,d_10_12_fptlf_mplfsns,d_10_12_fptlf_t,d_10_12_fpnlf_mpeft,d_10_12_fpnlf_mpept,d_10_12_fpnlf_mpeaw,d_10_12_fpnlf_mpehns
Broken Hill (C),11250,369,25,0,395,4,0,0,0,4,5,0,5,9,0,0,9,12,0,0,0,8,0,0,0,14,0,0,14,13,0,0,0,13,9,0,9,18,0,0,18,329,20,3,12,365,14,3,23,391,25,0,411,76,14,8,10,104,8,3,10,116,37,0,149,0,0,0,0,0,0,0,0,0,0,3,3,398,40,7,22,469,25,6,34,501,63,3,572,93,4,4,0,106,7,0,7,111,7,0,116,83,3,3,4,98,3,0,3,100,8,0,105,5,0,0,0,5,0,0,0,7,0,0,11,0,0,0,3,3,0,0,0,7,0,0,3,186,9,7,4,209,6,0,12,224,16,0,240,5,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,8,0,0,0,8,0,0,8,194,15,7,4,216,6,0,12,233,16,0,248,34,3,0,0
Hilltops (A),13910,554,26,3,574,3,3,0,0,6,4,0,4,14,3,0,10,8,3,0,0,11,0,0,0,11,0,0,13,10,8,0,0,21,4,0,4,20,3,0,24,464,72,12,14,560,7,0,12,572,27,3,598,159,18,3,9,193,8,3,13,203,42,0,248,0,0,0,0,0,0,0,0,0,0,5,4,632,95,18,22,753,17,3,21,775,69,9,854,103,15,0,0,116,3,0,3,121,3,0,126,177,16,3,0,196,4,0,3,200,3,0,206,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,4,8,0,0,0,8,0,0,8,277,34,5,4,328,3,0,7,334,7,0,343,0,0,0,0,3,3,0,3,10,3,0,14,6,0,0,0,4,0,0,0,4,0,0,4,5,3,0,0,13,3,0,3,14,3,0,20,286,36,5,9,338,6,0,10,346,15,0,359,69,15,0,4
Hornsby (A),14000,6072,157,12,6240,81,3,0,0,86,19,0,19,107,8,0,112,165,14,0,8,184,6,0,5,194,3,3,196,240,22,0,8,272,21,0,28,296,7,5,308,5591,521,63,56,6227,120,23,144,6371,166,15,6551,1618,146,15,41,1816,33,7,38,1859,103,8,1967,4,0,0,8,21,0,0,0,21,0,4,19,7220,665,77,99,8060,158,27,180,8248,272,21,8542,1348,141,7,6,1499,35,15,52,1547,71,0,1624,1758,149,10,10,1919,18,4,22,1943,44,0,1989,31,6,11,0,54,0,0,0,51,0,0,53,14,0,0,7,27,0,0,0,29,3,0,36,3151,295,26,27,3497,62,18,78,3575,124,3,3698,36,3,0,0,44,0,0,0,46,4,0,46,81,10,0,0,92,3,0,3,90,4,0,98,118,10,0,0,133,3,0,4,137,5,0,147,3271,307,24,25,3627,67,17,81,3707,129,3,3843,699,61,6,9
Hunters Hill (A),14100,538,20,0,559,5,0,0,0,5,0,0,0,5,0,0,5,17,0,0,0,17,0,0,0,17,0,0,15,22,0,0,0,22,0,0,0,22,0,0,26,504,39,5,6,555,3,0,8,559,23,0,580,136,8,3,0,148,0,0,0,148,10,0,157,0,0,0,0,3,0,0,0,3,0,0,3,648,46,10,4,712,3,0,8,715,33,0,742,133,11,0,0,144,0,0,0,144,3,0,149,164,9,0,0,172,0,0,3,175,3,0,179,0,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,4,0,0,0,4,0,0,4,305,19,3,0,323,0,0,3,330,6,0,332,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0,12,0,0,0,12,0,0,12,311,19,3,0,337,0,0,3,337,6,0,348,68,9,0,0
Inner West (A),14170,5710,175,13,5900,43,7,0,0,55,6,0,6,58,5,0,66,119,17,0,0,135,0,0,0,135,3,0,139,164,28,0,0,189,6,0,6,194,13,0,207,5097,606,59,54,5811,78,19,95,5905,188,13,6105,992,132,10,29,1174,21,4,24,1198,117,3,1311,7,0,0,3,10,0,0,0,10,0,26,32,6095,738,73,89,6992,98,21,117,7110,304,41,7453,1081,169,6,5,1251,29,6,33,1288,69,0,1354,1092,144,11,5,1248,23,3,25,1272,26,3,1305,28,0,9,0,32,0,0,0,32,0,0,39,5,0,0,12,18,0,0,0,18,3,0,18,2203,312,24,21,2556,49,12,60,2612,99,7,2713,23,8,3,0,31,6,0,7,38,3,0,42,46,10,3,0,59,0,0,4,59,0,0,61,72,18,5,0,95,11,3,11,102,3,0,107,2273,327,24,18,2647,59,13,70,2717,103,7,2824,415,56,6,6
Inverell (A),14200,442,8,0,455,3,0,0,0,3,3,0,3,7,0,0,7,4,0,0,0,8,0,0,0,8,3,0,10,9,3,0,0,7,3,0,3,16,3,0,21,378,56,10,7,440,10,3,12,460,16,0,472,120,13,4,0,142,16,0,17,163,32,0,193,0,0,0,0,0,0,0,0,0,0,4,4,501,69,14,7,589,32,3,31,619,49,3,670,117,8,0,0,122,4,0,4,132,9,0,135,116,17,3,3,137,7,0,5,145,3,0,153,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,7,3,0,0,0,5,0,0,10,237,26,8,9,280,7,0,9,287,16,0,303,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,5,0,0,5,241,26,8,9,278,8,0,15,296,16,0,304,47,11,0,0
Kiama (A),14400,709,28,0,740,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,22,0,0,0,22,0,0,22,16,3,3,0,18,0,0,0,18,0,0,22,612,72,22,9,717,6,0,12,730,30,0,761,113,18,0,3,137,0,0,0,139,11,0,154,3,0,0,0,3,0,0,0,3,0,0,3,734,91,22,12,863,5,0,10,869,45,0,919,139,24,4,0,164,0,0,0,164,5,0,172,264,40,8,0,315,3,0,3,315,9,0,330,3,0,3,0,5,0,0,0,5,0,0,9,4,0,0,7,9,0,0,0,9,0,0,9,410,60,13,11,496,3,0,3,497,18,0,517,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,8,0,0,0,8,3,0,10,7,3,0,0,8,0,0,0,8,3,0,10,418,65,13,11,507,3,0,3,504,20,0,526,61,15,0,6
Ku-ring-gai (A),14500,5050,163,4,5222,57,3,0,3,66,11,0,11,80,0,0,80,136,12,0,5,153,9,0,9,157,8,0,168,193,14,3,8,219,20,0,20,235,13,0,251,4698,365,36,46,5148,112,26,140,5288,173,4,5473,1603,101,15,15,1739,55,7,55,1796,98,0,1894,3,0,0,0,4,0,0,0,4,0,3,12,6300,471,53,66,6889,166,30,201,7087,278,8,7377,1254,100,5,8,1373,29,5,38,1410,58,0,1471,1581,103,16,7,1706,31,7,34,1742,33,0,1777,28,4,8,0,35,0,0,0,35,4,0,42,8,0,0,6,18,0,0,0,19,4,0,18,2874,212,25,24,3138,60,16,73,3214,97,0,3314,29,0,0,0,32,8,0,8,43,0,0,43,84,4,0,0,90,4,0,3,98,0,0,102,118,4,0,3,124,10,0,16,140,0,0,143,2992,214,25,26,3265,79,16,93,3355,100,0,3449,816,60,7,13
Kyogle (A),14550,197,13,0,204,0,0,0,0,3,0,0,0,3,3,0,7,0,0,0,3,6,0,0,0,6,0,0,3,3,4,0,3,4,0,0,0,7,3,0,9,154,40,3,7,201,5,0,5,204,10,0,217,64,21,4,0,85,6,0,8,91,36,0,127,0,0,0,0,0,0,0,0,0,0,0,0,215,54,3,11,284,9,0,11,293,49,0,347,41,12,0,0,56,0,0,0,56,0,0,57,35,4,3,0,44,3,0,5,47,5,0,50,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,78,20,9,3,103,4,0,8,107,7,0,113,0,3,0,0,3,3,0,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,3,0,6,78,22,9,6,106,9,0,11,114,12,0,122,31,4,0,0
Lachlan (A),14600,191,12,0,202,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,4,0,0,0,4,9,0,9,166,14,3,13,194,9,0,9,198,16,0,214,58,4,3,7,74,6,4,9,86,13,0,96,0,0,0,0,0,0,0,0,0,0,0,0,221,20,10,20,265,9,4,17,281,24,0,308,33,0,0,0,33,0,0,0,33,4,0,30,41,3,0,3,45,0,0,0,52,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,7,0,0,8,73,3,0,6,87,0,0,0,86,4,0,90,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,3,0,3,73,3,0,6,87,3,0,3,88,11,0,94,23,0,3,9
Lake Macquarie (C),14650,6252,240,6,6501,34,10,0,3,50,9,0,9,60,11,0,63,135,16,0,4,157,14,0,18,178,11,0,187,169,23,0,12,208,23,0,28,231,22,0,250,5562,622,94,75,6350,114,18,138,6489,265,6,6753,1341,162,34,27,1566,60,6,71,1640,289,12,1937,9,6,0,4,21,0,0,0,21,0,12,35,6918,791,134,103,7939,178,28,206,8147,549,29,8726,1122,120,12,8,1265,22,4,25,1285,95,3,1378,1889,208,35,16,2140,27,5,37,2176,71,6,2247,59,6,9,0,80,3,0,6,87,3,0,90,18,0,0,22,41,0,0,0,41,3,0,49,3086,340,64,43,3530,51,11,62,3592,164,6,3760,32,7,0,0,38,3,0,3,44,3,0,46,70,11,0,0,87,5,0,8,88,3,0,93,102,18,0,0,120,12,0,9,134,3,0,137,3187,360,64,43,3652,62,8,76,3727,171,6,3902,634,88,19,14
Lane Cove (A),14700,1330,34,0,1361,13,7,0,0,19,3,0,3,17,0,0,17,49,3,0,0,47,3,0,3,50,0,0,56,56,8,0,0,67,5,0,5,70,0,0,71,1248,102,14,8,1372,31,6,37,1404,37,0,1441,310,30,0,4,346,8,0,10,358,21,0,376,0,0,0,0,0,0,0,0,0,0,3,3,1555,126,14,21,1719,37,7,43,1760,50,9,1816,303,37,0,0,343,7,0,9,354,22,0,373,348,16,0,3,369,7,0,7,375,3,0,379,7,4,0,0,9,0,0,0,9,3,0,10,5,0,0,0,6,0,0,0,6,0,0,6,665,59,3,4,726,18,0,13,743,27,0,772,11,0,0,0,8,0,0,0,8,0,0,8,13,0,0,0,19,3,0,3,19,0,0,22,24,0,0,0,25,4,0,4,32,0,0,28,685,57,3,3,752,18,0,20,771,28,0,799,139,19,3,3
Leeton (A),14750,318,4,0,316,3,0,0,0,3,0,0,0,3,0,0,3,13,4,0,0,15,0,0,0,15,0,3,12,19,4,0,0,16,0,0,0,16,0,3,23,289,34,3,9,332,0,0,3,336,4,3,341,91,17,0,8,111,0,0,0,111,21,0,136,0,0,0,0,0,0,0,0,0,0,6,6,382,50,3,18,446,0,0,3,447,27,7,479,85,6,3,0,92,0,0,0,91,0,0,92,115,12,0,0,126,0,0,0,129,0,0,133,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,199,18,9,3,228,0,0,0,232,3,0,235,4,0,0,0,4,0,0,0,6,0,0,6,5,0,0,0,6,0,0,0,6,0,0,9,11,0,0,0,12,0,0,0,11,0,0,13,211,18,9,7,237,3,0,4,238,3,0,247,36,8,3,0
Lismore (C),14850,1136,76,3,1212,9,7,0,0,14,7,0,7,16,3,0,21,15,10,0,0,24,3,0,3,27,3,0,36,21,14,0,0,37,10,0,10,50,4,0,58,944,179,10,16,1155,21,4,29,1185,83,3,1268,250,77,0,3,334,12,10,21,351,76,0,428,0,0,6,0,4,0,0,0,3,0,3,11,1196,259,16,21,1492,35,16,46,1538,162,6,1703,254,41,5,0,293,3,3,6,304,13,0,316,306,79,4,3,393,13,3,20,409,22,0,428,12,3,3,0,17,0,0,0,17,0,0,21,3,0,0,3,9,0,0,0,6,0,0,6,575,122,7,11,710,16,11,23,739,33,0,778,7,3,0,0,9,3,0,3,10,3,0,13,8,6,0,0,10,3,0,3,19,5,0,23,12,10,0,0,23,7,0,9,30,9,0,33,590,129,7,11,734,21,10,35,763,41,0,805,98,37,6,3
Lithgow (C),14870,490,23,0,517,3,0,0,0,8,0,0,0,9,5,0,7,21,0,3,0,18,0,0,0,18,0,0,19,19,0,3,0,26,0,0,0,25,3,0,29,452,35,6,13,506,7,0,9,518,26,0,547,115,26,0,8,148,23,0,21,174,57,0,227,0,0,0,0,0,0,0,0,0,0,0,3,569,63,11,22,661,32,3,35,690,83,3,780,106,5,0,0,114,0,0,0,115,4,0,115,152,13,0,0,170,0,3,3,173,5,0,181,8,3,0,0,7,0,0,0,7,0,0,7,0,0,0,3,5,0,0,0,5,0,0,5,267,27,5,5,298,5,3,5,304,11,0,314,0,0,0,0,0,0,0,0,3,0,0,5,12,0,0,0,11,0,0,0,11,0,0,11,13,0,0,0,16,0,0,0,13,0,0,17,277,23,5,5,315,4,3,4,321,11,0,332,63,6,4,4
Liverpool (C),14900,5952,273,9,6228,90,24,0,0,113,14,3,20,131,22,0,154,184,43,0,6,229,31,3,30,261,34,0,293,272,64,0,6,344,45,3,47,392,58,0,445,5276,693,92,117,6168,141,31,169,6344,327,9,6676,2507,755,64,134,3460,155,61,220,3680,1266,24,4969,15,6,0,9,31,0,0,0,36,6,62,97,7797,1450,151,261,9662,304,90,391,10057,1595,86,11742,1583,153,23,7,1770,36,11,44,1816,109,5,1928,1426,239,21,25,1712,29,6,34,1745,83,3,1827,47,3,8,0,60,0,0,0,60,0,0,62,23,8,0,32,63,0,0,0,64,10,0,77,3084,403,49,66,3603,59,21,80,3688,197,9,3892,51,6,0,0,60,13,3,13,74,10,0,84,87,28,0,3,121,8,3,10,131,17,0,145,136,37,3,0,180,20,5,27,205,23,0,235,3216,441,56,66,3787,84,24,108,3896,225,9,4128,1222,362,31,68
Liverpool Plains (A),14920,183,11,0,192,0,0,0,0,0,8,0,8,7,0,0,7,10,0,0,0,10,0,3,3,11,0,0,11,10,0,0,0,10,8,3,9,19,0,0,19,179,10,3,3,190,5,3,7,203,11,0,208,56,13,0,4,75,4,3,5,84,9,0,97,0,0,0,0,0,0,0,0,0,0,0,3,236,18,4,8,269,8,3,15,289,18,0,309,55,5,0,0,59,0,0,0,59,0,0,57,61,7,0,0,67,0,0,0,67,0,0,62,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,5,114,13,3,3,129,0,0,0,129,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,7,0,0,0,3,0,0,3,121,11,3,3,131,0,0,0,135,3,0,141,24,0,0,8
Lockhart (A),14950,118,0,0,120,4,0,0,0,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,5,0,0,5,6,0,0,0,6,0,0,0,10,3,0,10,110,6,0,0,117,3,3,6,123,4,0,130,21,0,0,0,20,0,0,0,26,15,0,35,0,0,0,0,0,0,0,0,0,0,0,0,135,7,0,3,141,6,3,6,145,16,0,167,32,0,0,0,32,0,0,0,32,0,0,32,40,0,0,0,36,0,0,0,36,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,75,0,0,0,76,0,0,0,76,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,76,0,0,0,79,0,0,81,14,0,0,0
Maitland (C),15050,2743,84,4,2831,26,5,0,0,39,10,0,10,48,6,0,55,85,13,0,0,103,3,0,4,109,4,3,117,118,16,0,3,140,19,0,19,157,9,3,171,2513,255,46,21,2835,60,4,69,2899,91,13,3005,730,74,23,23,857,42,8,51,904,93,4,1007,6,0,0,3,13,0,0,0,13,0,3,14,3250,328,71,54,3696,108,14,117,3818,187,17,4018,529,41,4,4,586,17,3,15,597,26,0,624,772,66,16,8,862,15,0,18,884,22,3,911,28,0,0,0,30,0,0,0,30,6,0,36,7,0,0,7,12,0,0,0,12,0,0,18,1341,110,30,21,1493,33,7,37,1530,58,3,1590,16,7,0,0,26,3,0,4,26,0,0,28,40,4,0,0,46,4,0,4,56,3,0,58,59,5,0,0,71,8,3,10,81,3,0,84,1398,115,28,21,1565,36,7,45,1610,65,3,1675,319,47,5,14
Mid-Coast (A),15240,1862,149,3,2013,19,7,0,0,29,17,0,17,46,12,0,53,45,9,3,0,52,10,0,10,56,3,0,60,60,18,3,3,77,22,0,22,104,11,0,118,1507,308,38,41,1901,56,7,66,1965,159,3,2133,457,121,17,21,619,49,4,53,676,216,6,898,3,0,0,0,3,0,0,0,3,0,11,16,1968,431,62,60,2527,108,13,123,2650,384,19,3048,350,58,9,3,425,11,4,9,433,37,0,474,505,120,12,8,658,23,0,26,680,50,0,726,13,8,0,0,24,0,0,0,24,3,0,27,9,0,0,11,15,0,0,0,15,0,0,15,875,187,27,29,1115,32,3,37,1153,85,0,1242,4,3,0,0,13,6,0,6,21,5,0,30,28,3,0,0,31,3,0,3,30,5,0,38,34,10,0,0,44,8,0,10,56,10,0,61,907,196,30,29,1164,44,3,45,1206,92,0,1301,237,73,7,16
Mid-Western Regional (A),15270,758,27,0,786,9,0,0,0,9,4,0,4,16,3,0,18,24,3,0,0,33,3,0,3,34,0,0,34,41,3,0,0,44,8,0,8,51,3,0,50,689,72,19,14,792,12,7,19,812,28,0,839,232,38,4,7,278,11,3,14,296,45,0,342,0,0,0,0,0,0,0,0,0,0,3,8,922,105,24,17,1075,22,5,29,1102,77,5,1183,121,8,3,0,134,8,0,8,141,3,0,143,228,26,0,0,248,5,0,5,258,4,0,263,11,0,0,0,12,0,0,0,12,0,0,12,3,0,0,3,9,0,0,0,9,0,0,9,361,36,0,4,405,9,0,9,413,14,0,427,5,0,0,0,5,9,0,9,15,0,0,15,9,0,0,0,9,3,0,3,11,0,0,11,15,0,0,0,15,7,0,7,27,0,0,29,371,36,0,4,418,18,0,18,438,15,0,447,107,20,3,0
Moree Plains (A),15300,402,6,0,407,0,0,0,0,5,0,3,3,9,0,0,9,0,3,0,0,4,3,0,3,6,0,0,6,5,3,0,0,12,3,3,5,13,0,0,13,373,25,6,11,413,3,3,3,419,6,0,425,104,8,4,6,120,3,0,3,122,25,0,150,0,0,0,0,0,0,0,0,0,0,0,4,478,33,11,11,528,5,3,5,540,32,3,572,96,8,0,0,96,3,0,3,103,4,0,106,105,9,0,3,119,0,0,0,121,0,0,117,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,7,0,0,0,7,0,0,7,200,17,0,4,223,3,0,3,229,3,0,231,0,0,0,0,0,0,3,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,5,205,17,0,4,222,3,3,9,235,3,0,239,30,0,3,0
Mosman (A),15350,888,22,0,909,8,0,0,0,6,0,0,0,6,3,0,6,28,3,0,0,34,0,0,0,37,0,0,37,32,3,0,0,42,0,0,0,43,3,0,40,828,61,4,9,901,19,4,21,924,21,0,948,389,36,3,5,431,8,0,8,443,28,0,467,0,0,0,0,0,0,0,0,0,0,5,4,1226,90,6,17,1338,27,4,30,1371,52,5,1428,195,22,3,3,220,6,5,5,226,11,0,242,235,13,0,4,250,0,0,0,255,3,0,255,6,0,0,0,8,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,435,36,7,4,480,9,5,7,485,18,0,502,5,0,0,0,5,0,0,0,4,0,0,4,4,0,0,0,6,0,0,0,6,0,0,6,12,0,0,0,11,0,0,0,14,0,0,14,441,34,7,4,490,6,5,8,499,18,0,519,214,16,0,3
Murray River (A),15520,377,9,0,385,5,0,0,0,5,0,0,0,5,0,0,5,9,0,0,0,9,0,0,0,9,0,0,9,15,0,0,0,15,0,0,0,15,0,0,15,334,29,8,12,383,4,0,4,389,9,0,403,82,15,3,0,100,3,0,3,102,7,0,110,3,0,0,0,3,0,0,0,3,3,0,10,428,46,10,13,491,3,0,3,493,19,0,519,87,9,0,0,97,0,0,0,99,0,0,101,114,12,3,0,128,0,0,0,127,0,0,127,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,3,0,0,0,3,0,0,3,206,22,3,0,228,3,0,4,236,3,0,237,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,3,0,0,0,3,0,0,3,210,22,3,0,235,3,0,4,238,3,0,242,18,7,3,3
Murrumbidgee (A),15560,122,9,0,129,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,3,0,0,3,3,0,0,5,8,0,0,0,8,0,0,8,108,6,0,4,123,3,0,3,126,9,0,132,30,3,0,0,37,0,0,0,37,7,3,40,0,0,0,0,0,0,0,0,0,0,0,0,141,12,0,4,156,3,0,3,159,11,3,175,19,5,0,0,30,4,0,4,30,4,0,35,37,5,0,0,42,0,4,4,43,4,0,46,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,61,14,0,0,77,4,4,3,80,7,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,63,14,0,0,78,3,4,3,80,7,0,88,12,0,0,0
