lga_name_2016,lga_code_2016,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Cook (S),32500,256,658,6,3,10,488,347,836,27,17,48,93,52,147,0,0,3,124,69,199,39,29,62,86,35,120,0,3,7,134,60,191,9,0,9,9,4,8,3,0,3,19,4,25,369,398,767,1041,930,1976,212,166,378,1624,1495,3119,0,0,0,25,18,44,6,0,6,32,18,49,29,27,52,179,119,305,50,39,95,264,186,452,393,421,814,1255,1072,2327,265,207,479,1918,1702,3614,14,17,32,74,50,121,51,26,73,139,89,226
Croydon (S),32600,27,56,0,0,0,35,31,68,0,0,0,5,3,12,0,0,0,5,7,11,0,3,3,7,3,11,0,0,0,7,9,10,0,0,0,0,0,0,0,0,0,3,0,3,15,24,42,68,66,132,22,31,49,102,119,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,4,0,3,12,7,13,15,24,42,72,70,143,24,29,52,112,126,236,0,0,0,0,0,0,12,3,15,12,4,14
Whitsunday (R),37340,3151,6957,41,36,80,4014,3351,7363,50,64,111,777,600,1379,12,11,27,845,678,1515,45,43,86,702,579,1277,3,13,17,747,625,1375,4,3,5,37,38,78,4,3,8,43,47,90,611,639,1253,10272,10106,20376,1114,1039,2151,11996,11785,23778,0,0,0,17,15,27,6,3,11,24,17,46,100,128,229,1762,1680,3440,279,292,567,2146,2091,4239,713,767,1482,12054,11796,23850,1400,1329,2732,14163,13895,28057,15,8,28,1016,854,1871,544,449,995,1576,1318,2890
Diamantina (S),32750,15,33,0,0,0,26,16,48,3,4,3,8,3,11,0,0,0,9,4,14,0,3,4,8,0,5,0,0,0,7,5,14,0,0,0,0,0,0,0,0,0,0,0,0,17,21,32,72,72,148,9,10,14,100,97,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,3,5,21,17,41,80,73,152,9,10,14,101,101,207,0,0,0,3,6,11,7,13,12,5,15,25
Clare and Gilbert Valleys (DC),41140,633,1290,10,10,14,674,649,1327,0,3,5,235,232,470,4,3,6,240,239,484,0,6,8,233,187,415,3,0,9,240,194,430,0,0,0,3,0,3,0,0,0,3,0,3,46,53,97,3624,3701,7320,233,221,455,3906,3974,7879,0,0,0,3,3,4,0,0,0,3,4,4,0,3,3,135,140,271,17,10,29,150,151,305,46,55,106,3754,3844,7601,252,239,491,4060,4135,8190,0,0,0,52,69,122,0,3,6,53,80,128
Doomadgee (S),32770,7,10,0,0,0,164,226,390,40,32,72,0,0,0,0,0,0,40,33,74,62,47,109,0,0,0,0,0,0,62,47,109,3,3,7,0,0,0,0,0,0,3,3,7,553,538,1094,11,7,20,0,3,3,567,550,1119,0,0,0,0,0,0,0,0,0,0,0,0,73,81,151,21,20,41,3,0,4,97,101,196,626,615,1243,34,32,59,3,5,8,660,648,1312,5,3,11,6,3,7,0,0,0,12,10,23
Douglas (S),32810,804,1853,20,15,31,1150,908,2051,29,20,54,213,155,361,7,6,8,243,181,426,30,27,57,171,112,285,8,4,9,207,142,352,3,0,3,4,3,9,3,0,3,8,4,20,306,320,624,3267,3157,6420,432,436,876,4003,3914,7916,0,0,0,9,4,11,4,0,4,16,3,17,95,82,178,846,854,1699,163,171,334,1105,1101,2210,398,404,803,4127,4014,8135,601,606,1211,5125,5023,10150,0,21,20,263,217,477,125,157,284,387,396,781
Etheridge (S),33100,83,199,3,3,4,122,91,209,0,0,0,35,20,54,3,0,3,36,20,53,7,4,7,43,26,72,0,0,0,50,30,79,0,0,0,4,5,5,0,0,0,4,5,11,14,16,27,279,236,507,25,26,45,316,268,585,0,0,0,3,4,5,0,0,0,3,4,5,0,5,5,33,22,59,6,3,8,40,33,72,14,13,35,315,260,577,32,24,57,363,306,664,0,0,0,3,4,4,12,4,13,11,5,19
Flinders (S) (Qld),33200,160,355,4,0,8,213,170,381,3,0,3,43,31,70,3,0,0,43,35,79,9,5,17,73,54,124,3,3,4,80,68,148,3,0,3,3,7,10,0,0,0,8,8,17,34,36,76,386,378,763,48,45,91,464,458,926,0,0,0,0,0,0,0,0,0,0,0,0,13,7,17,187,181,362,5,15,23,206,197,407,46,44,94,565,561,1128,56,58,112,671,663,1329,0,0,0,8,9,19,0,0,0,14,8,23
Fraser Coast (R),33220,13510,25975,128,113,246,12977,14061,27043,161,146,305,3140,3067,6209,45,32,83,3346,3248,6596,101,86,186,3307,3016,6321,45,58,102,3458,3163,6619,9,8,15,157,118,272,4,5,7,174,125,297,1665,1754,3421,36553,38875,75431,2474,2556,5024,40688,43185,83874,3,3,6,92,88,177,25,19,39,122,110,232,174,184,358,3461,4014,7475,456,505,962,4092,4709,8801,1837,1947,3782,40112,42978,83089,2954,3076,6035,44902,48000,92902,169,14,184,855,604,1455,126,104,229,1148,721,1862
Gladstone (R),33360,5857,12840,54,55,108,7276,6185,13458,81,71,155,1408,1062,2475,10,11,17,1503,1147,2644,46,43,88,1103,963,2062,7,19,28,1155,1022,2176,3,0,5,66,43,106,0,0,0,68,44,114,1030,1049,2079,23411,22907,46316,1480,1526,3011,25920,25484,51404,0,0,0,42,25,67,9,4,15,50,34,85,103,128,223,2073,1980,4054,368,319,689,2548,2426,4971,1132,1178,2308,25529,24911,50437,1861,1856,3719,28518,27946,56463,7,4,9,421,239,666,129,57,184,564,296,863
Gold Coast (C),33430,50505,97572,303,398,702,48294,51838,100129,269,246,522,10546,10408,20960,88,109,194,10908,10767,21673,139,139,271,6312,7001,13316,80,108,185,6530,7251,13783,24,23,54,662,748,1409,13,19,30,700,791,1492,2910,3021,5926,158666,163724,322398,8141,8435,16573,169720,175179,344901,0,0,0,36,34,73,5,4,15,44,38,87,1284,1451,2738,72935,82760,155697,7721,8394,16115,81943,92605,174548,4195,4474,8669,231647,246514,478163,15873,16832,32705,251712,267822,519535,50,90,142,3510,4401,7904,1004,1070,2073,4563,5552,10120
Goondiwindi (R),33610,982,2132,20,14,32,1225,1057,2277,28,28,58,277,166,441,3,7,9,302,204,507,18,20,36,338,264,600,6,11,14,364,289,658,0,4,4,16,7,25,0,0,0,20,15,29,235,259,494,3827,3788,7613,441,423,870,4508,4467,8970,0,0,0,3,3,8,0,0,0,9,3,11,21,30,46,246,270,520,41,42,74,301,340,643,254,285,541,4079,4059,8139,480,462,949,4812,4809,9621,3,0,4,45,60,105,10,6,11,52,70,121
Gympie (R),33620,6196,12349,64,61,125,6391,6429,12816,66,55,118,1622,1276,2897,15,8,24,1705,1342,3046,52,47,99,1650,1414,3068,20,17,37,1723,1480,3208,4,4,11,64,52,116,0,0,3,72,55,132,796,750,1545,18916,19705,38620,1408,1450,2855,21118,21898,43020,0,0,0,83,51,137,34,18,49,114,72,184,54,62,110,1126,1100,2223,185,157,343,1358,1322,2681,845,815,1659,20122,20851,40973,1625,1625,3249,22593,23292,45885,0,3,4,165,233,396,20,22,42,188,262,442
Hinchinbrook (S),33800,1279,2546,13,18,31,1346,1335,2677,18,31,46,272,232,506,3,4,4,291,269,556,26,23,50,501,497,1001,10,10,13,536,531,1063,4,8,12,23,17,45,0,0,0,30,28,51,212,239,451,4196,4117,8316,313,296,608,4721,4654,9373,0,0,0,10,6,13,0,0,0,10,6,19,16,22,39,214,195,412,39,30,64,267,249,517,228,255,491,4418,4324,8745,346,330,677,5000,4910,9905,127,7,140,79,105,184,16,20,40,224,137,357
Hope Vale (S),33830,0,14,0,0,0,104,87,192,28,39,61,3,0,3,0,0,0,35,39,66,43,30,76,0,0,3,0,0,0,50,31,80,3,0,3,0,0,0,0,0,0,3,0,3,388,368,754,24,16,33,7,3,5,413,386,796,0,0,0,0,0,0,0,0,0,0,0,0,13,9,19,0,0,0,0,0,0,16,9,22,400,379,777,23,17,36,7,3,5,429,393,823,9,0,13,7,0,7,0,0,0,14,0,19
Ipswich (C),33960,17379,34693,129,151,286,18136,18248,36383,288,215,505,3934,3480,7415,36,45,82,4254,3741,7996,170,164,339,3640,4021,7664,53,46,95,3868,4227,8102,13,17,30,404,471,874,3,9,10,416,494,912,3624,3650,7271,75504,77715,153217,4542,4739,9281,83669,86100,169767,0,0,0,13,3,20,9,4,10,25,14,34,293,328,618,5204,5978,11178,774,847,1621,6274,7148,13418,3916,3973,7890,80723,83699,164420,5327,5590,10914,89962,93260,183220,99,43,143,1028,753,1780,109,84,187,1230,881,2120
Isaac (R),33980,1475,3668,34,18,52,2301,1554,3856,24,22,43,399,251,650,9,5,14,428,280,707,13,11,25,313,176,490,8,0,7,331,187,523,0,0,0,19,6,29,0,0,0,20,9,33,283,334,612,7199,6716,13909,795,739,1536,8274,7785,16063,3,0,3,15,9,26,3,4,3,22,13,36,25,12,37,639,619,1252,117,106,217,783,731,1512,311,345,651,7848,7344,15192,914,846,1766,9076,8531,17609,29,5,36,610,131,747,823,190,1007,1468,332,1792
Kowanyama (S),34420,5,24,0,0,0,121,128,246,17,17,33,0,0,0,0,0,0,17,16,37,41,47,91,0,0,0,0,0,0,46,48,96,0,4,4,0,0,0,0,0,0,0,4,4,311,351,660,14,8,26,0,0,0,321,355,682,0,0,0,0,0,0,0,0,0,0,0,0,70,84,153,18,19,40,0,0,0,85,103,188,382,426,807,33,28,60,0,0,0,413,460,870,5,5,17,10,0,8,3,0,3,16,10,28
Livingstone (S),34530,3845,8018,52,49,104,4352,4036,8384,49,22,71,860,723,1589,11,11,14,919,758,1677,31,23,52,876,807,1686,13,14,25,919,843,1762,3,3,9,31,20,53,0,0,0,41,24,64,555,576,1127,13111,13441,26554,867,859,1728,14532,14880,29415,0,0,4,33,23,51,7,8,14,44,30,73,45,50,97,963,1139,2109,148,147,301,1163,1337,2502,602,626,1229,14105,14604,28710,1024,1013,2039,15740,16245,31986,263,15,283,472,124,601,86,90,179,824,237,1063
Lockhart River (S),34570,6,12,0,0,0,61,52,121,24,36,59,3,0,3,0,0,0,26,36,62,21,27,44,3,0,3,0,0,0,21,27,48,6,10,14,0,0,0,0,0,0,3,10,10,280,303,584,28,22,47,7,6,9,316,323,645,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,0,0,0,0,0,0,13,7,20,289,309,600,28,19,47,7,6,9,326,335,664,0,0,0,0,0,0,0,0,3,0,0,4
Lockyer Valley (R),34580,4119,8486,47,38,86,4546,4278,8822,64,50,112,1089,829,1921,14,13,29,1162,891,2059,39,37,77,1331,1158,2495,25,20,50,1402,1218,2617,0,3,3,89,46,136,7,3,8,100,49,150,630,640,1278,14829,14954,29781,1233,1265,2494,16694,16855,33549,0,0,0,15,13,28,15,15,28,30,22,51,26,40,67,842,918,1763,71,105,179,945,1064,2011,666,677,1343,15687,15880,31567,1324,1381,2703,17673,17943,35612,96,5,99,390,316,707,20,48,61,505,369,869
Logan (C),34590,27799,55651,233,233,464,28935,28927,57864,285,286,565,6780,6010,12794,76,57,129,7139,6353,13489,208,176,383,5460,5649,11108,75,88,162,5736,5915,11650,17,21,38,1144,1305,2451,7,21,30,1175,1342,2521,4089,4279,8369,117531,119571,237103,6838,7033,13872,128462,130881,259347,0,0,0,26,27,54,0,0,0,26,27,54,399,478,883,12420,13638,26056,1286,1446,2732,14108,15559,29673,4491,4760,9253,129977,133233,263209,8130,8480,16604,142598,146469,289067,19,27,46,519,961,1488,112,124,233,652,1111,1762
Barunga West (DC),40430,209,446,3,0,3,244,206,449,0,4,7,97,72,169,3,4,4,102,77,177,3,0,3,115,82,202,0,3,4,120,89,208,0,0,0,0,0,0,0,0,0,0,0,0,28,18,44,1007,973,1981,51,43,90,1085,1036,2117,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,44,46,97,3,3,4,54,51,105,31,22,49,1050,1024,2079,53,48,100,1139,1092,2229,0,0,0,9,20,35,5,16,23,16,42,55
Winton (S),37400,104,265,3,0,3,175,107,283,5,7,8,28,16,50,0,0,0,35,24,59,3,4,10,40,29,67,0,0,0,50,32,78,0,0,3,7,0,8,0,0,0,9,3,10,40,45,85,376,359,736,36,31,61,455,433,883,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,46,35,81,9,5,17,60,39,104,41,51,94,423,390,817,43,34,83,517,472,986,0,0,0,13,7,20,3,3,5,15,9,28
Berri and Barmera (DC),40520,777,1626,15,8,20,893,826,1727,16,26,42,343,276,618,8,3,13,362,305,672,17,14,31,400,348,750,6,10,9,416,373,794,3,3,3,27,45,72,3,0,0,31,51,80,174,187,365,4006,4013,8023,269,251,517,4447,4451,8897,0,0,0,0,0,0,0,0,0,0,0,0,34,28,58,349,368,713,36,40,76,417,432,846,207,217,420,4355,4378,8739,300,290,588,4864,4884,9749,0,3,3,41,66,112,8,22,24,51,89,141
Burnside (C),40700,1841,3115,19,17,38,1297,1871,3170,3,3,4,494,601,1096,10,5,12,503,609,1118,3,3,6,386,554,940,7,5,11,396,567,959,0,0,0,47,67,117,0,0,0,47,67,117,35,49,84,14585,15474,30051,370,391,764,14992,15907,30896,0,0,0,0,0,0,0,0,0,0,0,0,19,20,42,4192,5478,9672,194,251,452,4410,5751,10160,57,65,125,18775,20948,39723,568,642,1215,19399,21658,41062,5,3,14,242,502,743,32,27,53,277,534,812
Woorabinda (S),37550,3,10,0,0,0,110,134,238,36,30,67,0,0,0,0,0,0,36,30,67,25,35,59,0,0,0,0,0,0,25,35,59,3,0,6,0,0,0,0,0,0,3,0,6,381,403,780,9,14,25,0,0,0,390,417,809,0,0,0,0,0,0,0,0,0,0,0,0,31,44,77,0,0,0,0,0,0,32,46,77,412,453,862,10,12,24,0,0,0,427,461,889,12,7,16,3,0,5,0,0,0,14,13,23
Campbelltown (C) (SA),40910,2575,4914,24,20,40,2381,2619,5004,7,11,21,772,866,1643,15,8,18,793,888,1681,4,12,15,1281,1740,3015,17,13,27,1296,1760,3057,0,0,0,212,338,550,0,3,3,212,346,552,81,108,192,17818,18327,36142,491,469,957,18397,18899,37294,0,0,0,0,0,0,0,0,0,0,0,0,33,42,71,4515,5221,9736,198,217,416,4744,5477,10222,120,149,263,22326,23548,45880,689,684,1370,23135,24382,47517,0,0,0,206,447,654,5,10,17,210,464,672
Ceduna (DC),41010,209,434,7,6,7,277,255,525,29,17,48,87,55,149,3,0,3,123,78,199,15,19,35,88,63,145,0,0,0,106,83,184,0,0,0,3,4,7,0,0,0,0,9,9,316,374,697,1014,995,2011,114,107,222,1447,1480,2927,0,0,0,16,3,21,6,3,7,23,3,29,4,4,6,47,62,111,5,6,13,63,66,125,323,382,704,1082,1060,2138,128,115,235,1527,1548,3078,3,0,3,0,0,0,6,20,29,14,20,36
Charles Sturt (C),41060,6313,12130,56,72,129,5984,6511,12491,49,58,103,2021,2224,4244,13,26,39,2086,2306,4390,31,32,70,2737,3821,6565,28,55,82,2800,3912,6709,3,4,7,516,798,1318,9,10,14,527,816,1340,423,485,904,34018,34946,68965,1235,1260,2499,35678,36688,72367,0,0,0,15,4,22,0,0,0,15,4,22,243,287,527,14482,15789,30272,842,915,1752,15560,16992,32557,664,772,1438,48510,50738,99252,2078,2176,4247,51253,53684,104937,12,3,14,498,864,1362,68,62,137,572,933,1508
Coober Pedy (DC),41330,71,201,8,0,6,159,97,260,7,8,22,37,20,57,0,0,0,50,26,74,5,7,18,66,25,95,0,0,0,76,39,114,0,12,14,7,3,11,0,0,0,9,9,25,108,135,249,567,429,997,122,111,227,803,672,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,6,16,0,0,0,15,12,25,115,137,255,578,431,1009,124,111,232,814,681,1492,4,13,14,32,19,49,3,9,16,38,38,83
Wujal Wujal (S),37570,0,4,0,0,0,28,31,56,13,16,26,0,0,3,0,0,0,14,11,27,17,18,27,0,0,0,0,0,0,17,18,27,0,0,0,0,0,0,0,0,0,0,0,0,90,119,212,8,6,12,0,0,0,98,131,231,0,0,0,0,0,0,0,0,0,0,0,0,15,17,31,0,0,0,0,0,0,15,17,31,109,137,247,8,6,12,0,0,0,119,145,260,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah (S),37600,0,9,0,0,0,287,270,559,100,87,190,0,0,0,0,0,0,102,87,187,56,54,113,4,0,6,0,0,0,59,52,114,6,7,14,0,0,0,0,0,0,9,7,17,898,962,1860,17,8,23,0,3,3,918,966,1887,104,73,175,7,0,8,0,0,0,108,78,186,181,184,369,5,6,18,0,0,0,195,191,383,1186,1214,2402,28,16,48,0,3,3,1217,1233,2452,6,7,17,0,0,0,3,0,4,15,9,19
No usual address (Qld),39499,1145,2520,14,12,29,1468,1198,2664,38,18,52,408,257,665,3,3,8,448,281,729,29,19,44,292,171,462,0,3,3,325,186,510,3,3,7,43,21,61,0,0,3,50,24,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),39799,22,36,0,0,0,13,26,39,0,0,0,3,7,11,0,0,0,3,7,11,0,0,0,5,6,16,0,0,0,5,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper Coast (DC),41560,1304,2676,21,12,27,1413,1350,2768,10,12,22,556,490,1047,8,6,13,575,503,1080,7,3,14,486,426,914,10,15,27,507,448,950,0,0,3,12,4,25,0,0,0,17,7,24,154,180,339,5531,5556,11094,361,379,737,6046,6117,12166,0,0,0,8,3,8,0,0,0,9,3,11,9,10,19,294,308,603,34,36,70,337,356,690,160,191,354,5835,5867,11702,392,411,807,6393,6472,12860,0,0,0,74,139,216,4,3,5,83,143,222
Adelaide (C),40070,486,988,4,9,16,521,516,1039,12,4,17,162,131,297,0,3,0,170,142,314,4,4,11,131,121,253,3,0,6,144,125,264,0,0,0,40,29,71,0,0,0,38,29,71,11,15,25,1108,1139,2247,92,79,173,1210,1240,2448,0,0,0,6,3,9,0,0,0,6,6,11,35,49,87,6652,6723,13372,683,649,1337,7371,7419,14788,44,67,112,7761,7859,15621,778,733,1505,8581,8661,17242,70,21,90,1616,1347,2970,243,130,374,1930,1499,3432
Adelaide Hills (DC),40120,1934,4058,20,31,45,2156,1976,4133,8,0,15,663,586,1247,11,3,15,682,585,1273,5,3,12,430,422,858,4,11,13,444,440,878,0,0,0,29,28,53,0,0,0,25,28,51,87,85,172,16825,17121,33948,641,666,1307,17550,17872,35427,0,0,0,0,4,9,0,0,0,0,4,9,3,0,3,297,391,695,37,34,70,337,432,769,89,90,178,17131,17520,34652,673,703,1372,17895,18311,36202,26,0,26,162,166,332,62,25,90,250,199,451
Alexandrina (DC),40220,2206,4358,15,29,49,2185,2271,4458,11,20,27,720,634,1354,11,11,15,744,663,1408,6,3,11,519,476,995,14,8,25,532,490,1024,0,0,3,22,14,33,0,0,3,21,16,38,172,189,360,10270,10848,21125,609,678,1283,11050,11722,22769,0,0,0,4,3,11,0,0,0,7,3,6,10,7,13,364,376,737,39,25,61,408,403,813,177,200,377,10642,11225,21868,645,706,1348,11465,12130,23590,3,0,0,133,232,362,12,12,24,145,244,385
Anangu Pitjantjatjara (AC),40250,11,25,0,0,0,176,172,347,75,71,147,8,0,7,0,0,0,81,70,152,91,85,175,3,0,3,0,0,0,97,91,183,33,27,53,0,0,0,0,0,0,33,27,59,872,932,1802,79,89,168,33,47,75,984,1062,2043,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,20,22,42,10,10,15,30,29,61,875,935,1810,97,106,206,39,49,94,1015,1095,2107,4,4,12,8,4,9,3,7,5,14,15,26
Barossa (DC),40310,1686,3459,12,29,45,1808,1726,3530,15,6,17,649,580,1228,6,4,15,665,593,1256,11,6,10,540,627,1171,10,11,16,558,642,1197,0,0,0,18,14,24,0,0,0,20,12,28,101,83,187,9803,9943,19747,471,494,961,10383,10516,20900,0,0,0,10,7,17,0,0,0,14,7,22,8,3,14,423,550,970,36,56,88,463,609,1074,114,88,199,10236,10509,20742,507,547,1056,10860,11137,21993,0,0,0,80,174,246,15,17,26,89,183,275
Cleve (DC),41190,115,235,7,0,5,127,117,245,0,3,3,49,25,75,0,0,0,49,30,76,0,0,0,61,63,122,0,0,7,63,58,124,0,0,0,3,5,6,0,0,0,3,5,6,4,3,8,757,686,1449,46,51,96,807,741,1550,0,0,0,7,3,7,0,0,0,7,3,7,4,0,4,9,12,22,11,3,7,24,14,36,7,3,10,772,698,1471,53,49,104,833,752,1589,0,0,0,24,28,46,6,3,6,27,30,57
Elliston (DC),41750,75,179,0,0,3,117,77,187,0,0,0,29,20,47,0,0,3,32,15,47,0,0,0,39,16,54,0,0,0,39,16,54,0,0,0,0,0,0,0,0,0,0,0,0,15,13,30,415,374,789,24,21,43,455,401,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,24,60,7,3,9,47,28,71,15,10,31,458,399,855,28,25,50,504,427,932,0,0,0,5,7,15,0,0,0,5,6,18
Flinders Ranges (DC),41830,131,261,0,0,0,147,151,295,7,3,10,45,36,83,3,0,3,57,37,98,8,11,22,50,42,92,0,3,5,62,52,119,0,3,0,5,0,6,0,0,0,4,3,11,64,93,157,556,557,1110,27,27,54,650,678,1325,0,0,0,0,0,0,0,0,0,0,0,0,9,17,24,26,25,50,0,0,0,32,36,69,71,107,182,584,579,1162,27,25,57,679,714,1398,3,3,4,14,22,33,3,12,14,14,30,45
Franklin Harbour (DC),41960,118,250,0,0,0,134,117,250,0,3,4,41,21,66,0,0,0,44,25,70,0,0,0,47,41,87,0,3,3,53,43,91,0,0,0,0,0,0,0,0,0,0,0,0,16,7,24,511,450,962,48,41,87,572,498,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,59,10,10,14,35,33,71,16,7,24,538,478,1017,58,47,106,610,532,1146,0,0,0,10,15,23,5,15,13,8,24,41
Gawler (T),42030,1800,3567,24,21,43,1806,1854,3661,10,13,24,638,633,1265,8,10,14,656,655,1310,4,13,20,523,562,1089,10,9,19,543,589,1132,0,3,3,25,28,54,0,0,0,25,33,59,128,164,293,8626,9156,17785,386,414,807,9142,9737,18882,0,0,0,0,6,6,0,0,0,5,6,7,35,33,69,1041,1295,2337,100,102,206,1179,1431,2613,167,198,360,9671,10452,20120,492,523,1015,10322,11171,21497,0,0,0,122,142,266,30,44,72,152,192,341
Goyder (DC),42110,306,681,4,5,14,385,317,703,0,0,0,164,126,287,4,4,4,171,122,296,0,3,3,141,121,265,3,3,7,149,127,277,0,0,0,3,3,7,0,0,0,7,3,8,29,33,59,1685,1669,3355,119,125,246,1831,1827,3663,0,0,0,3,0,3,0,0,0,3,0,4,0,0,0,37,46,86,5,4,7,42,49,98,29,38,63,1725,1714,3447,124,129,257,1881,1880,3759,0,0,0,14,33,44,0,0,3,17,31,50
Grant (DC),42250,491,1218,3,7,7,743,496,1242,7,4,12,252,170,425,3,4,5,262,181,445,0,0,3,259,156,410,10,5,9,267,160,423,0,0,0,6,0,9,0,0,0,6,0,5,48,32,86,3450,3149,6600,181,191,373,3678,3375,7054,0,0,0,8,3,6,0,0,0,8,3,6,0,3,3,32,16,53,7,0,4,33,23,59,48,36,88,3485,3171,6653,188,191,381,3722,3401,7126,35,0,35,464,29,494,0,3,7,507,36,541
