lga_name_2016,lga_code_2016,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Wagin (S),58610,164,108,49,21,719
Wandering (S),58680,35,18,3,0,181
Wanneroo (C),58760,9238,5433,2630,962,83406
Waroona (S),58820,307,225,153,61,1811
West Arthur (S),58890,59,27,10,10,296
Westonia (S),59030,22,10,7,0,145
Palmerston (C),72800,1587,570,205,55,15824
Roper Gulf (R),73600,257,115,25,5,2007
Tiwi Islands (R),74050,76,18,3,4,523
Victoria Daly (R),74550,144,66,17,3,1113
Wickepin (S),59100,50,29,13,4,264
Wagait (S),74560,69,38,5,3,267
West Arnhem (R),74660,217,58,9,0,2077
West Daly (R),74680,68,18,3,0,763
Unincorporated NT,79399,544,203,24,6,3833
No usual address (NT),79499,284,173,22,0,1635
Williams (S),59170,76,42,18,3,399
Wiluna (S),59250,45,15,3,0,400
Migratory - Offshore - Shipping (NT),79799,3,0,3,0,60
Unincorporated ACT,89399,30129,19523,8580,3555,219307
No usual address (ACT),89499,57,17,3,0,339
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0
Unincorp. Other Territories,99399,416,232,97,26,2337
No usual address (OT),99499,4,4,0,0,31
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,4
Wongan-Ballidu (S),59310,93,59,18,12,514
Woodanilling (S),59320,28,17,7,0,160
Wyalkatchem (S),59330,35,34,20,15,210
Wyndham-East Kimberley (S),59340,496,188,40,6,3291
Yalgoo (S),59350,33,7,4,0,187
Yilgarn (S),59360,72,40,17,13,524
York (S),59370,380,345,148,36,1702
No usual address (WA),59499,633,368,58,13,3820
Migratory - Offshore - Shipping (WA),59799,31,4,3,0,338
Break O'Day (M),60210,703,573,210,71,2768
Brighton (M),60410,920,547,226,68,5972
Burnie (C),60610,1290,853,498,160,7861
Central Coast (M) (Tas.),60810,1911,1272,660,220,9513
Central Highlands (M) (Tas.),61010,181,156,49,12,859
Circular Head (M),61210,556,291,138,35,2991
Clarence (C),61410,4668,3265,1722,720,26401
Derwent Valley (M),61510,728,503,252,52,3866
Devonport (C),61610,1796,1368,759,319,10443
Dorset (M),61810,540,411,189,61,2601
Flinders (M) (Tas.),62010,122,94,31,6,474
George Town (M),62210,512,439,195,40,2691
Glamorgan/Spring Bay (M),62410,482,509,192,73,2154
Glenorchy (C),62610,2969,1838,1175,468,19107
Hobart (C),62810,4829,3255,1445,715,29618
Huon Valley (M),63010,1629,1140,429,99,7673
Kentish (M),63210,553,395,121,44,2729
King Island (M),63410,173,99,60,19,770
Kingborough (M),63610,3466,2440,1081,341,18399
Latrobe (M) (Tas.),63810,904,727,341,93,4755
Launceston (C),64010,4637,3323,1613,691,29221
Meander Valley (M),64210,1581,1126,524,186,8433
Northern Midlands (M),64610,1056,808,393,85,5497
Sorell (M),64810,1226,792,314,105,6444
Barkly (R),70420,313,128,30,0,2163
Belyuen (S),70540,5,0,0,0,35
Central Desert (R),70620,120,36,6,0,889
Coomalie (S),70700,151,115,23,5,677
Darwin (C),71000,5745,2880,893,218,43289
East Arnhem (R),71300,295,81,16,0,2301
Katherine (T),72200,701,334,130,21,5078
Litchfield (M),72300,2004,871,181,37,13530
MacDonnell (R),72330,276,80,27,0,2614
