lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Weipa (T),37300,111,560,11,676,18,123,3,141,48,325,7,384,12,44,4,59,8,21,0,26,5,3,0,10,10,37,144,202,221,1113,170,1497,109,565,11,685,19,84,3,102,45,191,3,244,10,25,0,33,7,17,0,23,6,0,0,4,15,20,124,156,207,902,139,1254,227,1119,16,1359,36,204,7,244,101,518,9,627,16,70,5,96,13,35,0,53,10,3,0,17,29,59,274,362,425,2010,311,2753
Boulia (S),30900,4,42,0,40,0,8,0,12,11,45,0,62,8,11,0,14,13,16,0,28,0,0,0,0,0,3,27,32,36,120,33,188,9,57,0,61,0,4,0,5,3,30,0,34,9,3,0,15,7,4,0,9,0,0,0,0,0,3,31,34,30,98,31,157,9,96,0,108,4,12,0,16,13,74,3,88,17,9,0,30,19,16,0,36,0,0,0,0,3,6,55,66,67,217,61,348
Brisbane (C),31000,2900,298510,1142,302554,410,20252,119,20781,1143,53434,344,54923,343,8674,65,9086,321,12219,147,12689,50,2503,19,2576,657,10081,23820,34558,5829,405672,25663,437162,3089,311801,1136,316020,455,18116,114,18681,1204,61412,418,63032,339,8976,93,9406,312,17010,202,17523,40,3232,44,3311,313,10474,22737,33530,5751,431017,24736,461505,5981,610309,2278,618572,865,38365,236,39468,2350,114839,758,117949,682,17651,153,18490,638,29225,347,30209,90,5734,58,5888,969,20558,46558,68080,11582,836690,50397,898664
Bulloo (S),31750,3,35,0,37,0,13,0,16,10,39,0,49,0,11,0,14,0,26,0,21,0,0,0,0,0,5,15,29,18,126,20,160,5,50,0,62,5,7,0,7,4,24,0,26,0,6,0,6,0,8,0,5,0,0,0,0,0,3,8,11,15,104,8,124,8,86,0,99,3,19,0,26,11,67,0,76,0,12,0,16,4,27,0,29,0,4,0,4,0,8,24,39,31,229,27,289
Bundaberg (R),31820,300,11613,92,12003,115,2475,22,2603,314,10662,79,11057,110,2575,35,2729,118,3244,47,3408,16,150,10,180,51,1284,2426,3758,1030,32007,2708,35747,372,13477,96,13948,126,2580,29,2731,340,11259,99,11699,116,2350,30,2492,102,2992,45,3140,3,133,5,142,52,1438,2259,3745,1106,34234,2556,37888,673,25094,187,25953,235,5054,49,5337,655,21926,178,22760,227,4923,64,5215,226,6241,92,6552,19,287,19,320,99,2726,4682,7506,2130,66245,5262,73643
Burdekin (S),31900,94,2067,17,2174,28,525,3,549,72,2118,25,2206,31,406,3,435,18,658,7,686,3,43,0,48,18,229,466,713,255,6037,521,6815,98,2412,19,2529,37,403,4,449,92,1888,30,2006,21,317,9,344,22,610,11,647,0,25,0,29,30,206,438,679,305,5871,507,6688,188,4478,39,4702,69,926,10,998,157,4001,50,4209,52,721,11,782,42,1269,21,1334,4,70,0,76,55,438,911,1396,567,11902,1031,13499
Burke (S),31950,20,28,3,47,10,4,0,9,11,20,0,34,3,4,0,7,11,0,0,15,0,0,0,0,5,4,26,39,59,62,27,151,15,28,0,44,6,4,0,6,6,14,0,23,4,0,0,7,11,0,0,13,0,0,0,0,4,3,22,34,45,53,23,120,36,58,4,93,16,3,0,22,16,34,0,51,4,3,0,11,20,4,0,29,3,0,0,3,8,7,48,66,104,118,51,274
Cairns (R),32080,1494,26465,152,28111,437,4678,36,5155,850,11957,112,12918,251,2120,21,2389,280,2044,25,2347,59,387,3,449,264,1214,5383,6864,3637,48876,5736,58247,2010,30374,177,32559,594,4023,35,4656,1079,11186,87,12353,315,1832,21,2161,307,2058,38,2404,45,423,3,472,338,1282,5214,6826,4686,51178,5579,61444,3505,56842,334,60677,1037,8705,70,9808,1931,23146,205,25277,561,3946,46,4554,585,4106,66,4759,104,815,4,920,606,2500,10595,13694,8320,100055,11309,119690
Cherbourg (S),32330,55,3,0,59,43,0,0,43,103,3,0,107,65,0,0,65,36,0,0,36,6,3,0,12,23,0,0,23,332,9,0,340,64,0,0,64,76,0,0,75,126,0,0,130,59,0,0,59,42,0,0,42,12,4,0,11,23,0,3,26,400,10,3,412,121,3,0,124,119,0,0,117,226,6,0,237,119,0,0,121,81,0,0,81,15,4,0,26,45,0,3,49,735,13,3,754
Cloncurry (S),32450,61,426,3,488,17,81,0,101,71,272,6,350,28,49,3,78,47,63,0,118,4,5,0,8,11,15,196,222,245,914,211,1375,64,374,5,444,22,50,0,72,64,145,4,211,18,24,0,37,27,28,0,56,6,4,0,10,18,15,135,164,211,640,146,993,132,797,7,937,42,132,3,175,131,422,12,565,43,74,3,119,72,94,0,170,8,7,0,15,33,34,329,394,453,1555,354,2364
Cook (S),32500,92,501,13,601,29,96,3,133,79,392,6,478,25,93,0,120,39,86,0,129,9,9,3,19,42,64,281,394,315,1244,313,1865,109,536,15,654,38,94,0,131,76,248,3,335,14,53,0,65,29,35,3,60,0,4,0,5,30,37,189,254,292,999,212,1507,200,1033,28,1259,67,190,4,265,157,640,10,809,41,142,3,188,62,125,7,189,11,8,3,22,75,101,468,643,608,2241,529,3372
Croydon (S),32600,4,15,0,19,3,3,0,3,3,31,0,35,0,5,0,5,0,7,0,7,0,0,0,3,4,6,36,43,13,73,34,125,3,23,0,26,3,4,0,6,3,27,0,31,0,3,0,7,3,3,0,9,0,0,0,0,0,8,25,27,19,66,27,108,6,38,0,46,11,4,0,15,10,56,0,68,0,12,0,11,3,11,0,10,0,0,0,3,4,14,56,70,30,136,57,231
Western Downs (R),37310,120,4076,37,4240,32,788,7,831,171,3604,32,3798,37,733,5,777,66,1074,17,1155,8,48,0,52,27,389,1478,1892,463,10713,1569,12749,183,4858,25,5067,59,705,10,773,166,3001,29,3190,57,504,9,571,61,841,16,921,6,35,0,41,19,410,1249,1680,557,10355,1336,12242,310,8936,59,9302,91,1500,13,1606,331,6606,53,6990,94,1243,17,1346,128,1912,34,2076,11,77,0,97,49,792,2726,3570,1016,21067,2908,24989
Whitsunday (R),37340,169,4680,41,4888,52,1163,14,1231,158,3679,44,3875,44,718,12,778,45,696,3,745,4,37,4,43,26,395,1889,2314,490,11363,2013,13870,166,5260,57,5485,56,1006,9,1069,150,3048,26,3228,53,536,11,607,43,577,13,630,3,41,3,41,27,359,1536,1926,501,10829,1657,12987,332,9941,96,10372,105,2169,20,2297,308,6729,72,7109,100,1257,27,1385,86,1274,17,1374,5,79,8,88,52,760,3429,4242,988,22198,3668,26856
Diamantina (S),32750,7,50,0,51,0,11,0,13,4,21,0,22,3,8,0,5,0,8,0,7,0,0,0,0,0,0,16,13,18,87,16,115,0,51,0,50,5,10,0,13,6,15,0,16,4,3,0,4,3,0,0,5,0,0,0,0,3,0,20,28,20,73,24,115,9,98,0,103,7,20,0,23,11,35,0,43,4,11,0,15,4,5,0,14,0,0,0,0,3,4,34,40,30,161,36,234
Clare and Gilbert Valleys (DC),41140,12,1275,13,1301,5,790,12,812,4,608,6,621,0,210,4,216,0,213,3,224,0,3,0,3,0,106,207,314,30,3204,256,3493,12,1478,14,1500,3,751,8,766,8,588,10,609,3,204,3,213,6,182,0,188,0,0,0,0,3,111,216,327,37,3324,239,3600,30,2752,22,2802,9,1545,15,1575,16,1199,18,1228,3,416,6,430,8,396,9,409,0,3,0,3,3,219,421,645,70,6528,495,7092
Grant (DC),42250,9,827,9,839,6,762,12,771,12,680,3,690,4,230,3,235,0,247,10,254,0,6,0,6,33,557,148,740,61,3301,181,3538,13,1142,16,1171,4,648,7,661,3,445,7,455,5,137,3,146,0,135,5,139,0,0,0,0,0,88,145,238,21,2608,178,2810,18,1966,29,2013,10,1407,16,1435,11,1129,7,1147,9,364,8,379,0,377,9,396,0,9,0,5,33,646,291,973,90,5906,357,6350
Doomadgee (S),32770,32,28,0,55,42,3,0,47,158,3,0,160,38,0,0,38,62,0,0,62,3,0,0,3,19,0,5,22,347,36,5,384,44,21,0,63,59,0,0,59,209,7,0,212,23,0,0,24,37,0,0,37,3,0,0,3,22,0,7,30,392,26,7,430,76,49,0,119,99,3,0,103,368,10,0,375,63,0,0,62,99,0,0,99,7,0,0,7,33,0,11,46,738,62,11,814
Douglas (S),32810,83,1979,10,2079,34,397,7,435,79,1012,17,1109,23,181,7,213,30,165,8,205,3,4,3,8,29,123,590,747,276,3877,637,4793,102,2192,17,2308,34,394,7,434,83,770,15,869,18,139,3,161,27,110,4,142,0,3,0,4,31,146,638,814,304,3758,677,4739,185,4173,25,4385,70,796,10,874,159,1785,30,1979,47,321,6,372,57,282,9,347,3,9,3,20,66,273,1229,1560,581,7635,1318,9534
Etheridge (S),33100,0,76,3,83,0,12,0,15,4,113,3,119,0,35,3,36,7,43,0,50,0,4,0,4,0,23,32,51,9,309,39,360,0,85,0,85,0,16,0,18,0,85,3,86,0,20,0,20,4,26,0,30,0,5,0,5,7,9,22,33,11,247,31,285,3,159,4,167,0,34,0,32,3,201,4,212,0,54,3,53,7,72,0,79,0,5,0,11,7,29,55,93,22,554,69,644
Flinders (S) (Qld),33200,11,170,4,188,4,42,0,46,8,187,4,203,3,40,3,41,9,73,3,80,3,3,0,8,0,16,49,66,39,534,53,626,8,218,3,231,3,33,0,38,8,154,0,165,0,32,0,32,5,54,3,68,0,7,0,8,0,22,46,68,39,521,56,611,27,389,9,423,4,74,0,86,18,345,8,365,3,67,0,78,17,124,4,148,3,10,0,17,0,40,95,135,71,1050,113,1239
Fraser Coast (R),33220,307,12171,89,12570,100,2867,27,2997,348,12028,126,12503,134,2880,43,3062,100,3265,45,3412,9,157,4,174,206,1868,2738,4808,1206,35243,3066,39517,418,14218,112,14755,136,2950,30,3119,390,13086,110,13588,124,2817,27,2965,87,2999,58,3138,8,118,5,125,55,1633,2633,4322,1212,37814,2979,42007,729,26395,201,27319,236,5813,58,6110,742,25113,239,26093,259,5697,71,6023,182,6265,102,6553,15,272,7,297,254,3505,5366,9131,2420,73058,6047,81525
Gladstone (R),33360,257,9222,40,9525,80,2223,25,2321,218,6644,46,6913,70,1209,10,1291,46,1079,7,1135,3,66,0,68,20,505,1748,2274,701,20948,1885,23535,298,9997,57,10354,72,1796,15,1883,244,5574,53,5880,60,896,7,971,39,945,19,1004,0,43,0,44,28,475,1533,2032,747,19736,1682,22166,560,19221,98,19880,151,4022,39,4207,465,12220,103,12789,131,2106,18,2261,89,2031,28,2142,5,106,0,114,49,982,3278,4307,1447,40687,3568,45701
Gold Coast (C),33430,1190,109527,579,111296,272,16634,110,17005,833,44373,291,45492,211,8797,75,9083,133,6069,80,6280,24,658,13,701,92,4926,15025,20039,2760,190978,16168,209909,1404,121257,633,123294,283,16680,119,17082,865,47890,374,49133,200,8791,100,9086,129,6828,103,7069,23,746,13,786,107,6230,15299,21633,3004,208419,16653,228081,2591,230785,1214,234591,547,33305,228,34087,1695,92268,668,94628,415,17581,178,18175,266,12896,188,13347,54,1405,30,1491,199,11155,30320,41674,5762,399403,32820,437986
Goondiwindi (R),33610,38,1358,16,1408,17,232,0,244,50,1115,19,1188,26,251,3,278,18,338,6,362,0,16,0,20,13,129,385,524,156,3440,434,4027,49,1723,17,1784,16,239,0,256,53,940,14,998,30,139,7,176,20,265,11,290,4,7,0,15,4,145,373,528,165,3463,420,4049,80,3072,36,3192,31,474,0,505,103,2058,27,2186,48,392,9,449,36,596,14,654,4,25,0,29,17,280,755,1052,321,6897,854,8073
Gympie (R),33620,141,5902,62,6104,34,1395,18,1445,148,5936,61,6138,55,1482,14,1555,52,1643,20,1715,4,66,0,71,31,642,1419,2092,464,17058,1593,19117,147,7115,75,7337,56,1431,18,1504,161,5989,61,6213,44,1152,7,1205,50,1403,17,1464,4,52,0,55,32,744,1344,2117,494,17888,1526,19902,288,13011,137,13439,89,2826,36,2953,311,11927,119,12352,103,2635,19,2759,98,3041,37,3179,11,119,3,131,62,1383,2769,4210,959,34945,3121,39021
Hinchinbrook (S),33800,55,1480,12,1551,30,314,4,346,39,1217,12,1271,7,249,3,259,24,497,10,533,4,23,0,30,10,156,303,473,176,3942,347,4460,54,1473,8,1533,16,259,0,284,43,1230,15,1285,33,213,0,242,23,494,10,531,3,17,0,25,15,140,299,458,190,3831,331,4349,111,2950,21,3081,45,580,4,631,79,2449,27,2555,41,460,3,500,52,993,13,1060,8,45,0,54,29,293,604,929,364,7766,680,8808
Hope Vale (S),33830,60,7,0,70,41,0,0,38,95,7,0,108,28,3,0,33,43,0,0,50,3,0,0,3,33,0,15,47,297,22,20,341,73,7,0,80,52,3,0,53,78,0,0,81,39,0,0,39,30,0,0,31,0,0,0,0,15,0,8,21,284,12,8,303,128,19,0,144,86,3,0,92,174,14,0,187,62,3,0,69,76,3,0,80,3,0,0,3,44,0,22,66,581,38,21,641
Ipswich (C),33960,833,31317,184,32331,229,5191,43,5462,607,16287,125,17019,233,3323,36,3595,166,3585,54,3805,13,405,3,418,129,1756,4301,6184,2203,61869,4741,68817,1047,34999,189,36234,256,4739,35,5027,640,16391,144,17176,184,2957,33,3175,165,3975,46,4180,17,466,9,489,102,1648,4320,6068,2406,65174,4773,72348,1875,66322,371,68567,480,9928,74,10489,1245,32676,267,34193,417,6281,70,6774,323,7559,100,7983,30,869,10,907,231,3405,8621,12254,4608,127041,9515,141164
Isaac (R),33980,71,2978,21,3076,28,635,5,666,68,2120,30,2220,19,363,9,387,13,313,5,327,0,19,0,20,10,189,1562,1755,214,6610,1626,8453,87,3275,24,3383,24,398,9,427,61,1390,22,1468,16,204,3,222,11,179,0,187,0,6,0,9,3,145,817,965,206,5588,867,6664,160,6248,48,6456,56,1028,8,1098,126,3511,47,3686,35,567,7,614,25,485,3,513,0,29,0,33,12,335,2373,2718,419,12204,2496,15118
Kowanyama (S),34420,39,26,0,67,44,3,0,45,100,15,0,119,21,0,0,21,40,0,0,47,0,0,0,0,14,0,0,16,261,42,4,310,56,21,0,79,81,0,0,81,119,5,0,122,15,0,0,12,43,0,0,50,4,0,0,4,9,0,3,14,325,32,0,360,95,48,0,142,124,3,0,124,219,24,0,242,35,0,0,34,91,0,0,94,4,0,0,4,29,0,3,33,594,71,3,669
Livingstone (S),34530,160,5011,34,5208,50,996,4,1048,105,4000,53,4156,33,751,4,786,28,867,13,907,3,31,0,41,209,674,1308,2194,578,12339,1415,14337,169,5936,47,6154,31,962,6,994,127,3678,49,3853,15,632,6,650,24,805,8,833,3,20,0,24,17,354,957,1331,385,12388,1074,13847,329,10950,78,11358,74,1954,14,2044,233,7678,99,8007,50,1379,13,1439,47,1673,19,1739,9,53,0,64,230,1032,2267,3530,969,24731,2488,28186
Lockhart River (S),34570,32,12,0,44,30,4,0,33,58,5,0,64,24,3,0,26,21,3,0,21,6,0,0,3,28,0,13,35,194,31,9,235,47,15,0,57,33,5,0,35,44,6,0,52,36,0,0,36,27,0,0,27,10,0,0,10,28,0,11,38,212,20,8,246,77,28,0,104,63,7,0,69,107,12,0,115,59,3,0,62,44,3,0,48,14,0,0,10,51,0,24,73,407,52,22,482
Lockyer Valley (R),34580,102,4873,60,5031,33,865,9,907,115,4177,48,4339,52,984,14,1052,39,1326,25,1393,0,85,7,93,114,701,1052,1867,461,13006,1217,14688,131,6141,74,6343,39,892,6,939,105,3975,38,4117,50,731,13,793,36,1156,20,1210,3,45,3,50,15,546,1113,1676,378,13479,1272,15126,232,11013,133,11378,67,1760,20,1848,222,8150,84,8456,104,1712,26,1837,74,2481,50,2601,3,131,8,148,131,1240,2170,3544,836,26487,2483,29816
Logan (C),34590,984,50258,310,51547,270,8430,69,8764,751,26315,215,27285,234,5826,61,6120,200,5333,70,5606,17,1141,7,1169,95,2480,6405,8982,2552,99787,7138,109479,1216,55522,303,57038,300,8118,69,8482,810,26197,218,27225,247,5145,50,5446,176,5539,85,5799,21,1300,21,1341,115,2713,6553,9378,2876,104534,7288,114705,2198,105773,610,108579,563,16549,135,17254,1564,52511,432,54509,481,10970,116,11563,376,10877,156,11402,38,2439,30,2509,212,5193,12953,18358,5428,204318,14429,224183
Berri and Barmera (DC),40520,30,1228,9,1270,22,741,8,772,29,806,7,845,15,300,8,320,17,388,0,402,3,27,3,31,16,150,241,407,133,3631,282,4048,21,1465,12,1501,29,765,7,803,41,726,9,773,19,247,3,275,14,339,10,363,3,45,0,51,16,194,250,454,141,3779,287,4211,52,2692,24,2767,56,1505,15,1571,67,1531,18,1617,39,551,13,595,33,724,9,767,3,72,0,80,27,343,486,865,276,7416,572,8256
Burnside (C),40700,16,11973,55,12042,8,1447,11,1458,9,979,17,1003,3,246,7,258,3,305,7,311,0,43,0,43,0,281,588,872,43,15274,677,16001,32,12918,66,13013,7,1846,24,1870,4,1530,12,1556,0,329,5,334,3,487,3,493,0,67,0,67,0,421,604,1028,47,17602,711,18357,51,24891,113,25061,9,3287,31,3334,19,2510,30,2560,3,579,6,592,7,785,9,807,0,117,0,117,3,706,1189,1901,91,32877,1390,34354
Campbelltown (C) (SA),40910,39,11112,60,11209,17,2692,27,2737,18,2041,20,2072,8,562,13,573,4,1234,12,1247,0,207,0,207,3,433,556,998,83,18276,691,19051,49,11924,69,12046,21,2648,16,2687,22,2330,17,2370,10,688,8,705,12,1688,13,1713,0,340,3,343,3,578,565,1149,115,20194,695,21004,88,23039,132,23254,34,5340,48,5421,39,4368,33,4443,19,1243,14,1282,15,2917,28,2958,0,547,3,554,8,1015,1122,2146,197,38473,1383,40056
Winton (S),37400,5,122,0,134,5,27,0,28,11,157,3,173,5,28,0,35,3,40,0,50,0,7,0,9,0,19,46,64,36,400,48,484,13,180,0,197,6,18,0,29,3,102,0,105,7,16,0,19,4,23,0,25,0,0,0,3,0,21,39,62,33,373,36,441,19,305,4,330,10,45,0,58,15,259,3,281,10,46,0,52,10,69,0,74,3,8,0,10,3,36,81,125,69,776,86,927
Ceduna (DC),41010,22,314,3,340,43,217,4,267,38,216,7,260,26,78,3,105,13,81,0,99,0,3,0,0,55,36,113,207,201,949,134,1277,66,396,4,473,48,183,5,235,33,196,6,233,17,53,0,71,19,56,0,78,0,4,0,9,62,31,119,207,250,924,132,1307,95,709,6,814,86,404,11,499,73,408,7,498,43,134,3,178,32,137,0,180,0,7,0,9,115,65,235,412,448,1868,267,2584
Charles Sturt (C),41060,167,23256,131,23554,91,6822,62,6975,106,5249,48,5404,43,1598,9,1658,31,2647,28,2710,3,518,9,527,27,1157,1885,3071,477,41245,2181,43897,213,24409,136,24755,103,6153,52,6306,107,5781,73,5957,39,1848,28,1910,32,3729,50,3810,4,795,10,806,44,1317,1879,3237,538,44023,2220,46787,379,47659,269,48310,197,12973,116,13287,211,11030,113,11360,86,3446,38,3566,58,6380,78,6523,7,1308,14,1334,70,2471,3768,6309,1014,85268,4400,90686
Woorabinda (S),37550,38,16,0,53,30,0,0,31,97,7,0,100,35,0,0,35,24,0,0,24,3,0,0,3,26,0,8,35,258,19,8,284,52,11,0,66,43,0,0,43,121,3,0,128,30,0,0,30,36,0,0,36,0,0,0,0,24,0,3,25,302,21,3,323,90,30,0,123,68,0,0,70,221,10,0,228,60,0,0,60,59,0,0,59,3,0,0,3,49,0,13,55,557,38,11,608
Coober Pedy (DC),41330,13,236,3,257,12,92,0,106,23,129,7,156,7,41,0,50,5,71,0,74,0,7,0,9,15,33,112,158,78,605,122,807,21,207,3,227,25,68,0,93,23,66,0,96,8,18,0,21,7,25,0,39,12,3,0,9,27,25,101,153,123,411,108,647,31,446,3,482,37,161,0,200,50,192,8,246,17,56,0,71,18,98,0,115,14,11,0,25,34,61,217,313,202,1018,230,1451
Copper Coast (DC),41560,23,1352,17,1390,28,1181,17,1221,23,1309,15,1347,4,508,10,519,7,479,10,494,0,12,0,17,7,284,348,637,97,5111,411,5623,33,1787,17,1834,35,1132,12,1177,34,1256,12,1297,11,437,5,449,3,417,15,434,0,4,0,7,3,333,341,684,118,5365,402,5882,49,3137,32,3226,66,2310,24,2397,53,2558,30,2641,10,945,9,965,14,892,27,931,3,25,0,24,18,611,686,1314,210,10476,814,11502
Elliston (DC),41750,3,137,0,141,3,79,0,79,4,110,0,114,0,31,0,32,0,39,0,39,0,0,0,0,0,21,22,45,8,412,26,445,7,157,3,165,0,71,0,76,0,68,0,67,0,13,0,14,0,16,0,16,0,0,0,0,0,20,14,34,7,348,18,379,7,295,0,306,3,155,0,156,4,172,3,180,0,43,3,43,0,54,0,54,0,0,0,0,4,44,37,80,20,766,40,824
Kangaroo Island (DC),42750,5,643,8,660,11,370,9,386,3,387,11,397,0,119,4,129,3,116,5,120,0,4,0,4,0,54,177,232,25,1692,212,1932,5,819,9,836,4,297,5,307,3,317,3,326,3,89,0,95,0,77,0,80,0,4,0,4,0,48,160,208,18,1662,183,1861,15,1463,23,1498,8,671,14,696,7,708,16,728,4,207,3,217,3,191,6,206,0,6,0,6,0,108,334,444,44,3359,396,3797
Wujal Wujal (S),37570,19,5,0,26,11,0,0,18,22,4,0,29,13,0,0,14,17,0,0,17,0,0,0,0,5,0,0,5,87,11,0,98,28,4,0,31,16,0,0,16,29,0,0,29,16,0,0,11,18,0,0,18,0,0,0,0,5,0,0,7,108,3,0,117,43,8,0,57,33,0,0,33,56,4,0,54,26,3,0,27,27,0,0,27,0,0,0,0,11,0,0,15,196,16,0,215
Yarrabah (S),37600,198,15,0,214,112,3,0,117,278,4,0,283,94,0,0,92,56,4,0,59,6,0,0,9,13,0,5,18,760,31,9,790,195,10,0,211,146,0,0,148,251,0,0,255,81,0,0,81,50,0,0,52,7,0,0,7,27,0,3,35,771,14,10,792,397,32,0,425,259,3,0,262,533,9,0,535,172,0,0,179,108,6,0,116,14,0,0,17,39,0,11,54,1530,45,17,1586
No usual address (Qld),39499,67,2025,19,2114,32,452,0,486,73,1369,17,1456,39,403,3,439,29,292,0,325,3,43,0,50,192,459,956,1608,442,5038,998,6478,51,2016,20,2079,25,348,3,368,43,1135,8,1185,18,255,3,272,14,171,3,187,3,21,0,24,110,230,688,1023,258,4167,722,5150,123,4037,36,4199,60,795,3,860,111,2501,21,2635,55,656,8,716,47,462,3,512,7,61,3,70,299,687,1647,2629,698,9201,1719,11623
Migratory - Offshore - Shipping (Qld),39799,0,24,0,24,0,7,0,7,0,12,0,11,0,3,0,3,0,5,0,5,0,0,0,0,0,4,6,5,0,60,6,67,0,18,0,25,0,5,0,5,0,22,0,26,0,7,0,7,0,6,0,6,0,0,0,0,0,4,9,10,3,69,9,80,0,43,0,45,0,15,0,15,3,34,0,34,0,11,0,11,0,16,0,17,0,0,0,0,0,8,15,22,0,122,15,143
Goyder (DC),42110,6,467,3,472,3,364,0,372,8,355,4,365,0,146,0,146,0,139,3,142,0,3,0,7,0,52,115,164,17,1529,129,1680,8,590,3,606,7,293,3,298,9,287,5,296,0,109,0,109,3,116,3,122,0,3,0,3,3,53,105,163,30,1449,121,1604,20,1050,6,1084,9,655,3,668,12,636,14,662,0,255,3,261,3,256,7,267,0,7,0,8,3,112,219,330,52,2978,253,3277
Adelaide (C),40070,29,7460,31,7518,13,673,4,692,10,470,4,491,6,129,0,138,4,118,3,129,0,40,0,38,55,437,1046,1534,121,9333,1087,10543,34,7457,37,7530,15,630,4,651,18,455,9,477,7,114,3,116,4,119,0,119,0,29,0,29,10,222,841,1074,85,9026,894,10008,57,14916,74,15053,31,1307,7,1339,36,926,16,972,15,247,0,257,11,238,4,253,0,71,0,71,65,659,1884,2607,210,18353,1986,20549
Adelaide Hills (DC),40120,32,8462,72,8564,8,2530,26,2566,16,1866,15,1894,4,436,11,451,7,374,4,381,0,21,0,28,4,239,688,938,66,13929,816,14806,32,9229,55,9317,12,2304,24,2339,12,1701,20,1732,0,383,3,384,3,377,11,388,0,28,0,28,0,294,617,915,57,14313,736,15108,61,17695,127,17886,22,4837,50,4904,22,3564,39,3625,4,820,11,833,7,746,13,765,0,51,0,55,5,534,1308,1845,124,28247,1548,29914
Alexandrina (DC),40220,40,3762,26,3832,25,2096,28,2150,22,2052,19,2083,11,637,3,652,6,490,14,506,0,22,0,21,13,340,586,931,112,9400,668,10178,45,4414,38,4495,32,2113,24,2168,26,2093,29,2147,14,552,11,578,3,443,8,456,0,14,0,16,4,422,579,1011,129,10050,695,10873,81,8183,62,8325,58,4207,52,4318,46,4144,46,4234,23,1189,17,1224,11,934,25,965,3,33,3,38,13,761,1160,1941,240,19443,1365,21052
Anangu Pitjantjatjara (AC),40250,88,57,0,139,77,20,0,100,154,17,0,174,73,8,0,82,83,3,0,89,33,0,0,33,129,3,44,174,633,111,44,786,118,87,3,205,124,15,0,145,155,11,0,163,69,0,0,70,86,0,0,87,27,0,0,27,125,0,54,186,707,116,58,879,205,140,3,344,206,38,0,241,307,25,0,334,138,7,0,149,169,3,0,175,53,0,0,59,252,5,100,358,1338,226,103,1670
Barossa (DC),40310,13,3458,28,3496,13,1962,17,1992,16,1626,14,1658,13,533,6,555,11,505,10,521,0,18,0,20,4,211,459,675,63,8311,533,8911,25,4145,33,4198,4,1715,21,1739,11,1564,23,1602,3,463,4,474,6,602,11,618,0,14,0,12,8,258,442,707,55,8758,538,9347,32,7605,57,7696,22,3668,38,3735,24,3197,40,3259,17,1002,14,1026,10,1105,16,1138,0,24,0,28,11,471,905,1385,120,17066,1068,18254
