lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
22310,Glen Eira (C),349,1589,1993,188204.5,453077.8,130190.4,771472.7,229329.1,1000801.8
22410,Glenelg (S),31,0,33,9084.6,0.0,4544.2,13628.9,14692.8,28321.7
22490,Golden Plains (S),184,0,185,55500.0,0.0,9771.9,65272.0,55622.8,120894.7
22620,Greater Bendigo (C),653,66,722,185305.5,12600.6,32266.6,230172.7,150595.6,380768.4
22670,Greater Dandenong (C),359,623,983,115944.1,123400.9,15291.9,254636.9,393424.4,648061.3
30900,Boulia (S),0,0,0,0.0,0.0,0.0,0.0,141.0,141.0
31000,Brisbane (C),3128,9035,12238,1243885.4,2567105.8,613408.7,4424400.0,3028350.8,7452750.5
34590,Logan (C),1701,758,2469,394612.6,142097.7,29896.5,566606.9,178631.3,745238.2
31750,Bulloo (S),1,0,1,387.0,0.0,14.2,401.2,0.0,401.2
31820,Bundaberg (R),363,33,396,104264.2,6253.1,14319.5,124836.7,63505.1,188341.9
31900,Burdekin (S),17,0,17,6630.1,0.0,3919.0,10549.1,48224.9,58774.0
31950,Burke (S),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32080,Cairns (R),627,106,735,193612.8,27791.9,36532.0,257936.7,342983.6,600920.3
32250,Carpentaria (S),5,2,7,1271.8,260.0,183.0,1714.8,3480.4,5195.2
32260,Cassowary Coast (R),65,2,69,18183.7,77.7,7711.1,25972.5,17943.1,43915.6
32270,Central Highlands (R) (Qld),17,0,17,5211.3,0.0,1238.3,6449.5,3678.1,10127.6
32310,Charters Towers (R),11,0,11,3162.3,0.0,1644.5,4806.8,7926.4,12733.2
41060,Charles Sturt (C),725,651,1377,179255.3,141882.4,24393.0,345530.6,81780.0,427310.6
32330,Cherbourg (S),13,0,13,4412.3,0.0,477.0,4889.3,0.0,4889.3
32450,Cloncurry (S),6,0,6,1139.8,0.0,484.6,1624.3,2927.6,4551.9
32500,Cook (S),26,8,34,7559.3,3688.3,812.8,12060.4,5460.7,17521.1
32600,Croydon (S),0,0,0,0.0,0.0,35.0,35.0,0.0,35.0
37300,Weipa (T),5,2,7,1870.6,234.0,1798.6,3903.2,2252.0,6155.2
37310,Western Downs (R),35,0,35,10047.8,0.0,3908.0,13955.8,30945.9,44901.7
37340,Whitsunday (R),47,0,47,26184.2,0.0,2822.0,29006.2,18984.1,47990.3
32750,Diamantina (S),0,0,0,0.0,0.0,0.0,0.0,2634.9,2634.9
41140,Clare and Gilbert Valleys (DC),41,0,41,10717.4,0.0,1290.8,12008.2,9319.5,21327.7
64810,Sorell (M),121,14,135,26700.5,2639.0,4354.4,33693.8,1529.4,35223.2
32770,Doomadgee (S),12,0,12,4738.6,0.0,0.0,4738.6,0.0,4738.6
32810,Douglas (S),74,0,75,25667.0,0.0,3410.0,29077.0,2732.7,31809.7
33100,Etheridge (S),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33200,Flinders (S) (Qld),2,0,2,275.0,0.0,324.5,599.5,82.0,681.5
33220,Fraser Coast (R),814,60,880,197742.9,12063.6,20120.6,229927.1,38502.6,268429.6
33360,Gladstone (R),94,7,102,26159.2,1136.4,7584.0,34879.6,34502.8,69382.4
