lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Aurukun (S),30250,0,0,0,3,0,0,0,0,0,13,0,0,0,3,4,0,0,0,0,10,11,6,21,10,3,3,3,11,0,57,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,4,3,0,11,16,28,25,32,12,3,4,15,4,142
Balonne (S),30300,32,18,0,7,16,4,3,3,0,100,43,13,5,25,27,7,3,11,0,135,84,19,130,43,35,19,30,60,6,426,3,3,0,4,3,9,0,7,0,27,6,0,4,6,6,8,3,3,0,37,0,0,0,3,0,0,0,3,0,7,16,0,7,6,0,8,6,15,10,73,280,231,153,122,106,65,50,113,15,1143
Banana (S),30370,55,39,23,11,19,3,10,9,4,181,66,40,38,53,43,14,18,22,6,298,218,46,766,125,148,52,244,175,18,1790,17,0,13,8,18,13,14,23,0,108,39,0,11,17,30,8,32,23,0,160,9,3,3,3,0,4,11,16,3,49,49,11,13,11,10,14,35,55,18,213,629,655,916,294,346,130,369,345,54,3740
Barcaldine (R),30410,16,8,4,10,3,0,0,0,0,40,10,7,7,12,8,0,0,6,0,57,44,9,81,41,28,17,28,53,3,307,3,0,0,5,9,3,3,3,0,22,13,0,3,3,3,3,0,3,0,30,3,0,0,0,0,0,0,0,0,3,8,0,3,5,3,3,0,7,3,42,151,145,101,89,72,23,39,81,12,717
Barcoo (S),30450,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,8,0,4,0,5,6,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,13,12,11,3,11,0,5,6,0,71
Blackall-Tambo (R),30760,19,6,0,4,0,0,0,3,0,38,13,4,4,16,7,4,0,3,0,51,39,5,53,28,16,17,9,27,9,185,3,0,0,0,0,0,0,7,0,11,10,0,0,3,4,4,3,0,0,28,0,0,0,0,0,0,0,0,0,5,8,4,8,0,4,3,3,10,0,36,120,76,61,63,48,27,22,46,9,476
Longreach (R),34710,23,4,3,11,7,0,3,4,0,61,34,19,4,29,20,5,3,3,3,127,61,13,142,37,52,22,25,45,0,407,14,0,4,6,4,6,3,5,0,42,7,0,5,5,11,8,0,3,0,41,3,3,0,3,0,0,0,0,0,12,15,3,4,9,3,10,4,8,8,67,224,276,173,133,124,51,39,84,17,1120
Mackay (R),34770,234,425,181,203,170,67,75,46,14,1427,476,445,367,595,493,135,143,124,33,2821,1478,623,7352,1330,1431,769,2135,1201,242,16556,49,31,61,106,134,137,70,129,6,725,118,60,110,189,180,110,159,111,13,1049,27,47,44,28,39,19,36,38,3,295,128,81,207,137,86,111,203,196,113,1261,3432,6919,8655,3086,3114,1521,2956,2023,487,32196
McKinlay (S),34800,3,3,0,0,0,0,0,0,0,6,10,0,0,3,6,0,0,0,0,19,31,3,34,15,3,0,13,15,0,112,0,0,0,0,3,0,0,3,0,12,3,3,0,0,0,3,3,0,0,13,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,3,3,18,74,33,43,20,16,6,21,30,3,252
Mapoon (S),34830,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,4,4,5,7,3,3,4,3,0,31,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,9,10,4,3,3,0,58
Maranoa (R),34860,71,49,13,30,27,11,5,11,5,221,97,52,43,88,65,23,18,32,4,414,250,54,495,136,174,59,155,172,19,1512,19,0,9,17,18,21,13,29,0,121,41,17,7,26,14,16,11,17,0,150,10,3,5,8,7,3,0,0,0,38,36,12,19,20,11,14,27,33,13,183,708,731,643,378,404,187,246,313,48,3650
Mareeba (S),34880,57,92,21,52,54,19,9,15,5,323,75,73,33,142,96,30,11,41,4,499,299,83,717,288,190,87,156,209,27,2067,23,6,10,19,25,18,11,31,0,135,24,16,20,47,22,21,12,23,0,180,10,6,5,3,6,5,6,17,3,64,41,24,27,41,19,32,24,58,16,279,733,996,888,711,508,252,245,470,67,4875
Moreton Bay (R),35010,1246,1880,748,1181,1185,451,194,261,94,7246,2266,2228,1436,3757,3002,1127,401,665,174,15047,4534,2353,17943,6686,5859,3357,3708,4639,652,49738,212,133,221,402,564,506,215,453,22,2718,421,282,329,884,815,482,338,473,68,4082,141,241,149,154,205,102,76,169,28,1264,273,376,479,439,431,366,385,547,372,3670,14164,28092,22615,16230,15888,7578,5663,8075,1784,120088
Mornington (S),35250,3,0,0,4,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,10,7,0,14,11,0,0,4,6,3,51,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,8,4,3,3,4,0,39,17,45,22,44,20,4,7,9,4,176
Mount Isa (C),35300,25,57,27,43,33,4,12,5,3,205,41,76,57,115,70,15,29,15,7,432,181,100,1395,198,222,101,457,140,47,2834,6,9,18,12,17,29,22,21,3,130,13,6,24,25,14,15,19,16,0,137,3,3,5,6,3,0,7,11,0,42,11,13,33,22,19,16,35,22,25,201,452,1285,1644,556,457,223,599,266,93,5579
Murweh (S),35600,22,17,7,7,3,0,3,3,0,61,29,12,7,24,24,5,0,4,0,101,71,17,129,50,38,24,23,69,4,428,8,0,3,4,3,0,3,15,0,33,4,7,0,9,7,4,0,3,0,30,4,3,3,0,0,0,0,0,0,12,13,7,13,10,4,7,3,17,4,75,205,243,161,125,98,36,44,129,17,1064
Napranum (S),35670,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,21,3,3,0,7,3,0,39,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,11,23,11,5,0,10,8,0,74
Noosa (S),35740,225,295,104,196,161,103,32,56,20,1187,221,264,145,415,245,133,36,96,17,1583,679,236,2060,680,487,410,310,521,71,5450,20,16,16,42,64,50,8,46,3,267,65,49,48,103,70,99,30,61,9,540,30,40,20,27,21,18,7,8,3,170,66,52,70,60,59,61,28,67,38,505,2079,3806,2638,1932,1485,1077,484,974,221,14699
North Burnett (R),35760,46,32,0,15,15,4,6,7,0,120,58,20,16,49,21,7,4,29,3,210,152,32,238,132,74,45,105,145,5,934,8,6,4,11,18,16,5,25,0,89,28,3,8,22,15,7,7,21,3,114,8,3,0,0,3,3,0,14,0,24,36,8,11,8,10,10,14,48,13,158,461,342,281,269,185,105,147,345,29,2170
Northern Peninsula Area (R),35780,9,11,0,5,0,0,0,0,0,24,9,4,3,26,20,0,3,3,0,75,16,25,51,39,29,11,25,24,4,225,0,0,3,3,3,0,5,9,0,29,0,4,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0,7,3,5,6,12,7,3,7,10,0,53,63,105,72,106,74,25,44,47,7,536
Palm Island (S),35790,0,3,0,3,0,0,0,0,0,4,3,0,0,10,3,0,0,0,0,24,6,3,20,40,20,0,5,8,7,116,0,4,0,13,4,0,0,9,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,16,20,70,26,88,33,4,8,15,8,271
Paroo (S),35800,19,4,0,3,0,0,0,0,0,31,16,16,0,12,8,0,0,3,0,49,37,8,44,16,14,11,14,12,0,160,3,0,0,0,0,0,0,0,0,9,9,0,3,3,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,5,3,0,4,4,0,3,7,0,25,112,72,47,47,30,17,19,34,3,380
Pormpuraaw (S),36070,0,0,0,3,0,0,0,0,0,7,7,0,0,3,0,0,0,0,0,15,4,7,11,10,8,3,3,5,3,49,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,15,15,22,13,22,8,4,9,6,3,105
Quilpie (S),36150,7,0,0,3,0,0,0,0,0,11,7,5,0,9,3,0,3,0,0,26,20,6,32,10,11,3,5,17,0,103,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,53,32,40,23,24,5,14,25,4,216
Redland (C),36250,543,828,339,422,538,175,64,114,39,3062,935,889,530,1214,1208,410,125,224,68,5594,1980,879,6976,2134,2146,1172,1200,1593,235,18301,78,59,68,126,212,170,50,154,4,919,183,104,132,313,360,198,112,158,23,1583,54,88,52,45,99,39,29,54,7,465,125,139,171,141,161,123,91,166,122,1238,6160,10872,8733,5382,6092,2798,1789,2731,621,45175
Richmond (S),36300,3,3,0,0,0,0,0,3,0,14,4,3,0,3,8,0,0,8,0,25,15,3,26,7,7,3,7,15,0,86,0,3,0,0,0,0,0,0,0,11,3,0,0,3,0,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,16,45,34,32,19,26,10,11,32,3,214
Rockhampton (R),36370,129,250,112,180,121,32,26,31,3,881,240,259,200,574,364,94,59,81,20,1894,725,367,3624,1167,1012,487,825,694,96,9011,33,28,53,101,95,119,57,122,5,618,48,27,52,140,104,73,88,83,7,632,14,39,27,26,13,7,23,29,3,198,52,66,93,93,63,66,86,119,64,696,1868,5006,4447,2744,2258,981,1240,1280,241,20064
Scenic Rim (R),36510,113,182,64,94,89,35,14,29,3,631,210,167,134,262,205,72,24,79,20,1171,530,160,1578,518,406,237,373,505,51,4354,41,17,26,48,48,30,15,56,3,276,63,32,37,85,79,50,31,54,6,436,22,16,8,9,9,7,5,12,0,88,52,38,88,47,60,45,40,81,33,486,1508,2228,2030,1265,1144,546,540,894,144,10291
Somerset (R),36580,50,80,29,48,44,10,7,11,8,287,80,73,47,157,96,34,9,45,7,559,289,83,821,373,228,135,283,323,30,2568,11,7,23,20,25,23,14,44,3,170,34,13,26,35,36,29,20,49,5,243,3,9,9,3,5,3,0,14,4,48,37,21,39,26,22,23,47,81,28,313,663,945,1048,751,536,282,382,631,89,5331
South Burnett (R),36630,79,90,27,82,49,15,17,19,4,380,94,110,56,226,108,43,33,33,5,706,371,99,1016,428,261,178,298,405,39,3096,24,3,26,39,41,43,18,69,0,259,45,13,11,69,46,26,28,53,0,294,5,7,8,6,6,4,8,5,0,53,47,24,33,33,20,30,37,80,36,343,901,1411,1221,1015,640,361,463,705,97,6807
Southern Downs (R),36660,109,120,29,82,48,23,15,21,4,446,138,91,75,204,111,49,31,58,12,763,470,129,1101,452,314,216,330,484,41,3528,27,6,19,29,46,22,29,75,3,252,42,14,24,64,44,51,38,54,3,333,14,5,4,7,12,3,3,14,0,56,60,27,57,49,38,47,45,79,38,433,1170,1595,1374,1016,752,451,494,865,114,7834
Sunshine Coast (R),36720,971,1612,544,920,847,406,135,237,69,5739,1444,1577,1033,2396,1784,872,225,509,114,9938,3540,1432,12896,4238,3335,2636,1969,3173,423,33651,129,96,155,279,327,359,93,259,18,1710,339,224,291,604,569,415,193,331,32,3004,120,164,124,102,142,104,41,99,25,916,247,298,352,324,232,294,179,310,242,2480,10521,22811,16420,11032,9821,6156,3035,5596,1178,86574
Tablelands (R),36820,74,118,23,76,60,14,6,19,3,407,83,80,43,156,105,36,17,35,6,564,367,106,894,323,236,174,226,257,25,2608,19,6,14,24,22,19,8,33,0,147,37,15,14,54,30,15,12,38,3,217,3,8,9,9,4,4,3,13,0,47,51,33,22,46,23,27,23,55,23,310,903,1383,1052,809,610,333,303,504,80,5983
Toowoomba (R),36910,446,683,197,367,340,114,57,111,28,2337,748,715,543,1107,938,271,175,232,43,4770,1819,756,6615,2337,2032,1149,1348,1734,169,17966,89,39,94,131,211,203,78,235,11,1078,204,95,100,349,246,162,116,181,15,1462,38,90,34,50,53,16,20,30,5,343,143,106,172,183,148,137,139,246,110,1383,5519,12358,8286,5534,5338,2435,2046,3251,489,45253
Torres (S),36950,9,21,3,15,3,0,0,3,0,59,15,19,6,31,20,0,5,0,0,87,43,20,95,54,45,9,11,29,11,325,4,3,0,14,9,3,0,8,0,47,9,3,7,8,4,0,3,0,0,29,0,3,0,0,0,0,0,0,0,11,5,6,11,23,17,4,8,16,11,103,121,274,130,164,133,27,23,60,34,962
Torres Strait Island (R),36960,3,14,0,13,3,0,0,0,0,36,10,13,0,14,11,0,0,0,4,50,26,64,68,48,55,15,3,32,11,332,3,5,3,15,9,9,0,20,5,72,0,8,4,0,0,0,0,3,0,20,3,0,0,0,0,0,0,0,0,6,3,10,6,18,13,7,4,23,3,90,59,165,89,119,103,36,12,88,26,694
Townsville (C),37010,413,704,304,496,357,105,85,73,17,2560,886,838,572,1702,1065,345,158,217,73,5868,1883,927,8441,3318,2500,1318,1953,1751,279,22371,69,59,110,245,243,210,89,165,7,1188,135,113,113,362,296,153,119,154,11,1459,60,114,53,71,78,41,34,39,21,505,87,176,182,191,133,134,143,222,129,1405,5752,15044,10423,7769,6166,2741,2762,3009,682,54344
Bulloo (S),31750,0,3,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,11,8,0,21,3,16,0,10,10,3,66,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,3,0,0,12,26,9,25,4,23,3,12,15,3,125
Boulia (S),30900,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,7,0,9,3,0,0,6,24,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,21,11,10,9,6,0,6,30,0,96
Brisbane (C),31000,3711,6121,2373,2674,3431,1347,629,924,286,21494,6226,6828,4479,7492,7740,3424,1237,2110,497,40039,9076,5150,29550,10614,10724,5935,4951,6731,1182,83911,446,383,441,867,1087,839,319,675,58,5116,1006,929,730,1521,2032,1052,543,847,113,8779,535,1238,474,461,681,347,216,417,105,4461,759,1296,831,834,966,646,489,894,914,7628,58388,157776,46996,37947,51408,23155,10902,18682,5694,410947
Bundaberg (R),31820,146,302,59,193,115,46,20,55,7,939,284,288,145,595,300,132,60,129,12,1947,960,315,3149,1270,893,589,801,1030,127,9118,58,18,52,90,94,140,54,138,4,641,77,45,69,163,117,69,61,119,9,719,32,39,19,17,26,12,20,55,3,218,89,75,66,90,71,76,88,155,86,797,2250,4725,3724,2810,1978,1160,1128,1869,281,19921
Burdekin (S),31900,45,51,9,28,20,6,4,9,3,173,59,54,30,99,53,17,9,20,0,337,327,70,769,198,166,92,282,244,23,2175,16,4,9,15,14,13,12,10,5,105,25,9,11,28,19,10,20,25,4,148,11,7,3,3,7,0,4,11,0,45,27,15,17,15,15,24,31,45,22,209,622,747,888,447,353,170,379,421,58,4084
Burke (S),31950,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,10,4,0,8,0,3,0,3,5,0,36,0,0,0,0,5,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,21,11,14,4,13,0,4,7,3,82
Cairns (R),32080,489,918,299,542,413,185,88,139,53,3126,782,806,538,1333,966,456,154,252,82,5362,1834,900,6767,2431,2032,1214,1238,1506,275,18187,67,65,112,175,199,239,66,168,8,1101,151,139,133,383,284,188,103,183,25,1585,76,128,74,95,69,48,17,62,9,588,144,210,211,242,168,188,146,252,169,1723,5506,12768,8718,6715,5536,3135,1962,2944,761,48050
Carpentaria (S),32250,7,5,4,3,6,0,0,0,0,27,8,9,6,17,4,0,0,0,3,49,27,16,53,24,24,4,15,32,0,191,3,0,0,4,0,0,0,4,0,13,3,0,3,0,0,0,0,3,0,15,0,3,0,3,0,0,0,0,0,6,3,5,5,3,3,0,3,9,3,32,63,87,69,69,45,8,18,54,12,430
Cassowary Coast (R),32260,74,110,15,67,35,23,14,40,3,375,100,92,52,135,88,26,28,61,7,594,461,114,1101,320,301,173,340,436,45,3289,15,8,9,31,32,35,12,46,0,189,35,11,22,50,28,31,12,51,5,251,14,9,8,14,9,7,13,20,0,84,56,30,47,38,27,34,46,119,24,423,983,1211,1312,789,619,375,475,883,99,6747
Central Highlands (R) (Qld),32270,96,54,45,46,33,12,23,15,3,330,135,84,87,112,121,33,51,44,13,678,393,107,1585,239,316,136,753,276,52,3850,31,3,22,23,46,34,33,46,0,230,46,11,20,39,35,16,57,35,5,261,9,3,12,9,3,5,6,5,0,48,47,18,45,20,26,36,70,69,17,359,1051,1378,1923,582,728,307,1029,547,88,7642
Charters Towers (R),32310,23,35,11,24,10,6,3,3,0,111,37,30,16,61,30,9,3,9,3,203,141,51,402,127,95,45,127,117,13,1115,13,3,10,11,9,16,3,14,0,75,13,9,15,26,3,9,7,18,0,103,3,3,5,3,0,3,5,3,0,23,21,13,12,21,12,15,14,19,5,121,330,575,484,314,201,114,168,192,20,2396
Weipa (T),37300,12,13,6,17,3,0,6,7,0,61,15,10,21,16,15,6,17,4,0,111,32,15,395,40,57,10,193,24,12,771,3,3,3,3,3,0,3,0,0,20,4,0,4,3,5,0,14,6,0,43,3,3,0,0,0,0,0,0,0,10,0,8,8,4,0,0,24,3,0,53,114,283,459,108,109,30,275,51,12,1442
Western Downs (R),37310,142,110,37,59,48,19,17,25,3,459,191,86,90,155,157,40,36,56,5,822,523,116,1463,325,368,178,420,379,56,3830,33,9,21,47,46,34,20,45,3,265,56,11,24,56,52,24,37,50,7,314,14,8,5,8,8,3,9,4,3,67,82,31,55,34,34,45,62,82,41,466,1404,1517,1790,808,842,390,632,724,127,8235
Whitsunday (R),37340,118,140,43,100,56,35,15,41,5,555,205,113,127,257,151,57,32,76,8,1027,500,216,1768,438,339,215,538,470,56,4532,28,35,20,57,29,50,24,51,8,299,50,34,33,56,48,41,41,65,3,375,12,16,12,12,10,9,7,34,0,108,55,30,61,38,36,52,54,137,35,503,1290,1598,2166,1190,841,523,748,1017,135,9511
Gympie (R),33620,120,169,60,109,85,33,15,33,8,629,162,152,82,325,190,63,32,74,13,1098,517,174,1784,654,442,357,448,611,73,5061,27,10,22,35,72,67,34,91,3,366,45,14,46,96,60,52,34,51,7,405,8,19,16,19,14,8,14,12,3,108,66,36,55,40,31,52,38,83,41,445,1257,1996,2126,1455,1080,683,640,1018,158,10417
Hinchinbrook (S),33800,14,25,10,16,21,10,3,0,0,107,25,30,8,58,32,12,5,10,3,199,176,51,506,161,95,49,204,146,15,1405,3,3,8,14,10,8,3,12,0,58,7,3,7,21,7,6,7,11,0,69,0,3,6,3,3,0,0,0,0,17,24,16,16,24,9,7,11,32,13,149,320,508,580,326,210,104,250,217,34,2545
Hope Vale (S),33830,0,3,0,3,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,13,4,9,12,16,15,3,18,17,3,96,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,3,19,13,21,19,26,18,3,23,19,8,151
Ipswich (C),33960,395,627,280,455,413,124,90,109,30,2521,909,947,687,1755,1273,472,234,331,96,6702,1765,940,7812,3308,2624,1368,2055,2147,321,22329,87,44,105,201,274,239,147,239,16,1354,136,121,163,434,381,195,231,242,35,1934,50,78,65,64,71,42,60,50,10,494,104,124,212,207,170,118,241,317,202,1686,5122,11060,9896,7625,6734,3054,3267,3813,874,51446
Cherbourg (S),32330,0,3,0,3,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,13,0,8,8,14,3,0,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,12,8,26,6,0,0,10,0,61
Cloncurry (S),32450,9,20,0,3,3,4,6,4,0,47,7,8,12,14,17,0,11,4,0,64,39,12,155,23,30,14,87,47,0,397,0,0,0,5,5,3,0,6,0,23,3,0,3,3,3,0,4,0,0,19,0,0,0,0,3,0,0,3,0,7,0,0,3,3,4,0,12,6,4,37,97,191,185,70,82,23,122,72,3,847
Cook (S),32500,9,22,7,11,8,3,0,8,0,67,18,27,8,27,9,3,3,10,0,112,53,46,138,51,44,23,49,60,13,468,3,3,10,9,6,5,0,7,0,48,17,3,0,4,4,0,3,14,0,45,3,0,0,0,4,0,0,5,0,12,9,13,9,5,10,3,8,14,7,80,162,274,176,134,107,45,67,140,21,1128
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,6,3,3,0,3,3,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,11,4,3,0,9,12,3,52
Fraser Coast (R),33220,157,320,104,251,156,74,24,42,12,1146,281,324,177,673,379,130,58,117,23,2157,832,363,3143,1669,870,675,673,986,87,9292,37,27,41,118,128,142,33,121,6,646,66,60,62,218,117,103,53,112,7,804,11,46,22,38,27,27,14,16,8,203,69,80,101,133,76,79,74,145,70,832,1952,4802,3762,3511,2110,1335,945,1619,247,20272
Gladstone (R),33360,115,227,131,114,93,30,28,39,11,802,218,222,219,303,233,80,84,84,27,1462,645,300,4021,738,742,363,1083,766,114,8765,44,34,39,47,63,81,42,110,7,463,48,36,64,88,71,46,80,67,8,490,15,35,23,19,16,9,34,48,0,191,47,45,81,53,49,55,97,110,64,590,1670,3401,4840,1637,1563,727,1539,1319,263,16965
Gold Coast (C),33430,2083,2741,1030,1740,1697,1005,242,484,151,11170,3159,3182,2162,5216,3719,2218,533,1137,269,21600,6682,2847,22486,7400,6265,4980,3482,5803,863,60812,245,178,258,490,574,591,169,445,39,2992,694,466,534,1194,1259,996,352,610,94,6196,275,440,228,240,384,231,99,209,55,2151,537,671,718,660,604,656,362,694,566,5468,22407,43013,29679,21573,20071,13988,5871,11085,2692,170374
Diamantina (S),32750,3,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,8,0,9,7,3,0,3,8,0,42,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,17,16,18,0,3,13,0,86
Clare and Gilbert Valleys (DC),41140,48,58,14,31,30,10,9,7,0,204,45,29,15,53,35,20,0,9,0,209,159,27,332,123,102,56,68,124,5,997,9,4,4,5,16,11,10,27,3,88,29,12,9,12,13,7,8,22,3,112,3,0,0,3,6,3,0,4,0,18,19,4,8,4,13,5,8,17,8,91,464,571,410,270,275,145,106,249,26,2514
Goondiwindi (R),33610,60,31,11,34,15,4,3,11,0,173,82,43,18,73,41,16,9,25,0,303,169,38,377,117,94,49,102,122,4,1082,11,0,4,14,16,13,8,13,0,71,31,3,9,20,19,9,5,17,0,112,6,4,0,3,3,0,7,6,0,20,21,5,8,11,8,15,12,34,10,133,541,523,453,306,264,124,156,257,24,2653
Doomadgee (S),32770,0,0,0,3,3,0,0,0,0,8,3,0,0,3,3,0,0,0,0,8,0,3,4,14,3,3,0,3,0,31,0,0,0,3,0,0,0,3,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11,10,35,6,33,11,3,0,8,5,116
Douglas (S),32810,61,42,26,48,37,27,4,26,3,260,72,44,37,107,28,28,9,35,0,361,181,66,542,164,121,93,91,187,15,1450,10,7,11,21,14,4,3,22,0,89,19,21,5,35,16,21,5,27,4,153,8,4,0,6,3,3,5,8,0,36,22,17,24,30,17,15,9,34,22,194,560,594,704,536,319,255,137,382,53,3536
Etheridge (S),33100,4,4,0,0,0,0,0,0,0,7,3,0,0,3,3,0,0,0,0,17,17,3,12,5,8,0,6,11,0,67,0,0,0,0,0,0,0,3,0,3,5,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,4,5,0,16,42,26,11,15,24,0,12,24,0,154
Flinders (S) (Qld),33200,4,3,0,3,4,0,0,0,0,18,9,7,0,12,3,3,0,0,0,30,33,6,45,7,12,3,19,37,0,164,0,0,0,0,4,0,0,3,0,7,3,0,0,0,3,4,0,4,0,17,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,6,10,0,30,85,47,52,24,34,9,25,50,3,341
Isaac (R),33980,45,39,38,23,22,4,19,7,0,213,83,48,58,77,63,22,48,26,8,434,226,98,1445,135,214,71,717,215,31,3136,18,0,15,12,25,12,38,41,0,166,25,7,24,23,29,10,55,17,4,197,4,7,3,5,5,3,13,8,0,53,28,10,49,16,14,18,81,43,14,272,695,994,1717,365,463,159,1014,395,71,5874
Kowanyama (S),34420,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,0,19,13,6,4,3,4,3,65,0,0,0,3,0,0,0,3,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,14,23,21,32,11,5,7,10,4,125
Livingstone (S),34530,86,131,64,85,62,21,20,17,6,486,128,143,84,215,141,48,27,28,17,834,412,155,1889,488,410,206,498,309,49,4414,24,8,25,41,39,46,19,21,0,228,43,19,34,68,53,30,33,38,5,327,13,16,8,5,12,5,4,5,0,70,34,30,44,38,31,32,60,58,27,356,1123,2221,2240,1133,961,443,686,511,123,9442
