lga_name_2016,lga_code_2016,m_lplfs_eft_dc_0_4,m_lplfs_eft_dc_5_9,m_lplfs_eft_dc_10_12,m_lplfs_eft_dc_13_14,m_lplfs_eft_dc_15_17,m_lplfs_eft_dc_18_20,m_lplfs_eft_dc_21_24,m_lplfs_eft_t,m_lplfs_ept_dc_0_4,m_lplfs_ept_dc_5_9,m_lplfs_ept_dc_10_12,m_lplfs_ept_dc_13_14,m_lplfs_ept_dc_15_17,m_lplfs_ept_dc_18_20,m_lplfs_ept_dc_21_24,m_lplfs_ept_t,m_lplfs_eaw_dc_0_4,m_lplfs_eaw_dc_5_9,m_lplfs_eaw_dc_10_12,m_lplfs_eaw_dc_13_14,m_lplfs_eaw_dc_15_17,m_lplfs_eaw_dc_18_20,m_lplfs_eaw_dc_21_24,m_lplfs_eaw_t,m_lplfs_hns_dc_0_4,m_lplfs_hns_dc_5_9,m_lplfs_hns_dc_10_12,m_lplfs_hns_dc_13_14,m_lplfs_hns_dc_15_17,m_lplfs_hns_dc_18_20,m_lplfs_hns_dc_21_24,m_lplfs_hns_t,m_lplfs_ew_t_dc_0_4,m_lplfs_ew_t_dc_5_9,m_lplfs_ew_t_dc_10_12,m_lplfs_ew_t_dc_13_14,m_lplfs_ew_t_dc_15_17,m_lplfs_ew_t_dc_18_20,m_lplfs_ew_t_dc_21_24,m_lplfs_ew_t_t,m_lplfs_ulftw_dc_0_4,m_lplfs_ulftw_dc_5_9,m_lplfs_ulftw_dc_10_12,m_lplfs_ulftw_dc_13_14,m_lplfs_ulftw_dc_15_17,m_lplfs_ulftw_dc_18_20,m_lplfs_ulftw_dc_21_24,m_lplfs_ulftw_t,m_lplfs_ulptw_dc_0_4,m_lplfs_ulptw_dc_5_9,m_lplfs_ulptw_dc_10_12,m_lplfs_ulptw_dc_13_14,m_lplfs_ulptw_dc_15_17,m_lplfs_ulptw_dc_18_20,m_lplfs_ulptw_dc_21_24,m_lplfs_ulptw_t,m_lplfs_u_t_dc_0_4,m_lplfs_u_t_dc_5_9,m_lplfs_u_t_dc_10_12,m_lplfs_u_t_dc_13_14,m_lplfs_u_t_dc_15_17,m_lplfs_u_t_dc_18_20,m_lplfs_u_t_dc_21_24,m_lplfs_u_t_t,m_lplfs_t_lf_dc_0_4,m_lplfs_t_lf_dc_5_9,m_lplfs_t_lf_dc_10_12,m_lplfs_t_lf_dc_13_14,m_lplfs_t_lf_dc_15_17,m_lplfs_t_lf_dc_18_20,m_lplfs_t_lf_dc_21_24,m_lplfs_t_lf_t,m_lplfs_nlf_dc_0_4,m_lplfs_nlf_dc_5_9,m_lplfs_nlf_dc_10_12,m_lplfs_nlf_dc_13_14,m_lplfs_nlf_dc_15_17,m_lplfs_nlf_dc_18_20,m_lplfs_nlf_dc_21_24,m_lplfs_nlf_t,m_lplfs_lfsns_dc_0_4,m_lplfs_lfsns_dc_5_9,m_lplfs_lfsns_dc_10_12,m_lplfs_lfsns_dc_13_14,m_lplfs_lfsns_dc_15_17,m_lplfs_lfsns_dc_18_20,m_lplfs_lfsns_dc_21_24,m_lplfs_lfsns_t,m_lplfs_t_dc_0_4,m_lplfs_t_dc_5_9,m_lplfs_t_dc_10_12,m_lplfs_t_dc_13_14,m_lplfs_t_dc_15_17,m_lplfs_t_dc_18_20,m_lplfs_t_dc_21_24,m_lplfs_t_t,f_lplfs_eft_dc_0_4,f_lplfs_eft_dc_5_9,f_lplfs_eft_dc_10_12,f_lplfs_eft_dc_13_14,f_lplfs_eft_dc_15_17,f_lplfs_eft_dc_18_20,f_lplfs_eft_dc_21_24,f_lplfs_eft_t,f_lplfs_ept_dc_0_4,f_lplfs_ept_dc_5_9,f_lplfs_ept_dc_10_12,f_lplfs_ept_dc_13_14,f_lplfs_ept_dc_15_17,f_lplfs_ept_dc_18_20,f_lplfs_ept_dc_21_24,f_lplfs_ept_t,f_lplfs_eaw_dc_0_4,f_lplfs_eaw_dc_5_9,f_lplfs_eaw_dc_10_12,f_lplfs_eaw_dc_13_14,f_lplfs_eaw_dc_15_17,f_lplfs_eaw_dc_18_20,f_lplfs_eaw_dc_21_24,f_lplfs_eaw_t,f_lplfs_hns_dc_0_4,f_lplfs_hns_dc_5_9,f_lplfs_hns_dc_10_12,f_lplfs_hns_dc_13_14,f_lplfs_hns_dc_15_17,f_lplfs_hns_dc_18_20,f_lplfs_hns_dc_21_24,f_lplfs_hns_t,f_lplfs_ew_t_dc_0_4,f_lplfs_ew_t_dc_5_9,f_lplfs_ew_t_dc_10_12,f_lplfs_ew_t_dc_13_14,f_lplfs_ew_t_dc_15_17,f_lplfs_ew_t_dc_18_20,f_lplfs_ew_t_dc_21_24,f_lplfs_ew_t_t,f_lplfs_ulftw_dc_0_4,f_lplfs_ulftw_dc_5_9,f_lplfs_ulftw_dc_10_12,f_lplfs_ulftw_dc_13_14,f_lplfs_ulftw_dc_15_17,f_lplfs_ulftw_dc_18_20,f_lplfs_ulftw_dc_21_24,f_lplfs_ulftw_t,f_lplfs_ulptw_dc_0_4,f_lplfs_ulptw_dc_5_9,f_lplfs_ulptw_dc_10_12,f_lplfs_ulptw_dc_13_14,f_lplfs_ulptw_dc_15_17,f_lplfs_ulptw_dc_18_20,f_lplfs_ulptw_dc_21_24,f_lplfs_ulptw_t,f_lplfs_u_t_dc_0_4,f_lplfs_u_t_dc_5_9,f_lplfs_u_t_dc_10_12,f_lplfs_u_t_dc_13_14,f_lplfs_u_t_dc_15_17,f_lplfs_u_t_dc_18_20,f_lplfs_u_t_dc_21_24,f_lplfs_u_t_t,f_lplfs_t_lf_dc_0_4,f_lplfs_t_lf_dc_5_9,f_lplfs_t_lf_dc_10_12,f_lplfs_t_lf_dc_13_14,f_lplfs_t_lf_dc_15_17,f_lplfs_t_lf_dc_18_20,f_lplfs_t_lf_dc_21_24,f_lplfs_t_lf_t,f_lplfs_nlf_dc_0_4,f_lplfs_nlf_dc_5_9,f_lplfs_nlf_dc_10_12,f_lplfs_nlf_dc_13_14,f_lplfs_nlf_dc_15_17,f_lplfs_nlf_dc_18_20,f_lplfs_nlf_dc_21_24,f_lplfs_nlf_t,f_lplfs_lfsns_dc_0_4,f_lplfs_lfsns_dc_5_9,f_lplfs_lfsns_dc_10_12,f_lplfs_lfsns_dc_13_14,f_lplfs_lfsns_dc_15_17,f_lplfs_lfsns_dc_18_20,f_lplfs_lfsns_dc_21_24,f_lplfs_lfsns_t,f_lplfs_t_dc_0_4,f_lplfs_t_dc_5_9,f_lplfs_t_dc_10_12,f_lplfs_t_dc_13_14,f_lplfs_t_dc_15_17,f_lplfs_t_dc_18_20,f_lplfs_t_dc_21_24,f_lplfs_t_t,t_lplfs_eft_dc_0_4,t_lplfs_eft_dc_5_9,t_lplfs_eft_dc_10_12,t_lplfs_eft_dc_13_14,t_lplfs_eft_dc_15_17,t_lplfs_eft_dc_18_20,t_lplfs_eft_dc_21_24,t_lplfs_eft_t
Parkes (A),16200,3,3,5,5,10,3,0,27,3,8,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,8,13,3,0,48,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,9,4,4,0,3,0,0,0,11,4,14,12,11,14,3,0,55,6,3,4,0,15,0,0,32,0,0,0,0,0,0,0,0,11,11,14,15,30,3,0,83,11,23,14,18,40,8,0,113,28,53,31,26,22,0,0,162,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,7,42,75,52,43,66,12,3,290,5,12,9,3,6,0,0,37,6,14,9,6,0,0,0,46,14,23,23,9,6,0,0,76,59,101,69,57,71,8,3,373,132,103,43,22,27,0,0,327,0,0,0,0,0,0,0,4,185,205,121,74,100,11,7,707,19,26,20,19,55,9,0,145
Parramatta (C),16260,55,87,67,66,105,63,39,477,12,25,20,10,24,26,13,124,0,0,0,0,8,5,0,14,3,0,3,3,7,3,0,20,73,111,88,81,135,95,52,635,11,10,7,4,6,5,0,43,0,3,4,0,3,4,3,18,10,10,10,4,9,10,5,60,86,121,101,82,143,97,51,691,21,38,34,27,29,25,22,192,0,4,3,0,0,0,0,6,111,160,138,111,178,120,75,888,164,377,318,249,376,268,140,1893,205,348,238,175,249,140,79,1429,37,19,6,5,11,11,4,94,7,13,9,5,6,11,3,56,420,752,571,437,647,429,227,3478,8,32,22,21,30,13,11,132,35,79,47,26,23,6,10,228,50,113,63,42,56,18,25,364,464,864,634,479,696,443,250,3838,497,467,250,201,285,166,102,1966,8,6,3,5,3,4,3,30,970,1334,895,690,987,613,355,5842,223,460,382,316,481,328,177,2365
Campbelltown (C) (NSW),11500,71,97,83,64,116,50,24,522,17,30,14,18,26,14,5,123,0,0,0,0,0,3,3,11,3,5,3,3,0,0,0,11,89,129,108,89,148,62,37,664,6,8,15,6,5,3,0,47,0,8,0,8,0,0,0,24,14,19,15,9,12,3,0,70,106,154,121,96,154,70,35,731,51,76,46,28,42,20,11,271,10,9,0,3,0,0,0,26,161,242,169,126,205,90,46,1035,217,409,335,231,342,154,80,1765,291,526,348,231,278,75,44,1803,34,37,16,15,17,3,6,120,21,21,10,8,5,4,0,71,561,989,707,487,643,235,136,3763,46,112,62,47,64,10,7,351,89,162,90,59,52,9,9,476,136,280,155,107,116,20,17,823,704,1265,857,595,762,256,152,4588,1429,1254,640,406,427,123,63,4336,35,39,16,14,14,0,0,115,2170,2562,1514,1013,1196,372,214,9035,288,511,421,298,453,207,110,2288
Canada Bay (A),11520,8,41,19,21,36,25,15,176,3,10,9,4,10,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,61,30,28,48,32,12,226,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,11,14,57,30,27,51,38,15,238,5,11,10,6,14,3,6,57,0,0,0,0,0,0,0,0,20,75,41,35,63,43,24,295,62,173,147,110,152,112,64,823,71,163,89,53,96,63,36,567,9,7,5,7,0,0,0,25,0,3,9,3,0,3,0,20,142,348,247,171,251,182,106,1438,5,3,7,5,7,3,0,32,9,18,11,7,7,9,3,59,8,21,15,14,18,11,9,85,153,364,260,180,266,190,110,1527,119,127,68,46,67,38,31,501,3,3,0,0,0,0,0,5,273,488,324,231,338,229,145,2028,72,218,168,131,195,140,79,995
Canterbury-Bankstown (A),11570,91,127,116,101,164,97,60,748,30,47,49,35,62,27,20,277,3,6,0,0,4,4,3,22,11,6,4,7,9,3,4,46,134,186,169,145,242,132,81,1086,13,17,10,14,9,3,3,70,3,11,4,8,6,0,0,36,16,30,20,18,15,9,5,107,144,212,191,162,256,144,89,1191,52,99,82,58,73,49,37,459,3,9,3,0,3,0,3,23,210,321,278,219,332,196,131,1683,287,571,488,358,563,358,185,2814,376,748,540,386,550,263,135,2996,58,22,19,5,23,9,6,152,24,33,29,28,34,16,15,167,744,1374,1078,778,1173,646,340,6133,26,97,67,51,64,32,28,363,69,198,122,93,114,67,28,682,97,296,192,141,177,99,52,1044,841,1668,1265,917,1347,748,392,7179,1753,1719,981,618,848,415,256,6594,28,56,33,11,8,5,3,145,2627,3441,2279,1545,2203,1173,646,13915,383,695,602,463,732,454,241,3568
Carrathool (A),11600,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,10,0,0,7,0,4,0,0,9,4,11,6,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,3,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,3,6,0,0,33,19,12,9,0,0,0,0,36,0,0,0,0,0,0,0,0,25,15,15,9,9,0,0,72,0,3,5,3,3,0,0,11
Central Coast (C) (NSW),11650,105,182,172,164,259,92,30,1002,21,69,63,51,80,19,5,304,6,3,4,6,8,4,0,23,3,15,3,13,3,0,0,32,130,264,239,231,349,111,35,1359,5,16,17,15,22,0,4,76,8,14,4,0,5,0,3,30,11,28,22,12,22,0,6,111,145,295,264,242,373,112,40,1473,65,114,91,65,80,27,16,460,3,0,3,4,0,0,0,18,220,413,360,310,452,137,53,1948,240,660,584,447,759,257,127,3070,599,1301,920,606,756,181,84,4442,76,69,47,23,46,8,7,279,22,26,20,17,21,10,0,110,935,2049,1564,1100,1579,452,223,7900,63,150,80,45,75,13,3,434,158,269,117,61,80,18,7,701,218,418,194,108,157,31,9,1130,1155,2468,1760,1205,1728,485,226,9034,1967,1690,886,519,566,119,54,5806,19,19,17,9,3,0,0,76,3140,4178,2670,1737,2305,606,281,14911,344,839,758,616,1017,342,157,4072
Burwood (A),11300,6,9,5,6,15,14,9,55,3,3,3,5,6,0,4,22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,13,10,7,20,16,7,82,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,13,10,13,22,17,7,87,5,7,0,0,6,3,6,29,0,0,0,0,0,0,0,0,14,21,12,11,25,20,18,114,32,46,43,41,49,50,19,282,26,55,42,34,38,28,14,243,4,0,0,0,3,3,0,6,3,0,3,0,3,3,0,8,61,105,84,79,95,83,38,543,3,3,0,3,0,0,3,16,5,6,6,0,12,6,4,34,6,10,3,3,13,7,5,52,67,115,87,82,102,93,40,590,65,60,47,39,54,42,22,332,0,0,0,0,0,0,0,4,137,172,134,117,161,137,61,924,35,55,48,47,56,58,24,336
Byron (A),11350,10,9,16,15,16,3,0,75,10,18,20,9,8,4,0,71,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,20,29,39,29,28,7,0,153,0,0,0,0,4,4,0,13,0,4,0,0,0,0,0,4,0,3,5,0,3,4,0,16,23,36,40,27,33,7,0,170,11,16,7,10,9,0,3,56,0,0,0,0,0,0,0,4,28,53,48,38,44,7,4,222,10,34,35,40,54,18,0,197,52,137,119,77,134,26,0,553,5,6,8,0,0,0,0,17,0,4,0,0,3,0,0,11,73,180,162,121,187,44,3,776,0,8,3,3,7,0,0,23,6,21,15,6,8,4,0,56,10,26,16,7,13,3,3,79,80,209,183,132,203,48,8,858,103,100,54,34,47,8,0,350,0,0,0,0,3,0,0,7,190,312,235,163,250,60,8,1215,24,51,49,52,74,19,3,269
Cabonne (A),11400,4,14,7,4,9,3,0,44,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,12,14,8,13,4,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,6,18,10,8,13,4,0,60,0,5,4,3,4,0,0,17,0,0,0,0,0,0,0,0,6,21,17,12,17,8,0,81,9,18,24,7,21,3,0,86,26,24,27,18,10,0,0,102,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38,47,54,23,33,3,0,196,0,5,9,7,3,0,0,23,4,9,3,3,0,0,0,23,6,17,11,8,3,0,0,46,40,62,59,34,36,3,0,239,55,49,27,15,16,3,0,166,3,0,0,0,0,0,0,0,101,112,94,49,49,4,0,413,10,36,32,16,27,3,0,130
Camden (A),11450,24,63,49,40,47,20,7,245,0,8,9,3,12,3,0,45,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,31,77,60,49,58,22,8,302,0,3,0,4,3,0,3,14,0,0,0,3,0,0,0,3,0,3,0,5,3,0,3,16,30,75,60,52,65,26,9,318,11,13,3,5,8,4,4,49,0,0,0,0,0,0,0,0,40,85,64,55,79,29,12,367,96,198,160,145,196,84,38,920,129,254,191,104,136,39,20,874,20,14,12,6,8,3,3,67,3,13,5,0,6,0,0,31,247,482,367,256,347,128,64,1892,7,9,8,7,8,6,0,48,20,33,18,8,9,0,0,97,33,45,23,18,17,6,0,144,282,524,390,271,367,134,61,2033,284,263,127,63,91,31,14,879,9,3,5,4,0,0,0,24,568,798,525,345,456,161,80,2930,123,261,212,182,241,110,40,1170
Central Darling (A),11700,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,9,3,7,0,0,3,0,0,12,3,0,0,0,0,0,0,3,4,8,5,5,3,0,0,24,3,9,4,5,9,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,3,6,0,0,27,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,10,8,3,6,0,0,31,25,19,9,9,4,0,0,67,0,0,0,0,0,0,0,0,23,35,12,16,15,0,0,99,4,8,9,5,9,0,0,30
Cessnock (C),11720,22,42,42,22,34,7,6,183,3,18,14,7,14,4,0,53,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,29,57,54,33,47,15,8,242,5,7,17,0,7,0,0,48,0,4,5,3,4,0,0,16,7,14,25,9,12,0,0,66,38,74,79,37,63,15,8,308,35,32,23,23,22,0,0,130,0,0,0,0,0,0,0,0,68,104,98,58,86,15,8,442,45,91,66,57,79,18,4,360,147,245,170,104,110,24,4,799,24,15,4,4,8,0,0,59,3,3,4,8,3,0,0,28,216,358,247,167,201,47,9,1243,21,46,29,16,18,0,0,122,49,64,26,21,11,3,0,176,71,111,47,41,27,3,0,301,280,467,293,204,230,48,14,1545,589,483,227,142,109,20,4,1574,6,10,4,0,6,0,0,27,875,965,526,349,345,71,17,3144,69,133,108,77,114,29,14,542
Clarence Valley (A),11730,8,31,21,22,31,5,0,120,4,12,10,8,9,0,0,43,0,3,3,0,0,0,0,3,0,0,3,0,0,0,0,3,18,46,35,26,35,8,3,173,3,8,7,0,4,0,0,24,0,9,4,3,0,0,0,18,3,16,5,3,5,0,0,40,21,60,48,27,42,9,3,216,18,28,17,23,16,0,0,107,0,0,0,3,3,0,0,8,40,90,66,55,61,13,3,331,37,83,72,47,97,16,6,361,68,158,107,87,124,19,3,561,7,9,6,4,12,4,0,36,4,5,0,0,3,0,0,12,117,254,182,146,231,33,6,970,11,43,23,6,12,3,0,91,30,47,20,7,8,0,0,112,41,89,42,12,16,3,3,203,154,345,220,159,248,38,8,1173,394,375,184,108,93,17,7,1176,3,11,0,0,3,0,0,16,550,722,411,270,344,54,15,2368,46,117,99,70,129,21,6,480
Cobar (A),11750,3,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,14,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,7,0,6,0,0,0,0,0,10,3,6,3,3,3,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,10,3,5,3,0,0,28,9,15,8,5,8,0,0,39,6,14,4,3,3,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,28,16,9,7,0,0,77,0,5,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,17,15,34,19,17,5,0,0,91,27,14,10,5,7,0,0,64,0,4,4,0,0,0,0,13,37,50,34,20,14,0,0,165,8,13,8,6,7,0,0,46
Coffs Harbour (C),11800,20,41,50,42,52,11,6,227,18,30,23,18,26,5,0,114,0,0,0,0,0,0,0,6,3,7,3,0,0,0,0,15,36,87,73,61,82,18,7,368,4,12,3,7,3,0,0,27,0,7,3,0,0,0,0,14,4,24,8,10,3,0,0,44,42,110,76,69,85,20,7,410,16,28,22,23,29,7,0,137,0,0,0,3,0,0,0,5,58,141,106,97,113,32,8,547,56,149,146,115,181,28,4,683,157,346,239,158,180,35,12,1121,13,19,7,3,9,0,0,52,3,4,7,3,14,0,3,32,222,519,400,281,378,63,18,1878,12,49,16,20,12,7,0,117,25,48,8,11,24,3,0,129,36,97,28,29,34,17,3,252,260,615,432,309,417,75,20,2132,407,410,209,131,124,35,19,1337,0,3,4,3,7,0,0,19,667,1025,644,450,545,116,41,3486,75,193,198,162,235,36,11,910
Coolamon (A),12000,0,3,3,3,4,0,0,11,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,4,9,4,6,0,0,20,3,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,4,14,10,7,6,0,0,37,0,12,6,3,4,0,0,30,3,19,16,9,7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,20,9,10,0,0,76,0,4,3,0,0,0,0,10,0,4,3,0,0,0,0,4,0,8,5,0,0,0,0,12,3,38,27,14,10,0,0,89,23,25,12,6,8,3,0,81,3,4,0,0,0,0,0,6,24,61,41,21,24,3,3,176,0,18,7,4,11,0,0,40
Coonamble (A),12150,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,0,0,0,0,12,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,4,6,0,3,0,0,17,0,10,3,6,5,0,0,27,11,14,6,6,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,16,24,11,19,8,3,0,80,0,10,6,4,0,0,0,18,4,10,0,3,3,0,0,15,6,12,9,3,3,0,0,32,20,43,15,22,11,3,0,111,62,46,37,19,7,0,0,169,3,3,0,0,0,0,0,11,84,92,54,41,19,0,0,287,4,10,3,6,4,0,0,29
Cowra (A),12350,3,10,6,3,11,0,0,34,0,0,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,8,10,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,9,8,16,3,0,44,7,0,0,3,5,0,0,23,0,0,0,0,0,0,0,0,9,8,10,9,21,3,3,63,12,22,17,11,10,3,0,73,15,40,27,23,29,4,0,144,3,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,26,64,43,37,41,5,3,225,0,8,6,3,6,0,0,29,9,3,9,3,0,0,0,21,7,11,13,5,6,0,0,48,42,78,58,45,44,5,3,268,97,94,35,25,25,0,0,272,0,0,0,0,0,0,0,3,137,166,91,70,71,10,3,548,9,27,19,20,19,8,0,103
Cumberland (A),12380,49,65,50,43,84,46,35,368,34,36,25,18,32,10,10,175,0,0,0,3,0,0,0,5,0,3,3,0,3,0,3,19,93,109,78,63,116,59,45,570,6,8,0,4,6,7,3,36,6,10,0,9,0,0,0,23,16,16,0,12,3,9,3,53,101,122,83,77,127,65,52,625,41,61,44,34,50,28,16,277,0,0,0,3,0,0,0,3,152,184,127,113,175,88,69,908,153,318,265,181,286,187,119,1505,170,317,255,171,237,121,72,1346,17,13,5,4,7,7,3,61,26,24,13,15,21,12,4,119,363,674,540,375,550,324,192,3027,24,54,30,18,34,24,5,182,46,109,56,37,55,24,7,334,71,161,89,55,84,41,14,517,433,834,630,431,638,368,210,3544,1055,995,523,314,435,239,174,3740,8,26,15,7,5,4,0,67,1503,1859,1166,754,1074,609,387,7351,202,384,317,219,370,233,150,1878
Dungog (A),12700,0,6,4,4,3,0,0,15,0,7,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,11,7,7,3,0,0,30,4,0,3,0,0,0,0,13,0,0,0,0,0,0,0,4,3,15,6,10,5,0,0,42,3,3,8,13,18,4,3,43,16,40,19,16,16,3,0,109,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,4,20,50,30,25,33,8,3,165,3,3,3,3,0,0,0,8,3,11,3,0,0,0,0,21,7,14,4,4,0,0,0,27,22,58,37,29,37,5,3,200,37,42,23,17,7,0,0,126,0,0,0,0,0,0,0,0,61,104,59,48,43,12,3,323,3,7,5,14,22,4,3,64
Edward River (A),12730,0,4,0,5,9,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,7,3,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,6,8,3,0,27,0,3,0,4,3,4,0,12,0,3,0,0,0,0,0,3,0,6,3,9,13,8,0,44,3,14,15,14,8,3,0,58,26,32,27,18,26,0,0,122,3,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,32,46,44,34,34,7,0,193,0,0,0,0,0,0,0,3,4,8,0,6,0,0,0,16,3,8,0,3,5,0,0,16,38,46,41,38,37,7,0,212,42,48,11,15,12,0,0,123,0,0,0,0,0,0,0,0,77,95,56,49,52,9,0,343,3,17,16,18,20,6,0,79
Eurobodalla (A),12750,7,21,16,26,25,7,0,97,3,12,14,7,11,3,0,55,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,33,27,33,33,12,3,153,0,3,0,0,5,0,0,11,0,3,4,0,0,0,0,7,4,3,4,3,5,0,0,14,16,37,30,34,35,12,3,164,8,25,22,13,16,3,0,85,0,0,0,0,0,0,0,0,29,58,53,50,56,15,3,251,23,59,46,40,66,14,0,241,66,165,100,72,96,10,0,509,10,8,4,3,0,3,0,30,4,6,0,3,7,0,0,15,99,237,150,114,173,22,0,798,3,26,15,7,6,0,0,54,13,12,4,5,6,0,0,44,15,37,18,13,13,0,0,96,110,273,174,119,184,22,0,895,190,189,92,57,48,9,0,580,3,3,3,3,0,0,0,9,305,468,266,180,228,36,4,1487,29,74,61,60,89,16,0,335
Fairfield (C),12850,70,91,61,65,98,54,40,476,17,40,30,30,42,31,13,194,4,5,0,0,3,0,0,13,3,10,3,0,5,3,0,17,88,142,101,98,152,81,50,704,14,14,5,5,13,4,0,56,5,13,12,5,10,7,3,49,16,22,15,14,22,11,3,104,99,164,116,111,168,96,56,809,51,67,57,56,75,62,25,405,9,10,3,3,0,0,0,32,155,240,181,172,251,153,84,1236,221,396,322,232,333,226,122,1850,242,521,391,264,391,220,85,2117,37,18,6,5,17,15,4,104,11,21,14,13,26,13,9,109,517,954,741,514,764,468,225,4182,31,76,69,45,53,33,21,321,74,165,127,77,89,55,21,613,102,242,195,122,140,89,40,929,618,1193,936,634,905,560,261,5111,1393,1489,804,576,687,430,251,5636,28,34,25,18,8,4,0,116,2044,2718,1761,1227,1598,990,517,10860,290,486,384,293,434,280,158,2328
