yr,land_area_ha,protected_areas_indig_protected_area_num,protected_areas_national_parks_num,protected_areas_nature_reserves_num,protected_areas_all_oth_protected_areas_num,protected_areas_tot_num,protected_areas_indig_protected_area_ha,protected_areas_national_parks_ha,protected_areas_nature_reserves_ha,protected_areas_all_oth_protected_areas_ha,protected_areas_tot_ha,protected_areas_indig_protected_area_pr100,protected_areas_national_parks_pr100,protected_areas_nature_reserves_pr100,protected_areas_all_oth_protected_areas_pr100,protected_areas_tot_pr100,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,lga_code18,lga_name18,ogc_fid
2017,,,,,,,,,,,,,,,,,829.0,10.2,159.0,2.6,42250,Grant (DC),1051
2016,,,,,32.0,32.0,,,,6334.0,6334.0,,,,3.3,3.3,752.0,9.8,155.0,4.0,42250,Grant (DC),1052
2015,,,,,,,,,,,,,,,,,685.0,12.7,149.0,8.0,42250,Grant (DC),1053
2014,,,,,,,,,,,,,,,,,608.0,,138.0,,42250,Grant (DC),1054
2018,748316.6,,,,,,,,,,,,,,,,,,,,74050,Tiwi Islands (R),1055
2017,,,,,,,,,,,,,,,,,35.0,34.6,50.0,11.1,74050,Tiwi Islands (R),1056
2016,,,,,,,,,,,,,,,,,26.0,44.4,45.0,15.4,74050,Tiwi Islands (R),1057
2015,,,,,,,,,,,,,,,,,18.0,38.5,39.0,21.9,74050,Tiwi Islands (R),1058
2014,,,,,,,,,,,,,,,,,13.0,,32.0,,74050,Tiwi Islands (R),1059
2018,3704.0,,,,,,,,,,,,,,,,,,,,48410,West Torrens (C),1060
2017,,,,,,,,,,,,,,,,,5612.0,9.6,776.0,2.6,48410,West Torrens (C),1061
2018,260965.9,,,,,,,,,,,,,,,,,,,,51080,Broomehill-Tambellup (S),1065
2017,,,,,,,,,,,,,,,,,83.0,7.8,111.0,4.7,51080,Broomehill-Tambellup (S),1066
2016,,,,12.0,1.0,13.0,,,1547.0,8.0,1555.0,,,0.6,,0.6,77.0,37.5,106.0,3.9,51080,Broomehill-Tambellup (S),1067
2015,,,,,,,,,,,,,,,,,56.0,30.2,102.0,,51080,Broomehill-Tambellup (S),1068
2014,,,,,,,,,,,,,,,,,43.0,,102.0,,51080,Broomehill-Tambellup (S),1069
2018,169164.9,,,,,,,,,,,,,,,,,,,,58330,Toodyay (S),1070
2017,,,,,,,,,,,,,,,,,834.0,9.9,581.0,4.7,58330,Toodyay (S),1071
2016,,,1.0,15.0,3.0,19.0,,2167.0,5649.0,3651.0,11468.0,,1.3,3.3,2.2,6.8,759.0,9.2,555.0,4.9,58330,Toodyay (S),1072
2015,,,,,,,,,,,,,,,,,695.0,10.7,529.0,5.4,58330,Toodyay (S),1073
2014,,,,,,,,,,,,,,,,,628.0,,502.0,,58330,Toodyay (S),1074
2018,196515.9,,,,,,,,,,,,,,,,,,,,11720,Cessnock (C),1075
2017,,,,,,,,,,,,,,,,,3872.0,21.7,2441.0,3.4,11720,Cessnock (C),1076
2016,,,5.0,,5.0,10.0,,12592.0,,42083.0,54674.0,,6.4,,21.4,27.8,3182.0,10.4,2360.0,3.7,11720,Cessnock (C),1077
2015,,,,,,,,,,,,,,,,,2882.0,12.9,2275.0,4.1,11720,Cessnock (C),1078
2014,,,,,,,,,,,,,,,,,2552.0,,2186.0,,11720,Cessnock (C),1079
2018,3036.8,,,,,,,,,,,,,,,,,,,,46300,Port Lincoln (C),1080
2017,,,,,,,,,,,,,,,,,1788.0,4.7,352.0,4.5,46300,Port Lincoln (C),1081
2016,,,,,,,,,,,,,,,,,1707.0,5.3,337.0,8.7,46300,Port Lincoln (C),1082
2015,,,,,,,,,,,,,,,,,1621.0,5.7,310.0,3.0,46300,Port Lincoln (C),1083
2014,,,,,,,,,,,,,,,,,1533.0,,301.0,,46300,Port Lincoln (C),1084
2018,105206.8,,,,,,,,,,,,,,,,,,,,35780,Northern Peninsula Area (R),1085
2017,,,,,,,,,,,,,,,,,23.0,4.5,25.0,8.7,35780,Northern Peninsula Area (R),1086
2016,,,,,,,,,,,,,,,,,22.0,,23.0,,35780,Northern Peninsula Area (R),1087
2015,,,,,,,,,,,,,,,,,22.0,,23.0,,35780,Northern Peninsula Area (R),1088
2014,,,,,,,,,,,,,,,,,22.0,,23.0,,35780,Northern Peninsula Area (R),1089
2018,669644.5,,,,,,,,,,,,,,,,,,,,23940,Loddon (S),1090
2017,,,,,,,,,,,,,,,,,998.0,11.8,516.0,3.2,23940,Loddon (S),1091
2016,,,3.0,,107.0,110.0,,15728.0,,18198.0,33926.0,,2.4,,2.7,5.1,893.0,12.0,500.0,4.8,23940,Loddon (S),1092
2015,,,,,,,,,,,,,,,,,797.0,11.9,477.0,4.1,23940,Loddon (S),1093
2014,,,,,,,,,,,,,,,,,712.0,,458.0,,23940,Loddon (S),1094
2018,5265.6,,,,,,,,,,,,,,,,,,,,72800,Palmerston (C),1095
2017,,,,,,,,,,,,,,,,,1753.0,39.9,4431.0,8.7,72800,Palmerston (C),1096
2016,,,,,,,,,,,,,,,,,1253.0,50.1,4078.0,7.7,72800,Palmerston (C),1097
2015,,,,,,,,,,,,,,,,,835.0,24.4,3788.0,10.9,72800,Palmerston (C),1098
2014,,,,,,,,,,,,,,,,,671.0,,3415.0,,72800,Palmerston (C),1099
2018,351059.3,,,,,,,,,,,,,,,,,,,,55670,Morawa (S),1199
2018,6090573.5,,,,,,,,,,,,,,,,,,,,30900,Boulia (S),1100
2014,,,,,,,,,,,,,,,,,293.0,,351.0,,57210,Plantagenet (S),1208
2018,159448.9,,,,,,,,,,,,,,,,,,,,59330,Wyalkatchem (S),1209
2017,,,,,,,,,,,,,,,,,64.0,8.5,29.0,,59330,Wyalkatchem (S),1210
2016,,,,18.0,,18.0,,,1437.0,,1437.0,,,0.9,,0.9,59.0,25.5,29.0,,59330,Wyalkatchem (S),1211
2015,,,,,,,,,,,,,,,,,47.0,17.5,29.0,,59330,Wyalkatchem (S),1212
2014,,,,,,,,,,,,,,,,,40.0,,29.0,,59330,Wyalkatchem (S),1213
2018,3633.1,,,,,,,,,,,,,,,,,,,,16550,Randwick (C),1214
2017,,,,,,,,,,,,,,,,,2066.0,10.3,951.0,2.1,16550,Randwick (C),1215
2016,,,2.0,,,2.0,,175.0,,,175.0,,4.8,,,4.8,1873.0,7.8,931.0,2.6,16550,Randwick (C),1216
2017,,,,,,,,,,,,,,,,,45.0,15.4,15.0,,30900,Boulia (S),1101
2015,,,,,,,,,,,,,,,,,1738.0,13.3,907.0,2.0,16550,Randwick (C),1217
2014,,,,,,,,,,,,,,,,,1534.0,,889.0,,16550,Randwick (C),1218
2018,2565.1,,,,,,,,,,,,,,,,,,,,26350,Stonnington (C),1219
2017,,,,,,,,,,,,,,,,,1744.0,20.4,877.0,7.2,26350,Stonnington (C),1220
2016,,,,,,,,,,,,,,,,,1448.0,11.1,818.0,6.6,26350,Stonnington (C),1221
2015,,,,,,,,,,,,,,,,,1303.0,14.4,767.0,9.3,26350,Stonnington (C),1222
2014,,,,,,,,,,,,,,,,,1139.0,,702.0,,26350,Stonnington (C),1223
2018,204006.9,,,,,,,,,,,,,,,,,,,,23350,Indigo (S),1224
2017,,,,,,,,,,,,,,,,,2361.0,12.1,978.0,6.9,23350,Indigo (S),1225
2016,,,1.0,,2.0,3.0,,231298.0,,238114.0,469412.0,,3.8,,3.9,7.7,39.0,2.6,15.0,,30900,Boulia (S),1102
2016,,,2.0,,63.0,65.0,,16994.0,,3214.0,20208.0,,8.3,,1.6,9.9,2107.0,6.5,915.0,6.4,23350,Indigo (S),1226
2015,,,,,,,,,,,,,,,,,1979.0,9.4,860.0,6.7,23350,Indigo (S),1227
2014,,,,,,,,,,,,,,,,,1809.0,,806.0,,23350,Indigo (S),1228
2018,12001.2,,,,,,,,,,,,,,,,,,,,54830,Kwinana (C),1229
2017,,,,,,,,,,,,,,,,,4604.0,17.4,2669.0,4.3,54830,Kwinana (C),1230
2016,,,1.0,2.0,,3.0,,12.0,468.0,,480.0,,0.1,3.9,,4.0,3921.0,13.4,2560.0,6.5,54830,Kwinana (C),1231
2015,,,,,,,,,,,,,,,,,3459.0,16.0,2403.0,8.1,54830,Kwinana (C),1232
2014,,,,,,,,,,,,,,,,,2983.0,,2223.0,,54830,Kwinana (C),1233
2018,73903.2,,,,,,,,,,,,,,,,,,,,20570,Ballarat (C),1234
2015,,,,,,,,,,,,,,,,,38.0,18.8,15.0,,30900,Boulia (S),1103
2017,,,,,,,,,,,,,,,,,5073.0,11.0,4649.0,6.3,20570,Ballarat (C),1235
2016,,,,,9.0,9.0,,,,205.0,205.0,,,,0.3,0.3,4570.0,8.9,4372.0,8.5,20570,Ballarat (C),1236
2015,,,,,,,,,,,,,,,,,4196.0,12.3,4030.0,13.1,20570,Ballarat (C),1237
2014,,,,,,,,,,,,,,,,,3736.0,,3564.0,,20570,Ballarat (C),1238
2018,6487.9,,,,,,,,,,,,,,,,,,,,51330,Canning (C),1239
2017,,,,,,,,,,,,,,,,,9950.0,12.2,4684.0,4.3,51330,Canning (C),1240
2016,,,3.0,1.0,,4.0,,94.0,13.0,,108.0,,1.5,0.2,,1.7,8866.0,9.1,4490.0,6.6,51330,Canning (C),1241
2015,,,,,,,,,,,,,,,,,8126.0,9.3,4213.0,6.6,51330,Canning (C),1242
2014,,,,,,,,,,,,,,,,,7436.0,,3951.0,,51330,Canning (C),1243
2014,,,,,,,,,,,,,,,,,32.0,,15.0,,30900,Boulia (S),1104
2018,206577.6,,,,,,,,,,,,,,,,,,,,10650,Berrigan (A),1105
2017,,,,,,,,,,,,,,,,,1164.0,9.5,212.0,5.0,10650,Berrigan (A),1106
2016,,,1.0,1.0,2.0,4.0,,2056.0,291.0,1138.0,3485.0,,1.0,0.1,0.6,1.7,1063.0,10.7,202.0,5.2,10650,Berrigan (A),1107
2015,,,,,,,,,,,,,,,,,960.0,20.0,192.0,9.1,10650,Berrigan (A),1108
2014,,,,,,,,,,,,,,,,,800.0,,176.0,,10650,Berrigan (A),1109
2018,4140.5,,,,,,,,,,,,,,,,,,,,70540,Belyuen (S),1110
2018,12411094.0,,,,,,,,,,,,,,,,,,,,55390,Menzies (S),1139
2018,5349219.5,,,,,,,,,,,,,,,,,,,,11700,Central Darling (A),1244
2017,,,,,,,,,,,,,,,,,241.0,14.8,19.0,,11700,Central Darling (A),1245
2016,,,4.0,2.0,,6.0,,239391.0,14190.0,,253581.0,,4.5,0.3,,4.7,210.0,38.2,19.0,,11700,Central Darling (A),1246
2015,,,,,,,,,,,,,,,,,152.0,16.9,19.0,,11700,Central Darling (A),1247
2014,,,,,,,,,,,,,,,,,130.0,,19.0,,11700,Central Darling (A),1248
2018,124798.8,,,,,,,,,,,,,,,,,,,,22750,Greater Geelong (C),1249
2017,,,,,,,,,,,,,,,,,15715.0,9.2,13797.0,11.6,22750,Greater Geelong (C),1250
2016,,,1.0,,16.0,17.0,,2579.0,,4923.0,7502.0,,2.1,,4.0,6.0,14394.0,9.6,12362.0,12.3,22750,Greater Geelong (C),1251
2015,,,,,,,,,,,,,,,,,13139.0,11.9,11007.0,15.1,22750,Greater Geelong (C),1252
2014,,,,,,,,,,,,,,,,,11743.0,,9559.0,,22750,Greater Geelong (C),1253
2018,478815.7,,,,,,,,,,,,,,,,,,,,20110,Alpine (S),1254
2017,,,,,,,,,,,,,,,,,1465.0,9.3,756.0,5.1,20110,Alpine (S),1255
2016,,,5.0,,26.0,31.0,,155216.0,,17577.0,172794.0,,32.4,,3.7,36.1,1340.0,8.8,719.0,5.1,20110,Alpine (S),1256
2015,,,,,,,,,,,,,,,,,1232.0,10.3,684.0,5.9,20110,Alpine (S),1257
2014,,,,,,,,,,,,,,,,,1117.0,,646.0,,20110,Alpine (S),1258
2018,194617.6,,,,,,,,,,,,,,,,,,,,58610,Wagin (S),1259
2017,,,,,,,,,,,,,,,,,240.0,15.4,153.0,2.0,58610,Wagin (S),1260
2016,,,,21.0,1.0,22.0,,,5340.0,38.0,5378.0,,,2.7,,2.8,208.0,18.9,150.0,2.7,58610,Wagin (S),1261
2015,,,,,,,,,,,,,,,,,175.0,20.7,146.0,2.8,58610,Wagin (S),1262
2014,,,,,,,,,,,,,,,,,145.0,,142.0,,58610,Wagin (S),1263
2018,2094023.2,,,,,,,,,,,,,,,,,,,,22110,East Gippsland (S),1264
2017,,,,,,,,,,,,,,,,,5068.0,10.1,3709.0,7.5,22110,East Gippsland (S),1265
2016,,,27.0,,138.0,165.0,,541043.0,,91584.0,632626.0,,25.8,,4.4,30.2,4604.0,7.7,3449.0,7.3,22110,East Gippsland (S),1266
2015,,,,,,,,,,,,,,,,,4273.0,12.1,3213.0,9.6,22110,East Gippsland (S),1267
2014,,,,,,,,,,,,,,,,,3811.0,,2932.0,,22110,East Gippsland (S),1268
2018,2855016.2,,,,,,,,,,,,,,,,,,,,30370,Banana (S),1269
2017,,,,,,,,,,,,,,,,,1451.0,9.3,473.0,2.6,30370,Banana (S),1270
2016,,,5.0,,17.0,22.0,,147024.0,,11125.0,158149.0,,5.2,,0.4,5.5,1328.0,10.7,461.0,5.3,30370,Banana (S),1271
2015,,,,,,,,,,,,,,,,,1200.0,8.8,438.0,3.8,30370,Banana (S),1272
2014,,,,,,,,,,,,,,,,,1103.0,,422.0,,30370,Banana (S),1273
2018,72416.8,,,,,,,,,,,,,,,,,,,,25340,Mornington Peninsula (S),1274
2017,,,,,,,,,,,,,,,,,11969.0,10.5,6313.0,7.4,25340,Mornington Peninsula (S),1275
2017,,,,,,,,,,,,,,,,,13.0,,6.0,,55390,Menzies (S),1140
2016,,,2.0,,29.0,31.0,,2988.0,,1976.0,4964.0,,4.1,,2.7,6.9,10832.0,9.8,5877.0,8.3,25340,Mornington Peninsula (S),1276
2015,,,,,,,,,,,,,,,,,9864.0,12.4,5428.0,9.0,25340,Mornington Peninsula (S),1277
2014,,,,,,,,,,,,,,,,,8775.0,,4979.0,,25340,Mornington Peninsula (S),1278
2018,280201.6,,,,,,,,,,,,,,,,,,,,17350,Temora (A),1279
2017,,,,,,,,,,,,,,,,,494.0,14.4,89.0,2.3,17350,Temora (A),1280
2016,,,1.0,5.0,,6.0,,715.0,5977.0,,6692.0,,0.3,2.1,,2.4,432.0,10.8,87.0,1.2,17350,Temora (A),1281
2015,,,,,,,,,,,,,,,,,390.0,17.5,86.0,4.9,17350,Temora (A),1282
2014,,,,,,,,,,,,,,,,,332.0,,82.0,,17350,Temora (A),1283
2018,732279.3,,,,,,,,,,,,,,,,,,,,17400,Tenterfield (A),1284
2017,,,,,,,,,,,,,,,,,771.0,13.7,271.0,2.7,17400,Tenterfield (A),1285
2016,,,16.0,9.0,3.0,28.0,,66996.0,9111.0,23017.0,99124.0,,9.2,1.2,3.1,13.5,678.0,9.9,264.0,4.8,17400,Tenterfield (A),1286
2015,,,,,,,,,,,,,,,,,617.0,18.4,252.0,4.6,17400,Tenterfield (A),1287
2014,,,,,,,,,,,,,,,,,521.0,,241.0,,17400,Tenterfield (A),1288
2018,20102.8,,,,,,,,,,,,,,,,,,,,11450,Camden (A),1289
2017,,,,,,,,,,,,,,,,,4358.0,14.4,1231.0,2.7,11450,Camden (A),1290
2016,,,,,1.0,1.0,,,,43.0,43.0,,,,0.2,0.2,3809.0,10.7,1199.0,3.0,11450,Camden (A),1291
2015,,,,,,,,,,,,,,,,,3442.0,14.2,1164.0,3.2,11450,Camden (A),1292
2014,,,,,,,,,,,,,,,,,3014.0,,1128.0,,11450,Camden (A),1293
2018,15982170.0,,,,,,,,,,,,,,,,,,,,56620,Ngaanyatjarraku (S),1294
2016,,,4.0,4.0,,8.0,,269146.0,2838944.0,,3108090.0,,2.2,22.9,,25.0,13.0,62.5,6.0,,55390,Menzies (S),1141
2017,,,,,,,,,,,,,,,,,13.0,18.2,27.0,,56620,Ngaanyatjarraku (S),1295
2016,,5.0,,1.0,,6.0,10310256.0,,1842021.0,,12152277.0,64.5,,11.5,,76.0,11.0,83.3,27.0,,56620,Ngaanyatjarraku (S),1296
2015,,,,,,,,,,,,,,,,,6.0,20.0,27.0,,56620,Ngaanyatjarraku (S),1297
2015,,,,,,,,,,,,,,,,,8.0,14.3,6.0,,55390,Menzies (S),1142
2014,,,,,,,,,,,,,,,,,5.0,,27.0,,56620,Ngaanyatjarraku (S),1298
2018,337567.1,,,,,,,,,,,,,,,,,,,,14350,Kempsey (A),1299
2017,,,,,,,,,,,,,,,,,2775.0,11.0,2883.0,1.8,14350,Kempsey (A),1300
2016,,,11.0,12.0,9.0,32.0,,24991.0,10572.0,61163.0,96726.0,,7.4,3.1,18.1,28.7,2499.0,7.7,2832.0,1.9,14350,Kempsey (A),1301
2015,,,,,,,,,,,,,,,,,2321.0,10.4,2778.0,2.3,14350,Kempsey (A),1302
2014,,,,,,,,,,,,,,,,,2102.0,,2715.0,,14350,Kempsey (A),1303
2018,1227.8,,,,,,,,,,,,,,,,,,,,18500,Woollahra (A),1304
2017,,,,,,,,,,,,,,,,,545.0,14.7,214.0,0.5,18500,Woollahra (A),1305
2016,,,1.0,,,1.0,,41.0,,,41.0,,3.3,,,3.3,475.0,17.9,213.0,3.4,18500,Woollahra (A),1306
2015,,,,,,,,,,,,,,,,,403.0,19.9,206.0,2.5,18500,Woollahra (A),1307
2014,,,,,,,,,,,,,,,,,336.0,,201.0,,18500,Woollahra (A),1308
2014,,,,,,,,,,,,,,,,,7.0,,6.0,,55390,Menzies (S),1143
2018,722435.7,,,,,,,,,,,,,,,,,,,,52520,Dalwallinu (S),1144
2017,,,,,,,,,,,,,,,,,120.0,8.1,200.0,4.2,52520,Dalwallinu (S),1145
2016,,,1.0,14.0,2.0,17.0,,4.0,7674.0,48035.0,55714.0,,,1.1,6.7,7.7,111.0,19.4,192.0,4.9,52520,Dalwallinu (S),1146
2015,,,,,,,,,,,,,,,,,93.0,8.1,183.0,3.4,52520,Dalwallinu (S),1147
2014,,,,,,,,,,,,,,,,,86.0,,177.0,,52520,Dalwallinu (S),1148
2018,6838216.5,,,,,,,,,,,,,,,,,,,,32310,Charters Towers (R),1149
2017,,,,,,,,,,,,,,,,,1101.0,13.3,356.0,2.3,32310,Charters Towers (R),1150
2016,,,8.0,,7.0,15.0,,137314.0,,134963.0,272276.0,,2.0,,2.0,4.0,972.0,13.0,348.0,3.6,32310,Charters Towers (R),1151
2015,,,,,,,,,,,,,,,,,860.0,13.9,336.0,6.0,32310,Charters Towers (R),1152
2014,,,,,,,,,,,,,,,,,755.0,,317.0,,32310,Charters Towers (R),1153
2018,43233.7,,,,,,,,,,,,,,,,,,,,25710,Nillumbik (S),1154
2017,,,,,,,,,,,,,,,,,3358.0,12.3,1135.0,4.5,25710,Nillumbik (S),1155
2016,,,1.0,,30.0,31.0,,5915.0,,1121.0,7036.0,,13.7,,2.6,16.3,2989.0,10.5,1086.0,7.6,25710,Nillumbik (S),1156
2015,,,,,,,,,,,,,,,,,2706.0,13.6,1009.0,6.9,25710,Nillumbik (S),1157
2014,,,,,,,,,,,,,,,,,2381.0,,944.0,,25710,Nillumbik (S),1158
2018,991605.4,,,,,,,,,,,,,,,,,,,,12150,Coonamble (A),1159
2017,,,,,,,,,,,,,,,,,486.0,10.7,175.0,0.6,12150,Coonamble (A),1160
2016,,,3.0,3.0,1.0,7.0,,26427.0,4892.0,15.0,31334.0,,2.7,0.5,,3.2,439.0,27.2,174.0,,12150,Coonamble (A),1161
2015,,,,,,,,,,,,,,,,,345.0,17.7,174.0,7.4,12150,Coonamble (A),1162
2014,,,,,,,,,,,,,,,,,293.0,,162.0,,12150,Coonamble (A),1163
2018,431089.1,,,,,,,,,,,,,,,,,,,,50080,Albany (C),1164
2017,,,,,,,,,,,,,,,,,2504.0,11.8,1903.0,2.8,50080,Albany (C),1165
2016,,,11.0,43.0,7.0,61.0,,19552.0,19246.0,153.0,38951.0,,4.5,4.5,,9.0,2239.0,9.2,1851.0,3.9,50080,Albany (C),1166
2015,,,,,,,,,,,,,,,,,2050.0,13.4,1782.0,5.7,50080,Albany (C),1167
2014,,,,,,,,,,,,,,,,,1807.0,,1686.0,,50080,Albany (C),1168
2018,11125.9,,,,,,,,,,,,,,,,,,,,61610,Devonport (C),1169
2017,,,,,,,,,,,,,,,,,1263.0,9.0,183.0,2.2,61610,Devonport (C),1170
2016,,,,,7.0,7.0,,,,286.0,286.0,,,,2.6,2.6,1159.0,9.5,179.0,6.5,61610,Devonport (C),1171
2015,,,,,,,,,,,,,,,,,1058.0,9.8,168.0,7.7,61610,Devonport (C),1172
2014,,,,,,,,,,,,,,,,,964.0,,156.0,,61610,Devonport (C),1173
2018,4557933.0,,,,,,,,,,,,,,,,,,,,11750,Cobar (A),1174
2017,,,,,,,,,,,,,,,,,666.0,28.1,122.0,3.4,11750,Cobar (A),1175
2017,,,,,,,,,,,,,,,,,66.0,11.9,68.0,,55670,Morawa (S),1200
2016,,,2.0,10.0,,12.0,,46995.0,2424.0,,49420.0,,13.4,0.7,,14.1,59.0,28.3,68.0,,55670,Morawa (S),1201
2015,,,,,,,,,,,,,,,,,46.0,21.1,68.0,,55670,Morawa (S),1202
2014,,,,,,,,,,,,,,,,,38.0,,68.0,,55670,Morawa (S),1203
2018,487668.2,,,,,,,,,,,,,,,,,,,,57210,Plantagenet (S),1204
2017,,,,,,,,,,,,,,,,,446.0,10.1,389.0,2.9,57210,Plantagenet (S),1205
2016,,,4.0,21.0,8.0,33.0,,138177.0,4922.0,571.0,143669.0,,28.3,1.0,0.1,29.5,405.0,19.1,378.0,4.1,57210,Plantagenet (S),1206
2015,,,,,,,,,,,,,,,,,340.0,16.0,363.0,3.4,57210,Plantagenet (S),1207
2018,230471.2,,,,,,,,,,,,,,,,,,,,59170,Williams (S),1309
2017,,,,,,,,,,,,,,,,,1432.0,13.5,604.0,1.3,54280,Kalgoorlie/Boulder (C),1315
2017,,,,,,,,,,,,,,,,,82.0,13.9,94.0,1.1,59170,Williams (S),1310
2016,,,2.0,4.0,7.0,13.0,,15949.0,273280.0,65451.0,354679.0,,0.2,2.9,0.7,3.7,1262.0,20.2,596.0,1.0,54280,Kalgoorlie/Boulder (C),1316
2016,,,1.0,6.0,1.0,8.0,,1117.0,664.0,53.0,1835.0,,0.5,0.3,,0.8,72.0,14.3,93.0,2.2,59170,Williams (S),1311
2015,,,,,,,,,,,,,,,,,1050.0,18.2,590.0,2.1,54280,Kalgoorlie/Boulder (C),1317
2015,,,,,,,,,,,,,,,,,63.0,21.2,91.0,9.6,59170,Williams (S),1312
2014,,,,,,,,,,,,,,,,,888.0,,578.0,,54280,Kalgoorlie/Boulder (C),1318
2018,152961.8,,,,,,,,,,,,,,,,,,,,25430,Mount Alexander (S),1319
2017,,,,,,,,,,,,,,,,,2631.0,11.5,1081.0,5.8,25430,Mount Alexander (S),1320
2016,,,,,52.0,52.0,,,,3035.0,3035.0,,,,2.0,2.0,2360.0,11.7,1022.0,7.9,25430,Mount Alexander (S),1321
2015,,,,,,,,,,,,,,,,,2113.0,15.5,947.0,6.4,25430,Mount Alexander (S),1322
2014,,,,,,,,,,,,,,,,,1830.0,,890.0,,25430,Mount Alexander (S),1323
2014,,,,,,,,,,,,,,,,,52.0,,83.0,,59170,Williams (S),1313
2018,9549805.0,,,,,,,,,,,,,,,,,,,,54280,Kalgoorlie/Boulder (C),1314
2018,243090.4,,,,,,,,,,,,,,,,,,,,12000,Coolamon (A),1324
2017,,,,,,,,,,,,,,,,,376.0,13.3,92.0,1.1,12000,Coolamon (A),1325
2016,,,,,,,,,,,,,,,,,332.0,6.4,91.0,2.2,12000,Coolamon (A),1326
2015,,,,,,,,,,,,,,,,,312.0,17.3,89.0,8.5,12000,Coolamon (A),1327
2014,,,,,,,,,,,,,,,,,266.0,,82.0,,12000,Coolamon (A),1328
2018,116602.5,,,,,,,,,,,,,,,,,,,,56860,Nungarin (S),1334
2018,313.8,,,,,,,,,,,,,,,,,,,,53150,East Fremantle (T),1484
2017,,,,,,,,,,,,,,,,,21.0,5.0,22.0,,56860,Nungarin (S),1335
2017,,,,,,,,,,,,,,,,,534.0,16.6,310.0,5.1,53150,East Fremantle (T),1485
2016,,,,5.0,4.0,9.0,,,10090.0,1412.0,11502.0,,,8.7,1.2,9.9,20.0,53.8,22.0,,56860,Nungarin (S),1336
2016,,,,,,,,,,,,,,,,,458.0,11.7,295.0,4.6,53150,East Fremantle (T),1486
2015,,,,,,,,,,,,,,,,,13.0,18.2,22.0,,56860,Nungarin (S),1337
2015,,,,,,,,,,,,,,,,,410.0,11.4,282.0,5.2,53150,East Fremantle (T),1487
2014,,,,,,,,,,,,,,,,,11.0,,22.0,,56860,Nungarin (S),1338
2018,2242.6,,,,,,,,,,,,,,,,,,,,18250,Willoughby (C),1339
2017,,,,,,,,,,,,,,,,,1553.0,13.1,433.0,2.4,18250,Willoughby (C),1340
2016,,,1.0,,,1.0,,5.0,,,5.0,,0.2,,,0.2,1373.0,9.7,423.0,1.7,18250,Willoughby (C),1341
2015,,,,,,,,,,,,,,,,,1252.0,12.8,416.0,3.2,18250,Willoughby (C),1342
2014,,,,,,,,,,,,,,,,,1110.0,,403.0,,18250,Willoughby (C),1343
2018,627888.1,,,,,,,,,,,,,,,,,,,,10550,Bega Valley (A),1344
2017,,,,,,,,,,,,,,,,,3861.0,13.0,1982.0,3.0,10550,Bega Valley (A),1345
2016,,,11.0,6.0,18.0,35.0,,145401.0,30467.0,95190.0,271058.0,,23.2,4.9,15.2,43.2,3416.0,9.5,1924.0,2.0,10550,Bega Valley (A),1346
2015,,,,,,,,,,,,,,,,,3121.0,12.9,1886.0,3.2,10550,Bega Valley (A),1347
2014,,,,,,,,,,,,,,,,,2765.0,,1827.0,,10550,Bega Valley (A),1348
2018,323054.6,,,,,,,,,,,,,,,,,,,,61810,Dorset (M),1349
2017,,,,,,,,,,,,,,,,,542.0,8.4,123.0,3.4,61810,Dorset (M),1350
2016,,,1.0,4.0,51.0,56.0,,5002.0,28.0,55261.0,60292.0,,1.6,,17.1,18.7,500.0,13.9,119.0,3.5,61810,Dorset (M),1351
2015,,,,,,,,,,,,,,,,,439.0,15.8,115.0,5.5,61810,Dorset (M),1352
2014,,,,,,,,,,,,,,,,,379.0,,109.0,,61810,Dorset (M),1353
2018,910820.4,,,,,,,,,,,,,,,,,,,,26890,West Wimmera (S),1354
2017,,,,,,,,,,,,,,,,,379.0,6.8,111.0,2.8,26890,West Wimmera (S),1355
2016,,,3.0,,171.0,174.0,,97853.0,,67216.0,165069.0,,10.7,,7.4,18.1,355.0,7.3,108.0,3.8,26890,West Wimmera (S),1356
2015,,,,,,,,,,,,,,,,,331.0,10.0,104.0,4.0,26890,West Wimmera (S),1357
2014,,,,,,,,,,,,,,,,,301.0,,100.0,,26890,West Wimmera (S),1358
2018,13306101.0,,,,,,,,,,,,,,,,,,,,53920,Halls Creek (S),1359
2017,,,,,,,,,,,,,,,,,26.0,4.0,167.0,0.6,53920,Halls Creek (S),1360
2016,,3.0,2.0,,3.0,8.0,1359142.0,324143.0,,570489.0,2253774.0,10.2,2.4,,4.3,16.9,25.0,4.2,166.0,0.6,53920,Halls Creek (S),1361
2015,,,,,,,,,,,,,,,,,24.0,,165.0,,53920,Halls Creek (S),1362
2014,,,,,,,,,,,,,,,,,24.0,,165.0,,53920,Halls Creek (S),1363
2018,6017.7,,,,,,,,,,,,,,,,,,,,21110,Boroondara (C),1364
2017,,,,,,,,,,,,,,,,,4455.0,12.3,2478.0,11.2,21110,Boroondara (C),1365
2016,,,,,,,,,,,,,,,,,3968.0,9.6,2229.0,11.1,21110,Boroondara (C),1366
2015,,,,,,,,,,,,,,,,,3620.0,12.6,2007.0,14.3,21110,Boroondara (C),1367
