lga_name_2016,lga_code_2016,d_21_24_fpt_mpet,d_21_24_fpt_mpulftw,d_21_24_fpt_mpulptw,d_21_24_fpt_mput,d_21_24_fpt_mptlf,d_21_24_fpt_mpnlf,d_21_24_fpt_mplfsns,d_21_24_fpt_t,tdcf_fpeft_mpeft,tdcf_fpeft_mpept,tdcf_fpeft_mpeaw,tdcf_fpeft_mpehns,tdcf_fpeft_mpet,tdcf_fpeft_mpulftw,tdcf_fpeft_mpulptw,tdcf_fpeft_mput,tdcf_fpeft_mptlf,tdcf_fpeft_mpnlf,tdcf_fpeft_mplfsns,tdcf_fpeft_t,tdcf_fpept_mpeft,tdcf_fpept_mpept,tdcf_fpept_mpeaw,tdcf_fpept_mpehns,tdcf_fpept_mpet,tdcf_fpept_mpulftw,tdcf_fpept_mpulptw,tdcf_fpept_mput,tdcf_fpept_mptlf,tdcf_fpept_mpnlf,tdcf_fpept_mplfsns,tdcf_fpept_t,tdcf_fpeaw_mpeft,tdcf_fpeaw_mpept,tdcf_fpeaw_mpeaw,tdcf_fpeaw_mpehns,tdcf_fpeaw_mpet,tdcf_fpeaw_mpulftw,tdcf_fpeaw_mpulptw,tdcf_fpeaw_mput,tdcf_fpeaw_mptlf,tdcf_fpeaw_mpnlf,tdcf_fpeaw_mplfsns,tdcf_fpeaw_t,tdcf_fphns_mpeft,tdcf_fphns_mpept,tdcf_fphns_mpeaw,tdcf_fphns_mpehns,tdcf_fphns_mpet,tdcf_fphns_mpulftw,tdcf_fphns_mpulptw,tdcf_fphns_mput,tdcf_fphns_mptlf,tdcf_fphns_mpnlf,tdcf_fphns_mplfsns,tdcf_fphns_t,tdcf_fpet_mpeft,tdcf_fpet_mpept,tdcf_fpet_mpeaw,tdcf_fpet_mpehns,tdcf_fpet_mpet,tdcf_fpet_mpulftw,tdcf_fpet_mpulptw,tdcf_fpet_mput,tdcf_fpet_mptlf,tdcf_fpet_mpnlf,tdcf_fpet_mplfsns,tdcf_fpet_t,tdcf_fpulftw_mpeft,tdcf_fpulftw_mpept,tdcf_fpulftw_mpeaw,tdcf_fpulftw_mpehns,tdcf_fpulftw_mpet,tdcf_fpulftw_mpulftw,tdcf_fpulftw_mpulptw,tdcf_fpulftw_mput,tdcf_fpulftw_mptlf,tdcf_fpulftw_mpnlf,tdcf_fpulftw_mplfsns,tdcf_fpulftw_t,tdcf_fpulptw_mpeft,tdcf_fpulptw_mpept,tdcf_fpulptw_mpeaw,tdcf_fpulptw_mpehns,tdcf_fpulptw_mpet,tdcf_fpulptw_mpulftw,tdcf_fpulptw_mpulptw,tdcf_fpulptw_mput,tdcf_fpulptw_mptlf,tdcf_fpulptw_mpnlf,tdcf_fpulptw_mplfsns,tdcf_fpulptw_t,tdcf_fput_mpeft,tdcf_fput_mpept,tdcf_fput_mpeaw,tdcf_fput_mpehns,tdcf_fput_mpet,tdcf_fput_mpulftw,tdcf_fput_mpulptw,tdcf_fput_mput,tdcf_fput_mptlf,tdcf_fput_mpnlf,tdcf_fput_mplfsns,tdcf_fput_t,tdcf_fptlf_mpeft,tdcf_fptlf_mpept,tdcf_fptlf_mpeaw,tdcf_fptlf_mpehns,tdcf_fptlf_mpet,tdcf_fptlf_mpulftw,tdcf_fptlf_mpulptw,tdcf_fptlf_mput,tdcf_fptlf_mptlf,tdcf_fptlf_mpnlf,tdcf_fptlf_mplfsns,tdcf_fptlf_t,tdcf_fpnlf_mpeft,tdcf_fpnlf_mpept,tdcf_fpnlf_mpeaw,tdcf_fpnlf_mpehns,tdcf_fpnlf_mpet,tdcf_fpnlf_mpulftw,tdcf_fpnlf_mpulptw,tdcf_fpnlf_mput,tdcf_fpnlf_mptlf,tdcf_fpnlf_mpnlf,tdcf_fpnlf_mplfsns,tdcf_fpnlf_t,tdcf_fplfsns_mpeft,tdcf_fplfsns_mpept,tdcf_fplfsns_mpeaw,tdcf_fplfsns_mpehns,tdcf_fplfsns_mpet,tdcf_fplfsns_mpulftw,tdcf_fplfsns_mpulptw,tdcf_fplfsns_mput,tdcf_fplfsns_mptlf,tdcf_fplfsns_mpnlf,tdcf_fplfsns_mplfsns,tdcf_fplfsns_t,tdcf_fpt_mpeft,tdcf_fpt_mpept,tdcf_fpt_mpeaw,tdcf_fpt_mpehns,tdcf_fpt_mpet,tdcf_fpt_mpulftw,tdcf_fpt_mpulptw,tdcf_fpt_mput,tdcf_fpt_mptlf,tdcf_fpt_mpnlf,tdcf_fpt_mplfsns,tdcf_fpt_t
Kondinin (S),54620,0,0,0,0,0,0,0,0,33,0,0,0,32,0,0,0,32,3,0,36,49,3,0,0,53,0,0,0,53,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,7,0,0,84,0,0,0,84,8,0,93,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,82,7,0,0,84,3,0,3,91,8,0,92,16,3,0,0,19,0,4,3,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,91,12,0,0,106,4,4,9,111,8,0,113
Koorda (S),54690,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,18,0,0,17,25,0,0,0,25,0,0,0,25,0,0,25,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0,0,0,46,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0,0,0,46,0,0,48,13,0,0,0,13,0,0,0,13,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,58,0,0,0,58,7,0,71
Laverton (S),54970,0,0,0,0,0,0,0,0,10,4,0,0,13,0,0,0,12,0,0,17,10,3,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,13,11,0,3,25,0,0,0,28,0,0,30,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,5,5,0,0,5,0,0,0,0,0,5,0,5,5,3,0,5,13,11,0,3,25,3,0,3,36,4,0,33,5,0,0,0,9,10,7,12,28,17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,3,38,17,7,22,60,20,0,84
Swan (C),58050,436,14,8,26,459,62,0,520,4589,536,87,26,5239,168,47,220,5456,320,13,5784,7260,931,147,60,8398,174,25,202,8602,257,3,8861,561,74,144,7,788,19,0,19,806,17,3,827,112,15,3,96,232,5,0,5,238,16,5,262,12526,1554,385,191,14658,369,77,450,15100,608,26,15735,279,49,5,12,341,92,0,97,436,36,0,475,505,70,33,9,614,32,17,50,661,41,0,709,786,113,39,19,959,127,16,148,1102,79,0,1175,13313,1670,420,209,15613,501,96,589,16204,684,31,16914,5504,719,207,171,6599,337,75,413,7010,972,10,7995,19,3,0,25,51,9,0,9,58,3,86,144,18832,2391,632,406,22262,844,164,1011,23269,1655,124,25049
Tammin (S),58190,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,9,32,8,0,0,39,0,0,0,39,0,0,39,0,0,7,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,8,7,0,47,0,0,0,47,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,39,7,7,0,56,0,0,0,56,0,0,56,12,0,0,0,17,3,0,3,18,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,51,10,7,0,67,3,0,3,74,4,0,73
Leonora (S),55040,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,23,8,0,32,16,3,0,0,19,0,0,0,20,0,0,20,5,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,45,7,0,0,46,0,0,0,53,8,0,54,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,48,7,0,0,55,0,0,0,59,8,0,64,45,4,7,0,61,0,0,0,61,14,0,70,0,0,0,0,0,0,0,0,0,0,0,0,103,11,7,0,117,0,0,0,122,21,0,140
Mandurah (C),55110,155,3,0,3,160,17,0,173,1727,198,43,18,1980,82,8,88,2071,141,0,2213,3358,371,89,51,3859,128,13,144,4003,160,13,4176,193,24,44,5,260,18,0,18,279,24,3,305,28,6,8,41,86,3,0,3,88,3,3,99,5308,599,184,108,6194,235,21,254,6448,327,19,6791,135,20,11,8,177,40,0,40,215,21,0,236,285,43,9,10,346,28,0,36,383,14,0,393,423,68,21,20,530,71,4,74,601,30,0,631,5728,666,210,127,6724,301,23,326,7050,357,19,7423,2408,308,128,105,2947,209,16,226,3173,374,0,3552,3,0,0,0,3,3,0,3,7,4,35,45,8139,974,333,231,9675,517,39,551,10226,740,48,11013
Manjimup (S),55180,0,0,0,0,0,0,0,3,274,25,13,0,314,5,0,4,318,20,7,341,495,59,15,0,572,3,0,3,571,34,0,602,18,3,12,0,34,0,0,0,34,0,0,34,6,0,0,0,11,0,0,0,11,0,0,11,800,91,39,0,934,10,0,13,944,47,7,994,9,0,0,0,10,0,0,0,10,4,0,11,19,3,0,0,22,4,0,4,21,0,0,21,24,3,0,0,29,4,0,4,32,4,0,36,820,90,39,0,959,13,0,16,972,56,7,1032,206,32,14,16,262,23,7,29,295,53,0,346,3,0,0,0,3,0,0,0,3,0,4,3,1027,124,57,15,1222,33,5,38,1267,107,6,1383
Meekatharra (S),55250,0,0,0,0,0,0,0,0,11,0,3,0,9,0,0,0,9,0,0,12,8,0,0,0,8,0,0,0,8,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,19,0,3,3,25,0,0,0,25,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,3,25,0,0,0,25,10,0,35,12,0,0,3,11,8,0,8,18,17,0,37,0,0,0,0,0,0,0,0,0,0,0,7,29,0,3,3,40,8,0,8,41,29,0,72
Melville (C),55320,637,20,9,30,662,78,4,745,3251,377,50,21,3700,109,36,148,3843,220,0,4064,6589,695,96,31,7408,145,20,169,7578,174,3,7753,418,27,55,0,501,12,4,19,521,19,0,534,33,8,0,49,87,5,0,5,92,4,3,98,10295,1098,198,105,11698,274,59,333,12033,416,9,12459,142,16,0,0,162,37,0,38,198,18,0,218,318,46,16,0,374,18,3,28,405,13,0,418,462,59,21,0,541,57,4,65,604,27,0,633,10754,1160,217,105,12236,329,67,396,12637,441,9,13089,3392,341,102,31,3863,175,17,186,4053,327,0,4385,23,0,3,12,32,0,0,0,32,0,16,51,14166,1500,322,148,16137,507,83,590,16722,771,25,17524
Mukinbudin (S),55950,0,0,0,0,0,0,0,0,7,3,0,0,13,0,0,0,13,0,0,13,41,3,0,0,40,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,51,9,0,0,56,0,0,0,56,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,0,0,56,0,0,0,56,0,0,56,28,0,0,0,28,0,0,0,28,4,0,32,4,0,0,0,4,0,0,0,4,0,0,5,83,9,0,0,90,0,0,0,90,4,0,93
Mingenew (S),55530,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,11,0,0,11,25,0,0,0,26,0,0,0,26,0,0,26,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,9,0,0,0,9,0,0,9,32,4,0,3,38,0,0,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,3,38,0,0,0,38,0,0,38,6,3,0,5,15,0,0,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,13,55,4,0,4,62,0,0,63
Menzies (S),55390,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,4,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,13,0,0,0,10,0,0,0,13,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,15,4,0,16,7,0,0,0,7,3,0,3,9,15,0,23,0,0,0,0,0,0,0,0,0,0,3,3,18,0,0,0,19,3,0,4,17,14,3,40
Merredin (S),55460,0,0,0,0,0,0,0,0,97,15,0,0,112,9,0,9,119,4,0,120,185,8,3,9,206,3,0,3,207,4,0,213,18,0,3,0,15,0,0,0,15,0,0,15,9,0,0,0,12,0,0,0,12,0,0,12,299,22,8,13,337,12,0,12,352,8,0,359,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,7,0,9,4,0,0,0,5,0,0,0,5,7,0,7,303,22,8,13,345,12,0,12,358,15,0,367,94,18,7,0,118,7,0,7,124,22,0,144,7,0,0,0,7,0,0,0,7,0,0,7,406,37,17,13,469,16,0,16,481,32,0,519
Mundaring (S),56090,121,5,0,5,125,8,0,135,1117,117,36,9,1283,31,4,36,1318,72,0,1392,2189,228,45,28,2496,66,3,64,2560,57,0,2617,144,23,21,0,185,9,0,9,188,7,0,198,30,0,0,10,43,3,0,3,43,3,0,47,3481,372,100,54,4005,105,8,109,4116,146,0,4257,35,0,0,0,32,8,0,8,46,3,3,47,115,3,3,0,117,13,0,14,131,3,0,132,147,5,3,0,156,20,0,21,174,8,3,185,3627,375,99,53,4160,125,9,135,4288,152,3,4441,1291,122,60,51,1518,55,5,60,1580,88,3,1670,12,0,0,4,18,0,0,0,18,0,19,32,4926,498,160,109,5694,176,15,191,5884,236,21,6147
Three Springs (S),58260,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,20,0,0,20,32,5,0,0,35,0,0,0,35,4,0,37,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,3,3,0,0,0,3,0,0,3,57,3,0,3,64,0,0,0,64,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0,3,64,0,0,0,64,4,0,66,28,0,0,4,35,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,87,3,0,5,97,0,0,0,97,4,0,102
West Coast (M),65610,0,0,0,0,0,0,0,0,42,9,0,3,52,4,0,4,57,15,0,74,122,22,0,7,143,24,0,24,168,7,0,179,9,6,0,0,14,0,0,0,14,0,0,14,3,0,0,9,8,0,0,0,8,0,0,12,173,33,0,16,223,25,0,25,256,24,0,279,0,0,0,0,0,3,0,3,3,0,0,3,4,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,6,3,0,3,7,0,0,8,179,39,0,16,234,31,0,31,263,25,0,289,156,13,7,0,178,19,0,19,202,40,0,245,0,0,0,0,0,0,0,0,0,0,5,5,330,53,13,15,412,49,0,49,461,71,5,537
Moora (S),55600,0,0,0,0,0,0,0,0,83,7,0,0,85,0,0,0,85,3,0,94,146,7,0,3,153,0,0,0,153,3,0,151,13,0,3,0,12,0,0,0,18,0,0,18,4,0,0,3,6,0,0,0,6,0,0,7,237,10,3,5,261,0,0,0,259,7,0,268,0,0,0,0,0,7,0,7,8,5,0,8,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,7,0,7,8,5,0,14,243,10,3,5,266,7,0,7,267,14,0,284,78,8,0,0,86,7,0,7,93,10,0,105,0,0,0,0,0,0,0,0,0,0,0,0,321,16,7,7,351,8,0,8,358,28,0,385
Pingelly (S),57140,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,0,0,14,60,0,3,0,62,0,0,0,62,0,0,62,0,0,3,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,73,0,3,0,80,0,0,0,80,0,0,80,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,0,6,73,0,3,0,80,3,0,6,84,0,0,84,27,0,0,3,29,0,0,0,29,14,0,43,0,0,0,0,0,0,0,0,0,0,0,3,104,0,3,3,109,3,0,6,115,14,0,126
Plantagenet (S),57210,0,0,0,0,0,0,0,0,92,17,3,0,110,0,0,0,109,23,0,136,199,49,3,0,256,9,6,14,267,17,0,284,10,0,4,0,19,0,0,0,20,0,0,20,0,0,0,5,6,0,0,0,6,0,0,6,311,65,10,8,389,7,4,15,404,37,0,448,4,0,0,0,3,0,0,0,5,10,0,15,11,0,0,0,8,0,0,0,8,0,0,8,16,0,0,0,13,0,0,0,18,10,0,21,319,64,7,8,407,13,4,17,422,47,0,471,129,36,3,3,176,21,7,27,203,32,0,235,0,0,0,0,0,0,0,0,0,0,6,6,451,102,12,7,579,30,14,39,624,80,6,705
Port Hedland (T),57280,0,0,0,0,0,0,0,0,552,48,8,6,615,8,0,8,619,38,0,660,665,52,10,9,742,5,0,5,745,10,0,753,77,6,16,7,109,0,0,0,113,8,0,118,16,0,0,16,28,0,0,0,28,3,0,37,1304,107,33,37,1490,18,0,18,1504,61,0,1571,28,0,0,0,34,8,0,8,37,0,0,37,57,0,4,3,62,9,0,9,73,0,3,74,82,0,3,9,97,15,0,15,112,0,3,110,1393,107,41,47,1583,29,0,29,1617,61,7,1677,662,49,34,42,786,12,0,12,796,85,3,885,8,0,0,0,8,0,0,0,8,0,6,20,2066,157,71,81,2380,44,0,44,2423,140,22,2584
Morawa (S),55670,0,0,0,0,0,0,0,0,27,3,0,0,31,0,0,0,33,0,0,33,25,3,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,62,4,0,5,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,59,5,0,3,69,4,0,5,72,0,0,72,27,3,0,3,27,0,0,0,29,19,0,52,0,0,0,0,0,0,0,0,0,0,0,0,87,4,0,8,99,3,0,3,99,19,0,118
Mount Magnet (S),55810,0,0,0,0,0,0,0,0,4,3,0,0,10,0,0,0,10,0,3,12,11,4,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,22,0,0,0,26,4,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,22,0,0,3,30,4,3,29,10,0,0,0,16,3,0,3,20,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,6,40,3,0,4,48,3,3,55
Nungarin (S),56860,0,0,0,0,0,0,0,0,6,3,0,0,6,0,0,0,6,0,0,6,8,0,0,0,11,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,23,0,0,0,23,0,0,22,7,0,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,27,0,0,0,27,3,0,36
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,22,4,0,23,32,0,0,3,28,0,0,0,28,0,0,28,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,53,0,0,3,56,0,0,0,56,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,53,0,0,3,55,0,0,0,55,4,0,60,19,0,0,0,19,7,0,7,26,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,78,7,0,7,84,4,0,91
Quairading (S),57350,0,0,0,0,0,0,0,0,6,3,0,0,13,0,0,0,13,0,0,13,23,3,0,0,24,0,0,0,24,3,0,32,0,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,6,3,0,43,0,0,0,43,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,3,0,43,0,0,0,43,3,0,49,20,0,0,3,20,10,0,10,34,11,0,45,0,0,0,0,0,0,0,0,0,0,0,0,53,7,5,3,68,10,0,10,73,21,0,94
Ravensthorpe (S),57420,0,0,0,0,0,0,0,0,40,3,0,0,42,0,0,0,42,4,0,44,64,6,4,0,79,0,0,0,79,0,0,79,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,4,0,0,0,4,0,0,4,106,14,4,0,126,0,0,0,126,4,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,109,14,4,0,130,0,0,0,130,4,0,140,52,0,7,0,64,6,0,6,64,8,0,73,0,0,0,0,0,0,0,0,0,0,0,0,170,11,13,0,192,6,0,7,197,11,0,214
Rockingham (C),57490,247,11,0,11,263,30,0,290,3839,356,103,29,4323,177,16,193,4512,269,0,4782,6468,597,185,64,7311,220,23,241,7560,217,11,7787,522,67,105,7,710,23,0,23,733,29,0,766,69,6,14,60,144,3,0,3,155,3,10,167,10904,1023,402,160,12495,426,37,464,12960,525,17,13502,299,24,8,3,329,74,0,75,405,32,0,431,631,62,33,15,740,61,5,65,801,23,0,826,935,84,38,14,1068,130,11,136,1206,54,0,1265,11840,1109,440,171,13558,555,50,605,14163,580,17,14763,5346,586,257,145,6338,350,20,378,6712,499,11,7224,22,0,0,9,30,4,0,4,36,0,34,70,17205,1694,701,327,19929,909,72,981,20915,1084,60,22051
Southern Midlands (M),65010,6,0,0,0,4,0,0,3,183,14,6,0,204,3,0,7,209,11,0,220,273,38,5,3,320,8,3,10,326,37,0,363,27,3,5,0,34,0,0,0,34,0,0,33,4,0,0,8,12,0,0,0,12,0,0,16,490,54,19,10,567,12,3,12,586,52,0,635,0,3,0,0,3,0,0,0,3,0,0,3,5,6,0,0,18,0,0,0,18,3,0,22,5,9,0,0,21,0,0,0,19,3,0,23,494,65,19,10,586,16,3,15,602,50,0,655,150,30,13,10,201,0,0,0,202,79,0,287,3,0,0,0,3,0,0,0,3,0,4,9,656,92,27,20,789,12,3,18,808,133,5,952
Mosman Park (T),55740,54,0,0,3,58,5,0,63,321,37,0,0,365,8,0,8,368,17,0,389,583,65,3,5,657,7,3,9,663,14,0,674,22,0,12,0,33,0,0,0,33,0,0,33,15,0,0,3,19,4,0,4,23,0,0,23,940,102,14,13,1068,15,3,21,1086,34,0,1121,3,0,0,0,3,0,0,0,3,0,0,3,21,0,0,0,21,0,3,3,24,0,0,24,25,0,0,0,25,0,3,3,25,0,0,25,965,102,14,13,1094,19,8,20,1115,34,0,1142,330,51,3,0,389,15,0,15,400,27,6,436,0,0,0,0,0,0,0,0,0,0,3,3,1290,152,16,16,1477,32,8,33,1515,65,10,1585
Ngaanyatjarraku (S),56620,0,0,0,0,0,0,0,0,9,3,0,0,14,0,0,0,14,18,0,27,12,14,0,0,22,4,0,4,26,5,0,36,0,3,3,0,3,0,0,0,3,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,18,3,0,43,4,0,4,47,34,0,77,8,0,0,0,7,6,0,6,11,11,0,21,0,0,0,0,0,0,4,4,4,0,0,5,8,0,0,0,7,6,4,13,16,13,0,30,26,18,3,0,48,4,3,10,64,40,0,103,5,15,3,0,31,7,8,11,43,77,3,117,0,0,0,0,0,0,0,0,0,0,57,60,29,38,6,0,74,13,12,25,101,114,62,282
Northam (S),56730,6,0,0,0,6,0,0,4,251,35,6,0,297,0,0,0,295,9,0,309,444,60,12,3,522,7,0,7,532,21,0,552,22,4,9,0,30,3,0,3,32,0,0,32,5,0,0,3,7,0,0,0,7,0,0,7,725,100,28,8,857,8,0,8,869,33,0,899,6,0,0,0,6,3,0,3,9,3,0,10,18,3,0,0,25,3,0,3,25,6,0,29,29,3,0,0,32,5,0,5,34,9,0,41,747,108,28,8,890,18,0,18,903,45,0,948,338,32,15,9,392,32,6,39,435,76,0,507,0,0,0,0,0,0,0,0,0,0,3,5,1089,136,41,16,1284,47,6,57,1341,120,3,1465
Murchison (S),56160,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,5,0,5,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,5,12,3,0,15
Murray (S),56230,21,0,0,0,21,5,0,28,374,37,6,7,429,10,3,17,439,54,0,495,710,78,40,3,831,13,7,22,854,23,0,877,47,3,13,0,64,0,0,0,59,0,0,62,8,0,0,3,12,0,0,0,12,6,0,20,1142,120,55,12,1330,28,14,37,1367,86,3,1457,33,0,0,0,36,5,0,5,38,0,0,42,65,7,8,3,78,6,0,6,78,4,0,85,91,6,3,3,108,7,0,7,120,3,0,120,1237,126,66,15,1440,39,14,49,1487,90,3,1584,478,57,46,14,595,50,3,48,648,82,0,733,3,0,0,0,3,0,0,0,3,4,11,15,1718,180,107,28,2035,83,14,97,2136,176,10,2327
Nannup (S),56300,0,0,0,0,0,0,0,0,34,3,0,0,39,0,0,0,39,3,0,41,44,14,0,0,65,0,0,0,65,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,0,0,8,82,18,0,8,107,0,0,0,107,10,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,82,18,0,8,107,0,0,0,108,9,0,119,9,8,0,0,13,0,0,0,15,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,91,21,0,8,122,5,0,5,124,11,0,135
Narembeen (S),56370,0,0,0,0,0,0,0,0,34,0,0,0,34,0,0,0,34,0,0,32,31,0,0,0,32,0,0,0,32,0,0,32,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,3,0,8,74,0,0,0,74,0,0,0,74,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,77,0,0,0,77,3,0,80,29,0,0,0,29,0,0,0,29,0,0,29,3,0,0,0,3,0,0,0,3,0,0,6,102,0,0,0,105,0,0,0,105,3,0,115
