lga_name_2016,lga_code_2016,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Kiama (A),14400,0,0,0,0,0,0,0,17,8,23,9,0,10,22,11,31,0,0,0,0,0,0,0,0,0,0,0,0,7,5,10,421,378,799,50,32,82,479,413,894,7,5,10,431,385,816,50,32,82,488,427,911,192,181,377,9182,9491,18667,84,81,165,9455,9753,19210,3,3,4,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,4,5,8,171,143,314,3,0,3,174,153,327,44,37,81,1149,1069,2218,14,7,23,1209,1107,2322,10,23,29,502,459,956,3,5,8,512,479,993,3,3,5,205,178,381,5,0,5,212,181,396,7,9,16,194,382,578,0,4,8,200,399,597,57,60,121,4081,4346,8427,31,36,61,4165,4444,8612,9,13,20,571,538,1101,10,8,12,584,556,1139,47,36,87,2249
Ku-ring-gai (A),14500,0,3,8,16,0,0,0,14,17,33,0,0,3,14,22,35,0,0,0,0,0,0,0,0,0,0,0,0,4,22,28,1142,1354,2497,111,98,210,1266,1479,2745,4,22,28,1171,1392,2562,116,101,214,1290,1515,2807,108,102,204,39474,41049,80524,146,196,346,39729,41346,81070,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,3,980,905,1885,0,5,4,981,911,1895,23,19,44,8755,8258,17015,32,29,57,8814,8302,17113,18,13,26,4240,4107,8350,12,21,35,4271,4137,8408,4,3,8,2051,2074,4128,11,4,11,2068,2080,4147,3,4,6,1549,2433,3980,3,8,10,1552,2440,3997,57,49,101,34616,36990,71604,112,127,245,34783,37172,71951,0,8,9,1944,2372,4317,5,15,21,1950,2391,4344,13,11,27,3402
Kyogle (A),14550,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26,179,147,323,23,25,51,216,179,402,16,10,26,199,160,352,23,25,51,237,195,435,185,185,370,3727,3656,7376,73,57,127,3979,3896,7878,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,5,5,0,0,3,0,0,0,0,7,11,14,3,12,33,50,89,0,0,0,49,55,101,35,40,77,430,429,854,12,7,20,478,471,951,10,15,28,142,163,309,3,5,5,154,184,339,0,5,3,30,37,68,0,0,0,29,39,73,0,10,8,64,127,198,3,0,3,66,139,208,17,38,58,999,1166,2168,8,11,18,1033,1212,2247,17,16,31,269,266,536,3,3,3,286,289,571,34,51,88,1246
Lachlan (A),14600,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,45,119,60,176,29,12,41,169,96,268,25,23,50,135,70,205,28,12,47,189,106,299,476,571,1048,2162,2107,4266,25,27,58,2663,2702,5366,3,9,11,0,0,0,0,0,0,7,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,7,9,11,0,0,3,0,0,0,0,0,0,0,0,3,16,24,35,40,42,85,0,3,3,55,64,123,114,125,242,248,227,469,4,3,12,364,359,725,22,34,54,60,64,121,0,0,0,75,104,179,9,6,12,9,19,25,0,0,0,20,25,41,10,16,24,13,51,65,0,0,0,23,66,94,66,104,165,573,762,1331,7,3,8,640,868,1508,33,53,80,109,131,238,0,0,0,137,180,321,99,122,215,679
Lake Macquarie (C),14650,0,7,7,19,4,0,0,19,16,34,0,0,0,25,16,41,0,0,0,0,0,0,0,0,0,0,0,0,215,168,384,2751,2538,5283,260,220,475,3225,2921,6144,229,182,403,2854,2642,5496,264,226,490,3343,3048,6390,3890,3905,7797,83628,87374,170999,620,683,1298,88140,91960,180098,18,26,46,0,0,0,0,0,0,18,23,42,0,0,0,0,0,0,0,0,0,0,0,0,18,26,46,0,0,0,0,0,0,18,23,42,23,20,45,0,0,3,0,0,0,25,28,50,118,108,235,1440,1396,2835,8,19,24,1565,1523,3093,963,894,1854,10638,10176,20813,116,90,207,11718,11155,22868,266,281,553,4299,4083,8380,23,41,64,4594,4407,8998,64,100,161,1589,1722,3309,7,9,17,1658,1824,3482,68,135,208,1871,3514,5383,4,17,27,1951,3668,5623,659,824,1482,28200,31875,60079,125,152,282,28991,32848,61835,286,271,557,5658,4937,10593,33,37,63,5970,5245,11214,871,911,1784,24848
Lane Cove (A),14700,0,3,0,3,0,0,0,11,11,15,3,0,4,8,13,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,531,597,1128,59,49,113,599,646,1249,7,0,9,543,606,1152,59,49,113,606,657,1268,58,40,100,12380,12327,24704,55,36,95,12498,12403,24896,3,3,5,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,326,286,616,0,0,0,327,290,617,21,9,30,2070,1918,3993,11,3,13,2104,1935,4035,19,3,25,1045,678,1725,8,4,12,1074,686,1758,0,0,5,561,524,1088,0,0,0,566,528,1094,3,5,10,704,1038,1744,0,3,8,709,1047,1755,18,22,39,11025,11649,22674,34,27,60,11076,11698,22777,15,4,15,641,515,1157,0,0,6,658,521,1177,4,4,9,1089
Leeton (A),14750,0,6,6,5,0,0,0,3,3,9,0,0,0,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,17,17,41,252,159,411,44,28,72,320,206,521,17,22,43,264,168,438,44,28,72,329,212,546,304,303,607,4249,4373,8630,62,71,131,4615,4753,9366,4,6,7,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,0,0,3,0,0,0,0,0,0,0,0,3,7,9,16,61,78,137,0,0,3,71,86,155,75,73,154,649,602,1254,7,13,18,734,689,1420,17,33,48,282,343,624,7,6,6,304,378,687,0,9,10,34,44,76,0,0,0,33,51,83,3,16,18,66,126,193,3,3,9,65,142,215,33,43,77,1055,1305,2358,6,10,16,1090,1365,2453,29,23,51,293,341,637,3,0,3,320,372,694,77,60,142,1477
Lismore (C),14850,0,3,0,0,0,0,0,0,3,6,3,0,3,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,71,47,116,917,876,1793,162,146,310,1159,1063,2223,80,46,129,957,917,1868,170,146,311,1204,1103,2305,1022,1001,2024,17212,18170,35384,168,184,355,18405,19353,37762,29,31,63,5,3,8,0,0,0,28,38,67,3,0,3,0,0,0,0,0,0,3,0,3,25,28,57,5,3,8,0,0,0,32,32,65,4,23,27,3,0,4,0,0,0,7,24,29,27,28,55,241,252,499,3,4,6,275,290,563,260,226,485,2254,2150,4407,41,24,59,2553,2397,4951,83,71,153,867,922,1788,8,15,18,954,1007,1962,25,32,54,302,413,719,4,3,4,334,451,778,47,71,113,599,1072,1671,3,6,5,648,1144,1793,196,235,431,6405,7322,13732,49,50,103,6653,7613,14267,59,76,132,1126,1244,2367,6,8,17,1192,1329,2518,225,226,453,4727
Lithgow (C),14870,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,13,43,347,266,614,70,41,111,442,323,768,26,14,45,372,285,661,74,44,116,474,349,818,551,551,1105,8257,8290,16548,123,134,251,8929,8976,17905,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,14,12,29,105,116,224,5,3,6,130,133,264,119,124,235,935,863,1799,23,19,45,1075,1007,2083,38,32,73,364,335,703,3,9,13,407,378,782,3,11,11,79,113,201,0,0,0,84,124,215,13,21,37,158,334,489,4,0,8,172,359,530,79,101,179,2078,2622,4696,27,34,62,2185,2755,4940,34,38,76,553,550,1100,7,7,10,594,595,1184,137,121,257,2963
Liverpool (C),14900,9,34,6,38,0,0,0,19,18,35,8,0,5,24,17,41,0,0,0,3,0,3,0,0,0,3,0,3,87,78,164,2399,2016,4411,417,318,732,2906,2407,5313,91,76,173,2495,2137,4626,433,321,755,3017,2541,5553,1398,1450,2853,41143,39822,80968,338,351,693,42886,41627,84511,9,11,24,0,0,0,0,0,0,10,11,22,0,0,0,0,0,0,0,0,0,0,0,0,10,14,20,0,0,0,0,0,0,10,14,20,3,3,6,0,0,0,0,0,0,3,3,6,48,30,78,1510,1426,2938,11,12,22,1572,1469,3035,361,314,676,13543,13005,26544,132,102,235,14033,13417,27447,111,99,212,5708,5572,11282,35,41,78,5856,5712,11564,22,37,59,2511,2842,5355,17,20,34,2548,2900,5449,18,65,79,2490,4122,6604,10,30,37,2517,4213,6728,224,337,564,39320,42072,81390,184,232,413,39725,42643,82371,96,106,199,4817,4179,8992,47,35,78,4962,4312,9275,276,322,593,15345
Liverpool Plains (A),14920,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,24,47,106,102,208,16,16,28,152,139,286,28,24,57,115,106,224,16,16,30,160,145,312,466,459,933,2958,2917,5872,67,43,108,3488,3422,6910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,24,39,40,82,0,0,0,52,57,111,87,85,175,347,316,660,11,5,17,447,406,853,35,41,69,105,100,203,4,0,4,141,134,276,0,3,7,23,33,51,0,0,0,19,38,55,6,13,18,33,93,121,0,0,0,35,109,142,66,83,153,713,904,1619,13,6,22,796,994,1791,23,40,62,181,192,373,3,3,7,202,234,439,112,106,212,945
Lockhart (A),14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,68,4,5,8,34,47,76,0,0,0,32,35,70,4,5,8,35,47,83,62,48,103,1333,1350,2691,11,13,23,1408,1411,2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,18,36,0,0,0,18,23,41,16,9,26,160,197,362,4,4,3,178,213,387,0,5,6,56,45,101,0,0,0,59,50,106,0,0,0,3,15,18,0,0,0,3,15,18,0,3,3,12,37,49,0,0,0,12,40,48,10,5,15,311,418,726,7,8,11,322,433,757,3,0,4,94,96,187,0,0,0,95,103,198,11,16,20,428
Maitland (C),15050,0,3,3,3,0,0,0,4,9,10,0,0,3,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0,89,65,151,1161,1001,2161,115,76,191,1367,1141,2507,88,70,159,1190,1037,2224,115,78,190,1398,1178,2581,1927,2035,3959,32193,33687,65878,272,280,553,34388,36002,70392,17,4,24,0,0,0,0,0,0,17,4,24,0,0,0,0,0,0,0,0,0,0,0,0,17,4,24,0,0,0,0,0,0,17,4,24,10,9,16,0,0,0,0,0,0,10,9,16,65,58,116,632,579,1212,3,4,3,694,638,1340,509,467,975,4747,4500,9248,53,42,98,5313,5011,10321,146,142,290,1635,1575,3213,22,20,35,1801,1736,3539,29,42,67,534,701,1242,0,0,0,560,746,1310,31,85,121,808,1466,2273,4,8,11,841,1560,2404,296,397,694,9845,11838,21682,61,59,116,10200,12298,22498,146,156,302,2270,2101,4368,19,20,36,2432,2282,4711,417,465,884,9624
Mid-Coast (A),15240,0,7,5,11,0,0,0,25,34,56,4,0,3,29,34,61,0,0,0,0,0,0,0,0,0,0,0,0,173,126,295,2184,2063,4251,290,254,546,2645,2446,5095,187,138,329,2254,2113,4372,293,259,552,2735,2517,5247,2660,2715,5375,36732,38479,75213,510,553,1067,39904,41746,81652,24,29,54,0,3,3,0,0,0,24,32,54,0,0,0,0,0,0,0,0,0,0,0,0,24,27,46,0,3,3,0,0,0,24,28,53,14,6,21,3,0,3,0,0,0,14,9,28,98,98,193,499,448,950,7,14,24,606,561,1160,654,614,1265,3760,3638,7396,100,78,181,4515,4325,8844,189,163,352,1390,1418,2807,31,35,63,1605,1616,3223,25,30,60,240,357,600,0,3,3,268,399,666,55,136,187,480,1262,1744,9,11,16,544,1408,1953,376,425,802,9980,11426,21409,84,106,194,10447,11955,22398,169,196,363,2328,2354,4686,34,30,60,2526,2580,5108,525,599,1131,12136
Mid-Western Regional (A),15270,0,0,3,3,3,0,3,10,5,14,0,0,0,12,12,19,0,0,0,0,0,0,0,0,0,0,0,0,46,38,77,589,400,991,112,67,174,743,497,1244,45,38,84,614,415,1023,112,67,174,771,515,1281,659,602,1263,9754,9691,19444,179,157,338,10588,10456,21047,6,3,13,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,6,3,13,0,3,3,0,0,0,0,0,0,0,3,3,22,20,47,117,159,273,4,8,11,147,182,330,149,126,275,1306,1167,2473,34,37,70,1482,1331,2817,39,49,91,397,351,747,13,0,12,449,402,848,3,11,14,67,103,169,0,3,3,71,109,182,19,32,52,160,366,530,0,3,3,180,406,591,91,117,206,2674,3381,6051,28,27,50,2787,3526,6312,42,43,91,676,620,1298,12,6,15,729,669,1403,160,142,297,3005
Moree Plains (A),15300,0,0,3,3,0,0,0,0,3,0,0,0,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,90,85,175,502,376,879,161,102,257,754,557,1311,101,105,204,517,380,899,161,103,259,778,585,1364,1254,1435,2693,4250,4010,8262,67,51,117,5574,5502,11075,15,12,26,0,0,0,0,0,0,15,12,26,0,0,0,0,0,0,0,0,0,0,0,0,15,12,26,0,0,0,0,0,0,15,12,26,12,6,12,0,0,0,0,0,0,12,6,12,33,38,70,86,83,166,3,0,3,120,119,234,240,290,532,516,470,985,8,7,17,763,768,1532,69,59,128,132,136,269,0,4,3,202,197,402,6,13,16,32,57,90,0,0,0,46,65,109,23,42,68,53,144,202,0,0,0,85,192,268,152,211,365,1330,1664,2999,19,22,35,1501,1897,3399,93,122,223,259,275,527,0,3,3,351,397,750,268,323,582,1226
Mosman (A),15350,3,6,0,6,0,0,0,8,10,15,3,0,3,13,10,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,295,384,680,36,32,70,330,422,749,3,0,6,301,394,693,38,32,66,338,423,764,26,26,50,10277,11764,22038,47,51,103,10350,11847,22190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,195,213,413,3,0,3,198,212,417,0,4,4,1676,1583,3257,9,0,13,1681,1586,3271,0,6,6,657,710,1367,0,0,0,657,712,1370,0,0,3,329,372,696,0,0,0,332,374,701,0,0,4,338,696,1037,0,4,5,342,701,1042,17,18,31,8236,9458,17693,37,34,71,8282,9512,17798,3,3,3,404,611,1020,0,3,3,413,616,1027,4,3,3,665
Murray River (A),15520,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,25,421,347,765,82,45,126,512,402,918,14,13,25,434,355,791,82,45,130,526,414,942,146,195,344,4987,5021,10014,65,61,129,5204,5279,10488,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,23,28,51,0,0,0,0,0,0,26,28,47,3,8,11,65,67,128,0,0,0,66,71,134,33,49,79,560,556,1115,15,10,23,600,613,1219,7,11,18,185,216,401,0,5,7,200,229,426,0,0,0,25,62,87,0,0,0,25,58,89,0,8,8,57,136,191,0,0,0,61,147,205,17,35,56,1271,1697,2965,11,18,29,1298,1746,3045,12,16,26,741,803,1541,11,5,17,764,825,1590,35,32,65,1152
Murrumbidgee (A),15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,86,76,160,16,8,24,112,86,197,11,6,20,90,80,172,16,8,24,114,98,209,136,140,278,1592,1405,2990,18,12,33,1746,1561,3309,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,28,18,43,0,0,0,34,22,51,25,29,57,228,172,400,4,3,8,260,204,460,7,5,10,92,71,162,0,0,0,94,76,171,0,0,0,11,13,30,0,0,0,13,16,30,0,10,8,25,30,62,0,0,0,28,42,69,22,23,41,385,489,872,5,4,5,407,511,920,5,7,18,132,136,262,0,0,0,136,139,281,29,41,70,461
Muswellbrook (A),15650,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,75,354,243,597,86,35,117,475,311,791,36,38,76,365,256,618,89,35,124,485,331,814,633,648,1279,6428,6321,12754,79,75,155,7137,7046,14181,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,20,22,39,116,104,218,0,3,5,140,126,264,165,142,310,938,880,1820,13,9,25,1119,1038,2153,34,33,70,286,296,583,14,8,13,334,336,669,0,10,13,44,92,134,0,0,0,46,95,149,7,9,16,123,212,336,0,3,3,129,225,355,71,106,171,1563,1925,3488,14,9,23,1642,2034,3682,45,41,86,488,466,951,0,6,7,534,513,1044,150,134,289,2112
Nambucca (A),15700,0,0,0,4,0,0,0,4,11,17,0,0,0,4,11,17,0,0,0,0,0,0,0,0,0,0,0,0,37,31,68,554,476,1034,40,35,75,634,546,1179,41,36,75,581,494,1074,44,38,80,664,565,1230,655,709,1360,7691,7952,15646,134,140,271,8483,8794,17278,15,16,34,4,3,7,0,0,0,20,19,36,0,0,3,0,0,0,0,0,0,0,0,3,15,17,31,4,3,7,0,0,0,17,14,33,9,16,27,0,0,0,0,0,0,12,16,26,16,24,42,107,86,191,5,4,5,133,115,241,191,161,350,819,826,1644,18,18,35,1026,1007,2034,52,58,107,289,284,567,14,8,17,352,342,691,5,10,15,49,61,108,0,0,3,55,78,130,9,27,36,121,282,401,0,8,5,128,314,447,101,121,214,2109,2456,4568,24,32,54,2239,2606,4837,46,52,102,497,511,1003,9,10,14,547,572,1123,126,166,292,2448
Narrabri (A),15750,0,3,0,3,0,0,0,3,4,9,0,0,0,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,53,19,74,525,284,809,172,47,226,751,351,1104,62,31,93,531,299,827,177,53,227,768,379,1147,739,801,1538,4888,4835,9718,87,76,162,5711,5710,11424,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,21,43,69,77,151,0,3,3,90,99,191,185,166,347,581,622,1206,21,17,39,784,805,1592,42,45,84,201,168,370,0,3,4,241,218,460,5,3,4,38,47,86,0,0,0,40,49,94,8,14,23,68,141,210,0,0,0,72,162,235,84,134,222,1353,1656,3007,18,21,37,1455,1805,3259,52,57,106,329,301,625,3,8,11,382,360,738,148,186,336,1461
Narrandera (A),15800,0,0,0,0,0,0,0,7,3,10,3,0,3,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,14,10,27,147,129,278,56,32,84,213,174,385,16,15,29,158,132,293,56,32,84,229,175,408,266,293,554,2227,2257,4480,35,27,62,2518,2576,5095,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,39,26,67,0,0,0,41,39,82,55,57,111,264,283,547,0,3,3,320,341,658,16,16,39,77,81,158,0,3,4,95,104,198,0,3,4,21,23,51,0,0,0,24,31,54,4,16,17,33,77,103,0,0,0,34,89,125,23,44,66,522,693,1217,3,3,3,545,739,1285,20,16,34,159,149,306,0,0,3,180,164,346,66,59,127,679
Narromine (A),15850,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,21,45,96,87,184,29,22,50,152,128,278,29,21,51,99,99,204,29,23,47,159,140,298,592,660,1252,2247,2175,4430,32,40,77,2879,2877,5752,0,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,5,0,3,4,0,0,0,0,0,0,0,3,3,25,20,44,28,24,59,0,0,0,58,47,100,142,137,282,272,239,513,3,13,15,423,386,807,46,46,85,71,62,141,0,5,6,117,115,232,8,14,18,16,18,34,0,0,0,23,33,51,5,26,30,23,66,88,0,0,0,34,88,124,69,144,215,613,776,1389,5,10,19,691,928,1613,30,32,63,136,141,281,0,4,4,172,178,347,127,144,273,709
