lga_name_2016,lga_code_2016,sme_usl_ad_1_yr_ago_as_2016_m,sme_usl_ad_1_yr_ago_as_2016_f,sme_usl_ad_1_yr_ago_as_2016_p,dif_usl_ad_1_yr_ago_sme_sa2_m,dif_usl_ad_1_yr_ago_sme_sa2_f,dif_usl_ad_1_yr_ago_sme_sa2_p,dif_us_ad_1_ago_dif_sa2_nsw_m,dif_us_ad_1_ago_dif_sa2_nsw_f,dif_us_ad_1_ago_dif_sa2_nsw_p,dif_us_ad_1_ago_dif_sa2_vic_m,dif_us_ad_1_ago_dif_sa2_vic_f,dif_us_ad_1_ago_dif_sa2_vic_p,dif_us_ad_1_ago_dif_sa2_qld_m,dif_us_ad_1_ago_dif_sa2_qld_f,dif_us_ad_1_ago_dif_sa2_qld_p,dif_us_ad_1_ago_dif_sa2_sa_m,dif_us_ad_1_ago_dif_sa2_sa_f,dif_us_ad_1_ago_dif_sa2_sa_p,dif_us_ad_1_ago_dif_sa2_wa_m,dif_us_ad_1_ago_dif_sa2_wa_f,dif_us_ad_1_ago_dif_sa2_wa_p,dif_us_ad_1_ago_dif_sa2_tas_m,dif_us_ad_1_ago_dif_sa2_tas_f,dif_us_ad_1_ago_dif_sa2_tas_p,dif_us_ad_1_ago_dif_sa2_nt_m,dif_us_ad_1_ago_dif_sa2_nt_f,dif_us_ad_1_ago_dif_sa2_nt_p,dif_us_ad_1_ago_dif_sa2_act_m,dif_us_ad_1_ago_dif_sa2_act_f,dif_us_ad_1_ago_dif_sa2_act_p,dif_us_ad_1_ago_dif_sa2_ot_m,dif_us_ad_1_ago_dif_sa2_ot_f,dif_us_ad_1_ago_dif_sa2_ot_p,dif_us_ad_1_ago_dif_sa2_tot_m,dif_us_ad_1_ago_dif_sa2_tot_f,dif_us_ad_1_ago_dif_sa2_tot_p,difnt_usl_add_1_yr_ago_os_m,difnt_usl_add_1_yr_ago_os_f,difnt_usl_add_1_yr_ago_os_p,difnt_usl_add_1_yr_ago_ns_m,difnt_usl_add_1_yr_ago_ns_f,difnt_usl_add_1_yr_ago_ns_p,difnt_usl_add_1_yr_ago_tot_m,difnt_usl_add_1_yr_ago_tot_f,difnt_usl_add_1_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Northern Grampians (S),25810,4583,4559,9137,301,366,669,11,9,23,194,230,418,20,22,41,10,12,18,3,6,14,0,0,0,4,3,6,3,3,4,0,0,3,245,282,531,13,37,53,5,3,12,570,688,1259,447,481,927,5600,5726,11323
Port Phillip (C),25900,32047,33478,65530,1622,1731,3349,422,434,858,5766,6225,11988,332,364,692,90,86,180,196,179,369,62,61,117,35,37,65,46,45,90,0,0,0,6945,7420,14367,1822,1955,3775,126,94,223,10516,11201,21715,6156,6308,12461,48723,50986,99702
Pyrenees (S),25990,2787,2734,5520,82,99,185,11,19,23,185,184,363,4,10,15,4,5,10,3,3,6,0,0,0,4,0,6,0,0,0,0,0,0,203,224,424,0,10,15,3,4,6,295,338,630,725,321,1042,3805,3388,7190
Queenscliffe (B),26080,1051,1215,2265,31,44,76,0,6,7,80,83,162,3,6,14,3,3,6,4,0,6,0,0,0,3,3,3,0,0,0,0,0,0,93,102,193,5,11,13,0,0,0,131,154,280,140,154,292,1320,1522,2836
South Gippsland (S),26170,11099,11468,22567,625,711,1332,29,19,49,758,861,1622,39,35,74,9,3,12,8,13,20,3,3,6,8,6,12,0,0,0,0,0,0,849,950,1799,43,46,89,16,20,40,1539,1727,3262,1267,1310,2577,13899,14506,28409
Southern Grampians (S),26260,6291,6578,12872,410,441,846,30,29,53,313,346,656,23,25,46,29,24,57,18,12,27,3,9,11,3,5,13,3,0,7,0,0,0,412,455,870,34,37,69,10,15,31,869,946,1814,513,572,1090,7679,8094,15771
Stonnington (C),26350,34041,37310,71345,1283,1511,2789,384,450,835,5863,6553,12411,274,319,591,91,118,210,210,206,413,47,47,96,31,15,41,61,77,134,0,0,4,6955,7787,14743,1786,2188,3971,114,89,199,10132,11578,21701,4741,5117,9852,48909,53999,102904
Strathbogie (S),26430,4015,4079,8092,214,224,437,18,28,43,249,286,531,21,27,44,0,0,0,7,9,14,3,0,7,3,3,7,0,0,0,0,0,0,302,354,651,17,28,42,8,13,17,546,614,1159,472,472,949,5036,5164,10195
Surf Coast (S),26490,11185,11444,22632,814,859,1672,40,33,76,1035,1021,2059,32,32,67,17,13,26,19,28,45,6,8,15,16,22,35,9,5,10,0,0,0,1180,1152,2334,95,102,198,20,12,39,2107,2126,4234,1105,1090,2196,14397,14670,29063
Swan Hill (RC),26610,7713,7659,15371,513,559,1076,66,63,129,380,388,770,19,23,39,20,15,31,6,5,18,3,0,6,8,8,12,0,0,0,0,0,0,499,504,1001,93,75,165,18,16,28,1122,1151,2273,1383,1302,2688,10225,10110,20328
Towong (S),26670,2451,2344,4793,121,123,240,63,62,125,110,82,197,6,5,15,0,3,5,0,3,4,0,0,3,3,3,10,3,3,4,0,0,0,191,161,353,3,3,10,4,3,9,319,295,611,266,250,521,3042,2891,5927
Wangaratta (RC),26700,10852,11567,22426,724,791,1519,68,79,149,580,643,1218,39,44,83,9,10,15,20,19,43,0,0,3,9,8,16,3,3,4,0,0,0,729,807,1529,40,57,100,27,24,49,1517,1678,3195,1133,1273,2408,13499,14522,28018
Warrnambool (C),26730,12175,13199,25378,758,817,1580,38,46,82,1137,1311,2451,50,59,108,33,45,75,33,36,68,10,15,18,16,18,35,3,5,6,0,0,0,1313,1534,2844,205,141,340,31,29,66,2308,2526,4830,1471,1570,3047,15958,17299,33255
Wellington (S),26810,16239,16512,32746,1031,1189,2224,95,93,187,1017,1040,2056,73,66,144,34,26,55,46,40,86,9,11,16,26,27,52,21,14,37,0,0,0,1323,1317,2638,102,113,213,41,43,85,2496,2661,5153,2729,1914,4639,21460,21083,42545
West Wimmera (S),26890,1668,1614,3280,60,82,142,5,6,15,52,44,94,13,7,20,29,26,55,0,0,3,0,0,3,3,0,3,0,0,0,0,0,0,101,90,187,3,0,3,7,0,10,166,170,337,112,137,249,1950,1918,3863
Whitehorse (C),26980,60524,65814,126343,1426,1523,2940,230,237,466,7277,7372,14649,154,163,312,110,113,221,106,116,215,34,52,84,19,18,34,41,41,91,4,0,4,7967,8117,16084,2679,2847,5522,124,80,206,12193,12562,24753,4546,4909,9452,77260,83284,160550
Whittlesea (C),27070,75819,77814,153635,1948,1871,3825,286,304,591,9313,9424,18730,214,211,429,123,109,230,121,117,237,33,32,65,53,40,95,20,23,42,0,0,3,10160,10262,20422,1651,1859,3513,127,102,226,13887,14099,27989,6255,6453,12707,95967,98361,194323
Wodonga (C),27170,14174,14823,28994,917,978,1895,536,558,1096,1282,1330,2615,233,174,402,48,47,92,56,56,107,24,25,51,20,14,35,39,32,66,0,0,0,2231,2235,4465,99,123,225,30,33,62,3279,3366,6649,1564,1613,3178,19018,19806,38821
Wyndham (C),27260,80939,81721,162659,2775,2896,5669,656,631,1285,10156,10003,20159,368,356,723,215,208,423,208,211,422,72,65,136,57,73,128,66,65,139,0,0,0,11801,11617,23418,2498,2906,5397,165,139,302,17239,17557,34795,8520,7169,15685,106695,106449,213139
Yarra (C),27350,27593,29377,56975,1178,1222,2400,393,424,814,5410,5892,11299,284,296,584,105,93,199,196,187,389,45,49,96,38,32,74,72,63,137,3,0,3,6545,7050,13590,1372,1554,2926,113,109,221,9202,9938,19138,4760,4854,9611,41559,44165,85718
Yarra Ranges (S),27450,60804,62062,122871,1292,1416,2712,114,125,244,5133,5520,10652,116,130,244,21,24,48,71,56,124,16,17,29,18,21,41,14,9,25,0,0,0,5500,5907,11412,343,382,723,116,93,213,7258,7797,15058,4931,5018,9950,72999,74877,147874
Yarriambiack (S),27630,2757,2683,5439,108,110,215,6,11,16,126,132,257,3,3,7,3,3,3,11,12,15,3,4,4,3,0,3,0,3,3,0,0,0,153,165,318,9,9,17,17,6,24,282,292,571,293,308,601,3335,3280,6614
Unincorporated Vic,29399,263,202,470,16,15,35,5,0,9,34,27,57,11,5,17,5,4,6,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,56,42,96,8,17,25,0,0,0,81,78,156,122,123,243,463,398,868
No usual address (Vic.),29499,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
Migratory - Offshore - Shipping (Vic.),29799,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
Aurukun (S),30250,553,574,1132,4,8,8,0,0,0,0,0,0,37,21,62,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,39,27,65,0,3,3,4,5,12,50,41,86,17,15,31,627,630,1249
Balonne (S),30300,1744,1635,3378,105,131,237,22,11,37,4,7,13,106,101,206,3,4,3,3,7,11,0,0,0,3,0,3,0,0,0,0,0,0,148,128,276,14,6,24,8,0,4,269,273,537,203,194,393,2220,2098,4314
Banana (S),30370,5710,5338,11050,397,413,811,23,22,38,12,3,14,411,388,800,13,3,14,4,4,8,3,3,4,7,0,9,0,0,3,0,0,0,463,428,890,41,45,89,16,13,33,920,902,1821,658,589,1251,7290,6831,14122
Barcaldine (R),30410,1135,1136,2269,54,64,118,10,11,21,3,0,3,94,87,179,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,112,97,210,6,3,8,0,0,5,169,168,337,125,100,227,1434,1403,2833
Barcoo (S),30450,114,89,203,9,6,18,0,0,0,0,0,3,6,12,18,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,18,15,32,0,0,0,0,0,0,21,27,49,12,10,19,151,118,271
Blackall-Tambo (R),30760,756,768,1526,43,45,87,3,0,5,6,3,7,52,54,107,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,66,54,122,0,3,3,5,0,4,111,106,219,69,70,141,939,939,1884
Longreach (R),34710,1319,1362,2683,106,121,223,5,9,21,0,8,6,127,145,269,0,3,3,5,3,6,0,0,3,3,3,9,0,0,0,0,0,0,148,176,322,10,9,17,9,9,19,269,309,580,177,177,355,1770,1852,3618
Mackay (R),34770,43144,42289,85434,1850,2008,3854,233,275,510,114,144,256,5351,5856,11211,45,46,94,111,104,214,42,43,85,38,38,70,11,11,26,0,0,0,5949,6511,12458,223,315,541,158,139,294,8183,8970,17149,6186,4725,10911,57510,55984,113496
McKinlay (S),34800,327,281,612,11,14,24,4,0,4,0,3,3,36,23,64,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,43,34,79,0,4,8,0,0,0,56,54,108,39,30,66,429,360,785
Mapoon (S),34830,116,128,246,9,3,15,0,0,0,0,0,0,16,9,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,16,28,0,0,0,0,0,0,25,20,41,4,9,14,144,155,299
Maranoa (R),34860,4735,4437,9172,431,440,874,33,35,70,8,8,15,436,488,923,0,0,0,4,5,9,0,0,0,0,4,4,0,0,0,0,0,0,486,541,1030,10,21,34,10,4,17,946,1009,1956,749,622,1376,6432,6075,12505
Mareeba (S),34880,7820,7633,15456,444,507,949,27,37,56,13,16,30,607,633,1239,10,6,12,19,19,41,5,0,5,23,32,54,0,3,7,0,3,3,702,748,1457,105,90,203,27,25,55,1289,1371,2659,2108,1141,3248,11211,10147,21357
Moreton Bay (R),35010,156314,162975,319290,6100,6859,12964,1316,1431,2741,541,595,1133,21595,23266,44861,189,181,375,271,282,558,107,93,199,203,177,387,110,115,226,6,3,12,24340,26153,50492,1643,1904,3550,647,542,1192,32733,35464,68194,16468,16254,32719,205509,214688,420200
Mornington (S),35250,464,482,951,12,13,29,0,0,0,0,0,0,32,26,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,30,65,0,0,4,24,24,45,73,66,142,17,19,39,558,572,1124
Mount Isa (C),35300,6540,5974,12514,985,1022,2006,40,48,86,13,22,33,380,450,828,15,11,24,21,23,43,9,3,7,20,32,53,0,0,0,0,0,0,495,587,1079,65,79,146,22,24,49,1565,1715,3280,1371,1172,2544,9481,8867,18345
Murweh (S),35600,1650,1634,3279,124,157,283,16,16,30,6,3,9,109,139,246,5,3,4,3,0,6,0,0,0,5,9,13,0,0,0,0,0,0,143,166,308,13,13,22,10,3,9,286,341,626,153,180,332,2088,2155,4238
Napranum (S),35670,469,429,893,0,5,7,0,0,0,0,0,0,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,10,20,26,13,8,19,483,448,933
Noosa (S),35740,18927,20061,38989,1001,1059,2058,275,321,599,200,228,425,2083,2313,4400,36,48,84,69,83,154,17,17,37,22,24,47,11,13,22,3,0,3,2721,3051,5775,262,281,539,71,82,156,4062,4476,8532,2181,2111,4294,25168,26650,51810
North Burnett (R),35760,3963,3836,7800,244,270,515,14,9,23,12,5,13,277,285,565,3,3,8,3,0,7,0,0,0,8,3,11,0,0,0,0,0,0,312,307,624,78,48,124,10,14,18,639,640,1280,703,607,1312,5304,5081,10386
Northern Peninsula Area (R),35780,1167,1253,2416,24,28,50,3,0,3,0,0,0,69,57,124,5,0,5,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,81,62,142,3,3,6,6,15,20,107,109,213,58,44,102,1327,1406,2736
Palm Island (S),35790,1075,1094,2167,4,7,9,3,3,3,0,0,0,64,73,137,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,68,77,145,0,0,3,14,3,14,84,90,172,19,13,35,1172,1195,2374
Paroo (S),35800,646,648,1300,32,37,68,3,8,8,3,0,3,41,41,83,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,52,51,107,0,5,3,0,0,0,83,93,177,70,73,144,807,814,1620
Pormpuraaw (S),36070,333,340,679,5,5,13,0,0,0,0,0,0,11,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,34,0,6,6,3,0,5,18,28,52,10,4,11,367,375,741
Quilpie (S),36150,342,302,643,15,19,33,3,3,3,0,0,0,31,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,58,0,0,0,0,0,4,52,44,104,33,24,50,426,373,797
Redland (C),36250,55901,58192,114090,1924,2067,3988,426,471,902,167,194,359,7110,7545,14653,70,50,126,97,94,189,20,22,48,48,42,90,30,24,57,3,0,3,7978,8445,16420,486,538,1026,176,166,342,10562,11216,21779,4785,4906,9688,71243,74313,145561
Richmond (S),36300,292,269,558,19,24,47,4,4,9,0,0,0,47,36,83,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,54,37,95,0,5,5,0,3,3,77,69,144,42,38,75,404,370,778
Rockhampton (R),36370,29381,29988,59371,1107,1252,2356,132,123,259,65,80,142,4019,4511,8532,15,21,35,39,47,79,8,13,24,30,34,69,3,3,7,0,0,0,4323,4836,9154,205,248,454,156,156,312,5789,6489,12280,3750,3318,7070,38923,39797,78719
Scenic Rim (R),36510,14991,15553,30542,933,1065,1998,153,152,301,50,45,92,1361,1472,2834,16,16,31,22,25,50,7,7,12,17,17,37,3,3,9,0,0,0,1632,1738,3374,89,105,190,56,46,102,2706,2957,5661,1888,1650,3537,19585,20157,39744
Somerset (R),36580,9384,9231,18621,535,550,1082,62,60,124,9,21,37,915,983,1899,12,20,29,13,11,19,4,4,13,10,19,29,4,0,4,0,0,0,1031,1120,2146,60,50,112,39,20,59,1664,1735,3402,1197,1116,2319,12246,12084,24333
South Burnett (R),36630,12181,12174,24352,871,959,1825,57,51,111,11,10,23,1200,1286,2485,11,12,20,12,13,23,6,10,8,10,12,18,0,7,8,0,0,0,1308,1401,2708,41,42,82,50,59,105,2270,2459,4723,1509,1297,2808,15957,15928,31885
Southern Downs (R),36660,13461,13794,27256,904,1051,1953,121,136,255,15,25,36,1120,1150,2267,8,10,18,17,17,28,3,3,9,12,9,18,3,6,11,0,0,0,1302,1347,2648,71,86,150,44,44,90,2311,2523,4842,1337,1308,2639,17109,17622,34737
Sunshine Coast (R),36720,103243,111063,214305,4734,5183,9916,1161,1295,2456,665,727,1391,16550,18143,34689,184,168,353,286,288,582,128,138,271,138,140,281,101,117,214,3,3,4,19213,21031,40244,1388,1644,3032,419,364,782,25753,28216,53972,11543,11767,23312,140545,151047,291590
Tablelands (R),36820,9289,9537,18830,529,625,1148,34,35,66,18,16,35,847,921,1771,6,6,12,34,26,55,5,11,14,34,32,64,7,3,3,0,0,0,988,1045,2030,73,78,150,48,53,103,1634,1799,3435,1181,1162,2346,12105,12507,24607
Toowoomba (R),36910,57670,61210,118876,2472,2660,5130,483,503,983,143,135,279,8639,9362,17998,53,56,107,83,85,161,21,37,53,93,81,173,36,36,71,0,0,0,9544,10289,19838,622,626,1246,212,185,395,12847,13759,26607,6650,6741,13389,77172,81705,158875
Torres (S),36950,1246,1256,2503,60,77,133,10,13,24,0,6,11,135,136,277,0,0,0,3,3,10,3,0,3,5,4,10,7,4,10,0,0,0,162,175,336,4,13,15,54,50,101,283,301,587,228,240,468,1762,1804,3567
Torres Strait Island (R),36960,1860,1806,3664,44,47,95,0,0,0,0,0,3,156,159,312,3,3,5,7,3,11,0,0,0,3,0,5,0,0,0,0,0,0,168,171,340,3,4,5,58,61,121,274,283,556,107,94,205,2247,2188,4430
Townsville (C),37010,65589,66374,131963,2690,2944,5634,783,710,1492,552,503,1059,10833,11612,22445,165,174,337,195,207,398,81,75,154,241,207,442,127,120,244,3,0,3,12974,13607,26582,686,840,1521,296,237,534,16649,17623,34274,9832,8286,18121,92073,92277,184354
Weipa (T),37300,1412,1226,2639,196,153,351,8,9,21,10,11,17,148,132,286,6,0,6,20,22,41,3,7,10,4,5,11,4,0,6,0,0,0,197,187,382,16,4,17,5,9,12,412,349,768,244,194,435,2065,1774,3839
Western Downs (R),37310,12136,11597,23737,1213,1219,2435,104,97,203,26,31,50,1162,1152,2315,19,16,30,20,22,42,7,5,12,15,19,31,3,6,9,0,0,0,1346,1348,2690,58,81,140,39,46,90,2653,2692,5351,2100,1825,3925,16898,16118,33012
Whitsunday (R),37340,11792,10890,22686,1167,1238,2398,191,191,385,110,143,256,1036,1064,2102,35,32,67,47,61,106,20,16,35,19,24,39,14,8,20,0,0,0,1469,1541,3008,277,281,559,32,28,68,2949,3088,6032,2570,2117,4687,17308,16092,33404
Lockyer Valley (R),34580,14322,14271,28592,826,892,1718,104,106,207,30,32,60,1499,1658,3162,11,6,24,13,17,30,9,9,12,5,3,13,3,3,8,0,0,0,1676,1839,3515,234,274,509,38,53,94,2779,3061,5834,1990,1790,3786,19098,19119,38212
Logan (C),34590,112169,114643,226809,3331,3428,6765,804,772,1580,358,322,686,16326,17146,33469,106,108,212,170,147,319,72,62,137,60,59,117,52,34,86,3,0,0,17957,18658,36612,1622,1809,3429,523,407,929,23425,24304,47731,12228,12467,24696,147825,151409,299236
Roxby Downs (M),46970,1322,998,2319,338,319,656,11,10,21,13,8,15,36,21,58,170,109,278,17,11,24,8,8,11,0,0,3,0,0,0,0,0,0,254,162,416,15,25,39,4,4,10,607,512,1121,244,113,357,2181,1615,3796
Salisbury (C),47140,54200,54803,109002,1312,1305,2619,193,174,370,222,159,380,143,162,304,5736,5846,11581,79,40,120,17,23,45,47,43,93,36,20,55,0,0,0,6472,6473,12943,945,1028,1970,162,131,297,8889,8935,17826,4738,4621,9362,67823,68363,136186
Southern Mallee (DC),47290,826,770,1596,34,45,76,3,0,4,3,7,8,7,7,16,29,29,61,5,3,13,0,3,3,0,0,4,0,0,3,0,0,0,54,50,108,15,14,27,3,3,4,110,112,221,95,86,183,1038,969,2001
Streaky Bay (DC),47490,895,780,1675,37,44,77,8,3,8,0,0,0,0,0,0,45,44,85,3,0,5,0,0,0,5,3,6,0,0,0,0,0,0,56,59,112,6,4,6,0,0,0,96,105,203,91,80,167,1080,966,2047
Tatiara (DC),47630,2724,2484,5203,213,181,396,10,6,20,22,15,31,9,15,22,108,90,198,0,0,0,3,3,6,0,3,4,0,0,0,0,0,0,151,131,281,16,23,39,3,4,4,384,339,725,345,290,633,3453,3110,6558
Tea Tree Gully (C),47700,39670,41366,81037,589,582,1173,86,122,205,60,67,133,86,85,175,3504,3763,7267,37,33,72,10,13,20,45,26,69,18,13,23,0,0,0,3841,4124,7970,338,403,740,66,43,114,4839,5154,9990,2827,2888,5720,47339,49408,96752
Boulia (S),30900,138,121,253,11,15,28,0,0,0,0,0,3,25,18,40,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,28,21,57,0,0,0,0,0,0,45,36,82,47,44,90,227,200,422
Brisbane (C),31000,398593,415918,814508,12938,13439,26372,3837,3891,7734,2036,1989,4027,68263,70067,138322,653,633,1282,989,896,1888,231,230,456,491,418,908,455,444,897,6,6,17,76959,78574,155533,14547,16354,30904,1497,1310,2807,105942,109683,215621,45307,42535,87841,549843,568134,1117972
Gold Coast (C),33430,190720,200906,391626,8123,8748,16870,4174,4639,8813,1386,1429,2817,29375,32192,61564,354,353,707,558,574,1130,199,253,447,225,217,447,203,232,439,4,13,18,36483,39901,76379,4800,5434,10236,901,723,1620,50308,54804,105110,26063,26869,52935,267086,282578,549669
Goondiwindi (R),33610,3950,3904,7855,292,298,586,95,92,186,13,14,24,289,290,577,6,8,12,5,5,7,0,0,0,3,4,7,0,0,0,0,0,0,409,411,820,14,28,40,9,16,28,724,755,1480,601,563,1166,5272,5226,10499
Bulloo (S),31750,148,115,259,3,3,9,5,3,3,0,0,0,12,11,23,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,15,20,33,0,0,0,0,4,4,24,23,47,23,17,39,191,154,345
Bundaberg (R),31820,34462,35563,70028,1310,1480,2788,232,260,498,107,146,251,4317,4567,8879,38,30,65,51,54,108,25,26,52,41,36,73,16,16,34,0,0,3,4830,5125,9957,365,374,744,149,121,270,6657,7104,13760,4183,4116,8295,45298,46784,92083
Burdekin (S),31900,6883,6679,13564,398,398,790,27,14,43,9,3,11,415,410,830,0,0,8,14,13,21,4,0,3,6,9,14,0,4,4,0,0,0,476,456,938,68,66,136,23,16,39,968,935,1906,741,712,1453,8591,8324,16918
Burke (S),31950,112,84,196,10,0,10,0,0,4,0,0,0,21,18,37,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,23,26,46,0,4,4,0,0,0,30,27,58,39,30,68,182,142,327
Cairns (R),32080,54194,55424,109621,2398,2607,5002,505,550,1058,443,427,874,8073,8752,16827,150,192,345,255,261,517,62,70,128,244,242,489,38,41,76,0,0,0,9775,10536,20308,1044,1211,2251,263,230,490,13477,14585,28060,8746,8629,17380,76422,78633,155050
Carpentaria (S),32250,705,664,1369,77,96,175,9,6,20,0,3,5,74,58,136,4,0,4,7,3,8,0,0,0,8,3,10,0,0,0,0,0,0,97,84,184,3,3,6,7,9,14,189,190,377,111,96,199,1003,947,1945
Cassowary Coast (R),32260,10982,10363,21350,807,807,1617,80,66,144,42,53,88,832,815,1642,23,15,39,30,41,71,12,7,17,25,30,54,0,0,3,0,0,0,1040,1030,2062,140,166,300,50,43,92,2034,2042,4080,1595,1393,2992,14612,13807,28422
Central Highlands (R) (Qld),32270,10147,9146,19292,999,1009,2013,76,97,172,27,25,51,1022,990,2011,7,14,21,30,20,44,4,15,16,10,15,28,0,3,3,0,0,0,1183,1171,2357,59,81,136,37,31,66,2275,2299,4566,2089,1561,3654,14514,13005,27516
Charters Towers (R),32310,4413,4503,8917,304,316,616,14,15,30,5,9,13,398,412,816,4,11,12,3,0,3,3,3,6,10,9,24,0,0,0,0,0,0,447,466,904,21,21,37,14,8,23,781,810,1587,628,624,1254,5817,5944,11763
Cherbourg (S),32330,540,569,1115,15,12,29,0,0,0,0,0,0,19,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,48,0,0,0,8,7,15,49,41,95,17,18,33,608,631,1235
Cloncurry (S),32450,1089,855,1942,90,95,187,22,4,26,8,3,17,171,135,305,4,0,5,9,0,6,3,0,3,4,3,6,0,0,0,0,0,0,220,145,368,0,6,6,0,0,0,310,253,566,276,204,482,1674,1310,2990
Cook (S),32500,1504,1279,2777,122,135,258,10,9,16,4,6,11,127,128,251,5,3,15,21,11,35,0,0,0,10,5,15,4,0,4,0,0,0,185,170,349,35,37,69,17,8,26,351,347,692,397,309,701,2248,1928,4175
Croydon (S),32600,81,84,161,3,7,10,0,0,5,0,0,0,14,7,20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,17,30,0,0,0,0,0,0,17,22,42,49,34,84,147,144,284
Gympie (R),33620,18443,18637,37076,795,956,1751,139,139,278,55,59,111,2237,2328,4565,9,17,26,43,37,82,17,21,35,20,27,45,9,9,15,0,0,0,2536,2630,5160,69,86,150,85,67,150,3482,3736,7219,2415,2404,4818,24332,24778,49109
Hinchinbrook (S),33800,4551,4308,8859,150,175,324,13,15,24,11,9,16,292,266,561,6,3,4,8,8,14,0,0,0,8,0,7,0,0,0,0,0,0,336,305,639,4,14,25,11,6,9,502,492,997,465,484,951,5518,5285,10808
Hope Vale (S),33830,425,361,783,6,8,13,0,0,0,0,0,0,16,10,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,14,27,0,0,3,0,3,5,23,20,45,44,27,65,491,412,899
Ipswich (C),33960,69326,71004,140328,2798,2876,5670,744,749,1493,268,240,510,11326,12075,23399,129,129,263,162,153,310,52,50,99,173,133,304,70,71,142,7,0,7,12925,13599,26521,748,817,1568,338,285,626,16803,17575,34377,8156,7889,16047,94289,96465,190752
Isaac (R),33980,7261,6194,13455,798,846,1639,50,57,108,22,32,51,960,876,1835,15,8,14,25,28,52,6,6,8,11,13,21,0,0,0,0,0,0,1078,1006,2084,41,62,109,16,20,38,1939,1932,3869,2025,1214,3240,11227,9344,20567
Kowanyama (S),34420,405,445,843,5,7,15,3,0,4,0,0,3,15,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,41,0,3,3,0,0,0,21,36,59,17,8,26,443,486,930
Diamantina (S),32750,99,91,190,0,0,3,4,3,10,3,0,3,16,12,27,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,26,21,49,0,3,3,0,0,0,24,25,56,21,26,45,150,139,288
Clare and Gilbert Valleys (DC),41140,3608,3622,7230,176,184,365,11,8,20,9,8,22,11,5,14,259,277,535,9,10,17,0,8,4,14,5,15,0,0,0,0,0,0,309,323,632,8,13,25,5,12,16,509,529,1042,333,324,663,4451,4479,8934
Livingstone (S),34530,13340,13226,26565,875,957,1829,73,74,147,43,40,88,1407,1426,2832,14,16,34,23,19,48,6,14,17,15,15,32,6,5,11,0,0,0,1595,1608,3200,77,75,147,38,40,81,2591,2677,5264,2508,1581,4092,18437,17484,35916
Lockhart River (S),34570,286,308,592,6,0,8,3,3,7,0,0,0,14,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,36,0,0,0,7,7,8,24,23,46,35,25,56,348,357,703
Doomadgee (S),32770,621,611,1233,11,9,20,3,3,8,0,0,0,34,30,61,4,6,7,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,47,44,83,0,4,3,3,0,5,57,53,108,12,14,23,690,680,1366
Douglas (S),32810,4031,3781,7816,398,391,790,52,55,108,63,69,131,296,316,610,35,30,61,31,40,73,7,12,13,16,17,36,6,3,9,0,0,0,499,553,1050,95,108,206,16,12,33,1013,1065,2080,847,854,1701,5889,5705,11597
