lga_name_2016,lga_code_2016,negative_nil_income_m,negative_nil_income_f,negative_nil_income_p,pi1_149_m,pi1_149_f,pi1_149_p,pi150_299_m,pi150_299_f,pi150_299_p,pi300_399_m,pi300_399_f,pi300_399_p,pi400_499_m,pi400_499_f,pi400_499_p,pi500_649_m,pi500_649_f,pi500_649_p,pi650_799_m,pi650_799_f,pi650_799_p,pi800_999_m,pi800_999_f,pi800_999_p,pi1000_more_m,pi1000_more_f,pi1000_more_p,personal_income_nsm,personal_income_nsf,personal_income_nsp,tot_m,tot_f,tot_p
Mount Barker (DC),44550,10,9,16,3,11,13,9,8,17,14,15,26,3,7,15,3,13,19,10,9,22,8,12,19,32,24,51,10,8,13,106,115,213
Mount Gambier (C),44620,18,14,30,17,11,33,22,22,48,8,31,41,11,22,40,6,13,22,9,15,31,15,16,34,24,23,47,8,18,31,151,195,347
Mount Remarkable (DC),44830,5,5,7,3,0,3,3,3,4,6,3,8,3,5,10,0,4,3,0,0,0,0,3,3,4,9,9,0,3,6,30,32,60
Murray Bridge (RC),45040,29,28,57,13,17,29,48,36,84,38,47,81,15,41,55,16,45,59,24,20,43,29,17,52,38,30,69,94,23,120,348,306,653
Carnamah (S),51470,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14
Carnarvon (S),51540,40,38,76,13,16,26,59,65,124,27,31,61,18,40,62,16,33,50,19,17,41,15,22,40,48,52,94,39,42,82,296,361,661
Naracoorte and Lucindale (DC),45090,0,3,3,3,4,11,3,10,14,3,3,7,3,3,6,0,4,8,4,3,3,7,0,4,11,5,14,4,8,10,45,42,90
Northern Areas (DC),45120,6,0,6,0,0,0,0,7,10,3,8,14,3,0,10,0,0,0,0,0,0,0,0,3,8,0,6,4,0,4,30,26,49
Norwood Payneham St Peters (C),45290,10,12,25,0,0,3,6,16,18,5,16,21,8,10,14,10,7,16,4,3,13,0,6,8,21,14,33,0,0,4,68,85,157
Onkaparinga (C),45340,111,103,209,32,69,96,107,89,199,59,101,159,48,85,135,39,113,150,54,78,135,61,61,119,154,110,266,44,39,87,711,848,1553
Orroroo/Carrieton (DC),45400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Chapman Valley (S),51610,0,0,0,0,7,7,3,3,3,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,4,4,12,0,0,0,11,23,34
Peterborough (DC),45540,0,8,11,3,0,3,3,4,4,5,10,12,3,4,9,0,3,9,0,0,0,0,0,0,5,3,6,3,3,7,27,32,56
Playford (C),45680,125,122,246,37,42,79,141,135,277,82,104,188,64,121,186,82,135,213,61,93,152,70,75,142,140,105,244,54,60,115,859,984,1846
Port Adelaide Enfield (C),45890,112,92,202,45,51,104,143,121,266,79,121,206,80,115,195,48,84,130,55,67,123,56,59,117,122,163,285,185,103,291,933,982,1915
Port Augusta (C),46090,65,88,153,44,27,76,120,127,244,73,112,184,60,81,142,35,72,109,49,70,116,30,54,86,127,105,234,273,117,393,879,857,1732
Port Lincoln (C),46300,25,30,49,8,13,21,47,23,69,20,28,43,12,35,51,14,35,46,17,23,36,18,12,30,32,25,56,23,25,47,215,245,457
Port Pirie City and Dists (M),46450,16,29,43,10,17,29,39,33,77,20,31,52,15,23,41,10,16,30,3,14,21,7,6,18,15,17,36,21,14,33,169,196,365
Prospect (C),46510,12,6,14,3,5,7,7,8,13,4,6,11,12,8,20,4,4,10,7,3,9,7,4,7,15,15,28,3,0,6,72,61,133
Renmark Paringa (DC),46670,8,10,13,0,3,3,19,13,34,6,13,21,8,6,17,0,10,8,6,11,20,8,9,14,11,6,18,0,5,4,61,83,141
Robe (DC),46860,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,9
Dardanup (S),52660,9,16,22,3,8,12,5,7,15,3,0,3,3,4,12,4,12,18,8,7,14,3,4,7,30,20,47,3,0,3,70,81,154
Denmark (S),52730,3,4,4,3,0,4,3,3,3,3,7,11,0,3,8,3,3,4,3,0,3,3,0,3,6,3,7,0,3,3,22,27,48
Unley (C),47980,7,6,9,0,3,6,10,8,12,5,4,10,3,5,5,14,6,21,4,0,6,4,4,9,13,19,35,3,0,3,60,64,128
Victor Harbor (C),48050,4,12,20,3,3,6,5,9,21,4,7,13,5,8,9,8,4,15,9,0,7,7,6,10,5,3,8,11,5,17,59,61,122
Wakefield (DC),48130,7,15,21,0,0,3,3,3,5,6,7,16,7,7,10,3,10,10,7,6,12,0,0,7,6,3,4,3,0,3,50,49,98
Coolgardie (S),51960,32,23,56,8,4,12,15,11,31,7,14,25,6,12,21,9,10,19,3,7,13,3,7,5,34,23,53,3,8,14,118,126,251
Coorow (S),52030,4,3,6,0,0,0,0,0,0,3,3,4,0,0,0,0,4,4,0,0,0,0,0,0,3,0,6,0,0,0,13,10,25
Derby-West Kimberley (S),52800,109,87,196,90,86,174,502,483,982,273,362,639,75,149,223,73,95,166,60,60,118,73,49,122,126,150,279,315,207,520,1696,1734,3432
Donnybrook-Balingup (S),52870,6,7,14,0,3,3,8,3,11,3,5,10,4,9,10,7,3,4,3,0,4,4,0,4,10,6,17,0,0,0,40,34,75
Walkerville (M),48260,3,8,8,0,3,4,0,3,5,0,3,7,0,0,0,4,3,4,0,0,0,0,0,0,3,6,12,3,0,3,20,25,44
Wattle Range (DC),48340,10,7,17,3,0,6,11,5,21,10,14,20,3,7,17,4,9,9,5,10,15,7,6,13,13,3,22,6,3,7,72,63,137
West Torrens (C),48410,31,30,61,14,5,22,35,17,52,10,19,34,19,24,46,14,15,25,12,13,23,17,26,41,49,43,94,12,10,17,206,208,409
Whyalla (C),48540,37,36,68,19,13,30,51,69,119,46,47,96,17,37,58,12,26,45,4,30,34,10,17,28,57,46,104,30,29,60,289,351,639
Merredin (S),55460,5,17,23,8,6,15,12,8,23,6,5,16,5,9,13,8,3,6,8,6,14,0,4,7,12,5,21,8,3,13,73,64,140
Wudinna (DC),48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,9,5,11
Yankalilla (DC),48750,3,0,4,0,0,4,3,4,5,0,3,3,0,0,3,0,7,7,3,0,3,0,0,3,4,0,8,0,0,0,18,13,31
Yorke Peninsula (DC),48830,8,4,10,3,3,8,20,21,45,17,25,41,10,13,22,4,9,19,7,3,14,9,3,7,14,6,25,8,8,16,106,100,209
Unincorporated SA,49399,16,12,30,13,11,22,55,59,121,20,20,38,23,17,33,31,21,50,8,15,22,11,12,17,48,13,70,79,66,152,313,241,550
No usual address (SA),49499,15,3,21,13,3,10,53,38,95,17,13,29,16,13,28,3,10,8,3,3,5,0,0,0,3,3,8,12,13,24,129,92,223
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany (C),50080,36,39,73,17,24,44,54,35,87,43,43,93,20,35,55,16,29,47,12,26,33,18,21,44,86,51,137,222,17,239,528,323,849
Armadale (C),50210,92,99,189,27,45,70,79,87,168,46,60,112,34,67,97,32,62,89,37,49,88,39,43,84,172,95,273,34,51,85,598,651,1249
Ashburton (S),50250,44,38,91,10,7,12,33,49,86,10,24,38,16,19,31,3,16,23,10,11,18,6,9,11,270,77,352,46,27,75,444,290,735
Augusta-Margaret River (S),50280,5,8,19,0,4,3,5,5,14,3,8,11,0,3,8,6,8,15,8,4,9,4,7,9,22,12,35,0,3,3,54,61,117
Bassendean (T),50350,22,15,35,7,10,18,32,24,58,7,9,16,11,13,23,7,7,16,9,10,18,6,9,19,27,20,47,4,14,19,133,129,264
Bayswater (C),50420,48,39,87,12,21,33,39,37,78,12,37,53,12,26,36,15,27,39,17,21,38,22,20,37,85,64,145,21,26,47,283,309,597
Belmont (C),50490,27,33,66,20,20,39,54,59,108,23,51,72,10,35,44,22,34,47,14,26,41,25,25,48,88,73,162,23,31,51,305,383,683
Beverley (S),50560,4,4,9,0,0,0,5,3,10,3,3,12,3,3,5,3,4,8,5,5,7,0,0,0,3,0,3,4,0,4,25,29,51
Boddington (S),50630,4,0,5,3,0,3,3,7,10,5,4,6,3,3,4,0,4,3,3,0,3,0,0,0,12,3,15,7,0,8,31,31,60
Broomehill-Tambellup (S),51080,3,0,6,0,0,0,15,0,15,4,9,15,3,9,10,0,6,10,3,0,0,4,3,5,3,0,3,3,8,10,39,41,79
Bruce Rock (S),51120,0,3,3,0,0,0,3,3,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,8,20
Bunbury (C),51190,31,45,75,13,27,37,39,54,93,32,50,82,28,33,64,17,37,59,22,32,54,28,18,46,67,50,115,107,22,137,391,372,763
Busselton (C),51260,22,29,50,10,13,27,13,23,34,18,15,30,13,17,33,9,17,31,14,14,25,15,12,27,50,20,74,12,8,20,174,181,352
Cambridge (T),51310,0,0,6,0,3,3,0,0,3,3,0,4,0,5,9,4,3,7,4,0,3,0,0,3,13,12,23,0,0,0,22,26,51
Canning (C),51330,38,35,75,15,28,40,36,53,87,25,36,57,18,34,53,11,24,41,7,23,29,31,16,48,81,60,137,16,12,32,270,319,592
Capel (S),51400,16,22,42,11,11,21,12,18,31,9,22,25,5,10,13,7,11,19,5,11,19,8,8,14,28,16,47,4,9,12,105,134,245
Chittering (S),51680,16,15,34,0,0,0,0,0,0,0,3,3,3,3,5,0,0,3,0,0,0,0,0,3,11,3,19,0,3,4,37,33,71
Claremont (T),51750,18,0,23,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,4,7,3,0,3,32,12,40
Cockburn (C),51820,73,66,140,25,25,57,78,66,138,31,58,89,17,49,65,21,49,72,19,41,60,31,32,68,145,125,271,40,47,88,486,559,1039
Collie (S),51890,22,14,41,4,3,11,26,22,48,15,14,21,5,15,17,9,7,15,5,12,13,4,0,3,19,10,33,6,9,14,118,103,217
Corrigin (S),52100,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,0,0,3,3,6,0,3,3,7,17,19
Cottesloe (T),52170,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,5,9,12,0,0,0,6,15,21
Cranbrook (S),52240,0,0,0,0,0,0,5,3,8,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,7,15
Cuballing (S),52310,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6
Cue (S),52380,3,0,0,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,11,6,21
Cunderdin (S),52450,3,0,3,0,0,0,0,3,4,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,3,0,6,0,0,0,13,7,21
Dalwallinu (S),52520,3,3,6,0,0,0,7,0,7,4,4,7,0,7,7,0,3,3,3,3,3,3,0,4,8,3,4,0,0,4,25,17,44
Dandaragan (S),52590,3,0,3,0,0,0,4,11,10,4,0,3,0,3,3,0,5,7,0,0,3,0,0,0,9,4,12,3,0,5,23,27,54
Dowerin (S),52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,4,0,3,0,0,0,4,3,9
Dumbleyung (S),53010,0,0,0,0,0,0,6,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,11,14
Dundas (S),53080,4,3,7,0,0,0,3,0,3,3,5,9,3,0,6,0,0,0,3,4,8,3,0,5,3,0,3,7,3,15,28,24,58
East Fremantle (T),53150,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,4,0,0,3,3,3,5,0,0,0,16,15,22
East Pilbara (S),53220,45,48,92,23,22,48,218,237,451,35,73,114,23,32,53,29,26,53,9,25,32,19,20,39,324,131,455,78,70,146,800,681,1482
Esperance (S),53290,41,48,93,5,15,20,21,17,34,14,28,42,12,16,25,4,11,23,7,17,25,5,6,15,41,18,61,25,30,55,182,206,392
Exmouth (S),53360,3,4,5,0,0,0,3,0,3,0,0,0,0,0,0,0,4,5,0,0,3,3,0,3,8,3,11,3,0,3,21,12,32
Fremantle (C),53430,18,17,33,15,7,18,26,22,48,17,21,38,9,23,28,9,14,23,6,14,19,4,3,9,38,21,57,17,14,34,154,149,301
Gingin (S),53570,5,7,15,0,0,3,0,7,7,0,0,3,0,4,4,0,0,4,3,4,8,4,0,5,9,3,16,0,3,4,30,37,61
Gnowangerup (S),53640,3,0,3,0,4,7,11,9,19,4,4,10,3,5,10,0,0,3,0,0,0,3,0,5,3,3,6,3,0,3,40,27,67
Kalgoorlie/Boulder (C),54280,81,105,187,30,39,68,75,86,167,54,76,136,48,98,144,17,52,69,25,53,80,29,44,71,177,118,292,108,81,193,648,745,1391
Karratha (C),54310,205,159,366,28,39,69,78,86,170,51,105,154,35,67,105,31,73,102,31,77,103,19,36,54,279,174,455,216,83,297,978,902,1873
Goomalling (S),53710,4,4,5,0,0,0,3,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,6,11,18,26
Gosnells (C),53780,118,113,230,38,46,84,106,126,227,50,84,137,38,88,131,32,78,113,42,70,110,52,53,100,173,166,340,338,44,381,990,857,1845
Greater Geraldton (C),53800,147,152,305,56,60,116,180,126,310,78,147,227,58,128,188,46,115,160,43,79,126,53,83,137,240,185,422,291,169,459,1196,1259,2446
Halls Creek (S),53920,75,55,134,54,65,116,219,236,464,64,136,197,46,69,109,26,57,86,16,23,38,12,23,40,38,44,80,215,184,396,766,886,1653
Harvey (S),53990,26,28,57,13,22,35,24,17,42,16,17,31,6,18,24,7,18,29,9,22,30,10,4,20,53,31,78,6,16,21,168,191,362
Irwin (S),54060,6,3,7,0,0,4,6,3,12,3,5,12,3,6,3,0,4,4,0,0,0,5,5,6,11,3,17,3,0,4,31,37,67
Jerramungup (S),54130,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,4,4,0,4,0,0,0,13,9,18
Joondalup (C),54170,39,55,96,13,12,27,25,42,62,11,23,39,24,28,51,12,25,36,16,29,41,13,19,32,141,73,218,13,21,36,303,330,634
Kalamunda (S),54200,32,51,89,27,38,62,35,42,78,14,34,47,14,28,35,11,23,34,21,26,48,21,28,50,91,73,169,14,16,27,288,357,647
Katanning (S),54340,8,5,19,4,4,6,24,23,46,3,14,22,9,7,11,3,7,13,10,18,21,5,3,13,17,10,32,9,9,23,93,104,200
Kellerberrin (S),54410,4,4,8,0,0,0,4,7,12,5,4,12,0,3,3,0,0,0,0,6,5,0,0,3,0,4,8,4,4,6,25,32,62
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Kojonup (S),54550,3,0,3,0,0,3,0,4,6,0,8,8,0,0,3,4,3,5,3,3,10,0,0,5,3,3,4,3,4,7,25,29,54
Kondinin (S),54620,0,0,0,0,0,0,5,3,5,3,3,3,0,0,4,0,3,9,0,0,3,0,0,0,0,0,3,0,0,3,16,17,29
Koorda (S),54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Kulin (S),54760,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,11,14
Kwinana (C),54830,54,46,98,16,22,39,41,55,96,28,36,63,20,27,54,20,31,51,15,31,42,20,29,49,89,51,138,343,17,365,647,346,996
Lake Grace (S),54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,6,0,0,0,3,0,3,8,6,13
Laverton (S),54970,12,12,20,3,7,4,42,32,79,9,20,24,7,13,16,11,6,15,0,7,5,5,4,7,18,9,21,3,0,6,99,103,207
Leonora (S),55040,8,5,9,0,0,0,12,16,29,5,12,14,5,10,13,3,9,7,0,3,11,4,5,9,18,11,26,6,4,12,68,66,135
Mandurah (C),55110,61,93,154,20,40,57,81,72,151,46,78,125,34,46,74,21,86,104,28,45,67,31,23,53,138,79,218,28,19,52,485,575,1063
Manjimup (S),55180,18,13,25,6,3,13,11,11,20,6,9,16,11,17,23,0,6,7,3,11,20,7,4,13,15,9,25,11,9,25,90,100,187
Meekatharra (S),55250,11,13,23,3,4,4,22,20,43,12,18,27,11,17,22,8,14,15,6,9,11,7,6,10,14,12,29,13,12,30,93,120,215
Melville (C),55320,29,25,54,20,9,27,29,20,55,18,21,38,12,20,30,11,9,25,8,17,28,13,15,27,74,57,128,34,25,53,245,223,468
Mukinbudin (S),55950,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,12,17
Menzies (S),55390,3,3,13,0,3,3,41,34,74,10,17,28,3,5,9,12,4,13,0,5,6,3,3,8,4,3,5,9,3,9,81,85,170
Mingenew (S),55530,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,9,15
Mundaring (S),56090,27,32,55,13,20,34,30,23,55,16,13,30,7,10,15,10,27,36,13,10,23,13,15,30,73,52,131,562,10,569,764,216,981
Morawa (S),55670,12,6,19,4,3,5,12,6,15,5,7,5,3,5,4,3,3,8,0,0,0,0,0,3,4,3,8,6,4,8,44,41,88
Moora (S),55600,12,8,16,7,3,13,16,7,28,11,14,28,8,17,30,3,10,20,0,9,10,3,4,10,14,3,17,9,14,22,91,90,180
Nungarin (S),56860,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,6
Peppermint Grove (S),56930,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19
Mosman Park (T),55740,0,9,12,0,0,0,4,0,4,3,3,3,0,3,3,4,5,6,0,0,0,0,0,0,5,3,9,4,3,11,26,28,50
Mount Magnet (S),55810,6,3,10,0,0,0,13,9,18,4,6,15,3,5,8,4,3,7,0,0,0,0,3,5,5,3,7,5,3,6,34,42,77
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,7
Rockingham (C),57490,121,128,245,31,45,83,90,88,176,40,78,116,33,77,111,28,94,121,40,66,103,44,60,100,313,145,453,36,24,58,773,805,1575
Murchison (S),56160,3,4,6,0,0,0,6,8,12,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,8,19,22,39
Murray (S),56230,24,24,42,6,13,15,10,13,27,9,16,24,15,17,28,3,13,18,3,8,7,3,13,15,36,10,51,7,6,12,110,129,243
Nannup (S),56300,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,8,12
Southern Midlands (M),65010,15,9,26,3,8,10,13,15,27,24,19,46,9,11,17,13,20,32,13,8,19,10,8,19,19,11,27,9,4,17,121,114,229
Tasman (M),65210,0,8,4,0,0,0,5,3,9,6,11,21,5,3,8,5,9,9,4,3,5,3,3,6,10,3,11,3,3,9,43,45,88
Waratah/Wynyard (M),65410,32,30,56,21,27,40,49,45,90,35,36,69,23,42,70,13,41,52,22,31,60,35,26,61,78,53,132,22,25,42,322,349,678
West Coast (M),65610,10,6,23,7,9,10,20,8,28,21,19,38,3,10,20,0,11,12,5,11,13,6,16,22,40,7,44,8,3,7,118,96,209
West Tamar (M),65810,13,16,34,15,17,24,23,12,39,12,24,35,10,20,27,12,18,33,10,12,22,15,22,38,47,24,73,7,11,15,159,179,334
Narembeen (S),56370,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,3,0,0,0,8,7,14
Narrogin (S),56460,10,19,29,0,3,3,14,14,26,21,25,45,8,13,20,8,8,13,7,7,9,11,4,10,19,9,23,9,23,30,93,114,208
Nedlands (C),56580,5,0,8,0,0,0,6,3,9,3,3,4,3,3,5,4,0,4,0,0,0,3,0,4,8,5,9,0,3,0,33,17,52
Ngaanyatjarraku (S),56620,9,25,39,26,33,51,130,150,276,57,68,127,32,50,87,14,15,26,7,0,7,3,3,5,6,6,8,184,188,370,461,538,996
Northam (S),56730,29,14,40,13,10,26,39,38,82,25,28,48,12,32,48,7,16,24,7,13,26,6,14,15,35,24,62,20,18,32,192,209,408
Northampton (S),56790,8,8,13,3,4,3,15,13,23,12,13,22,3,9,14,3,3,3,0,7,6,3,6,4,10,10,17,3,0,3,65,61,124
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpentine-Jarrahdale (S),57700,24,28,49,4,6,13,8,10,16,5,13,17,4,7,9,0,13,16,12,8,19,7,11,17,59,44,100,48,12,60,168,153,320
Shark Bay (S),57770,0,3,3,0,0,0,0,0,0,3,5,12,3,3,6,0,3,3,3,0,8,5,0,9,7,4,15,0,4,4,27,26,49
South Perth (C),57840,54,16,69,22,9,29,20,29,52,13,25,33,17,13,27,3,16,24,3,9,13,0,8,7,47,27,76,17,17,32,194,169,363
Stirling (C),57910,88,88,179,33,56,88,106,94,202,53,83,133,32,87,119,31,96,128,28,68,93,47,53,109,212,168,386,76,58,137,717,849,1569
Subiaco (C),57980,4,5,14,3,5,9,7,3,15,3,5,9,4,4,11,5,7,14,0,6,7,3,0,6,14,13,25,0,14,14,52,61,111
Swan (C),58050,191,133,331,52,77,131,140,158,300,66,120,185,51,99,152,55,89,145,55,77,129,64,80,140,329,234,560,78,237,318,1085,1304,2388
Tammin (S),58190,0,0,0,0,3,3,4,4,4,3,6,4,0,4,3,3,3,7,0,0,3,0,0,0,0,0,0,0,3,3,16,16,30
Three Springs (S),58260,0,0,0,0,0,0,3,5,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,8,15,15,28
Perenjori (S),57000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,7,0,10,3,0,3,17,11,27
Perth (C),57080,8,4,10,3,8,14,12,14,32,13,3,13,7,3,14,5,8,12,4,3,4,3,5,6,30,20,46,7,5,14,91,70,164
Pingelly (S),57140,3,3,10,0,3,6,9,13,19,4,0,4,5,14,18,3,3,3,0,0,3,0,3,4,6,3,7,7,7,12,38,53,89
Plantagenet (S),57210,6,9,21,0,3,4,9,4,11,3,9,12,0,4,6,0,3,3,3,3,3,3,0,4,9,8,22,9,3,16,54,52,102
Port Hedland (T),57280,125,127,258,24,28,45,86,99,185,52,113,167,41,79,116,30,65,86,25,34,58,16,43,59,312,202,521,90,86,180,796,877,1674
Quairading (S),57350,3,0,3,0,3,3,16,5,17,0,9,7,3,8,13,0,11,8,0,3,3,0,0,0,0,0,0,0,0,0,27,37,57
Ravensthorpe (S),57420,0,0,0,0,0,0,3,3,4,0,3,3,3,0,3,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,13,10,22
Toodyay (S),58330,7,5,15,3,6,8,3,6,8,3,3,3,8,3,11,8,3,10,3,3,4,0,6,7,12,11,20,3,0,3,46,42,87
Westonia (S),59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Trayning (S),58400,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,11,14
No usual address (Tas.),69499,3,0,4,0,0,0,9,3,15,6,5,11,4,0,5,0,0,3,7,0,7,3,0,3,3,0,4,0,0,0,33,16,50
Palmerston (C),72800,156,146,304,48,58,103,88,113,203,61,102,159,52,94,153,45,87,133,32,105,131,75,100,180,468,343,816,73,88,168,1104,1234,2333
Upper Gascoyne (S),58470,3,0,4,0,0,0,23,9,31,0,8,13,0,4,4,0,6,5,0,0,3,0,3,3,7,0,7,19,9,30,59,40,99
Victoria Park (T),58510,12,20,30,3,15,23,29,29,62,23,23,42,13,19,29,12,7,20,8,9,15,12,7,20,54,42,90,26,46,72,197,211,405
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Springs (T),70200,186,121,300,75,86,160,194,277,479,100,183,285,100,156,254,54,91,146,72,99,177,73,110,187,301,350,651,199,240,433,1352,1715,3071
Roper Gulf (R),73600,170,98,269,238,232,467,599,644,1245,147,187,330,79,111,192,94,124,218,54,65,116,32,24,63,48,49,100,254,219,470,1717,1758,3476
Tiwi Islands (R),74050,71,62,129,221,197,415,207,212,420,76,108,187,37,60,94,49,60,109,26,20,50,9,9,15,23,33,55,60,67,121,774,826,1597
Victoria Daly (R),74550,71,67,137,54,53,108,169,193,359,27,60,87,26,45,72,38,37,78,26,22,47,17,16,37,28,29,56,113,112,224,570,641,1206
Victoria Plains (S),58540,3,3,3,4,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,11,8,15
West Daly (R),74680,71,70,143,198,152,351,309,357,663,45,122,169,50,68,116,41,70,117,9,24,28,4,10,16,12,7,19,125,124,252,871,1002,1872
Unincorporated NT,79399,17,12,30,3,5,10,12,14,22,9,11,19,13,12,29,19,29,44,43,34,76,16,15,28,81,76,157,63,37,105,272,255,524
No usual address (NT),79499,11,4,18,8,5,7,86,50,136,88,78,167,51,54,109,9,5,13,15,14,33,9,0,14,13,7,21,96,68,169,384,295,677
Vincent (C),58570,6,9,19,4,4,7,13,19,27,12,12,22,10,8,15,3,13,15,11,3,11,4,3,6,48,32,79,4,0,3,106,98,199
Wagin (S),58610,0,0,0,0,5,5,3,0,4,0,6,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,3,5,11,13,27
Wandering (S),58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Wanneroo (C),58760,113,120,235,33,66,93,85,71,157,51,100,153,32,82,115,45,84,127,29,59,93,43,69,105,256,153,412,63,62,118,740,872,1614
Waroona (S),58820,0,5,5,3,3,3,10,10,11,0,4,11,3,3,3,0,4,5,0,0,3,0,3,3,12,3,14,0,3,3,32,32,67
West Arthur (S),58890,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,7,3,9,0,0,0,9,12,20
Dorset (M),61810,14,3,14,0,0,3,8,11,20,14,12,27,8,4,15,10,6,12,10,3,13,3,3,7,7,10,16,0,3,5,68,66,130
Flinders (M) (Tas.),62010,0,3,3,3,0,4,12,8,15,9,7,15,7,11,16,3,3,9,7,7,9,7,4,16,13,10,21,5,6,10,58,57,118
George Town (M),62210,10,12,20,4,8,15,19,18,31,13,14,30,15,15,27,0,9,9,9,3,14,7,0,8,10,5,19,4,6,18,93,101,193
Glamorgan/Spring Bay (M),62410,7,6,11,4,3,6,5,9,17,12,13,19,11,16,18,9,11,20,3,9,18,0,4,3,7,4,11,10,0,9,60,73,131
Wickepin (S),59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,4,8,9
Wagait (S),74560,0,0,0,0,0,0,0,3,4,0,0,3,3,0,4,0,4,4,0,0,0,0,0,0,3,5,7,0,0,0,13,20,29
