lga_code16,tot_mgr,tot_pfn,tot_tch_trwk,tot_co_pswk,tot_cl_adwk,tot_sal,tot_mchop,tot_lab,tot_inad_ns,tot_to,lga_name16
27070,8555,14245,13578,10070,13093,9762,7834,9491,1614,88238,Whittlesea (C)
27170,1901,2948,3005,2409,2305,1894,1367,2021,299,18144,Wodonga (C)
27260,10423,18123,12461,10947,14920,9538,10428,9166,1811,97819,Wyndham (C)
27350,8436,21479,3477,4473,5525,3634,758,1713,837,50334,Yarra (C)
27450,9283,12983,13631,8363,9916,6817,4054,7129,1184,73367,Yarra Ranges (S)
27630,724,344,270,329,214,162,178,312,40,2577,Yarriambiack (S)
29399,802,1049,481,655,369,303,299,285,51,4293,Unincorporated Vic
30250,18,56,43,66,27,13,13,32,12,277,Aurukun (S)
30300,528,268,238,190,215,162,178,350,30,2155,Balonne (S)
30370,1492,790,1350,493,712,468,1189,1179,104,7774,Banana (S)
30410,391,180,146,131,160,78,113,262,23,1470,Barcaldine (R)
30450,55,16,39,12,17,3,23,35,4,203,Barcoo (S)
30760,248,78,100,93,82,78,64,156,33,931,Blackall-Tambo (R)
34710,412,366,281,229,257,172,133,262,42,2145,Longreach (R)
34770,5485,7451,9768,4624,6257,4866,6060,5457,885,50861,Mackay (R)
34800,191,101,184,33,53,20,213,133,21,938,McKinlay (S)
34830,11,19,17,13,15,4,6,9,0,96,Mapoon (S)
34860,1494,891,962,550,791,463,658,859,100,6771,Maranoa (R)
34880,1369,1102,1125,997,937,686,542,1329,147,8243,Mareeba (S)
35010,20075,30667,28667,22762,28665,19220,13298,20303,3102,186760,Moreton Bay (R)
35250,25,69,52,90,26,16,18,41,5,343,Mornington (S)
35300,726,1478,2005,880,977,645,1431,824,168,9135,Mount Isa (C)
35600,415,297,260,207,212,148,118,392,34,2087,Murweh (S)
35670,10,23,33,22,12,10,35,22,4,168,Napranum (S)
35740,3223,4545,3462,2865,2741,2597,914,2396,359,23111,Noosa (S)
35760,1085,399,414,386,390,275,362,1045,91,4461,North Burnett (R)
35780,117,160,128,183,126,72,62,118,19,982,Northern Peninsula Area (R)
35790,40,103,64,168,49,16,17,74,12,539,Palm Island (S)
35800,249,106,86,70,73,36,49,104,17,785,Paroo (S)
36070,36,43,35,43,15,8,29,33,3,244,Pormpuraaw (S)
36150,112,46,63,48,45,15,55,88,15,482,Quilpie (S)
36250,8525,11870,10963,7605,11091,7013,4337,6798,1008,69207,Redland (C)
36300,118,38,53,27,54,23,45,111,19,483,Richmond (S)
36370,3157,5588,5413,4215,4499,3440,2838,4254,467,33869,Rockhampton (R)
36510,2655,2527,2726,1909,2098,1368,1287,2408,257,17229,Scenic Rim (R)
36580,1274,1020,1366,1031,1025,738,923,1637,157,9171,Somerset (R)
17100,2253,6198,1994,1641,2711,1811,799,1545,495,19447,Strathfield (A)
17150,16706,26671,15053,11668,18653,10608,4335,6063,1748,111497,Sutherland Shire (A)
17200,21840,45746,9755,12471,13626,9267,1837,6100,2199,122838,Sydney (C)
17310,3371,4600,3754,2751,3086,2561,1743,3678,419,25969,Tamworth Regional (A)
17350,543,356,343,254,262,230,171,295,30,2479,Temora (A)
22310,11266,23767,6105,6247,9319,6333,1501,3219,1111,68866,Glen Eira (C)
22410,1279,1095,1176,861,789,677,1008,1130,152,8159,Glenelg (S)
22490,1376,1540,1845,1085,1210,880,803,1119,196,10052,Golden Plains (S)
22620,5301,9732,6990,5883,5980,5072,2916,5714,735,48320,Greater Bendigo (C)
22670,4633,8166,9349,6420,6885,5697,7275,10327,1459,60208,Greater Dandenong (C)
36630,1776,1548,1593,1371,1161,1045,1006,1882,208,11583,South Burnett (R)
36660,2261,1772,1874,1494,1513,1287,1160,2484,240,14083,Southern Downs (R)
36720,15088,24891,20690,15753,16961,14462,6299,13401,1944,129487,Sunshine Coast (R)
36820,1513,1517,1300,1150,1110,903,704,1370,150,9715,Tablelands (R)
36910,8730,13211,10552,7919,9488,6435,4726,8633,901,70593,Toowoomba (R)
36950,183,338,217,250,226,77,56,161,49,1558,Torres (S)
36960,75,214,146,165,136,62,26,154,44,1024,Torres Strait Island (R)
37010,8382,16241,12652,12620,11691,8386,6191,8162,1241,85565,Townsville (C)
30900,52,14,26,14,22,3,31,91,3,258,Boulia (S)
31000,73777,167717,59449,57695,82666,50078,23297,41765,8825,565274,Brisbane (C)
31750,66,22,80,18,33,6,46,48,8,326,Bulloo (S)
31820,4058,5152,4649,3966,4012,3598,2782,5159,518,33893,Bundaberg (R)
31900,1321,853,1127,720,865,613,915,1333,119,7866,Burdekin (S)
31950,48,40,30,13,42,7,21,53,9,272,Burke (S)
32080,8392,14583,10910,10109,9871,7978,4031,7256,1270,74410,Cairns (R)
32250,161,137,147,137,109,33,80,189,28,1015,Carpentaria (S)
32260,1929,1408,1675,1294,1297,999,1140,2588,227,12542,Cassowary Coast (R)
32270,2124,1686,2955,916,1501,1005,2965,1731,218,15102,Central Highlands (R) (Qld)
32310,725,698,660,512,465,386,501,704,80,4728,Charters Towers (R)
34580,1968,1813,2297,1661,1791,1331,1562,2862,239,15520,Lockyer Valley (R)
34590,11940,17160,21236,14146,19538,12719,14428,16862,2397,130420,Logan (C)
32330,8,17,9,43,20,0,6,26,0,126,Cherbourg (S)
32450,262,316,469,117,226,88,446,329,44,2292,Cloncurry (S)
32500,370,456,418,280,236,112,236,362,46,2522,Cook (S)
32600,37,4,13,16,8,5,12,32,5,138,Croydon (S)
37300,200,372,601,183,213,102,534,177,27,2419,Weipa (T)
37310,2880,1870,2723,1199,1660,1180,1771,2106,252,15634,Western Downs (R)
37340,2513,2256,2816,1931,1787,1571,1694,2649,267,17486,Whitsunday (R)
32750,43,27,37,23,23,12,18,43,0,227,Diamantina (S)
41140,842,604,566,393,458,328,254,619,46,4104,Clare and Gilbert Valleys (DC)
41060,5988,11085,6576,5980,7911,5210,2888,4651,780,51070,Charles Sturt (C)
32770,18,58,31,84,29,15,12,42,14,313,Doomadgee (S)
32810,1275,1338,1090,1022,858,708,345,884,137,7667,Douglas (S)
33100,131,55,44,27,42,9,33,93,5,442,Etheridge (S)
33200,255,73,86,56,79,44,94,139,13,838,Flinders (S) (Qld)
33220,3316,5347,4716,4817,4125,3649,2246,4029,517,32752,Fraser Coast (R)
33360,2631,3790,5802,2468,2947,2302,3338,3584,474,27327,Gladstone (R)
33430,32862,48609,38734,31776,36031,31821,13209,25571,4613,263219,Gold Coast (C)
33610,1019,586,626,440,551,379,482,739,73,4897,Goondiwindi (R)
33620,2250,2214,2725,2011,1977,1785,1489,2660,301,17403,Gympie (R)
33800,704,562,715,497,497,375,539,585,63,4530,Hinchinbrook (S)
33830,16,35,36,44,30,6,34,39,15,253,Hope Vale (S)
33960,7480,12136,12441,10693,12190,8060,8265,10601,1526,83390,Ipswich (C)
33980,1507,1453,3360,677,971,493,4097,1394,168,14132,Isaac (R)
34420,24,43,33,73,21,9,15,36,10,263,Kowanyama (S)
34530,1782,2377,2610,1741,1936,1404,1322,1489,233,14902,Livingstone (S)
34570,28,37,18,42,16,4,17,45,15,229,Lockhart River (S)
37400,192,69,76,59,64,32,61,95,22,671,Winton (S)
41750,204,59,52,34,49,20,24,91,7,539,Elliston (DC)
37550,19,25,15,58,20,10,9,31,13,196,Woorabinda (S)
65810,1150,2008,1461,1177,1220,957,602,924,144,9637,West Tamar (M)
37570,9,16,5,16,6,0,7,8,0,66,Wujal Wujal (S)
37600,25,60,39,96,39,8,12,50,31,350,Yarrabah (S)
64810,681,808,1022,792,935,666,422,704,119,6162,Sorell (M)
40070,2037,4304,871,1287,1361,901,195,519,169,11636,Adelaide (C)
40120,3037,5470,2465,1963,2345,1425,704,1434,236,19078,Adelaide Hills (DC)
40220,1449,1442,1552,1309,1190,888,620,1261,143,9851,Alexandrina (DC)
40250,81,207,28,145,29,22,15,62,18,601,Anangu Pitjantjatjara (AC)
40310,1632,1688,1652,1117,1297,868,749,1865,136,10999,Barossa (DC)
40430,248,112,99,91,75,42,73,131,21,881,Barunga West (DC)
40520,610,612,561,526,446,393,327,791,53,4315,Berri and Barmera (DC)
40700,3214,7820,1313,1825,2546,1683,292,861,271,19836,Burnside (C)
40910,2597,5673,2859,2505,3455,2474,873,1959,365,22767,Campbelltown (C) (SA)
41010,395,233,200,223,188,145,123,212,46,1769,Ceduna (DC)
41190,374,112,133,73,86,92,57,138,28,1096,Cleve (DC)
41330,119,116,91,128,76,58,66,77,23,765,Coober Pedy (DC)
41560,603,645,759,639,523,584,368,725,84,4927,Copper Coast (DC)
41830,111,113,92,94,58,47,62,77,17,658,Flinders Ranges (DC)
41960,158,59,83,57,58,54,67,71,9,618,Franklin Harbour (DC)
42030,970,1439,1497,1303,1324,1017,754,1231,170,9719,Gawler (T)
42110,453,152,221,139,147,98,130,285,41,1665,Goyder (DC)
42250,735,481,533,334,474,328,375,523,51,3832,Grant (DC)
42600,2533,4682,1782,2096,2490,1602,459,1026,226,16896,Holdfast Bay (C)
42750,529,255,265,256,196,196,101,342,22,2151,Kangaroo Island (DC)
43080,221,44,39,37,23,20,20,67,6,478,Karoonda East Murray (DC)
43220,215,51,49,36,54,48,35,58,8,557,Kimba (DC)
43360,281,92,109,92,81,106,49,202,19,1027,Kingston (DC) (SA)
43650,1088,964,1091,838,893,634,555,1019,99,7177,Light (RegC)
43710,546,324,381,257,285,175,163,326,43,2500,Lower Eyre Peninsula (DC)
43790,975,595,615,539,515,406,344,938,83,5010,Loxton Waikerie (DC)
43920,551,337,674,427,495,338,493,625,83,4019,Mallala (DC)
44000,7,3,0,4,0,0,0,3,0,12,Maralinga Tjarutja (AC)
44060,4208,9290,5653,5698,6200,4160,1743,3672,576,41203,Marion (C)
44210,617,280,515,334,301,247,298,614,50,3250,Mid Murray (DC)
44340,4097,10254,3048,3336,4036,2608,663,1996,358,30407,Mitcham (C)
44550,2118,3136,2418,1993,2126,1666,824,1655,209,16149,Mount Barker (DC)
44620,1101,1695,1649,1474,1331,1437,1105,1570,158,11506,Mount Gambier (C)
44830,386,165,129,125,122,43,98,144,22,1230,Mount Remarkable (DC)
45040,946,761,1120,1007,842,910,638,2038,151,8417,Murray Bridge (RC)
45090,908,456,526,301,391,379,240,897,51,4151,Naracoorte and Lucindale (DC)
45120,536,279,271,168,167,154,158,243,19,1994,Northern Areas (DC)
45290,2261,5959,1494,1842,2198,1393,365,1020,247,16769,Norwood Payneham St Peters (C)
45340,7291,11791,12232,10114,10790,8159,4247,7976,1057,73659,Onkaparinga (C)
45400,126,56,47,50,28,22,7,44,5,393,Orroroo/Carrieton (DC)
45540,92,41,54,73,39,35,42,105,20,497,Peterborough (DC)
45680,2857,3158,4869,4464,3991,3518,3648,5163,619,32287,Playford (C)
45890,4984,10691,6918,6611,7036,4666,3466,6425,889,51697,Port Adelaide Enfield (C)
46090,463,820,695,893,662,560,455,640,106,5301,Port Augusta (C)
46300,712,970,918,742,727,725,330,887,88,6098,Port Lincoln (C)
46450,710,933,1042,875,699,720,731,848,115,6670,Port Pirie City and Dists (M)
46510,1451,3173,1063,975,1475,933,375,793,143,10373,Prospect (C)
46670,678,472,508,374,407,359,317,918,79,4109,Renmark Paringa (DC)
46860,189,74,91,58,58,57,27,139,8,686,Robe (DC)
46970,190,356,755,144,195,104,677,232,53,2704,Roxby Downs (M)
47140,4862,7381,8430,7599,7862,5805,5524,8451,1074,56992,Salisbury (C)
47290,351,80,104,61,56,66,81,165,12,974,Southern Mallee (DC)
47490,250,109,125,75,87,82,61,156,25,975,Streaky Bay (DC)
47630,835,322,420,199,304,268,222,718,64,3350,Tatiara (DC)
47700,4876,8822,7066,5692,7864,4867,2526,4165,658,46531,Tea Tree Gully (C)
47800,707,191,216,188,188,183,170,412,27,2280,The Coorong (DC)
47910,359,154,131,81,116,83,88,143,11,1169,Tumby Bay (DC)
47980,2800,6977,1363,1806,2244,1581,292,902,254,18213,Unley (C)
48050,579,694,661,684,516,511,214,610,63,4530,Victor Harbor (C)
48130,598,244,322,260,255,176,280,541,44,2723,Wakefield (DC)
51960,99,180,438,117,138,94,496,180,26,1761,Coolgardie (S)
52030,145,29,48,17,49,18,44,74,9,424,Coorow (S)
