LGA_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,LGA_NAME11
24130,0,2900,2900,4715,238,4953,2242,23,2265,2680,3,2683,1249,3,1252,469,0,469,11355,3167,14522,Macedon Ranges (S)
24210,0,6774,6774,12138,532,12670,6880,163,7043,7703,51,7754,3233,19,3252,1120,8,1128,31074,7547,38621,Manningham (C)
24250,0,897,897,1136,77,1213,333,3,336,327,0,327,149,0,149,63,0,63,2008,977,2985,Mansfield (S)
24330,0,7211,7211,7252,1273,8525,4224,505,4729,3611,181,3792,1301,84,1385,767,40,807,17155,9294,26449,Maribyrnong (C)
24410,0,9493,9493,11554,887,12441,6099,147,6246,6451,31,6482,2723,14,2737,982,5,987,27809,10577,38386,Maroondah (C)
24600,0,15189,15189,11942,4279,16221,3609,1615,5224,1817,562,2379,523,141,664,246,53,299,18137,21839,39976,Melbourne (C)
24650,0,5692,5692,9158,647,9805,6673,81,6754,7670,27,7697,3393,9,3402,1625,0,1625,28519,6456,34975,Melton (S)
24780,0,5490,5490,6215,417,6632,2679,58,2737,2516,13,2529,1264,13,1277,581,5,586,13255,5996,19251,Mildura (RC)
24850,0,2522,2522,3675,249,3924,1855,20,1875,2037,3,2040,992,7,999,451,3,454,9010,2804,11814,Mitchell (S)
24900,0,3019,3019,3925,232,4157,1304,22,1326,1190,6,1196,693,0,693,358,0,358,7470,3279,10749,Moira (S)
24970,0,11798,11798,17512,1500,19012,10295,866,11161,11058,571,11629,3892,238,4130,1526,118,1644,44283,15091,59374,Monash (C)
25060,0,10615,10615,11889,1375,13264,6225,401,6626,6452,137,6589,2598,44,2642,815,8,823,27979,12580,40559,Moonee Valley (C)
25150,0,2211,2211,3230,198,3428,1562,15,1577,1713,8,1721,785,0,785,356,0,356,7646,2432,10078,Moorabool (S)
25250,0,15092,15092,16049,2579,18628,8092,1223,9315,7581,532,8113,2926,161,3087,1557,53,1610,36205,19640,55845,Moreland (C)
25340,0,14205,14205,18876,1141,20017,7290,105,7395,8001,31,8032,3291,10,3301,1198,3,1201,38656,15495,54151,Mornington Peninsula (S)
25430,0,2278,2278,2476,197,2673,864,20,884,754,5,759,354,0,354,151,0,151,4599,2500,7099,Mount Alexander (S)
25490,0,1392,1392,2042,88,2130,792,5,797,812,3,815,474,3,477,194,0,194,4314,1491,5805,Moyne (S)
25620,0,1400,1400,1850,112,1962,636,7,643,682,3,685,242,3,245,101,0,101,3511,1525,5036,Murrindindi (S)
25710,0,2654,2654,5355,224,5579,3355,28,3383,4918,5,4923,2149,3,2152,672,0,672,16449,2914,19363,Nillumbik (S)
25810,0,1457,1457,1735,107,1842,570,14,584,540,3,543,224,8,232,106,5,111,3175,1594,4769,Northern Grampians (S)
56020,0,62,62,74,8,82,22,0,22,34,0,34,17,0,17,13,0,13,160,70,230,Mullewa (S)
56090,0,2297,2297,4380,168,4548,1983,28,2011,2144,18,2162,966,3,969,402,3,405,9875,2517,12392,Mundaring (S)
25900,0,16598,16598,13063,3327,16390,4166,848,5014,2843,187,3030,756,31,787,243,8,251,21071,20999,42070,Port Phillip (C)
25990,0,841,841,970,67,1037,308,5,313,270,0,270,159,0,159,64,0,64,1771,913,2684,Pyrenees (S)
26080,0,422,422,480,15,495,101,3,104,139,0,139,43,0,43,13,0,13,776,440,1216,Queenscliffe (B)
26170,0,2819,2819,3878,211,4089,1314,16,1330,1290,0,1290,643,0,643,282,0,282,7407,3046,10453,South Gippsland (S)
26260,0,2035,2035,2279,131,2410,731,34,765,785,4,789,407,0,407,128,0,128,4330,2204,6534,Southern Grampians (S)
26350,0,13199,13199,11537,2680,14217,4311,872,5183,4099,228,4327,1654,54,1708,441,30,471,22042,17063,39105,Stonnington (C)
26430,0,1185,1185,1499,82,1581,463,0,463,370,0,370,164,0,164,84,0,84,2580,1267,3847,Strathbogie (S)
26490,0,1935,1935,3050,194,3244,1310,56,1366,1581,19,1600,713,4,717,195,0,195,6849,2208,9057,Surf Coast (S)
26610,0,2080,2080,2464,210,2674,1011,45,1056,902,17,919,548,3,551,275,11,286,5200,2366,7566,Swan Hill (RC)
26670,0,658,658,925,25,950,247,4,251,265,0,265,149,0,149,52,0,52,1638,687,2325,Towong (S)
26700,0,3149,3149,3599,209,3808,1438,20,1458,1321,10,1331,652,0,652,237,0,237,7247,3388,10635,Wangaratta (RC)
26730,0,3370,3370,3817,354,4171,1642,94,1736,1583,29,1612,783,15,798,324,3,327,8149,3865,12014,Warrnambool (C)
26810,0,4423,4423,5496,313,5809,2069,34,2103,1954,3,1957,983,3,986,383,4,387,10885,4780,15665,Wellington (S)
26890,0,571,571,652,19,671,183,0,183,190,0,190,104,0,104,37,0,37,1166,590,1756,West Wimmera (S)
26980,0,13570,13570,16031,1387,17418,8806,527,9333,9667,328,9995,3664,157,3821,1228,106,1334,39396,16075,55471,Whitehorse (C)
27070,0,7629,7629,13969,775,14744,9546,221,9767,10978,87,11065,4624,38,4662,2340,16,2356,41457,8766,50223,Whittlesea (C)
27170,0,3400,3400,4210,389,4599,2021,64,2085,1926,17,1943,873,3,876,317,4,321,9347,3877,13224,Wodonga (RC)
