lga_name_2016,lga_code_2016,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Murray Bridge (RC),45040,20,40,78,58,66,51,15,3,0,333,23,36,62,60,65,41,14,8,3,305,509,906,1758,1547,1942,1394,350,62,5,8470
Naracoorte and Lucindale (DC),45090,11,13,18,23,34,24,10,0,0,138,10,12,27,26,37,14,14,6,3,147,230,314,748,862,946,772,296,61,14,4236
Northern Areas (DC),45120,0,7,9,10,7,19,5,0,0,68,0,4,7,6,11,12,5,4,0,53,87,150,299,361,440,450,171,28,9,1993
Norwood Payneham St Peters (C),45290,10,54,121,104,139,97,37,4,0,576,23,48,114,99,83,76,19,6,3,466,620,1603,4120,3569,3560,2624,765,99,8,16962
Onkaparinga (C),45340,122,349,761,729,751,503,130,7,0,3356,103,237,503,478,537,342,126,19,6,2338,4111,6980,15295,16060,17075,12617,2563,172,27,74900
Orroroo/Carrieton (DC),45400,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,3,0,0,0,13,8,18,61,61,76,124,41,7,3,398
Peterborough (DC),45540,0,0,4,0,3,0,0,0,0,4,5,0,5,3,3,5,3,0,0,22,27,28,75,72,98,156,33,5,0,493
Playford (C),45680,50,178,370,259,222,146,38,3,0,1271,71,197,348,301,291,170,43,11,6,1432,1745,3841,8282,6580,6984,4476,669,66,12,32648
Port Adelaide Enfield (C),45890,64,212,596,456,487,313,66,4,0,2197,64,191,545,392,385,246,75,22,6,1925,2025,4557,14173,12100,10685,7232,1368,106,20,52263
Port Augusta (C),46090,13,27,41,27,43,32,12,0,0,193,9,6,26,29,41,22,3,4,0,143,300,519,1088,961,1252,979,199,9,3,5306
Port Lincoln (C),46300,15,31,63,60,45,38,13,0,0,262,17,9,43,39,46,30,10,4,0,203,429,526,1298,1228,1337,1046,227,33,3,6127
Port Pirie City and Dists (M),46450,8,25,38,42,48,50,22,3,0,236,8,20,29,27,44,26,14,5,0,174,417,591,1185,1276,1617,1164,234,15,4,6507
Prospect (C),46510,11,40,93,70,92,69,19,0,0,387,9,42,82,52,63,41,11,3,0,297,433,1031,2512,2237,2241,1794,323,26,4,10598
Renmark Paringa (DC),46670,9,19,25,22,29,24,6,0,0,137,4,19,28,23,34,28,6,0,3,152,224,358,761,732,934,834,179,38,9,4068
Robe (DC),46860,0,3,4,6,3,7,0,0,0,24,0,3,3,0,3,5,4,0,0,20,30,55,110,122,149,132,61,19,0,677
Roxby Downs (M),46970,3,9,14,18,6,5,0,0,0,49,3,9,10,3,6,8,0,0,0,35,73,204,689,537,435,245,18,3,3,2199
Unley (C),47980,18,42,122,89,128,101,45,8,0,555,11,39,118,112,78,74,42,9,4,494,775,1671,3969,3947,4022,3090,908,91,12,18491
Victor Harbor (C),48050,8,16,32,28,44,36,12,0,0,180,7,13,21,22,24,27,13,6,0,141,276,312,682,858,1067,1064,342,50,6,4649
Wakefield (DC),48130,4,11,17,15,17,12,8,0,0,77,7,8,16,21,16,13,9,3,0,90,126,234,464,523,652,572,188,32,4,2783
Coolgardie (S),51960,3,0,12,4,8,6,0,0,0,38,6,0,9,4,10,12,0,0,0,42,60,107,354,323,364,220,42,5,0,1476
Coorow (S),52030,0,3,0,4,4,0,0,0,0,12,0,0,0,3,7,10,0,0,0,22,7,15,67,62,108,112,43,7,0,429
Walkerville (M),48260,3,8,12,17,18,10,4,0,0,79,8,4,31,17,19,16,10,10,0,119,128,307,603,639,788,648,239,44,0,3402
Wattle Range (DC),48340,9,19,23,25,36,36,3,0,0,157,24,14,19,43,37,27,19,3,0,177,272,352,693,966,1278,1035,366,61,17,5033
West Torrens (C),48410,37,118,293,210,205,157,41,13,0,1082,28,77,247,137,156,118,42,21,10,828,1226,2843,7529,6016,5503,3665,827,130,18,27750
Whyalla (C),48540,4,23,61,44,74,43,13,3,0,275,11,25,52,46,73,38,12,4,0,252,400,758,1776,1740,2103,1299,201,18,3,8299
Wudinna (DC),48640,0,3,3,3,3,5,0,0,0,19,5,0,3,0,7,8,0,0,0,27,23,46,100,132,137,140,51,5,0,647
Yankalilla (DC),48750,3,4,11,10,5,14,3,0,0,57,3,4,6,12,14,13,5,3,0,69,101,112,255,315,479,533,148,28,3,1983
Yorke Peninsula (DC),48830,6,15,29,18,25,35,3,3,0,144,11,3,15,15,31,39,16,8,3,131,153,233,571,658,991,1061,315,67,10,4061
Unincorporated SA,49399,0,0,10,18,13,3,4,0,0,55,0,0,14,10,18,6,3,3,0,54,44,106,354,334,412,331,82,12,0,1675
No usual address (SA),49499,4,0,0,7,5,0,0,0,0,23,0,6,15,8,9,8,3,0,0,46,23,88,242,125,131,102,24,3,0,734
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Albany (C),50080,47,84,128,137,166,130,41,3,0,725,56,57,120,102,137,118,40,17,3,643,1093,1226,2640,3133,3747,3147,863,120,15,15988
Armadale (C),50210,82,205,458,342,284,211,63,3,0,1656,89,207,466,408,392,207,56,11,3,1840,1830,3478,9722,8166,7106,4830,1055,97,5,36286
Ashburton (S),50250,3,10,36,28,14,11,0,0,0,107,3,21,106,93,85,50,6,0,0,361,75,394,2540,2327,1848,1004,107,3,0,8305
Augusta-Margaret River (S),50280,10,14,48,56,52,24,5,0,0,208,14,15,52,81,72,61,12,4,3,313,348,329,1330,1773,1517,1193,337,58,14,6892
Bassendean (T),50350,10,34,71,77,53,38,9,0,0,299,14,22,77,66,66,50,9,0,0,303,313,548,1702,1698,1567,1114,279,21,4,7242
Bayswater (C),50420,41,139,393,268,288,196,54,6,0,1384,36,147,434,342,316,188,63,12,0,1537,1176,3010,9151,7254,6158,4447,1107,100,11,32423
Belmont (C),50490,25,97,275,169,133,87,24,0,3,815,34,110,299,196,165,78,36,10,0,929,647,2061,5970,3980,3126,2226,529,53,3,18599
Beverley (S),50560,0,0,4,3,0,3,0,0,0,18,3,3,4,3,4,3,4,0,0,29,15,31,97,117,155,174,73,13,0,671
Boddington (S),50630,3,0,4,8,3,3,0,0,0,26,0,0,6,3,4,9,0,3,0,23,25,58,159,197,221,148,36,14,0,856
Boyup Brook (S),50770,0,0,0,6,5,4,0,0,0,15,0,0,3,12,7,8,3,0,0,31,19,28,82,179,174,153,94,21,0,752
Broomehill-Tambellup (S),51080,0,0,6,3,0,0,0,0,0,13,3,0,0,10,6,0,3,0,0,27,12,29,92,92,123,92,27,3,0,465
Bruce Rock (S),51120,0,0,7,0,3,0,0,0,0,11,0,0,0,3,4,0,3,0,0,11,12,15,80,73,86,93,39,8,3,413
Bunbury (C),51190,31,67,140,116,122,93,30,0,0,605,37,55,115,112,116,107,34,4,0,584,741,1173,2820,2740,3089,2532,574,54,6,13729
Busselton (C),51260,34,57,101,137,125,99,20,0,0,576,29,53,110,145,130,100,40,11,3,616,1010,1056,2710,3820,3841,2776,752,95,13,16075
Cambridge (T),51310,16,40,63,56,72,70,18,3,0,344,27,31,78,131,139,79,24,7,3,520,644,1110,2225,2828,3248,2184,558,118,13,12935
Canning (C),51330,69,170,403,319,325,267,73,4,0,1639,75,252,553,422,381,257,75,13,0,2030,2064,4846,10415,8811,8450,5949,1461,118,7,42134
Capel (S),51400,37,33,61,63,85,35,9,0,0,321,25,24,53,79,88,39,12,0,0,314,615,575,1335,1909,2106,1205,248,28,4,8019
Carnamah (S),51470,3,3,0,0,0,0,0,0,0,6,0,0,0,4,4,5,0,0,0,13,7,19,49,51,55,59,14,3,0,252
Chittering (S),51680,3,7,16,27,25,22,10,3,0,115,13,11,15,38,55,19,3,0,0,149,133,160,317,555,714,484,137,26,5,2526
Claremont (T),51750,7,11,25,17,24,19,8,0,0,108,7,21,34,49,44,25,16,7,4,196,185,437,857,779,976,746,352,79,5,4419
Cockburn (C),51820,101,258,570,471,446,262,57,9,0,2178,124,230,600,630,578,285,90,15,0,2567,2651,4721,12594,12485,10996,6758,1436,119,16,51765
Collie (S),51890,17,25,26,30,23,10,5,0,0,141,4,16,29,22,25,17,8,0,0,123,209,305,602,619,816,597,115,10,3,3285
Corrigin (S),52100,0,4,0,0,5,3,0,0,0,15,3,0,0,0,0,3,6,4,0,18,15,32,85,96,116,133,41,7,0,525
Cottesloe (T),52170,3,12,19,11,10,16,6,0,0,76,8,18,33,28,39,25,18,3,0,172,140,284,745,655,852,711,261,35,6,3694
Cranbrook (S),52240,0,0,4,0,3,0,0,0,0,10,0,0,0,4,3,7,9,3,0,24,20,22,82,104,108,117,58,10,0,524
Cuballing (S),52310,3,0,0,0,7,0,3,0,0,16,0,0,0,0,3,8,0,0,0,18,15,13,62,70,100,76,33,0,3,371
Cue (S),52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,5,15,19,6,0,0,66
Cunderdin (S),52450,4,0,0,3,0,7,0,0,0,18,3,0,5,4,5,0,0,0,0,22,34,43,112,140,113,131,46,3,0,619
Dalwallinu (S),52520,3,0,5,4,0,5,0,0,0,19,0,3,13,6,13,8,3,0,0,39,14,58,161,152,136,130,54,17,0,726
Dandaragan (S),52590,3,3,6,10,9,4,0,0,0,44,7,3,4,15,16,10,4,0,0,61,46,89,246,279,349,300,114,18,3,1453
Dardanup (S),52660,25,40,82,57,52,31,6,5,0,292,15,18,47,53,38,43,6,10,0,238,456,571,1328,1383,1457,993,201,33,7,6425
Dowerin (S),52940,0,0,0,0,0,0,0,0,0,9,3,0,8,0,0,0,0,0,0,16,12,14,52,62,68,59,30,3,3,307
Dumbleyung (S),53010,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,6,3,19,70,64,70,70,26,4,0,324
Dundas (S),53080,0,0,0,0,0,0,0,0,0,4,3,0,4,0,5,0,3,0,0,18,11,18,61,38,88,78,18,4,0,305
East Fremantle (T),53150,6,13,20,14,25,19,0,0,0,98,4,10,32,33,36,30,6,3,0,162,173,313,551,743,974,747,190,25,0,3720
East Pilbara (S),53220,7,25,104,60,20,13,4,0,0,231,4,9,26,35,21,10,3,0,0,107,107,405,1978,1515,1144,602,94,3,0,5853
Esperance (S),53290,19,40,70,62,62,42,8,3,0,310,19,26,38,45,66,38,15,4,4,256,404,510,1134,1291,1560,1088,321,62,11,6377
Exmouth (S),53360,9,3,15,11,15,3,0,0,0,51,3,3,18,16,7,11,3,0,0,66,73,102,325,340,317,203,44,4,0,1405
Fremantle (C),53430,18,29,93,82,84,65,23,0,0,393,26,55,162,150,145,96,29,8,0,678,546,1042,3353,2931,3049,2279,695,69,7,13973
Gingin (S),53570,6,6,10,16,13,13,0,0,0,58,7,6,21,17,23,23,11,4,0,112,87,131,365,384,519,454,172,40,0,2154
Gnowangerup (S),53640,0,0,0,6,4,3,0,0,0,15,0,0,4,9,8,8,0,3,0,31,13,51,114,111,123,126,48,10,0,602
Kalgoorlie/Boulder (C),54280,66,108,171,173,136,75,15,0,0,740,35,68,115,139,128,89,27,3,0,599,839,1332,3708,3356,3182,2060,371,30,7,14898
Karratha (C),54310,21,47,113,86,63,32,3,3,0,370,35,63,170,160,110,49,13,4,0,601,429,834,3125,2873,2175,1090,147,20,6,10701
Goomalling (S),53710,0,3,0,0,4,3,0,0,0,15,3,0,3,0,3,8,0,0,0,18,13,24,87,83,104,99,32,14,0,446
Gosnells (C),53780,112,270,578,529,505,324,62,7,0,2381,153,316,802,676,609,346,96,19,3,3027,2748,5136,12975,12423,10842,7119,1555,122,12,52930
Greater Geraldton (C),53800,56,99,161,152,147,94,31,4,0,740,44,68,137,145,180,103,40,18,0,734,1126,1380,3104,3479,4079,2821,622,88,8,16701
Halls Creek (S),53920,0,3,7,6,20,0,0,0,0,44,0,5,6,9,10,4,3,0,0,39,20,79,189,148,134,118,22,0,0,705
Harvey (S),53990,33,56,86,104,98,47,18,0,0,433,32,37,81,100,108,89,32,6,0,490,770,844,2193,2638,2833,1915,423,61,3,11684
Irwin (S),54060,3,3,7,12,11,9,3,0,0,52,0,5,7,11,17,19,9,4,0,67,69,65,181,284,359,313,100,20,3,1389
Jerramungup (S),54130,0,0,0,3,0,0,0,0,0,6,0,0,3,0,6,0,0,0,0,14,11,33,117,100,142,126,35,3,3,569
Joondalup (C),54170,149,342,604,590,675,520,143,6,0,3026,164,305,543,681,822,542,169,22,10,3261,4808,7340,13379,16421,19302,14277,3210,207,21,78978
Kalamunda (S),54200,87,192,299,254,283,194,55,4,0,1364,82,118,258,273,279,228,53,16,0,1307,1616,2438,5231,5912,6285,4468,1186,115,5,27255
Katanning (S),54340,3,14,16,9,20,16,5,0,0,77,6,12,11,13,15,12,5,3,0,71,94,173,323,339,393,328,85,17,0,1759
Kellerberrin (S),54410,0,0,3,3,0,0,0,0,0,11,0,0,5,8,4,3,0,5,0,32,14,22,82,78,131,94,46,14,0,487
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,42,78,70,58,23,3,0,298
Kojonup (S),54550,3,8,7,3,8,3,0,0,0,34,0,0,0,5,0,3,0,6,0,25,29,49,162,160,241,202,83,25,5,964
Kondinin (S),54620,0,0,0,4,0,0,0,0,0,7,0,0,0,7,4,0,3,0,0,14,6,18,86,100,100,107,44,19,0,488
Koorda (S),54690,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,0,0,0,12,3,6,28,38,38,51,14,8,0,192
Kulin (S),54760,0,0,3,0,3,0,0,0,0,9,0,3,3,0,4,5,4,0,0,11,13,23,56,92,104,81,42,5,0,413
Kwinana (C),54830,24,86,220,158,102,60,20,5,0,670,42,110,239,196,174,102,22,3,0,893,863,1715,5056,3989,3134,1734,289,20,3,16802
Lake Grace (S),54900,5,5,3,5,0,0,4,0,0,31,0,3,4,0,10,5,3,0,0,32,17,38,126,142,167,156,54,15,0,708
Laverton (S),54970,0,0,7,0,5,5,0,0,0,17,0,0,0,3,6,3,0,0,0,16,8,41,183,104,145,95,17,0,0,598
Leonora (S),55040,0,0,7,0,4,3,0,0,0,9,0,3,0,0,3,0,0,0,0,8,16,44,204,154,154,87,19,0,0,669
Mandurah (C),55110,78,144,258,222,241,156,45,11,0,1147,84,125,252,252,288,201,87,23,3,1315,1968,2785,5778,6341,7473,5335,1190,153,18,31036
Manjimup (S),55180,13,15,26,22,39,25,11,0,0,144,13,14,34,29,36,45,13,5,0,185,244,264,602,743,1053,915,296,63,11,4184
Meekatharra (S),55250,0,0,0,3,0,3,0,0,0,7,0,0,0,10,6,3,0,0,0,23,3,30,134,100,98,71,28,0,0,463
Melville (C),55320,66,161,323,266,319,258,67,13,5,1481,86,164,378,435,445,347,123,25,5,2015,2519,4540,8642,9557,10655,8239,2243,243,30,46665
Mukinbudin (S),55950,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,10,6,10,65,54,47,60,27,9,3,276
Menzies (S),55390,4,0,5,5,0,7,0,0,0,23,0,0,3,0,0,0,0,0,0,3,3,22,56,40,47,37,10,0,0,220
Mingenew (S),55530,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,10,7,15,52,48,44,45,14,0,0,232
Mundaring (S),56090,52,78,154,165,186,151,38,3,0,826,49,72,110,147,246,133,44,13,0,815,1072,1361,2553,3346,4596,3482,884,93,8,17390
Morawa (S),55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,11,23,45,63,64,73,18,4,0,304
Moora (S),55600,9,8,8,8,6,6,5,0,0,48,3,3,9,8,10,7,0,0,0,44,45,82,169,242,268,215,92,25,0,1137
Nungarin (S),56860,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3,15,13,19,24,34,0,0,0,110
Peppermint Grove (S),56930,3,3,3,0,5,0,0,0,0,17,0,6,0,3,8,11,3,4,0,30,53,73,94,91,161,141,58,22,0,697
Mosman Park (T),55740,3,7,29,23,30,13,8,0,0,120,5,5,36,49,40,25,17,7,3,180,168,339,863,802,950,626,278,40,0,4059
Mount Magnet (S),55810,0,0,0,0,3,0,0,0,0,0,0,0,0,3,10,3,0,0,0,16,4,6,27,33,35,30,13,0,0,150
Mount Marshall (S),55880,0,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,3,12,46,55,78,46,22,10,0,273
Rockingham (C),57490,114,291,549,457,421,228,43,9,0,2098,120,266,571,596,567,327,56,11,14,2531,3404,5712,12386,12403,12606,7055,1138,117,22,54837
Southern Midlands (M),65010,3,10,24,21,24,25,3,0,0,114,15,10,13,12,33,24,16,7,0,128,148,195,425,461,672,525,141,25,3,2599
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,5,6,9,18,11,0,0,0,52
Murray (S),56230,15,35,47,47,43,45,13,0,0,249,22,32,55,65,75,40,20,7,0,306,387,522,1026,1303,1622,1184,325,39,6,6418
Nannup (S),56300,0,0,4,3,0,0,0,0,0,5,3,3,3,3,0,3,3,0,0,20,16,25,53,90,137,146,61,13,0,544
Tasman (M),65210,0,0,3,3,4,0,3,0,0,16,0,0,3,0,11,4,0,0,0,22,23,36,102,136,182,229,71,9,0,797
Waratah/Wynyard (M),65410,14,31,33,27,49,35,4,0,0,188,18,23,38,27,52,41,18,3,0,221,313,435,876,987,1400,1078,216,33,3,5342
West Coast (M),65610,0,10,6,9,15,15,0,0,0,51,10,4,5,0,12,9,4,3,0,38,54,137,275,296,379,313,60,10,0,1515
West Tamar (M),65810,24,44,66,77,95,86,19,5,0,408,28,18,58,69,86,60,22,5,0,342,584,765,1548,1952,2473,2006,455,50,7,9856
Narembeen (S),56370,0,3,3,0,0,4,0,0,0,10,0,3,6,0,3,7,3,0,0,22,12,28,96,52,87,96,29,11,3,409
Narrogin (S),56460,10,17,14,32,13,9,5,0,0,101,5,9,9,9,21,23,9,3,3,94,89,179,344,394,484,440,138,19,7,2093
Nedlands (C),56580,15,21,26,40,34,42,11,3,0,189,14,28,42,72,90,67,37,11,0,372,519,959,1296,1842,2410,1871,740,120,11,9772
Ngaanyatjarraku (S),56620,0,5,0,0,6,5,0,0,0,15,0,0,3,3,3,0,0,0,0,15,10,22,69,67,48,49,10,0,0,284
Northam (S),56730,14,21,23,43,30,47,10,3,0,184,14,29,23,40,39,52,17,0,0,214,220,327,719,851,945,987,255,28,6,4337
Northampton (S),56790,4,3,5,12,9,11,4,0,0,43,4,8,6,5,18,11,3,0,0,55,52,96,155,246,363,331,122,12,0,1370
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,18,3,0,0,40
Serpentine-Jarrahdale (S),57700,37,101,177,118,112,76,12,0,0,635,42,65,131,149,147,90,27,3,0,658,750,1295,3268,2728,2783,1656,352,32,11,12871
Shark Bay (S),57770,0,3,4,0,3,0,0,0,0,17,0,5,3,3,5,3,0,0,0,27,9,34,78,91,95,88,30,3,0,419
South Perth (C),57840,19,77,170,105,120,96,45,7,0,634,28,78,235,166,172,135,61,15,3,899,851,2268,5332,4025,3968,3195,1018,95,16,20757
Stirling (C),57910,123,396,1261,766,707,518,171,18,0,3967,140,402,1292,1047,860,596,212,61,15,4615,3868,9182,30069,22705,19619,13781,3675,471,56,103428
Subiaco (C),57980,5,26,56,41,37,32,13,5,0,214,9,33,100,62,56,51,24,4,0,341,351,879,2473,1880,1698,1335,511,73,4,9207
Swan (C),58050,125,380,790,639,589,344,76,8,0,2962,136,334,775,698,696,418,109,23,3,3189,3376,6325,15118,14222,13874,8502,1753,155,15,63340
Tammin (S),58190,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,5,13,27,32,54,28,6,5,0,169
Three Springs (S),58260,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,10,9,56,56,54,57,24,0,0,264
Perenjori (S),57000,5,0,0,0,0,0,0,0,0,7,0,0,4,4,0,3,0,0,0,17,6,20,88,67,94,81,27,3,0,385
Perth (C),57080,6,38,152,32,41,32,4,0,0,310,7,57,232,100,75,38,36,4,3,543,246,1328,5238,1984,1294,1006,362,57,10,11512
Pingelly (S),57140,0,0,0,0,3,3,0,0,0,5,0,0,0,3,4,6,0,0,0,16,15,23,59,61,98,114,40,10,0,417
Plantagenet (S),57210,11,8,12,22,12,7,0,0,0,78,8,8,8,13,14,17,10,3,0,88,125,123,259,384,550,464,181,37,9,2120
Port Hedland (T),57280,14,34,121,54,41,22,8,0,0,284,14,31,72,53,77,42,7,0,0,290,257,571,2234,1690,1390,778,115,12,5,7051
Quairading (S),57350,0,3,0,0,3,0,0,0,0,6,0,0,0,0,4,3,3,0,0,11,13,19,62,48,90,107,25,11,0,369
Ravensthorpe (S),57420,0,5,3,0,3,0,0,0,0,16,0,0,4,0,4,3,5,0,0,18,14,45,144,157,178,155,68,8,0,775
Toodyay (S),58330,6,4,0,10,19,24,5,0,0,64,9,3,10,6,26,14,8,4,0,88,82,110,192,279,533,471,163,26,0,1846
Westonia (S),59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,26,41,35,31,12,5,0,169
Trayning (S),58400,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,10,9,26,44,27,20,3,0,135
No usual address (Tas.),69499,0,3,4,0,0,0,0,0,0,6,0,0,8,3,8,0,0,0,0,18,12,22,86,47,46,23,0,0,0,247
Palmerston (C),72800,44,95,186,137,103,51,6,0,0,614,43,100,220,192,145,58,13,0,3,783,880,1916,5096,4310,3192,1626,257,14,3,17296
Upper Gascoyne (S),58470,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,11,21,15,9,19,5,0,0,72
Victoria Park (T),58510,24,74,215,119,94,58,19,4,0,610,17,95,261,142,118,76,31,7,3,746,571,1932,5970,3815,2803,1872,487,38,12,17489
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47
Alice Springs (T),70200,33,52,146,120,119,72,17,0,0,543,29,40,119,85,90,73,26,5,0,464,630,903,3006,2636,2799,2130,469,42,0,12608
Roper Gulf (R),73600,3,9,36,32,23,11,0,0,0,120,8,23,24,27,9,13,6,0,0,119,49,138,378,304,312,197,54,7,0,1437
Tiwi Islands (R),74050,0,7,29,19,22,0,4,0,0,83,5,7,10,9,12,5,0,0,0,52,9,42,149,119,121,82,9,5,0,524
Victoria Daly (R),74550,3,16,13,7,8,12,3,0,0,65,5,7,11,13,13,3,0,0,0,44,49,92,168,120,153,119,29,4,0,743
Victoria Plains (S),58540,0,0,0,4,8,3,0,0,0,20,0,0,3,0,3,8,0,0,0,21,17,14,68,77,137,87,36,7,0,453
West Daly (R),74680,3,8,23,12,18,9,0,0,0,67,0,0,10,8,3,4,0,0,0,19,11,47,133,109,92,59,6,0,0,452
Unincorporated NT,79399,3,17,20,29,28,15,3,0,0,106,6,13,37,30,31,15,0,3,0,142,126,304,938,882,784,494,105,4,0,3636
No usual address (NT),79499,0,0,0,0,0,0,0,0,0,9,0,4,12,6,4,9,0,0,0,36,18,75,169,97,111,89,11,0,0,574
Vincent (C),58570,11,64,211,113,99,92,15,4,0,615,15,58,260,178,163,58,32,5,0,771,423,1651,6720,4209,3218,1995,503,56,8,18784
Wagin (S),58610,0,3,8,10,6,3,3,0,0,32,0,0,3,3,10,11,0,0,0,23,35,42,104,143,168,182,61,7,0,745
Wandering (S),58680,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,6,6,23,40,64,42,13,9,0,209
Wanneroo (C),58760,202,509,1156,972,870,440,89,11,0,4248,218,470,1027,990,939,495,139,25,0,4292,5291,8885,21544,21245,19599,10250,2085,184,17,89092
Waroona (S),58820,4,3,11,12,9,9,0,0,0,56,6,11,16,8,16,16,0,0,0,67,95,118,265,297,431,324,85,11,3,1626
West Arthur (S),58890,0,0,0,0,5,0,0,0,0,8,0,0,0,3,3,6,0,0,4,28,8,19,52,63,111,101,41,11,6,411
Flinders (M) (Tas.),62010,3,4,0,0,3,0,0,0,0,10,0,0,4,0,4,7,0,0,0,16,9,28,44,70,96,123,48,7,0,433
George Town (M),62210,0,10,10,7,10,10,3,4,0,55,3,13,15,24,21,28,9,4,0,112,87,157,315,422,599,484,91,23,3,2185
Glamorgan/Spring Bay (M),62410,0,0,3,15,7,8,3,0,0,39,0,7,5,19,22,7,9,3,3,76,62,76,226,295,413,415,136,25,3,1648
Glenorchy (C),62610,32,97,206,177,148,132,24,4,0,824,43,70,162,142,148,108,25,8,6,714,1091,1815,4317,4016,4257,3154,548,42,16,19256
Hobart (C),62810,10,52,134,134,142,107,52,14,0,641,31,58,140,106,111,85,43,15,3,591,1030,2527,5421,4971,5192,3891,1063,146,20,24259
Wickepin (S),59100,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,5,5,0,0,15,8,12,62,52,87,76,40,8,3,353
Wagait (S),74560,0,0,0,3,5,0,0,0,0,12,3,0,3,3,0,0,0,0,0,13,11,3,20,57,69,54,10,0,0,228
West Arnhem (R),74660,3,16,31,32,25,15,5,0,0,126,10,20,20,35,21,9,6,0,0,132,53,130,369,360,320,184,28,5,3,1451
Williams (S),59170,0,3,3,0,0,7,0,0,0,14,0,0,0,0,4,0,0,3,0,11,11,29,97,95,101,129,52,13,0,519
Wiluna (S),59250,0,0,0,4,0,0,0,0,0,3,0,0,3,0,3,3,3,0,0,9,7,31,123,89,68,48,16,0,0,371
Migratory - Offshore - Shipping (NT),79799,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,9,0,0,8,9,9,0,0,0,0,28
Unincorporated ACT,89399,333,792,1505,1306,1163,739,239,21,5,6102,305,621,1394,1199,974,565,212,47,25,5346,10736,20908,52577,48137,41795,24780,5821,594,78,205419
No usual address (ACT),89499,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,0,0,9,8,19,13,4,0,0,58,3,11,10,22,32,19,15,0,0,111,70,114,333,442,504,443,201,29,4,2151
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
Huon Valley (M),63010,17,28,61,39,67,43,11,3,0,263,15,17,38,52,61,43,17,3,3,246,299,425,1040,1330,1622,1302,319,36,5,6381
Kentish (M),63210,4,12,14,21,37,15,3,0,0,103,12,7,20,18,29,24,4,3,0,115,167,158,357,467,661,486,121,18,8,2445
King Island (M),63410,0,0,12,4,0,3,4,0,0,24,0,3,5,6,8,7,0,0,0,28,20,58,163,128,190,176,49,15,3,797
Kingborough (M),63610,21,44,114,140,130,122,34,3,0,602,27,35,83,78,89,89,31,9,0,441,894,1190,2960,3635,3966,2976,636,74,3,16335
