lga_code_2016,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t,lga_name16
17080,99,8,24,24,28,37,11,18,400,0,0,0,0,0,0,0,0,0,45,50,673,76,182,15,32,28,38,49,11,99,1196,Snowy Valleys (A)
17420,5724,956,1019,970,996,975,635,834,36742,14,4,3,0,0,4,0,0,0,24,59,29740,8632,7703,1344,1433,1338,1384,1365,859,1275,55081,The Hills Shire (A)
17550,531,110,99,118,129,108,65,123,2747,31,0,0,0,0,0,0,0,0,49,83,9117,1242,1347,282,252,242,220,220,121,666,13697,Tweed (A)
17620,78,15,27,37,28,57,4,11,336,3,3,0,0,0,0,0,0,0,0,10,508,62,146,37,43,68,41,80,18,45,1047,Upper Hunter Shire (A)
17640,8,0,0,0,0,0,0,3,79,4,0,0,0,0,0,0,0,0,0,4,399,34,34,9,7,5,10,0,3,23,509,Upper Lachlan Shire (A)
17650,4,3,0,0,0,8,0,3,57,0,0,0,0,0,0,0,0,0,0,0,303,18,27,11,12,0,5,7,0,14,391,Uralla (A)
17750,807,201,403,327,251,259,131,145,3397,3,0,0,3,0,0,0,0,0,0,4,2192,636,1088,266,468,387,307,305,153,241,6045,Wagga Wagga (C)
17850,4,0,0,0,0,3,0,3,28,0,0,0,0,0,0,0,0,0,0,0,120,9,13,0,4,0,0,0,3,15,162,Walcha (A)
17900,51,11,10,13,8,3,3,15,260,0,0,0,0,0,0,0,0,0,0,0,452,22,70,14,11,15,11,5,3,28,623,Walgett (A)
17950,5,0,0,12,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,56,4,19,0,5,19,3,3,0,7,114,Warren (A)
18020,18,8,8,5,13,10,9,4,156,0,0,0,0,0,0,0,0,0,0,0,415,45,33,10,13,12,13,8,9,22,574,Warrumbungle Shire (A)
18050,1407,343,454,562,716,972,709,428,10734,17,3,6,0,0,0,0,0,5,32,61,11037,2764,3554,1017,1102,1233,1437,1715,1117,859,25839,Waverley (A)
18100,10,0,0,9,5,4,0,3,40,0,0,0,0,0,0,0,0,0,0,0,140,11,12,0,3,7,7,4,0,11,193,Weddin (A)
18200,17,3,0,3,3,8,3,5,104,4,0,0,0,0,0,0,0,0,0,4,309,23,35,8,0,12,5,13,6,18,432,Wentworth (A)
18230,643,107,123,130,109,145,95,59,1910,3,0,0,0,0,0,0,0,0,95,105,1571,271,772,142,170,162,140,169,115,219,3729,Western Plains Regional (A)
18250,3919,895,990,1171,1472,1736,1083,802,24222,11,4,5,0,0,0,0,0,3,19,34,14532,4393,5079,1201,1223,1421,1755,1995,1302,1074,33982,Willoughby (C)
18350,328,42,43,50,78,112,111,86,1877,14,0,0,0,0,0,0,0,0,0,15,5412,473,621,111,98,75,141,149,126,301,7487,Wingecarribee (A)
18400,101,27,31,38,33,40,21,75,1606,13,0,0,0,0,0,0,0,0,4,17,4427,357,282,61,60,85,50,65,36,271,5692,Wollondilly (A)
18450,2387,538,806,1149,1480,1459,1077,975,24009,56,3,5,0,0,0,0,0,0,67,134,27386,2835,3655,814,1107,1452,1741,1704,1238,1711,43639,Wollongong (C)
18500,717,186,197,270,309,371,227,196,5928,18,0,0,0,0,0,0,0,0,4,21,9246,1906,2091,571,552,673,728,843,473,483,17558,Woollahra (A)
