lga_name_2016,lga_code_2016,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Cook (S),32500,15,51,18,25,3,128,13,8,44,39,48,11,157,0,0,0,9,21,3,33,0,0,0,7,38,7,49,0,0,8,3,25,13,52,43,38,210,183,561,94,1128
Croydon (S),32600,0,4,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,27,7,52
Goondiwindi (R),33610,29,172,47,69,8,334,10,10,103,83,124,12,353,0,0,0,3,6,0,13,0,0,4,15,113,0,134,3,0,17,16,38,19,93,67,63,622,483,1270,152,2653
Gympie (R),33620,126,516,207,330,41,1302,73,63,406,442,576,55,1611,3,3,19,18,41,5,97,9,3,31,75,412,17,548,4,3,28,50,258,80,429,282,287,1720,1748,5825,549,10417
Hinchinbrook (S),33800,23,160,34,77,11,327,10,10,103,78,163,17,372,3,0,3,3,10,0,22,4,0,7,7,106,5,127,0,0,4,14,50,27,91,48,45,440,304,1530,170,2545
Hope Vale (S),33830,3,4,0,6,0,18,0,0,0,6,12,0,18,0,0,0,0,0,0,0,0,0,0,3,21,11,34,0,0,0,0,0,3,3,0,3,11,19,102,20,151
Ipswich (C),33960,482,2194,823,1300,107,5472,539,367,2517,2086,2881,266,8662,13,16,102,96,247,23,498,53,36,219,352,1621,71,2354,60,14,192,242,1093,385,1979,2397,1493,10426,9327,25623,2182,51446
Isaac (R),33980,55,275,43,109,11,516,11,15,97,65,89,20,297,0,0,7,4,13,4,29,0,0,11,22,173,9,211,0,0,11,6,77,35,127,142,123,1140,651,3495,318,5874
Weipa (T),37300,16,77,15,30,3,153,16,10,49,31,23,8,136,0,0,0,0,4,0,5,0,0,6,3,28,3,36,3,0,6,3,20,12,41,57,43,261,173,836,64,1442
Western Downs (R),37310,78,501,134,165,19,948,32,25,257,182,285,48,828,0,0,3,12,20,0,38,3,3,29,48,262,15,358,0,4,19,34,206,69,330,170,178,1663,1293,4402,529,8235
Whitsunday (R),37340,78,352,114,180,30,800,41,38,260,198,325,34,889,0,0,21,23,47,7,106,3,3,20,60,331,16,432,3,4,56,58,204,79,401,220,199,1669,1611,5199,616,9511
Kowanyama (S),34420,3,14,0,16,3,34,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,5,3,13,4,79,14,125
Livingstone (S),34530,138,625,157,242,27,1360,93,80,463,290,417,42,1384,3,3,24,15,53,7,97,3,7,29,55,354,20,465,3,4,26,36,139,54,261,390,339,1983,1335,4969,421,9442
Lockhart River (S),34570,3,12,0,3,5,26,0,0,0,3,11,4,20,0,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,0,0,5,5,3,4,13,10,40,29,101
Lockyer Valley (R),34580,93,405,186,285,30,1141,61,47,300,309,417,55,1187,7,0,16,13,43,5,84,3,3,29,44,301,26,418,3,4,35,39,180,81,338,352,223,1611,1443,4653,588,8874
Logan (C),34590,723,3116,1254,2056,199,8158,663,472,3247,2896,4088,434,11806,28,21,162,192,389,47,839,80,34,394,618,2895,135,4152,110,31,433,477,2072,686,3797,3336,2058,15169,13940,40018,3825,78344
Adelaide (C),40070,69,320,54,45,5,922,254,65,691,104,96,34,1251,31,13,76,30,28,6,184,24,9,54,36,78,3,200,30,9,69,19,28,22,174,1465,341,3237,891,1028,203,7164
Adelaide Hills (DC),40120,234,838,293,212,35,2015,379,170,1109,464,401,59,2590,30,5,83,46,74,3,236,22,18,98,70,302,4,513,33,11,108,51,152,39,395,1561,777,4668,2314,4222,419,13961
Alexandrina (DC),40220,73,269,121,117,19,658,56,38,321,300,469,55,1232,5,3,7,21,45,8,98,3,5,33,27,235,7,310,8,3,26,26,92,33,185,222,212,1210,1161,3228,359,6389
Diamantina (S),32750,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,22,12,48,0,86
Clare and Gilbert Valleys (DC),41140,34,129,42,44,6,278,24,20,126,84,128,7,389,0,0,3,4,5,0,15,3,0,6,11,91,6,122,3,4,19,12,41,18,101,84,104,596,420,1198,114,2514
Campbelltown (C) (SA),40910,176,887,264,165,34,1971,333,173,1166,503,518,80,2768,17,7,50,31,47,7,154,47,15,117,99,489,33,804,35,10,101,65,137,59,410,1775,685,5503,2548,4453,599,15566
Ceduna (DC),41010,4,69,10,21,3,110,7,6,39,50,50,5,162,0,0,0,3,3,0,11,0,0,0,0,35,0,44,0,0,0,3,13,10,25,14,22,161,135,403,71,796
Charles Sturt (C),41060,370,1765,544,418,67,3801,608,308,2383,1113,1232,219,5862,28,22,190,120,208,30,593,60,29,219,215,1004,71,1594,62,14,193,157,368,169,957,2842,1387,10823,5734,11645,1414,33854
Doomadgee (S),32770,4,17,0,4,3,36,0,0,3,7,14,3,29,0,0,0,0,0,0,0,0,3,0,0,21,0,20,0,0,0,0,0,0,0,10,4,23,15,53,11,116
Douglas (S),32810,38,109,36,52,7,269,16,17,108,75,110,16,344,4,3,19,10,31,4,76,0,0,11,25,94,4,143,7,3,15,21,86,33,166,142,110,741,622,1694,233,3536
Etheridge (S),33100,0,6,0,0,0,11,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,25,26,79,15,154
Flinders (S) (Qld),33200,3,16,0,3,0,28,0,0,11,5,3,0,23,0,0,0,0,4,0,4,0,0,3,3,12,0,15,0,0,0,0,4,0,10,3,5,63,48,191,28,341
Fraser Coast (R),33220,274,1147,396,614,75,2697,296,191,1341,893,1719,167,4602,0,3,29,47,94,10,176,23,7,47,113,708,42,937,10,6,61,85,427,134,721,673,667,3808,3344,10738,1038,20272
Gladstone (R),33360,165,860,203,365,44,1743,72,69,554,337,513,60,1609,3,0,19,24,55,5,104,9,4,40,71,548,13,690,7,3,58,77,408,110,668,535,443,3190,2289,9724,784,16965
Gold Coast (C),33430,1777,7590,2728,2985,408,18213,2869,1185,9402,5949,6295,940,26639,194,65,1112,962,1924,203,4462,187,72,851,1424,4841,273,7659,302,96,1353,1226,3231,1113,7323,11289,5207,43159,33100,70002,7620,170374
Winton (S),37400,3,11,0,4,0,24,4,3,13,7,3,4,22,0,0,3,3,3,0,9,0,0,0,0,9,0,14,0,0,3,0,7,0,12,9,7,54,38,158,20,279
Coober Pedy (DC),41330,0,20,10,9,3,49,12,7,18,32,21,4,91,0,0,0,0,4,0,4,0,0,3,0,4,0,10,0,0,0,3,4,12,24,25,11,90,87,161,31,405
Copper Coast (DC),41560,34,173,73,79,7,376,14,20,150,126,239,20,567,0,0,0,4,12,0,13,0,5,3,12,137,11,162,0,0,5,7,52,23,93,52,75,470,414,1592,192,2794
Elliston (DC),41750,5,7,5,11,0,27,0,5,13,12,11,0,40,0,0,3,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,3,8,5,14,58,40,114,23,242
Woorabinda (S),37550,0,7,0,3,8,23,0,0,6,3,5,3,23,0,0,0,0,0,0,0,0,0,0,3,12,3,17,0,0,0,0,0,0,0,4,3,13,15,41,26,102
Karoonda East Murray (DC),43080,0,10,4,10,0,29,0,0,6,10,13,0,33,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,7,4,9,3,0,35,35,119,26,223
Wujal Wujal (S),37570,0,0,0,3,0,3,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,20,4,35
Yarrabah (S),37600,3,18,7,20,3,45,0,0,5,22,23,6,67,0,0,0,0,0,0,0,0,0,4,3,17,3,34,0,0,0,0,7,0,6,3,10,34,37,120,26,228
No usual address (Qld),39499,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
Anangu Pitjantjatjara (AC),40250,9,55,13,23,8,120,3,0,14,7,20,4,46,0,0,0,0,6,7,12,0,0,4,3,14,10,24,3,0,4,0,6,3,19,23,8,82,32,108,43,295
Barossa (DC),40310,85,351,138,114,13,794,52,38,259,250,306,37,938,4,4,12,17,39,9,82,5,4,22,32,186,13,263,4,9,31,36,116,18,209,286,220,1445,1268,3395,396,7009
Barunga West (DC),40430,5,25,14,14,0,57,7,0,27,32,27,3,105,0,0,0,0,0,0,0,0,0,0,0,19,0,21,0,0,0,0,6,4,8,15,10,91,83,241,29,464
Berri and Barmera (DC),40520,33,121,48,60,6,281,27,20,148,112,150,26,480,0,0,0,0,5,0,8,4,3,12,15,103,4,133,3,0,4,3,37,17,67,74,69,474,400,1235,168,2420
Naracoorte and Lucindale (DC),45090,18,83,38,40,8,195,11,17,95,58,109,11,298,0,0,3,0,9,0,10,3,0,8,8,79,3,94,0,3,3,5,32,15,60,48,64,450,379,1188,167,2285
Northern Areas (DC),45120,17,77,33,23,0,155,9,6,63,55,67,10,207,0,0,0,0,0,0,0,0,0,5,3,31,0,48,0,0,4,3,12,3,26,30,37,247,184,592,51,1138
Burnside (C),40700,230,859,203,112,29,2110,724,204,1711,340,224,94,3297,28,15,92,28,43,3,203,50,20,131,60,161,15,440,64,12,182,54,67,44,418,2914,971,7050,2003,2079,422,15434
Cleve (DC),41190,6,17,13,11,0,52,0,0,22,23,16,3,61,0,0,0,0,0,0,0,0,0,0,3,21,0,26,0,0,0,0,6,3,14,9,6,82,81,248,35,454
Norwood Payneham St Peters (C),45290,169,756,165,93,24,1717,467,163,1298,291,256,60,2537,20,16,92,40,40,6,218,31,18,111,76,209,18,460,39,11,112,45,61,37,305,2049,751,5514,1756,2341,359,12775
Onkaparinga (C),45340,448,2003,859,911,106,4917,520,474,2924,2369,3367,306,9961,18,21,126,127,266,21,579,43,44,229,302,1789,91,2493,35,14,153,182,711,225,1328,2038,1551,9942,8718,23541,1833,47633
Flinders Ranges (DC),41830,4,21,7,16,3,60,3,4,24,16,20,4,74,0,0,0,3,0,0,3,0,0,0,0,17,0,19,0,0,0,0,4,3,9,12,17,77,58,219,32,417
Franklin Harbour (DC),41960,0,13,7,6,0,29,0,3,10,10,21,0,45,0,0,0,0,3,0,3,0,0,0,0,9,0,10,0,0,0,3,4,0,11,6,9,32,43,189,11,287
Gawler (T),42030,65,293,156,145,17,762,41,49,286,297,401,54,1132,0,0,11,19,30,0,60,5,3,20,38,224,3,304,3,3,7,31,95,23,162,233,180,1082,1160,3061,250,5968
Goyder (DC),42110,3,34,23,15,3,78,8,4,23,34,48,6,123,0,0,0,0,3,0,4,0,0,3,4,30,0,36,0,0,5,7,16,10,35,17,21,150,158,481,75,895
Grant (DC),42250,29,86,46,53,11,239,21,14,79,63,106,14,289,0,0,0,0,11,0,13,0,0,8,14,85,4,106,0,0,0,3,48,7,62,57,62,336,324,1266,129,2177
Beverley (S),50560,5,8,4,7,3,34,4,0,5,9,9,7,44,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,3,0,8,0,14,11,9,70,64,170,29,363
Holdfast Bay (C),42600,157,710,206,138,30,1593,313,150,1041,342,357,70,2266,13,6,58,40,70,3,194,22,9,104,87,248,12,471,26,4,101,38,117,41,327,1295,615,4185,2088,3422,385,11991
Kangaroo Island (DC),42750,19,60,14,17,5,133,12,6,42,38,49,3,145,5,0,17,3,13,0,28,0,0,0,4,27,4,43,0,0,6,4,11,10,33,55,42,277,198,585,88,1253
Kimba (DC),43220,0,19,4,3,0,32,0,0,3,5,12,0,27,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,3,0,3,6,4,42,48,143,17,261
Kingston (DC) (SA),43360,9,26,13,3,0,52,0,0,19,22,29,7,80,0,0,0,0,6,0,6,0,0,0,3,21,0,25,0,3,0,0,4,3,9,12,17,92,94,303,50,581
Light (RegC),43650,51,210,88,107,9,514,18,29,181,165,261,23,679,0,0,13,8,23,5,47,3,0,5,24,154,14,197,4,0,7,17,58,21,107,126,141,806,769,2336,217,4402
Lower Eyre Peninsula (DC),43710,18,72,24,38,3,168,11,13,63,61,50,11,212,0,0,0,0,3,0,5,4,0,8,3,55,6,71,0,0,6,3,16,12,35,41,44,279,240,755,98,1454
Loxton Waikerie (DC),43790,32,158,53,60,8,330,22,23,121,121,183,15,485,0,0,0,3,9,3,18,3,0,12,14,89,0,119,0,0,0,14,41,23,77,60,85,481,493,1441,167,2723
Mallala (DC),43920,18,50,34,55,4,176,9,16,63,82,146,11,322,0,0,3,0,15,0,25,0,0,0,8,87,3,106,0,0,5,3,51,19,77,38,36,255,347,1315,130,2128
Boddington (S),50630,7,19,3,8,0,43,3,3,9,4,12,0,32,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,5,0,7,21,12,90,74,268,27,492
Maralinga Tjarutja (AC),44000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6
Marion (C),44060,316,1607,440,400,62,3435,612,336,2330,1089,1316,198,5888,19,14,115,92,170,14,432,43,29,178,201,713,32,1191,44,17,158,96,288,111,711,2435,1150,8866,4958,9899,1015,28329
Mid Murray (DC),44210,16,46,31,39,3,135,13,5,62,57,97,12,241,0,0,3,0,9,0,9,0,0,4,11,59,0,76,0,0,5,3,40,9,60,39,39,241,266,1045,124,1757
Mitcham (C),44340,403,1549,363,262,41,3573,779,377,2348,701,615,116,4939,33,12,117,76,66,8,310,65,36,176,131,367,27,804,61,16,200,77,163,65,572,3132,1506,9125,3489,5091,586,22927
Mount Barker (DC),44550,116,576,195,177,30,1318,117,111,648,423,516,50,1862,7,0,37,36,60,7,151,10,11,68,63,391,16,565,5,3,51,50,120,31,265,621,436,2651,1973,4708,455,10845
Mount Gambier (C),44620,69,369,128,165,17,831,67,49,364,224,453,57,1218,0,0,4,10,28,3,49,0,0,18,28,292,11,350,0,3,11,12,108,32,170,229,175,1191,897,3821,306,6622
Mount Remarkable (DC),44830,10,39,22,22,3,102,0,6,46,49,34,4,140,0,0,0,0,0,0,0,0,0,5,3,22,3,34,0,0,0,0,4,3,9,9,31,130,138,328,39,676
Murray Bridge (RC),45040,32,161,65,110,9,397,26,38,146,191,363,28,803,0,0,5,13,40,4,63,6,3,12,21,183,9,232,3,0,14,15,80,34,143,114,109,676,699,2640,333,4569
Orroroo/Carrieton (DC),45400,5,18,7,8,0,38,0,0,13,20,20,3,52,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,4,12,44,42,105,14,225
Peterborough (DC),45540,3,14,5,8,0,32,0,0,11,17,20,6,47,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,6,8,4,5,34,31,134,21,235
Playford (C),45680,81,518,286,436,41,1473,98,103,743,874,1409,114,3351,0,0,30,37,73,3,139,9,4,54,91,682,40,880,12,5,49,56,390,144,654,432,307,2540,3036,10464,941,17720
Port Adelaide Enfield (C),45890,327,1503,432,411,50,3390,670,362,2714,1192,1506,208,6654,41,11,132,69,171,18,440,73,25,232,269,876,62,1535,63,10,209,134,374,188,985,3389,1312,10821,5709,11732,1367,34326
Port Augusta (C),46090,26,182,50,96,7,393,31,35,189,106,169,32,553,0,0,3,0,9,0,13,0,0,3,10,97,9,126,0,0,8,3,44,21,77,95,91,557,412,1735,162,3059
Port Lincoln (C),46300,43,213,61,87,10,441,27,32,180,110,221,24,599,0,0,0,0,12,3,21,4,0,16,23,141,7,190,7,0,18,13,56,27,118,98,112,709,492,1965,246,3627
Port Pirie City and Dists (M),46450,37,207,71,102,7,460,18,22,219,191,355,33,847,0,0,3,4,18,3,28,4,3,5,14,120,3,159,3,0,3,9,41,15,74,94,103,635,555,2125,190,3697
Boyup Brook (S),50770,0,24,3,5,0,37,0,0,13,9,7,3,35,0,0,0,0,3,0,3,0,0,0,5,5,0,9,0,0,3,3,9,6,20,4,8,96,68,184,33,389
Bridgetown-Greenbushes (S),50840,16,79,23,32,6,156,4,5,43,43,58,14,170,0,0,3,4,4,0,16,0,0,8,4,41,0,52,3,0,9,9,19,5,42,29,40,250,192,613,98,1214
Brookton (S),50910,8,8,4,11,0,32,0,0,3,3,17,4,29,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,0,3,7,7,14,39,24,91,14,184
Prospect (C),46510,90,491,127,79,19,1024,213,122,714,219,153,34,1462,19,3,34,18,16,3,94,19,6,68,41,151,12,295,15,4,47,27,59,18,178,1006,445,3065,1164,1745,226,7650
Renmark Paringa (DC),46670,23,94,45,35,5,217,16,11,95,82,144,14,367,0,0,0,3,3,0,5,0,0,3,10,83,3,104,0,0,7,10,25,19,59,55,61,356,379,1145,147,2143
Robe (DC),46860,3,16,3,7,0,32,0,0,7,9,10,3,34,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,3,3,4,4,12,9,15,80,68,232,22,416
Roxby Downs (M),46970,14,56,14,23,3,116,0,5,12,13,10,0,46,0,0,0,0,10,0,16,3,0,8,3,23,7,39,0,0,0,0,13,3,20,55,36,268,146,865,48,1412
Salisbury (C),47140,194,1103,472,610,67,2892,379,225,1857,1474,2263,207,6406,8,0,63,59,152,22,309,27,15,139,216,1135,54,1587,31,15,132,139,558,238,1109,1972,758,7058,5558,16090,1575,33017
Southern Mallee (DC),47290,8,28,7,14,0,57,3,0,18,19,17,3,57,0,0,0,0,0,0,0,0,0,4,3,13,0,16,0,0,0,3,4,4,18,16,12,102,76,243,35,487
Streaky Bay (DC),47490,11,38,6,19,0,71,3,3,21,17,23,5,75,0,0,0,3,3,0,11,0,0,3,0,24,0,29,0,0,0,3,5,5,12,7,19,115,65,287,44,528
Tatiara (DC),47630,11,76,34,26,3,156,3,10,71,50,66,6,199,0,0,0,0,3,0,6,0,0,6,10,86,5,113,0,3,6,4,23,16,53,24,36,305,335,951,139,1790
Tea Tree Gully (C),47700,339,1678,598,615,71,3787,359,312,1903,1187,1544,150,5455,8,12,80,65,134,21,309,27,27,180,180,1045,49,1512,25,13,110,98,343,108,703,1760,1170,7706,5661,13025,1050,30378
The Coorong (DC),47800,14,36,31,22,4,109,5,4,30,49,73,7,165,0,0,0,0,9,0,11,0,0,0,4,34,3,43,0,0,3,3,16,9,27,15,26,167,199,665,82,1150
Tumby Bay (DC),47910,7,44,7,3,0,69,3,6,25,17,31,8,88,0,0,0,0,4,0,7,0,0,0,4,30,0,37,0,0,0,3,10,4,10,14,21,113,91,312,29,584
Broome (S),50980,76,301,84,160,18,705,82,87,361,182,195,34,937,3,4,28,14,34,5,87,15,3,35,30,160,14,264,3,3,31,33,119,34,222,279,229,1355,883,2131,258,5133
Unley (C),47980,212,818,191,95,22,1943,547,184,1511,318,237,73,2870,34,6,91,33,43,3,206,34,24,113,76,175,15,439,53,16,126,42,70,41,343,2475,951,6320,1864,2209,371,14182
Victor Harbor (C),48050,29,140,72,60,4,335,29,30,200,133,228,15,642,3,0,11,5,5,5,30,3,0,16,17,97,0,135,3,0,11,9,34,13,76,106,96,612,522,1400,150,2888
Wakefield (DC),48130,15,80,32,36,6,173,6,8,57,55,73,8,208,0,0,0,3,4,0,7,0,0,0,4,38,0,53,0,0,0,9,22,5,41,21,37,261,232,799,119,1465
Coolgardie (S),51960,13,21,11,19,3,63,4,3,13,10,21,3,52,0,0,0,3,0,0,3,0,0,0,3,17,0,22,0,0,0,0,12,5,20,17,16,96,104,471,51,767
Coorow (S),52030,4,10,3,3,0,20,0,0,0,4,0,0,10,0,0,0,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,7,0,7,3,4,33,38,120,15,220
Capel (S),51400,76,309,92,153,15,693,71,46,345,159,237,37,905,0,3,19,8,28,5,70,6,8,48,23,149,4,235,3,8,31,35,98,22,195,223,189,1219,843,2570,243,5294
Carnamah (S),51470,4,7,5,3,3,23,0,0,3,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,4,24,23,67,16,139
Carnarvon (S),51540,10,86,13,43,4,167,7,8,54,26,41,16,151,0,0,5,4,8,0,21,0,3,6,0,34,0,43,0,0,4,5,21,13,50,35,33,294,201,656,97,1321
Walkerville (M),48260,36,143,30,18,3,319,128,32,322,53,32,23,593,7,3,13,8,5,0,35,3,0,14,10,26,0,52,3,3,25,12,18,11,75,453,138,1159,361,386,74,2571
Wattle Range (DC),48340,21,140,54,66,6,298,15,16,89,92,189,17,409,0,0,0,0,8,6,16,0,0,8,13,94,3,121,0,0,8,12,40,21,79,54,68,477,374,1562,185,2718
West Torrens (C),48410,219,1003,223,204,26,2099,427,188,1483,564,620,99,3385,33,15,145,71,106,15,383,58,17,138,131,438,17,795,37,5,130,83,172,58,477,2090,841,6700,3079,5567,631,18906
Whyalla (C),48540,36,306,87,134,8,614,32,32,314,195,308,31,914,0,0,10,7,28,4,48,3,0,5,20,153,5,192,0,0,12,14,91,27,146,160,103,1005,677,2858,219,5021
Chapman Valley (S),51610,0,18,6,10,3,47,0,4,19,12,8,0,40,0,0,0,3,0,0,3,0,0,3,6,12,4,22,0,0,3,0,6,0,17,8,8,92,62,194,22,384
Wudinna (DC),48640,3,26,3,9,0,41,0,0,15,11,10,0,32,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,5,0,3,3,11,5,4,68,44,151,27,293
Yankalilla (DC),48750,6,41,19,25,3,106,8,9,50,58,69,8,207,3,0,3,8,10,4,21,0,0,3,3,29,0,39,0,0,6,3,18,3,39,50,30,219,225,591,80,1195
Yorke Peninsula (DC),48830,22,105,37,59,6,244,11,8,95,88,125,24,349,0,0,3,3,3,0,10,0,0,7,12,81,4,108,0,0,6,7,25,16,60,35,51,378,365,1239,169,2243
Unincorporated SA,49399,9,25,9,17,4,77,0,0,12,15,25,3,58,0,0,6,3,0,0,9,0,0,0,7,21,3,28,0,0,3,0,12,11,26,18,24,145,136,542,59,920
No usual address (SA),49499,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Albany (C),50080,175,519,226,302,37,1347,115,88,516,392,504,56,1665,14,0,39,33,73,4,158,12,5,37,85,371,25,531,3,3,33,40,191,75,348,383,380,2053,1771,4987,519,10088
Armadale (C),50210,251,923,317,490,65,2273,264,143,1163,804,1075,139,3595,20,6,56,56,140,9,281,30,9,133,165,817,32,1183,42,13,164,137,471,145,977,1436,684,5447,4088,10333,963,22960
Ashburton (S),50250,28,91,22,37,3,188,9,7,39,22,27,8,99,0,0,0,0,9,0,10,0,0,6,8,51,3,75,9,4,28,32,155,19,247,178,91,904,702,3705,184,5753
Augusta-Margaret River (S),50280,71,247,67,94,16,519,27,29,199,87,97,8,451,3,0,24,19,35,0,83,6,3,25,22,105,3,166,3,4,40,35,96,34,214,167,184,1337,731,2013,245,4675
Bassendean (T),50350,93,262,73,97,11,607,66,54,266,149,182,24,740,4,4,47,15,24,6,102,9,5,46,30,126,5,218,12,7,43,31,73,22,185,380,280,1567,869,1724,174,4993
Bayswater (C),50420,312,1012,250,303,60,2330,326,181,1338,554,618,98,3112,36,19,150,78,111,13,421,43,23,176,151,595,47,1038,58,26,239,134,336,125,914,2090,1073,8023,3807,6704,892,22583
Belmont (C),50490,101,389,132,144,25,968,150,82,674,275,331,62,1565,20,8,87,53,129,12,320,18,11,109,107,323,21,585,37,7,119,109,195,77,546,1105,431,3961,2136,4166,523,12320
Broomehill-Tambellup (S),51080,6,5,0,11,0,33,0,3,10,5,12,3,29,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,4,3,5,4,15,7,7,54,42,114,28,250
Bruce Rock (S),51120,3,9,3,7,3,31,0,3,8,11,6,0,23,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,11,51,37,102,14,214
Bunbury (C),51190,145,435,125,212,25,1017,109,85,510,286,420,59,1453,3,0,20,16,46,4,82,10,7,47,47,306,13,428,8,3,40,49,175,64,329,382,340,1963,1355,4299,423,8758
Busselton (C),51260,145,488,157,223,25,1103,79,73,470,289,453,54,1420,4,0,36,35,56,4,136,4,5,37,54,290,23,414,8,6,45,63,196,58,373,331,370,2359,1678,5098,481,10319
Cambridge (T),51310,176,553,97,61,26,1214,400,148,1034,216,87,61,1945,31,21,86,25,17,11,183,35,9,80,46,99,4,274,64,23,180,43,51,22,388,1805,681,5129,1248,1154,285,10299
Canning (C),51330,370,1448,377,422,74,3468,484,235,2064,804,738,150,4475,38,17,179,74,123,12,437,83,23,281,188,523,44,1139,120,31,361,182,395,157,1245,3663,1261,11114,4673,7484,1097,29288
Chittering (S),51680,13,41,31,46,5,140,3,0,44,38,37,7,136,0,0,4,0,10,0,16,3,0,8,7,57,0,78,0,0,6,11,38,17,76,31,30,213,269,856,94,1498
Dandaragan (S),52590,11,38,18,20,3,86,0,0,20,14,13,5,47,0,0,10,3,9,0,23,0,0,0,4,24,0,29,0,0,0,6,20,7,39,22,16,164,127,439,63,830
Dardanup (S),52660,30,154,58,111,12,380,19,25,144,116,215,8,533,0,0,0,5,22,0,28,3,4,24,27,166,3,221,0,0,14,12,74,7,112,82,100,650,579,2286,157,3848
Claremont (T),51750,71,227,43,25,5,518,163,40,342,61,22,10,641,7,5,27,11,5,0,55,5,3,29,14,29,0,84,22,4,66,22,14,11,140,694,208,1826,393,339,91,3553
Cockburn (C),51820,455,1610,494,667,115,3870,430,310,2086,1031,1169,188,5215,22,6,159,88,165,21,461,36,15,191,247,1078,53,1621,102,15,285,238,717,206,1567,2438,1377,9846,5829,13650,1476,34614
Collie (S),51890,13,80,35,75,10,225,5,3,52,56,125,11,247,0,0,0,0,11,0,18,0,0,0,11,89,0,106,0,0,0,0,54,14,68,27,19,217,230,1318,118,1930
Denmark (S),52730,35,109,39,43,6,262,20,16,80,49,52,10,224,8,0,9,7,10,0,39,5,0,8,3,43,0,55,3,3,16,5,28,9,62,105,87,413,256,658,90,1612
Derby-West Kimberley (S),52800,37,116,23,94,21,317,31,22,121,47,60,25,296,0,0,0,8,9,0,18,0,0,7,9,96,28,134,6,0,12,4,25,20,61,86,71,362,190,648,143,1495
Donnybrook-Balingup (S),52870,20,70,32,32,7,164,3,12,70,40,60,17,202,0,0,3,8,7,0,18,0,0,10,12,47,4,67,0,0,6,8,22,10,42,43,51,316,269,736,102,1516
Corrigin (S),52100,6,18,0,5,0,26,0,3,6,6,8,3,32,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,5,9,0,10,56,29,131,18,252
