lga_name_2016,lga_code_2016,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Clare and Gilbert Valleys (DC),41140,2547,2517,5064,443,441,888,23,29,50,33,25,58,28,23,50,728,810,1540,20,22,38,10,15,26,24,28,54,3,3,8,0,0,0,873,956,1828,42,47,92,20,16,35,1375,1467,2840,316,324,638,4239,4308,8542
Livingstone (S),34530,8648,8352,16996,1724,1830,3549,293,284,572,118,140,262,3936,4082,8016,60,65,123,61,61,123,32,41,77,29,33,65,15,16,27,0,0,0,4541,4726,9266,257,300,557,103,95,196,6627,6949,13574,2265,1392,3660,17544,16695,34236
Lockhart River (S),34570,238,259,494,6,0,8,5,3,11,3,0,3,22,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,46,71,0,0,0,5,7,11,44,54,97,22,20,40,306,325,627
Doomadgee (S),32770,499,514,1011,25,21,44,0,3,7,0,0,0,45,45,91,3,7,12,0,0,0,0,0,0,17,11,27,0,0,0,0,0,0,72,65,135,4,3,10,3,3,4,101,86,192,12,14,23,612,611,1224
Douglas (S),32810,2540,2295,4834,693,712,1404,168,174,337,213,210,430,678,665,1340,76,77,147,68,85,151,24,23,48,53,54,99,9,12,22,0,0,0,1286,1291,2577,275,302,574,48,41,91,2295,2347,4647,796,829,1623,5625,5473,11099
Etheridge (S),33100,245,191,437,27,24,56,12,9,17,0,3,4,69,56,124,0,0,0,0,3,3,0,0,0,3,3,5,0,0,0,0,0,0,79,77,159,4,3,8,0,3,5,116,107,222,48,37,85,406,336,746
Flinders (S) (Qld),33200,418,374,790,93,103,197,4,4,10,0,3,8,122,130,253,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,135,145,280,3,9,16,3,3,6,238,259,495,71,67,138,725,696,1425
Fraser Coast (R),33220,23806,24482,48283,3306,3654,6960,1261,1353,2613,694,689,1387,11578,12897,24481,183,193,374,250,275,526,127,170,301,235,211,449,64,71,129,0,0,0,14392,15857,30252,594,733,1327,383,351,732,18673,20594,39274,4800,4216,9018,47283,49295,96570
Gladstone (R),33360,13821,12597,26417,2327,2242,4570,664,582,1244,366,331,690,7507,7456,14960,162,151,311,335,324,656,105,95,207,206,199,408,23,22,42,0,0,0,9360,9167,18525,1070,1205,2274,260,260,523,13017,12875,25892,2483,2244,4729,29324,27713,57039
Winton (S),37400,330,292,617,71,66,134,13,8,23,3,3,9,65,71,133,0,3,3,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,89,92,179,3,5,8,0,3,3,162,170,326,64,55,114,555,511,1059
Campbelltown (C) (SA),40910,13992,15088,29075,1013,1103,2115,114,128,243,132,141,273,97,123,220,4655,4884,9540,55,53,108,24,27,52,29,32,59,21,16,37,0,0,0,5122,5406,10534,1752,1766,3521,101,117,213,7996,8395,16385,976,1029,2009,22969,24511,47476
Ceduna (DC),41010,871,834,1700,156,180,338,5,4,12,9,7,20,10,5,13,212,249,461,16,14,29,0,0,0,13,14,24,0,0,0,0,0,0,271,289,567,28,28,52,12,12,30,465,514,983,228,243,472,1568,1592,3163
Charles Sturt (C),41060,29775,31465,61237,2165,2279,4445,406,372,777,454,469,924,318,313,633,11854,12547,24405,135,142,280,49,51,97,131,132,266,58,50,108,0,4,3,13409,14083,27486,2859,3003,5861,296,225,522,18729,19585,38313,3062,3154,6218,51570,54201,105769
The Coorong (DC),47800,1696,1566,3265,263,249,515,18,17,39,30,27,60,10,12,29,331,324,653,17,16,40,3,3,9,4,5,12,0,0,0,0,0,0,417,411,828,17,21,36,14,6,19,713,690,1402,195,198,393,2603,2455,5063
Woorabinda (S),37550,302,331,632,18,14,36,0,0,0,0,0,0,60,63,117,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,66,126,0,0,0,9,11,22,89,94,187,21,10,37,414,441,852
Coober Pedy (DC),41330,503,344,842,72,76,145,9,18,29,23,15,43,10,3,12,97,83,176,10,4,17,0,0,0,10,14,18,0,4,4,0,0,0,158,139,294,23,43,66,6,5,9,260,256,518,142,145,290,905,746,1653
Copper Coast (DC),41560,3802,3786,7592,715,782,1492,34,34,66,45,35,83,55,57,111,1264,1310,2573,28,31,56,3,4,9,51,37,89,5,4,7,0,0,0,1490,1506,2994,26,51,75,26,19,41,2253,2353,4607,639,652,1291,6693,6798,13493
Elliston (DC),41750,366,311,677,46,40,78,3,3,7,3,0,4,4,4,3,60,46,112,0,3,4,0,0,3,4,0,3,0,0,0,0,0,0,80,58,137,3,8,15,0,0,3,126,105,230,36,39,73,527,455,986
Tumby Bay (DC),47910,782,804,1580,169,166,335,5,3,4,0,7,5,14,14,27,153,152,297,7,3,15,0,10,7,4,8,16,0,0,0,0,0,0,186,195,381,3,5,12,3,3,4,360,368,732,76,83,162,1220,1251,2473
Capel (S),51400,3924,4050,7974,649,706,1357,37,50,85,54,61,116,62,76,133,20,22,47,2079,2254,4332,13,19,30,16,29,44,0,0,4,4,0,6,2295,2506,4798,312,330,645,49,45,95,3308,3588,6894,546,512,1057,7771,8151,15921
Carnamah (S),51470,159,134,294,35,21,54,0,0,0,0,4,4,0,4,7,0,0,0,36,38,74,0,0,8,0,0,0,0,0,0,0,0,0,41,46,95,10,9,19,0,0,0,93,77,171,31,25,58,277,236,518
Carnarvon (S),51540,1343,1184,2531,358,333,687,31,17,43,8,16,27,25,30,54,15,11,23,332,349,678,4,7,11,15,15,27,0,0,0,0,0,0,426,433,866,107,132,236,17,14,28,907,904,1815,449,395,846,2701,2489,5183
Chapman Valley (S),51610,351,318,668,55,61,116,0,3,3,3,3,4,3,3,3,3,3,3,152,186,338,0,0,0,0,4,3,0,0,0,0,0,0,166,198,358,11,11,19,0,0,3,231,261,496,83,88,172,670,674,1337
Wujal Wujal (S),37570,80,116,198,14,9,21,0,0,0,0,0,0,14,14,20,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,16,18,28,0,0,0,0,0,0,24,25,50,4,0,7,114,136,254
Yarrabah (S),37600,1001,991,1993,16,18,32,0,0,0,0,0,0,106,112,220,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,110,120,226,0,0,0,14,3,19,140,138,280,7,10,20,1145,1139,2284
No usual address (Qld),39499,1044,637,1684,262,153,423,425,419,841,254,247,499,1987,1703,3689,85,88,165,146,127,276,57,58,117,42,40,82,24,23,48,0,0,0,3015,2704,5724,628,764,1394,103,52,159,4011,3681,7693,1703,1097,2804,6759,5414,12175
Migratory - Offshore - Shipping (Qld),39799,33,49,84,0,0,0,4,0,3,0,0,0,12,12,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,31,9,5,14,0,0,0,25,21,45,4,17,24,66,81,150
Karoonda East Murray (DC),43080,374,334,709,49,27,78,3,0,6,5,7,9,0,0,3,68,69,139,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,75,86,165,6,10,17,4,0,3,135,124,259,32,36,71,545,494,1038
Bayswater (C),50420,15149,15646,30790,1536,1540,3075,254,236,491,289,290,582,212,186,395,78,68,147,7247,7131,14376,39,29,71,50,58,106,32,33,64,0,4,9,8205,8024,16229,2908,3038,5944,281,266,545,12931,12860,25790,2152,2126,4278,30226,30632,60861
Belmont (C),50490,7803,8007,15811,1090,1081,2174,167,121,296,158,127,286,176,148,325,75,53,127,4449,4049,8500,18,14,27,46,28,75,13,5,18,0,0,3,5105,4553,9656,2457,2344,4794,172,135,308,8823,8109,16931,2261,2061,4318,18888,18173,37060
Beverley (S),50560,506,466,975,65,67,128,3,3,9,3,0,3,3,3,5,3,0,8,152,160,308,0,0,0,0,0,0,0,0,0,0,0,0,161,170,328,14,14,29,3,0,7,237,253,495,110,99,208,854,821,1671
Boddington (S),50630,401,359,756,97,98,193,6,7,10,11,7,20,14,16,27,3,0,3,235,206,441,6,0,3,0,0,4,0,0,0,0,0,0,272,237,507,27,30,60,6,0,3,401,369,766,94,82,176,895,803,1696
Adelaide (C),40070,2820,2751,5574,553,503,1053,216,201,416,237,234,474,139,124,266,2458,2410,4867,75,68,145,13,28,43,72,74,140,44,51,89,3,0,3,3252,3194,6449,2782,2935,5714,71,63,127,6647,6696,13345,1589,1059,2643,11056,10503,21563
Adelaide Hills (DC),40120,12321,12257,24578,995,1091,2085,143,173,314,111,119,232,133,127,257,3097,3237,6328,73,62,135,24,18,35,74,63,138,18,15,35,3,0,3,3668,3816,7485,311,337,650,89,93,186,5072,5334,10409,982,962,1944,18369,18560,36930
Alexandrina (DC),40220,6856,7087,13946,1115,1318,2437,102,95,201,88,105,190,100,92,189,2520,2696,5219,61,74,136,24,30,49,69,85,152,6,10,16,0,0,0,2981,3188,6166,131,138,266,69,66,140,4292,4704,8997,880,914,1793,12030,12709,24735
Anangu Pitjantjatjara (AC),40250,737,799,1534,44,35,78,6,10,11,7,5,15,6,3,9,57,61,122,3,9,11,0,0,0,15,26,38,0,0,0,0,0,0,90,116,211,13,10,20,5,3,11,152,160,315,112,126,244,1003,1090,2091
Barossa (DC),40310,6805,6879,13684,896,928,1822,77,71,150,96,102,198,84,96,180,2100,2257,4356,33,40,74,12,7,18,44,68,120,11,8,17,0,0,0,2456,2656,5117,107,126,237,29,32,61,3490,3743,7237,681,690,1371,10980,11313,22288
Barunga West (DC),40430,823,750,1573,108,114,223,0,3,5,6,7,11,3,3,8,151,173,329,5,6,13,0,0,0,15,15,28,0,0,0,0,0,0,187,208,394,0,0,7,4,10,14,297,331,630,124,95,218,1248,1172,2419
Berri and Barmera (DC),40520,3113,3086,6199,473,518,998,42,40,77,37,38,72,41,33,73,724,739,1462,19,21,38,3,5,8,26,22,48,0,0,0,0,0,0,882,902,1783,78,65,143,37,23,58,1469,1511,2978,399,409,807,4984,5005,9989
Murray Bridge (RC),45040,5161,5201,10366,1378,1569,2949,62,74,134,89,89,179,89,80,166,1368,1455,2824,49,38,92,21,11,32,61,64,131,3,3,7,0,0,0,1739,1826,3560,490,436,926,51,40,97,3659,3876,7532,1106,690,1793,9928,9763,19690
Boyup Brook (S),50770,529,507,1032,68,78,148,7,6,15,6,3,10,10,3,15,7,7,8,116,116,237,0,0,0,0,5,5,0,0,0,0,0,0,148,141,282,6,7,15,3,0,3,218,227,445,62,68,123,803,801,1604
Bridgetown-Greenbushes (S),50840,1192,1233,2427,270,298,565,10,13,26,6,5,11,4,10,16,10,6,12,417,487,904,3,0,8,3,0,3,0,0,0,0,0,0,457,522,981,33,34,76,11,7,25,770,872,1639,196,187,388,2165,2286,4449
Burnside (C),40700,11157,12589,23749,830,907,1736,223,248,476,191,238,431,125,123,251,4482,4994,9476,71,81,148,29,16,45,43,56,94,32,32,64,0,0,0,5193,5788,10982,1666,1879,3547,61,56,116,7751,8627,16373,861,968,1831,19768,22185,41951
Cleve (DC),41190,575,535,1111,98,98,195,3,5,9,0,0,0,5,7,6,94,78,167,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,104,90,198,3,4,9,4,0,7,214,197,403,68,57,123,853,790,1644
Robe (DC),46860,367,361,729,105,102,201,3,3,8,26,23,50,6,3,8,86,83,167,6,6,9,0,0,0,0,3,5,0,0,0,0,0,0,124,123,247,8,6,14,7,3,9,246,231,477,62,60,122,676,647,1325
Flinders Ranges (DC),41830,477,488,964,64,79,145,10,10,15,6,3,9,0,3,3,120,117,233,7,3,13,0,0,0,9,13,16,0,0,0,0,0,0,151,148,299,3,4,8,3,0,10,223,231,454,64,71,135,765,795,1560
Franklin Harbour (DC),41960,370,335,708,114,97,206,5,3,15,9,6,12,3,4,9,65,59,121,9,4,7,3,3,3,0,3,5,0,0,0,0,0,0,86,82,170,7,3,6,0,0,0,206,179,388,66,65,133,646,580,1225
Gawler (T),42030,5554,5873,11425,878,1041,1916,72,91,169,74,76,153,94,98,200,2670,3012,5680,44,44,85,16,14,29,50,50,107,8,9,14,0,0,0,3036,3406,6434,157,180,341,82,39,118,4149,4663,8811,716,737,1454,10417,11274,21694
Goyder (DC),42110,1293,1240,2528,163,181,346,20,13,31,10,17,19,18,15,32,265,287,547,17,8,27,0,0,0,5,14,20,0,0,0,0,0,0,328,359,685,19,9,22,7,6,18,523,552,1069,163,165,325,1967,1958,3924
Grant (DC),42250,2558,2323,4881,239,220,455,16,13,31,100,101,202,22,10,29,520,501,1020,21,24,42,6,7,9,9,8,22,0,0,4,0,0,0,697,663,1365,33,25,57,9,10,21,972,918,1897,747,257,1006,4276,3502,7783
Holdfast Bay (C),42600,8478,9523,18000,1011,1079,2092,214,257,473,192,190,381,150,162,313,3703,4105,7803,67,84,149,23,24,50,68,61,125,27,22,55,0,0,0,4438,4906,9348,923,957,1879,104,132,239,6479,7073,13554,1064,1229,2293,16024,17821,33845
Kangaroo Island (DC),42750,1359,1260,2620,302,304,610,28,37,57,24,30,56,23,31,58,216,204,416,23,28,55,3,3,5,11,12,22,0,0,0,0,0,0,333,341,675,31,47,82,11,8,14,673,706,1381,241,214,457,2278,2179,4457
Kimba (DC),43220,340,324,665,66,53,118,3,0,3,0,0,0,3,0,9,44,49,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,53,106,5,9,9,0,0,0,122,109,230,30,35,64,492,468,960
Kingston (DC) (SA),43360,703,645,1348,171,164,336,13,13,19,27,16,38,5,7,8,130,121,252,3,11,14,0,0,3,8,3,13,0,0,0,0,0,0,179,166,348,5,6,7,0,6,6,354,344,701,91,86,178,1145,1073,2218
Light (RegC),43650,4426,4222,8649,442,477,922,53,65,117,31,56,88,63,63,125,1420,1482,2902,18,24,43,9,6,17,36,36,71,8,15,24,0,0,0,1641,1750,3387,48,73,121,40,35,73,2176,2327,4501,383,325,711,6985,6870,13861
Lower Eyre Peninsula (DC),43710,1530,1421,2943,355,319,673,16,11,29,7,11,16,19,25,49,366,360,724,19,18,30,0,3,0,18,20,37,0,3,4,0,0,0,442,454,896,23,24,46,8,10,24,829,810,1642,424,188,611,2776,2415,5193
Loxton Waikerie (DC),43790,3478,3390,6871,630,711,1337,36,39,71,53,45,97,25,29,51,606,691,1294,30,21,59,0,4,4,29,36,62,4,3,5,0,0,0,788,863,1648,71,72,146,23,26,51,1512,1667,3179,401,376,781,5390,5437,10827
Mallala (DC),43920,2812,2615,5430,176,175,357,18,24,41,13,13,29,14,10,23,829,824,1660,20,18,31,3,0,3,7,7,12,0,3,3,0,0,0,908,901,1802,18,17,38,23,14,39,1128,1111,2233,342,302,647,4286,4027,8307
Maralinga Tjarutja (AC),44000,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,3,7,13,20,21,33,25,34,56
Marion (C),44060,22663,24441,47111,1542,1688,3229,340,364,707,335,353,686,221,268,489,9540,10529,20077,112,126,236,34,35,68,143,166,312,53,49,104,0,0,0,10775,11894,22670,2606,2971,5576,295,283,578,15211,16832,32045,2009,2212,4217,39889,43484,83372
Mid Murray (DC),44210,2662,2320,4985,318,302,620,14,19,32,41,49,90,26,24,48,728,683,1414,20,24,45,3,0,7,21,15,38,0,0,0,0,0,0,858,818,1671,25,36,65,17,12,34,1218,1169,2389,562,352,921,4446,3849,8291
Mitcham (C),44340,18248,19474,37713,1123,1254,2373,215,249,464,198,255,462,122,175,297,6294,6882,13182,100,84,188,18,29,48,87,112,202,37,34,71,0,3,3,7078,7835,14913,1546,1833,3373,128,139,267,9878,11055,20931,1323,1379,2701,29448,31903,61347
Mount Barker (DC),44550,8511,8827,17336,1259,1314,2573,134,129,262,133,160,294,134,148,282,3598,4048,7644,76,81,153,26,24,49,74,90,163,7,13,26,0,0,0,4186,4686,8871,249,275,519,59,69,128,5755,6338,12092,875,942,1816,15132,16113,31243
Mount Gambier (C),44620,6697,7005,13701,1314,1528,2844,95,84,182,319,312,629,109,115,221,2112,2371,4482,75,59,135,28,23,53,34,35,65,4,3,7,0,0,0,2769,2999,5767,224,245,465,78,79,160,4387,4852,9242,795,866,1660,11876,12729,24606
Mount Remarkable (DC),44830,1012,906,1916,83,108,194,7,3,5,3,6,10,4,9,10,166,174,335,9,5,14,0,0,0,4,6,10,0,0,0,0,0,3,187,200,383,5,9,17,3,4,9,282,321,608,109,113,220,1400,1340,2744
Naracoorte and Lucindale (DC),45090,2396,2192,4587,603,565,1169,30,28,53,108,89,196,38,34,69,344,367,713,17,16,35,0,3,3,10,15,20,0,3,4,0,0,0,539,549,1094,234,154,383,18,16,34,1397,1283,2674,267,275,546,4058,3744,7804
Northern Areas (DC),45120,1472,1362,2837,201,194,393,11,15,34,8,9,19,22,15,30,233,275,511,11,12,21,10,7,13,17,14,31,0,0,0,0,0,0,312,347,657,17,13,31,10,12,22,535,569,1098,166,148,308,2167,2076,4246
Norwood Payneham St Peters (C),45290,8263,9231,17498,645,697,1345,236,205,438,173,183,359,124,115,242,3915,4256,8174,61,45,104,27,27,53,62,68,129,36,32,74,0,0,0,4639,4934,9568,1547,1691,3244,89,89,180,6922,7413,14331,881,966,1844,16071,17613,33682
Onkaparinga (C),45340,46324,47545,93867,3979,4378,8360,490,522,1011,415,499,910,461,508,968,17359,18966,36328,228,222,452,68,79,147,216,243,463,49,68,112,0,0,0,19284,21101,40386,1767,1934,3702,455,459,910,25489,27873,53362,4529,4717,9247,76347,80133,156475
Orroroo/Carrieton (DC),45400,296,275,567,48,47,93,7,6,12,0,0,0,0,0,0,33,53,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,107,4,3,9,0,0,0,91,112,205,37,46,78,427,426,856
Peterborough (DC),45540,503,507,1011,50,73,120,11,10,25,3,0,5,17,15,31,106,115,223,12,14,26,0,0,0,3,3,10,0,0,0,0,0,0,153,160,309,0,3,3,3,3,4,206,238,443,73,74,148,792,813,1599
Playford (C),45680,21666,21379,43041,2009,2272,4285,401,378,776,316,296,610,291,293,589,10459,11425,21878,138,124,260,37,50,86,170,184,353,44,47,91,0,0,3,11853,12798,24646,1152,1216,2368,362,358,720,15373,16645,32017,3339,3333,6672,40379,41354,81730
Port Adelaide Enfield (C),45890,29542,30925,60467,3265,3330,6594,489,423,915,461,447,909,343,368,710,12329,12879,25209,171,146,316,41,47,91,191,157,348,67,67,130,6,0,6,14102,14528,28628,4639,4426,9071,351,303,656,22367,22588,44948,4275,3900,8177,56181,57412,113598
Port Augusta (C),46090,3679,3697,7381,935,1096,2030,29,37,72,20,26,52,39,34,73,566,584,1149,30,32,67,7,6,9,41,40,82,0,0,0,0,0,0,739,768,1504,46,85,133,35,28,60,1757,1972,3726,1177,655,1832,6613,6322,12935
Port Lincoln (C),46300,3557,3641,7198,1250,1353,2604,34,28,68,40,31,72,62,62,121,723,813,1535,45,48,95,11,10,19,32,35,68,0,0,3,0,0,0,945,1032,1978,71,88,156,39,35,68,2299,2502,4805,559,572,1131,6424,6714,13135
Port Pirie City and Dists (M),46450,5041,5173,10216,1155,1267,2425,48,44,92,30,39,76,54,52,106,881,956,1838,35,34,73,12,9,21,25,26,53,0,0,4,0,0,0,1083,1174,2255,69,79,148,34,30,72,2345,2556,4903,638,661,1297,8024,8398,16416
Prospect (C),46510,5417,5659,11078,396,405,797,104,83,185,106,116,225,50,58,106,2137,2073,4211,36,32,70,7,5,19,23,26,48,10,13,19,0,0,0,2483,2404,4883,788,667,1460,66,41,103,3728,3514,7243,505,496,1002,9648,9673,19320
Renmark Paringa (DC),46670,2686,2686,5372,387,422,814,36,42,73,63,72,138,35,35,71,690,678,1368,23,27,50,3,3,5,15,27,44,0,0,0,0,0,0,862,890,1753,122,113,236,17,18,35,1386,1447,2833,403,369,775,4481,4502,8978
Unley (C),47980,9209,10384,19594,770,870,1645,242,253,491,189,221,403,138,143,280,3810,4469,8279,76,91,166,19,26,41,40,44,83,40,27,68,0,0,0,4553,5266,9822,1314,1473,2781,72,86,157,6714,7693,14405,929,1026,1957,16851,19109,35953
Victor Harbor (C),48050,3596,3993,7582,861,996,1856,69,75,146,63,81,144,74,73,153,1284,1448,2730,35,45,83,14,19,36,41,38,80,6,10,19,0,0,0,1592,1799,3391,81,96,178,36,39,69,2560,2930,5492,460,536,1000,6615,7458,14076
Wakefield (DC),48130,2055,1931,3984,325,314,643,13,6,24,13,7,19,20,25,42,449,492,945,11,10,23,6,5,4,21,20,40,3,3,8,0,0,0,535,568,1104,66,60,121,24,11,39,944,957,1903,227,235,458,3229,3123,6349
Coolgardie (S),51960,842,675,1513,177,170,349,32,32,61,12,14,25,50,52,102,11,20,30,274,292,569,6,18,26,4,3,11,0,0,0,0,0,0,392,427,818,74,66,132,27,7,31,664,676,1338,280,185,470,1784,1532,3319
Coorow (S),52030,339,261,594,34,40,80,0,0,0,3,4,5,0,0,0,3,0,7,107,87,195,0,0,4,3,4,7,0,0,0,0,0,0,114,100,211,10,10,15,3,5,10,160,153,316,43,40,78,545,450,992
Brookton (S),50910,253,236,496,44,47,89,3,0,5,0,0,0,0,0,0,0,0,0,69,80,151,0,0,3,0,5,10,0,0,0,0,0,0,78,90,172,9,9,25,0,0,3,138,148,286,68,66,129,460,447,907
Broome (S),50980,2976,2783,5757,1157,1238,2392,133,149,282,165,200,366,144,153,299,70,64,131,1254,1362,2622,19,19,41,74,78,151,8,6,21,3,3,5,1882,2036,3915,300,349,654,90,74,167,3427,3695,7122,1038,994,2024,7441,7470,14907
Walkerville (M),48260,1913,2039,3950,164,165,326,20,24,47,29,32,62,27,22,51,853,924,1779,15,6,21,0,0,8,5,18,26,3,6,8,0,0,0,958,1036,1993,226,274,500,27,18,41,1377,1486,2865,218,227,438,3501,3750,7250
Wattle Range (DC),48340,3712,3546,7259,588,575,1166,44,40,88,110,109,221,47,46,90,538,643,1183,44,35,78,9,11,18,19,11,31,0,0,0,0,0,0,812,904,1721,48,45,92,21,10,31,1464,1543,3007,406,371,776,5577,5460,11041
West Torrens (C),48410,14234,15263,29503,1255,1312,2562,247,228,476,256,258,513,169,167,337,6115,6267,12382,67,68,137,21,25,47,81,72,161,16,20,30,0,0,0,6971,7106,14073,2566,2753,5316,165,154,319,10948,11320,22271,1442,1563,3000,26623,28146,54775
Whyalla (C),48540,6406,6246,12650,1788,1878,3660,57,55,110,62,50,111,78,77,153,640,723,1365,67,58,133,3,0,3,27,34,58,3,3,7,0,0,0,939,1009,1951,139,164,305,82,75,161,2952,3126,6077,873,884,1758,10230,10258,20485
Canning (C),51330,20983,21983,42966,2201,2100,4298,330,298,628,386,303,681,238,208,448,167,139,311,8707,8484,17198,47,42,92,56,52,116,36,34,67,19,9,23,9983,9577,19560,6953,6365,13315,248,190,444,19384,18237,37617,2351,2172,4517,42712,42391,85101
Wudinna (DC),48640,407,363,772,72,61,133,0,3,3,4,0,9,0,4,3,59,64,123,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,72,140,3,3,7,3,5,7,145,139,285,48,59,106,600,562,1165
Yankalilla (DC),48750,1366,1373,2733,271,266,537,18,18,40,22,20,42,29,25,54,506,558,1062,13,9,19,6,3,4,11,19,28,0,0,3,0,0,0,603,652,1256,24,30,48,10,16,26,905,961,1864,182,172,352,2457,2500,4953
Yorke Peninsula (DC),48830,3676,3366,7043,533,535,1064,28,27,54,24,19,41,23,11,40,703,736,1437,14,27,42,0,0,0,29,26,50,0,0,0,0,0,0,820,843,1672,18,30,51,23,16,40,1392,1431,2826,390,347,736,5462,5145,10612
Unincorporated SA,49399,1032,672,1700,62,47,105,45,20,62,38,11,49,59,26,84,345,198,549,28,18,47,10,7,14,18,14,34,0,0,0,0,0,0,544,308,847,37,35,75,20,13,32,657,401,1055,379,220,601,2070,1288,3361
No usual address (SA),49499,251,122,372,66,31,100,38,28,70,39,38,74,61,68,130,534,373,907,30,26,58,3,11,13,13,16,32,3,3,6,0,0,0,721,568,1288,151,111,263,23,10,30,958,720,1680,480,243,722,1688,1083,2774
Migratory - Offshore - Shipping (SA),49799,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,6,0,3
Albany (C),50080,8886,9232,18118,1490,1648,3136,80,65,148,54,66,120,105,89,193,41,44,88,4268,4644,8912,19,29,48,16,18,34,5,5,13,0,0,0,4593,4971,9563,378,459,838,103,87,185,6557,7168,13728,1583,1173,2756,17023,17572,34599
Armadale (C),50210,16835,16812,33648,1751,1833,3580,220,243,465,215,205,417,226,256,488,103,103,206,11389,11734,23128,42,38,86,70,65,128,23,20,42,3,9,11,12294,12664,24957,2312,2696,5010,256,247,507,16612,17443,34050,2561,2377,4937,36001,36633,72640
Ashburton (S),50250,1862,832,2688,454,407,857,381,78,458,283,84,365,804,177,978,124,29,157,2543,959,3500,34,19,53,77,44,130,4,0,10,0,0,0,4259,1387,5640,641,217,861,42,27,66,5384,2043,7427,1799,411,2209,9043,3285,12327
Augusta-Margaret River (S),50280,3096,3051,6146,921,939,1857,48,52,104,57,61,116,49,36,85,32,22,55,1393,1486,2872,20,18,32,13,10,20,0,0,0,0,0,3,1604,1691,3296,299,366,665,36,34,69,2855,3026,5883,641,562,1200,6599,6632,13231
Bassendean (T),50350,3871,4001,7871,438,421,860,45,43,94,42,42,85,49,44,98,13,12,24,1556,1708,3264,10,14,20,14,16,30,4,4,5,0,0,0,1736,1885,3626,369,384,747,48,44,94,2591,2735,5327,433,463,901,6891,7202,14090
Broomehill-Tambellup (S),51080,335,310,640,40,32,69,0,0,0,0,0,0,0,0,0,0,0,0,73,87,158,0,0,4,0,0,0,0,0,0,0,0,0,81,89,168,10,3,12,0,0,0,123,122,247,68,67,140,526,501,1033
