lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Kiama (A),14400,3,4,9,220,180,406,3,0,3,225,186,417,31,28,55,784,740,1528,9,4,14,830,771,1598,17,19,42,671,625,1299,10,11,17,698,655,1355,0,0,0,31,18,47,0,0,0,33,20,50,0,0,0,11,18,29,0,0,0,13,22,32,0,7,3,110,33,147,0,0,0,111,35,147,3,0,4,53,76,125,0,0,0,53,75,129,0,0,0,3,0,3,4,0,0,8,3,7,7,6,13,206,145,349,4,3,9,218,157,371,3,4,4,169,210,378,0,0,0,173,213,382,4,0,5,27,67,95,0,0,0,29,65,102,0,0,0,19,27,49,0,0,0,23,31,52,3,3,7,67,159,230,0,3,3,68,168,240,0,0,0,3,0,3,0,0,0,3,0,3,5,8,18,294,459,752,0,5,8,305,474,777,0,3,3,46,73,118,0,0,0,44,77,125,3,11,15,181,213,397,532,552
Ku-ring-gai (A),14500,4,0,3,1204,1085,2294,0,7,4,1208,1092,2307,12,7,20,6169,5700,11866,23,18,36,6203,5721,11925,20,24,45,5578,5375,10952,23,23,46,5620,5423,11042,0,0,0,93,91,187,0,0,0,96,96,191,0,0,0,77,137,214,0,0,0,78,137,213,5,0,3,172,91,263,0,0,4,172,94,271,0,0,0,222,428,656,0,0,0,228,428,658,0,0,0,3,7,12,0,0,0,3,7,12,5,0,5,573,750,1324,4,0,5,585,756,1340,7,3,7,2406,2696,5107,11,6,15,2422,2704,5133,0,0,0,401,490,895,0,0,0,401,497,893,0,0,0,310,260,572,0,0,0,313,260,573,3,5,5,624,904,1530,0,5,4,628,914,1538,0,0,0,18,16,30,0,0,0,18,16,30,10,9,15,3758,4375,8131,9,8,25,3774,4394,8167,0,0,0,291,494,782,0,3,3,291,497,784,0,0,4,621,824,1445,1635,1810
Kyogle (A),14550,13,6,20,46,70,114,0,0,0,63,71,133,25,23,45,308,296,608,12,7,17,348,324,667,24,26,49,223,253,477,6,5,12,252,285,541,0,0,0,8,19,24,0,0,0,6,18,23,0,0,0,7,15,22,0,0,0,7,15,22,0,4,4,21,18,41,0,0,0,21,17,41,0,3,3,22,44,71,0,0,0,23,52,78,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,61,97,158,0,0,0,64,101,164,0,0,0,13,22,33,0,0,0,13,22,33,0,0,3,7,22,30,0,0,0,13,25,30,0,0,0,3,10,14,0,0,0,4,10,14,0,0,0,19,27,45,0,0,0,19,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,77,124,0,0,0,51,74,130,0,3,3,12,16,29,0,0,0,12,22,33,6,8,19,87,98,182,383,317
Lachlan (A),14600,17,25,40,50,51,100,0,0,0,71,78,141,90,84,168,188,177,365,3,6,4,276,265,543,44,76,124,96,91,187,0,3,3,143,167,312,0,0,0,3,0,5,0,0,0,3,3,8,3,4,5,0,4,4,0,0,0,3,11,10,3,3,7,3,8,9,0,0,0,8,9,14,4,10,12,7,16,25,0,0,0,9,25,35,0,3,3,0,0,0,0,0,0,0,3,3,11,17,27,15,31,43,0,0,0,19,46,65,4,3,11,7,18,27,0,0,0,14,20,37,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,9,0,0,0,0,5,9,0,0,3,7,18,21,0,0,0,10,16,26,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,16,44,62,0,0,0,23,47,77,0,0,0,0,16,19,0,0,0,0,16,19,35,32,68,78,77,157,290,272
Lake Macquarie (C),14650,157,130,287,1807,1720,3526,12,22,29,1973,1864,3836,688,627,1322,7600,7233,14838,82,63,145,8380,7928,16304,436,467,906,5929,5754,11684,45,55,107,6418,6272,12691,14,21,38,229,243,473,0,0,0,249,268,514,13,18,30,92,228,326,0,3,3,104,251,358,48,40,87,745,427,1170,5,3,7,799,464,1265,22,48,76,519,893,1416,0,4,4,541,947,1490,0,0,0,11,9,25,0,0,0,13,9,20,94,140,233,1599,1797,3398,5,11,14,1702,1942,3652,42,67,110,1303,1552,2860,3,5,10,1346,1634,2980,11,12,25,383,650,1032,3,3,3,393,660,1057,11,14,22,225,306,532,0,0,3,235,324,558,13,40,53,653,1235,1885,3,5,8,667,1279,1951,0,0,0,10,13,19,0,0,0,10,13,19,73,131,209,2574,3754,6333,12,17,29,2658,3906,6568,20,33,56,329,626,952,3,5,4,353,655,1012,121,107,226,1777,2283,4065,3007,2991
Lane Cove (A),14700,3,0,8,391,328,722,0,0,0,396,327,724,3,8,10,1407,1404,2816,9,3,14,1419,1417,2837,30,3,38,1434,970,2404,11,3,14,1482,976,2457,0,0,0,33,34,61,0,0,0,33,34,67,0,0,0,46,63,112,0,0,0,46,67,112,0,0,0,42,35,75,0,0,0,42,35,75,0,0,0,97,179,279,0,0,3,96,185,277,0,0,0,0,0,0,0,0,0,0,3,3,0,5,4,222,308,528,0,3,4,223,318,538,0,3,3,583,533,1120,3,3,7,585,540,1125,0,0,0,193,225,414,0,0,0,188,228,415,0,0,0,92,97,193,0,0,0,98,97,194,0,0,7,262,393,657,0,0,0,268,397,659,0,0,0,3,3,8,0,0,0,3,3,8,0,3,5,1139,1246,2389,3,4,3,1145,1253,2402,0,0,0,116,194,314,0,0,0,116,194,314,3,0,3,129,169,298,735,681
Leeton (A),14750,12,4,16,81,93,175,3,0,4,95,99,196,56,48,99,415,387,803,3,6,8,475,444,913,38,59,95,462,527,986,6,10,14,507,591,1102,0,0,0,8,14,17,0,0,0,8,11,19,0,3,3,3,12,16,0,0,0,3,18,16,0,5,8,31,15,46,0,0,0,31,24,58,0,8,5,27,49,80,0,0,3,29,56,88,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,72,85,158,0,0,3,73,108,176,0,3,4,20,20,37,0,0,0,20,22,41,0,0,0,7,8,16,0,0,0,7,8,16,0,0,0,6,10,15,0,0,0,6,10,15,0,3,4,17,43,61,0,0,0,15,43,60,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,47,81,125,0,0,0,43,85,137,0,0,0,13,20,33,0,0,0,13,21,34,16,14,32,154,163,315,404,409
Lismore (C),14850,37,36,73,328,311,644,3,4,6,368,351,720,187,165,356,1604,1508,3112,31,16,48,1814,1700,3512,129,112,239,1251,1341,2594,17,17,29,1396,1470,2861,8,11,16,41,77,115,0,0,3,53,85,131,5,20,26,41,104,145,0,0,3,48,121,167,12,8,22,124,92,221,0,0,0,146,103,243,16,17,36,123,224,347,0,0,0,145,238,384,0,0,0,0,4,5,0,0,0,0,4,4,46,49,96,332,500,833,3,3,10,385,553,935,9,15,29,234,307,544,0,0,0,248,330,579,17,18,31,191,234,428,0,3,4,207,252,459,4,11,13,55,82,136,0,0,0,58,86,147,5,12,19,187,404,592,0,0,0,195,423,617,0,0,0,0,3,3,0,0,0,0,3,3,33,50,86,674,1031,1707,4,3,8,711,1087,1801,11,12,21,76,123,200,0,0,3,86,136,221,61,52,113,334,382,711,1410,1441
Lithgow (C),14870,24,15,39,141,138,278,4,3,12,165,159,324,92,92,179,647,630,1280,17,14,30,758,736,1490,52,63,108,547,470,1013,15,13,22,603,539,1145,3,0,3,21,42,61,0,0,0,20,45,64,0,3,3,12,33,46,0,0,0,19,36,48,8,11,18,87,47,134,0,0,0,91,57,150,6,7,19,54,114,167,0,0,0,59,122,184,0,0,0,7,0,9,0,0,0,7,0,9,18,23,42,185,238,419,0,3,3,201,264,459,0,5,6,30,66,94,0,0,0,28,72,101,0,3,3,17,35,47,0,0,0,22,35,51,0,0,0,12,26,35,0,0,0,12,26,35,0,8,8,50,110,151,3,0,3,46,120,168,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,105,227,329,3,0,3,107,243,353,6,3,4,33,54,86,0,0,0,38,53,90,104,30,131,630,312,941,839,833
Liverpool (C),14900,49,28,81,1775,1596,3369,14,19,32,1841,1641,3479,263,209,468,9545,9138,18684,96,68,170,9907,9417,19319,188,184,368,7871,7642,15510,52,61,113,8107,7892,15999,3,5,9,365,368,734,6,5,7,373,375,748,0,7,7,305,565,876,0,4,4,305,580,886,14,4,18,688,299,983,4,3,11,705,307,1017,13,24,33,505,840,1341,3,6,8,516,872,1387,0,0,0,32,30,66,3,4,3,39,36,70,29,45,70,1895,2099,3998,18,25,43,1939,2174,4109,15,24,43,2474,3217,5691,15,20,26,2508,3259,5765,0,11,11,545,749,1290,0,3,4,542,759,1297,4,8,7,351,444,797,4,4,7,362,455,813,3,16,17,555,944,1497,0,0,6,558,961,1519,0,0,0,14,26,38,3,0,3,11,26,41,20,56,81,3935,5375,9311,21,22,41,3982,5456,9437,6,16,24,742,1105,1846,3,6,9,750,1128,1882,49,56,104,2161,2302,4465,5669,5580
Liverpool Plains (A),14920,11,18,33,66,56,123,0,3,3,79,78,160,65,51,112,235,216,451,9,3,8,304,275,578,56,59,117,180,167,348,5,0,8,247,229,470,3,0,3,3,4,4,0,0,0,3,6,8,0,3,3,0,8,8,0,0,0,3,13,14,0,7,7,14,7,26,0,0,0,14,14,25,0,3,8,12,34,44,0,0,0,10,41,49,0,0,0,0,3,3,0,0,0,0,3,4,4,15,19,26,54,88,0,0,0,32,73,102,0,0,3,11,20,27,0,0,0,12,22,34,0,3,3,3,17,17,0,0,0,3,17,20,0,0,0,5,7,13,0,0,0,5,11,11,0,0,3,12,22,37,0,0,0,12,25,38,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,29,66,89,0,0,0,27,71,100,0,0,0,4,15,18,0,0,0,8,15,19,20,19,41,90,106,191,271,298
Lockhart (A),14950,0,3,5,25,29,54,0,0,0,30,34,58,11,4,14,108,146,254,4,0,3,122,148,270,4,5,9,99,80,182,0,0,0,98,87,188,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,9,3,12,0,0,0,5,3,9,0,3,3,4,10,21,0,0,0,4,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,25,36,0,0,0,15,27,38,0,0,0,4,8,11,0,0,0,4,13,15,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,14,13,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,37,0,0,0,7,31,38,0,0,0,3,10,13,0,0,0,3,9,10,0,5,3,28,34,65,97,126
Maitland (C),15050,78,69,150,819,715,1530,3,4,6,895,793,1685,365,332,696,3398,3282,6677,40,32,75,3800,3648,7451,243,238,480,2412,2277,4684,26,24,45,2677,2538,5210,12,20,35,110,141,250,8,0,8,134,154,287,3,6,8,45,98,136,0,3,3,45,109,154,20,23,47,289,197,487,3,0,3,318,220,539,9,22,34,237,433,670,3,3,5,249,455,705,5,0,8,11,11,13,0,0,0,9,13,25,52,74,125,691,873,1567,13,7,17,752,956,1709,12,14,23,376,545,921,3,3,6,395,558,953,8,23,31,137,256,394,0,0,0,144,279,421,3,7,10,84,135,220,0,0,0,89,144,228,7,15,20,284,495,775,3,0,0,296,504,798,0,0,0,0,3,3,0,0,0,0,3,3,31,50,79,882,1431,2316,3,9,9,917,1485,2406,11,32,41,156,257,410,0,0,0,168,284,450,67,68,127,635,660,1297,1518,1472
Mid-Coast (A),15240,116,119,233,627,547,1169,11,13,23,751,677,1433,489,447,935,2696,2554,5246,74,58,128,3260,3054,6307,308,277,585,2116,2180,4299,54,50,105,2477,2511,4992,17,17,35,81,112,197,0,0,0,97,132,229,14,18,37,67,162,227,0,0,3,84,188,270,22,21,40,217,179,390,4,0,6,243,198,433,19,51,77,170,419,585,5,3,5,190,472,667,3,3,7,9,6,17,0,0,0,15,11,18,81,112,191,534,879,1412,6,3,11,628,994,1618,16,13,27,89,201,292,0,0,3,105,220,325,3,14,14,55,136,192,0,0,0,61,150,208,0,3,3,27,69,93,0,0,0,29,72,102,9,23,25,123,331,459,0,0,0,133,358,484,0,0,0,0,4,4,3,0,3,3,4,5,22,50,77,302,738,1039,5,3,15,332,797,1126,7,33,41,89,232,324,0,3,5,100,266,361,120,124,245,1021,1239,2256,2416,2521
Mid-Western Regional (A),15270,29,23,52,169,183,350,9,10,16,202,215,420,106,96,203,949,875,1824,28,30,56,1079,1005,2080,71,71,147,633,546,1177,15,5,26,719,623,1346,0,4,8,12,17,32,0,0,0,17,22,35,3,6,10,6,20,27,0,0,0,10,23,31,3,7,13,87,74,156,0,0,0,93,84,178,5,16,24,65,149,212,0,0,0,73,168,240,0,0,0,0,3,4,0,0,0,3,3,6,20,31,50,171,260,430,0,0,4,188,293,488,0,3,8,26,53,71,0,0,0,25,56,77,4,8,8,15,36,59,0,0,0,20,42,63,0,0,0,10,18,28,0,0,0,13,19,31,3,7,6,46,113,161,0,0,0,49,118,174,0,0,0,0,0,0,0,0,0,0,0,0,5,19,22,99,218,317,0,0,4,109,236,349,3,3,3,32,52,84,0,0,0,33,59,89,34,20,57,276,285,561,1029,1003
Moree Plains (A),15300,43,36,81,106,102,208,3,0,3,146,143,291,191,226,418,400,358,757,5,6,16,599,598,1197,104,112,218,205,213,421,3,3,9,314,328,647,0,0,3,0,5,7,0,0,0,3,4,7,3,13,20,6,4,8,0,0,0,7,12,26,10,6,10,28,17,44,0,3,3,31,24,53,5,18,24,23,47,72,0,0,0,34,66,99,0,3,3,0,3,3,0,0,0,0,4,3,20,31,58,61,72,132,0,3,3,81,109,196,3,3,7,14,30,42,0,0,0,21,30,54,3,3,8,3,11,15,0,0,0,10,15,23,0,4,4,8,14,24,0,0,0,8,19,28,0,5,5,13,67,82,0,0,0,21,69,87,0,0,0,0,0,3,0,0,0,0,0,3,10,13,26,44,122,165,0,0,0,53,134,192,3,0,4,6,20,27,0,0,0,14,19,32,90,103,199,133,114,250,682,635
Mosman (A),15350,0,0,3,249,255,502,3,0,3,253,257,505,0,0,0,1203,1084,2290,9,0,10,1212,1091,2301,0,4,4,920,991,1913,0,0,3,921,998,1917,0,0,0,26,13,38,0,0,0,26,13,38,0,0,0,8,26,29,0,0,0,8,26,29,0,0,0,18,20,37,0,0,0,18,20,37,0,0,0,45,102,150,0,0,0,45,102,150,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,92,165,256,0,0,0,92,165,256,0,3,3,392,433,821,0,0,3,390,435,825,0,0,0,79,143,225,0,0,0,79,147,227,0,0,0,50,55,104,0,0,0,50,56,105,0,0,0,140,292,433,0,0,0,137,296,436,0,0,0,0,3,3,0,0,0,0,3,3,3,8,5,660,933,1593,0,5,5,664,940,1604,0,0,0,74,141,209,0,0,0,81,138,215,0,0,0,148,173,320,832,917
Murray River (A),15520,9,12,15,87,88,180,0,0,0,96,98,199,24,36,57,393,382,775,7,8,17,420,421,850,13,17,26,291,336,628,5,7,10,312,354,670,0,0,0,8,13,21,0,0,0,8,11,24,0,4,4,4,0,5,0,0,0,4,5,10,0,5,5,30,19,52,0,0,0,30,24,52,0,0,3,22,52,69,0,0,0,21,51,71,0,0,0,0,0,4,0,0,0,0,0,4,0,9,11,69,88,150,0,0,0,65,95,165,0,0,0,14,39,50,0,0,0,14,36,50,0,0,0,9,11,18,0,0,0,9,11,18,0,0,0,0,10,17,0,0,0,0,10,17,0,3,3,15,46,64,0,0,0,15,52,62,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,39,110,147,0,0,0,39,114,148,0,6,6,20,26,45,0,0,0,20,28,49,8,14,27,141,188,325,357,354
Murrumbidgee (A),15560,6,3,11,31,25,58,0,0,0,42,28,65,20,22,39,165,125,292,0,3,0,187,148,336,16,13,21,128,100,229,3,0,4,143,114,255,0,0,0,3,4,9,0,0,0,3,4,9,0,0,0,0,0,3,0,0,0,0,3,4,0,0,3,13,3,18,0,0,0,19,7,24,0,0,0,12,17,23,0,0,0,12,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,31,25,58,0,0,0,36,27,67,0,0,0,7,11,21,0,0,0,13,11,23,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,12,11,23,0,0,0,12,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,26,50,0,0,0,24,32,57,0,3,3,3,3,4,0,0,0,3,5,10,13,15,23,49,39,92,195,165
Muswellbrook (A),15650,29,24,56,159,140,291,3,3,7,193,164,358,118,106,222,684,636,1318,12,13,17,813,752,1562,57,61,120,442,449,896,12,7,20,519,514,1033,0,4,3,13,22,42,0,0,0,16,32,48,0,0,0,6,17,26,0,0,0,6,18,26,7,5,11,73,49,126,0,0,0,84,56,139,5,7,8,52,85,132,0,0,0,55,88,145,0,0,0,5,0,5,0,0,0,5,0,5,9,15,31,154,171,325,0,0,3,163,192,360,0,0,0,11,36,44,0,0,0,11,39,46,0,0,3,7,26,39,0,3,3,8,32,41,0,3,5,6,12,20,0,0,0,6,20,20,0,3,5,38,61,103,0,0,0,35,68,102,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,58,149,207,0,3,3,61,155,217,6,6,8,14,35,52,0,0,0,20,42,66,51,29,81,369,147,511,444,413
Nambucca (A),15700,18,26,45,136,106,242,5,4,5,167,133,299,144,112,256,571,598,1170,12,13,26,730,726,1454,83,92,181,460,440,894,13,18,26,556,549,1099,0,7,6,12,18,34,0,0,0,15,25,40,0,8,8,12,46,59,0,0,3,14,54,66,9,4,12,51,31,85,0,0,0,58,34,95,4,15,17,41,84,125,0,3,3,45,102,144,0,0,0,0,0,0,0,0,0,0,0,0,16,26,45,116,184,301,3,3,5,139,217,350,0,3,8,17,43,63,3,0,3,23,52,74,0,0,0,14,35,49,0,0,3,15,39,53,0,0,0,5,16,21,0,0,0,5,18,22,0,3,3,39,72,112,0,0,0,36,76,112,0,0,0,3,3,7,0,0,0,3,3,7,4,11,15,73,176,248,3,0,6,78,187,264,4,9,10,18,38,60,0,0,0,24,45,70,43,43,89,269,326,597,542,541
Narrabri (A),15750,24,22,50,88,108,198,3,0,3,117,133,251,130,130,259,443,467,905,17,15,33,589,610,1201,79,71,146,294,274,567,3,6,11,375,346,729,0,4,4,10,7,11,0,0,0,10,7,18,3,4,6,3,8,12,0,0,0,8,9,16,10,0,10,34,21,57,0,0,0,43,19,67,3,8,9,24,43,64,0,0,0,26,46,76,0,0,0,0,0,3,0,0,0,3,0,3,15,14,32,72,79,150,0,0,0,92,94,183,0,0,0,12,27,37,0,0,0,8,26,40,0,3,3,5,18,27,0,0,0,5,16,29,0,0,0,9,12,20,0,0,0,9,12,20,0,4,3,18,55,71,0,0,0,20,58,78,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,42,111,149,0,0,0,40,117,158,4,0,3,17,27,44,0,0,0,20,34,53,35,44,86,138,170,306,577,594
Narrandera (A),15800,10,10,21,45,39,85,4,0,4,55,51,112,36,41,77,211,212,431,0,3,3,251,259,504,28,29,57,112,123,236,0,0,0,145,152,297,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,6,8,0,8,9,16,10,26,0,0,0,19,16,38,0,6,12,20,23,46,0,0,0,20,38,51,0,0,0,0,0,0,0,0,0,0,0,0,4,13,21,36,45,83,0,0,0,40,59,105,0,0,0,12,15,32,0,0,0,12,20,32,3,0,4,3,12,9,0,0,0,6,10,19,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,6,25,34,0,0,0,6,25,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,60,84,0,0,0,27,61,85,0,0,0,3,8,12,0,0,0,7,12,15,15,21,39,61,83,143,263,266
Narromine (A),15850,25,25,54,43,31,77,3,0,4,73,54,132,112,108,217,194,167,364,0,6,8,308,285,591,75,65,138,133,120,251,0,6,13,208,189,402,0,3,5,3,0,6,0,0,0,3,7,16,0,0,3,0,9,9,0,0,0,0,9,11,4,3,8,14,12,24,0,0,0,20,9,31,4,9,13,10,28,35,0,0,0,11,34,42,0,0,0,0,0,0,0,0,0,0,0,3,9,22,31,28,41,69,0,0,0,36,63,100,0,3,3,5,18,20,0,0,0,11,21,25,0,0,3,0,10,13,0,0,0,4,13,14,0,3,3,0,3,3,0,0,0,0,5,5,0,8,8,9,18,23,0,0,0,13,24,40,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18,16,42,61,0,0,0,20,60,82,0,5,3,4,11,12,0,0,0,3,11,14,29,36,69,65,70,130,264,252
Newcastle (C),15900,104,73,179,1454,1186,2637,9,12,23,1560,1278,2837,358,349,708,5547,5244,10792,55,45,102,5965,5634,11599,266,246,514,4087,3890,7980,40,25,65,4393,4164,8557,13,22,36,227,310,537,5,0,4,243,328,571,12,29,38,242,287,528,0,0,3,254,314,564,35,31,63,501,345,850,0,0,3,539,377,916,27,37,63,594,813,1408,0,6,5,619,858,1474,0,0,0,20,15,34,0,0,0,21,15,36,79,120,203,1584,1763,3350,9,5,13,1671,1887,3560,77,103,187,2966,3376,6345,8,6,14,3053,3487,6541,32,46,78,1333,1315,2643,3,3,9,1370,1361,2734,3,16,26,352,412,765,0,0,0,360,433,792,28,43,70,1020,1455,2470,3,0,6,1047,1495,2544,0,0,0,13,22,31,0,0,0,16,22,36,152,208,358,5684,6565,12248,21,18,41,5858,6798,12649,17,27,45,300,518,819,0,0,3,316,545,862,96,93,190,1678,2237,3913,2736,2512
